科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"317,662,252.20","210,068,027.25","181,707,551.17","49,656,869.53","86,836,043.23","118,427,833.37","171,478,265.85","37,178,409.64","82,943,984.95","121,079,296.29","163,268,261.24","53,024,349.25","121,147,591.46","219,576,533.80","301,010,787.96","99,541,468.15","205,460,319.28","348,395,304.60","357,212,515.55","198,517,175.42","336,064,414.72"
取得子公司及其他营业单位支付的现金净额,,,,,,,"73,970,600.00",,,,,,,,,,,,,,
收到的税费返还,"8,581,268.79","19,187,813.65","7,499,394.22","4,740,033.66","7,722,948.22","10,801,265.02","13,458,148.53","4,701,081.32","9,450,598.17","13,934,378.56","18,599,324.93","5,503,769.05","13,433,448.22","21,404,847.51","23,520,864.06","9,001,332.10","12,879,240.48","17,880,779.32","20,050,035.67","10,821,836.76","19,843,608.14"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"25,275,111.37","14,212,572.96","11,437,147.83","4,743,069.85","9,522,434.66","13,621,101.60","35,107,099.46","1,839,283.21","4,532,072.18","6,882,802.96","11,864,381.51","1,727,500.09","2,775,126.06","6,792,214.07","13,562,105.34","1,242,587.53","3,826,602.08","7,553,743.53","9,097,493.10","2,193,349.99","6,372,181.78"
投资活动现金流出小计,"13,156,314.34","110,706,848.64","582,554,572.15","180,785,441.10","392,069,771.32","447,891,155.63","704,967,079.18","129,298,692.15","303,893,868.21","521,000,574.37","689,534,986.68","24,185,765.92","30,659,605.06","51,667,358.81","131,545,180.87","110,620,368.50","387,414,412.09","465,745,855.60","911,530,520.06","679,815,215.20","1,405,135,063.93"
经营活动现金流入小计,"351,518,632.36","243,468,413.86","200,644,093.22","59,139,973.04","104,081,426.11","142,850,199.99","220,043,513.84","43,718,774.17","96,926,655.30","141,896,477.81","193,731,967.68","60,255,618.39","137,356,165.74","247,773,595.38","338,093,757.36","109,785,387.78","222,166,161.84","373,829,827.45","386,360,044.32","211,532,362.17","362,280,204.64"
投资活动产生的现金流量净额,"-13,076,615.84","-18,780,143.72","-156,143,372.49","36,782,772.72","-6,188,667.91","38,294,908.27","-116,790,376.03","-23,027,027.73","-3,795,488.05","-44,645,619.06","-28,792,920.59","-11,118,450.85","-17,548,378.29","-38,417,132.04","-107,203,439.31","-35,298,056.67","-51,977,229.41","-54,873,949.74","-158,589,386.47","-392,509,821.30","-415,479,109.80"
购买商品、接受劳务支付的现金,"172,319,937.93","118,522,102.16","76,487,905.23","27,291,008.77","50,405,085.28","92,718,970.86","148,606,651.17","16,247,197.67","44,537,354.20","65,773,808.11","94,221,420.13","30,642,594.93","92,037,167.71","133,053,682.34","206,038,753.94","65,632,458.03","117,871,731.14","170,941,240.26","135,930,537.83","74,248,402.54","146,826,138.03"
吸收投资收到的现金,,,,,,"140,080,650.00","140,127,000.00",,,,,,,,,,,,"406,707,236.34",,
支付给职工以及为职工支付的现金,"17,877,830.00","19,064,460.33","19,379,908.50","6,851,930.68","11,347,800.33","15,700,909.51","20,120,934.19","7,722,900.81","12,107,463.83","17,317,396.51","23,610,933.30","10,095,998.40","17,563,384.92","25,904,162.11","34,369,101.34","12,913,905.07","21,778,669.82","31,039,618.44","40,480,007.52","14,515,112.64","25,430,560.83"
取得借款收到的现金,"14,771,268.00","31,022,707.91",,,,,"30,000,000.00",,,,,,"45,000,000.00","45,000,000.00","45,000,000.00",,"45,000,000.00","45,000,000.00","45,000,000.00","31,862,493.38","31,862,493.38"
支付的各项税费,"38,872,608.92","22,051,130.66","17,207,067.45","2,938,228.90","5,848,452.96","11,531,201.34","18,011,698.80","3,041,454.97","6,196,055.20","6,806,454.87","9,005,206.56","1,451,684.46","3,946,938.63","8,484,452.96","11,028,581.25","5,166,187.05","12,378,162.21","24,738,807.12","31,730,409.83","18,510,580.55","42,724,783.15"
收到其他与筹资活动有关的现金,"2,662,156.28","3,000,716.64","2,001,954.80","272,180.64","483,433.35","413,130.61","5,609,465.16","24,755.36","47,303.66","85,278.86","759,555.06","21,317.82","27,623.30","18,000,000.00","19,795,000.00","3,670,000.00","6,970,000.00","6,970,000.00","9,715,580.50",,
支付其他与经营活动有关的现金,"41,351,553.06","41,880,206.79","22,438,920.35","7,288,008.97","19,511,533.33","24,766,199.52","45,232,750.84","5,623,258.47","10,653,816.80","17,987,041.76","24,375,025.70","27,072,437.10","16,935,112.16","24,278,760.27","37,390,972.03","9,579,274.88","14,117,127.63","23,323,344.85","31,475,191.79","6,633,889.52","15,038,937.56"
筹资活动现金流入小计,"17,433,424.28","34,023,424.55","2,001,954.80","272,180.64","483,433.35","140,493,780.61","175,736,465.16","24,755.36","47,303.66","85,278.86","759,555.06","21,317.82","45,027,623.30","63,000,000.00","64,795,000.00","3,670,000.00","51,970,000.00","51,970,000.00","461,422,816.84","31,862,493.38","31,862,493.38"
经营活动现金流出小计,"270,421,929.91","201,517,899.94","135,513,801.53","44,369,177.32","87,112,871.90","144,717,281.23","231,972,035.00","32,634,811.92","73,494,690.03","107,884,701.25","151,212,585.69","69,262,714.89","130,482,603.42","191,721,057.68","288,827,408.56","93,291,825.03","166,145,690.80","250,043,010.67","239,616,146.97","113,907,985.25","230,020,419.57"
偿还债务支付的现金,"80,000,000.00","45,672,821.91",,,,,"30,000,000.00",,,,,,,,,,"45,000,000.00","45,000,000.00","45,000,000.00",,"45,000,000.00"
经营活动产生的现金流量净额,"81,096,702.45","41,950,513.92","65,130,291.69","14,770,795.72","16,968,554.21","-1,867,081.24","-11,928,521.16","11,083,962.25","23,431,965.27","34,011,776.56","42,519,381.99","-9,007,096.50","6,873,562.32","56,052,537.70","49,266,348.80","16,493,562.75","56,020,471.04","123,786,816.78","146,743,897.35","97,624,376.92","132,259,785.07"
分配股利、利润或偿还利息支付的现金,"2,299,468.33","561,974.38",,,,,"168,000.00",,"9,069,999.48","9,069,999.48","9,069,999.48","2,703,438.49","2,721,000.27","3,172,312.77","3,667,124.11","5,705,810.30","10,054,187.50","10,554,437.50","11,049,249.99","489,375.00","27,345,030.64"
收回投资收到的现金,,"90,540,000.00","423,410,000.00","215,500,000.00","382,450,000.00","480,903,723.74","580,903,723.74","105,000,000.00","297,380,000.00","472,995,217.88","656,560,000.00","13,000,000.00","13,000,000.00","13,000,000.00","23,000,000.00","75,000,000.00","334,001,000.00","409,001,000.00","748,900,000.00","258,700,092.12","955,766,010.90"
