科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"1,114,013,669.07","1,201,636,043.58","1,375,587,007.28","810,563,380.42","1,215,743,021.67","1,682,808,865.15","439,320,496.36","805,647,414.58","1,213,289,865.13","1,656,562,525.91","455,791,346.40","841,035,609.04","1,225,647,407.23","1,678,021,568.91","423,217,213.78","836,233,990.40","1,212,643,881.58","1,684,750,620.69","457,460,185.24","907,714,698.54","1,274,835,679.25","1,755,008,747.88","505,994,307.83","961,825,857.39","1,339,238,065.19","1,886,682,974.61","524,345,780.87","976,047,612.79","1,358,894,348.96"
二、营业利润,"97,973,387.63","128,167,555.00","180,603,353.25","75,412,073.21","100,611,354.00","183,680,496.73","52,594,137.90","96,426,442.19","138,572,213.42","220,573,959.33","58,196,891.07","107,865,069.27","149,746,870.74","200,386,977.59","56,645,157.85","105,780,590.74","147,855,524.25","172,922,582.50","71,540,435.01","199,317,077.74","161,705,509.06","204,580,523.03","68,967,814.40","125,155,744.75","162,180,691.28","186,374,946.48","73,660,381.83","124,602,930.52","161,504,476.33"
减:营业成本,"854,447,444.93","918,473,821.69","1,042,582,661.55","613,253,633.04","939,918,309.80","1,274,830,317.30","334,333,540.41","603,303,256.12","913,230,326.46","1,227,411,200.64","338,128,133.22","619,963,727.29","906,577,315.27","1,221,191,582.32","295,992,236.02","590,341,772.32","854,914,814.55","1,179,741,918.27","316,398,500.23","636,951,271.43","902,895,814.26","1,258,004,173.01","363,308,871.11","694,048,978.33","962,348,700.00","1,368,040,643.26","375,802,444.98","703,177,939.85","978,089,830.44"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,218,611.69","5,898,538.08","4,196,547.08","3,230,230.89","4,395,945.54","6,648,835.46","1,812,272.42","3,809,154.12","5,430,689.77","7,652,174.90","2,254,350.28","4,218,122.93","5,958,800.31","7,409,422.70","967,727.78","3,847,743.98","5,291,545.83","8,470,265.68","1,642,271.95","3,122,460.55","3,925,344.74","5,669,853.49","1,477,844.28","2,723,241.06","4,326,500.16","14,625,176.49","5,858,488.85","11,680,589.96","16,163,698.00"
营业外收入,"2,112,929.98","2,793,874.72","2,250,193.36","1,807,709.34","2,760,532.09","30,044,117.48","680,313.68","3,384,069.44","5,268,348.17","14,953,168.51","1,161,446.23","2,824,300.69","3,926,380.89","20,755,766.84","3,070,453.36","3,246,345.26","3,553,573.86","6,880,770.38","401,169.19","730,877.03","849,582.93","2,902,982.38","2,062,858.62","3,166,796.56","4,061,092.45","5,123,265.40","772,220.07","1,398,849.63","4,324,717.04"
销售费用,"119,978,669.38","118,390,595.09","117,621,277.77","86,214,937.49","125,112,909.70","157,084,042.63","33,527,753.46","77,951,114.23","124,979,019.32","164,173,009.95","42,075,115.97","79,851,567.31","118,258,496.03","184,059,622.23","53,939,339.69","99,282,249.59","143,532,260.66","232,499,391.35","48,762,165.95","103,553,261.54","137,165,051.43","188,270,013.37","44,783,685.38","85,386,374.10","126,663,283.94","183,834,800.78","43,075,312.27","76,367,195.27","112,738,074.86"
减:营业外支出,"1,568,183.26","834,352.88","1,852,882.03","855,887.36","1,886,914.36","1,903,762.98","63,549.43","82,460.32","186,568.31","225,512.43","364,000.00","1,486,088.00","1,651,516.82","1,744,326.82","109,801.27","126,412.70","209,203.89","315,431.22","166,979.63","509,100.01","700,968.05","838,875.18","123,000.00","540,641.60","1,048,296.46","1,201,378.72","167,247.43","217,555.24","1,549,274.89"
管理费用,"27,279,445.80","32,141,759.88","35,577,716.55","25,855,401.91","35,549,301.67","45,170,927.34","15,062,863.09","32,749,926.69","47,237,773.66","61,620,347.03","20,310,541.08","36,668,812.46","54,303,442.72","77,632,796.89","17,145,434.94","34,727,608.68","53,637,388.93","88,918,742.77","24,064,402.47","46,544,875.83","70,208,010.10","100,584,649.65","27,024,533.12","53,859,558.49","82,367,559.86","112,162,935.92","24,081,931.54","52,355,845.78","83,568,774.23"
其中:非流动资产处置净损失,,,"605,989.19","731,679.60",,"737,516.69",549.43,"1,441.99","1,441.99","1,441.99",,,,,,"8,030.64","8,178.83","8,178.83",,,"26,868.05","113,588.78",,,"450,381.52","472,393.42","167,247.43","167,247.43","167,247.43"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"13,164,863.98","-146,500.36","-2,307,027.43","6,283,562.23","9,777,709.95","15,015,660.79","1,989,929.08","-9,323,852.15","-16,891,280.88","-24,719,604.40","-5,173,685.22","-7,502,987.02","-8,977,437.57","-11,546,965.35","-1,296,389.10","149,901.28","2,877,980.41","1,516,279.92","1,469,879.69","3,835,853.99","6,789,240.20","9,373,585.76","4,153,917.19","6,431,855.14","10,461,851.22","13,796,826.55","2,509,643.46","6,137,587.59","10,197,694.13"
三、利润总额,"98,518,134.35","130,127,076.84","181,000,664.58","76,363,895.19","101,484,971.73","211,820,851.23","53,210,902.15","99,728,051.31","143,653,993.28","235,301,615.41","58,994,337.30","109,203,281.96","152,021,734.81","219,398,417.61","59,605,809.94","108,900,523.30","151,199,894.22","179,487,921.66","71,774,624.57","199,538,854.76","161,854,123.94","206,644,630.23","70,907,673.02","127,781,899.71","165,193,487.27","190,296,833.16","74,265,354.47","125,784,224.91","164,279,918.48"
资产减值损失,"-2,048,754.34","-1,289,725.80","-2,687,521.49","313,541.65","377,491.01","378,584.90",,"731,373.38","731,123.38","-148,561.54",,"366,138.57","366,138.57","-302,148.58",,"2,370,417.21","2,370,417.21","1,998,281.09",,"1,560,535.40","1,560,535.40","13,377,127.38",,"1,998,122.23","1,998,122.23","15,994,342.97",,"1,468,698.59","1,468,698.59"
减:所得税,"17,512,684.19","41,127,494.56","48,191,783.59","20,056,743.66","25,437,527.19","54,100,461.03","13,374,018.93","25,189,979.32","36,164,411.10","59,463,782.45","16,618,158.69","30,955,568.06","42,499,995.63","57,517,909.77","15,481,975.33","27,375,670.50","37,602,733.59","46,597,677.77","18,759,452.52","51,169,037.66","45,807,793.09","59,322,860.77","15,929,039.80","29,864,568.33","37,371,421.37","40,198,411.95","15,113,843.03","26,535,343.67","35,549,077.16"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,"394,841.77","586,218.84","809,718.89","176,293.40","266,293.40","-2,163,949.74","1,316,840.89","6,417,470.06","87,170,637.94","9,413,825.94","24,851,177.81","3,722,357.65","7,778,016.71","11,108,643.50","8,146,697.84","642,422.06","-256,825.23","4,836,897.62"
四、净利润,"81,005,450.16","88,999,582.28","132,808,880.99","56,307,151.53","76,047,444.54","157,720,390.20","39,836,883.22","74,538,071.99","107,489,582.18","175,837,832.96","42,376,178.61","78,247,713.90","109,521,739.18","161,880,507.84","44,123,834.61","81,524,852.80","113,597,160.63","132,890,243.89","53,015,172.05","148,369,817.10","116,046,330.85","147,321,769.46","54,978,633.22","97,917,331.38","127,822,065.90","150,098,421.21","59,151,511.44","99,248,881.24","128,730,841.32"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,"-2,430,243.14",,,"87,080,637.94","9,323,825.94","24,761,177.81","3,722,357.65","7,778,016.71","11,106,188.71","8,144,243.05","623,254.94","-275,992.35","-67,253.46"
归属于母公司所有者的净利润,"69,422,598.47","81,017,292.10","129,870,738.67","56,307,151.53","76,047,444.54","157,720,390.20","39,836,883.22","74,538,071.99","107,489,582.18","175,837,832.96","42,376,178.61","78,247,713.90","109,521,739.18","161,880,507.84","44,123,834.61","81,524,852.80","113,597,160.63","132,890,243.89","53,015,172.05","148,369,817.10","116,046,330.85","147,321,769.46","54,978,633.22","97,917,331.38","127,822,065.90","150,098,421.21","59,151,511.44","99,248,881.24","128,730,841.32"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"11,582,851.69","7,982,290.18","2,938,142.32",,,,,,,,,,,,,,,,,,,,,,,,,,
