科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"486,201,938.79","444,841,821.46","543,978,769.25","109,436,107.34","290,258,667.99","510,040,646.72","664,482,698.34","127,461,825.77","320,395,948.40","526,488,835.53"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,
收到的税费返还,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,
收到其他与经营活动有关的现金,"14,372,858.92","6,581,587.57","2,391,649.73","828,352.46","2,546,492.01","10,995,934.67","16,452,619.53","1,391,749.75","2,678,208.23","6,366,877.96"
投资活动现金流出小计,"35,310,060.12","64,442,346.20","22,482,150.24","2,975,553.50","111,119,160.60","211,067,268.04","312,281,629.03","97,313,470.40","136,242,318.52","174,489,394.64"
经营活动现金流入小计,"500,574,797.71","451,423,409.03","546,370,418.98","110,264,459.80","292,805,160.00","521,036,581.39","680,935,317.87","128,853,575.52","323,074,156.63","532,855,713.49"
投资活动产生的现金流量净额,"-35,290,060.12","-64,378,346.20","-22,384,150.24","-2,975,553.50","-111,051,160.60","-140,620,336.53","-171,351,409.85","43,328,611.80","35,078,421.22","-3,168,654.90"
购买商品、接受劳务支付的现金,"375,261,012.13","344,754,700.50","426,222,499.63","113,860,189.57","238,298,548.61","390,451,537.24","542,314,688.06","144,546,521.90","286,784,976.01","427,908,391.05"
吸收投资收到的现金,,,,"213,587,500.00","213,587,500.00","213,587,500.00","213,587,500.00",,,
支付给职工以及为职工支付的现金,"38,569,130.64","40,603,216.21","48,752,862.40","14,889,651.65","30,475,172.60","45,610,445.10","59,017,135.45","15,297,334.97","31,214,211.34","49,330,919.90"
取得借款收到的现金,,"40,000,000.00","20,000,000.00",,,,,,,
支付的各项税费,"15,710,218.14","16,813,593.43","6,350,735.27","5,774,539.94","11,808,538.50","18,767,731.68","22,616,943.54","3,344,233.25","7,950,579.99","14,889,210.20"
收到其他与筹资活动有关的现金,,,,,,,,,,
支付其他与经营活动有关的现金,"4,835,071.39","5,853,654.51","4,748,947.03","1,199,218.51","2,073,824.46","3,320,616.47","5,436,055.14","1,346,230.49","2,821,944.16","4,935,031.65"
筹资活动现金流入小计,"69,050,000.00","40,000,000.00","20,000,000.00","213,587,500.00","213,587,500.00","213,587,500.00","213,587,500.00",,,
经营活动现金流出小计,"434,375,432.30","408,025,164.65","486,075,044.33","135,723,599.67","282,656,084.17","458,150,330.49","629,384,822.19","164,534,320.61","328,771,711.50","497,063,552.80"
偿还债务支付的现金,"61,000,000.00",,"40,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,
经营活动产生的现金流量净额,"66,199,365.41","43,398,244.38","60,295,374.65","-25,459,139.87","10,149,075.83","62,886,250.90","51,550,495.68","-35,680,745.09","-5,697,554.87","35,792,160.69"
分配股利、利润或偿还利息支付的现金,"13,300,919.00","28,455,000.00","7,168,000.00","100,000.00","5,420,000.00","5,420,000.00","5,420,000.00",,"19,324,000.00","19,324,000.00"
收回投资收到的现金,,,,,,"70,000,000.00","140,000,000.00","140,000,000.00","170,000,000.00","170,000,000.00"
支付其他与筹资活动有关的现金,"1,858,874.20","408,600.90","405,866.40","142,711.90","3,758,908.50","3,758,908.50","4,998,908.50",,,
取得投资收益收到的现金,,,,,,"332,931.51","816,219.18","642,082.20","1,320,739.74","1,320,739.74"
筹资活动现金流出小计,"76,159,793.20","28,863,600.90","47,573,866.40","20,242,711.90","29,178,908.50","29,178,908.50","30,418,908.50",,"19,324,000.00","19,324,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"20,000.00","64,000.00","98,000.00",,"68,000.00","114,000.00","114,000.00",,,
筹资活动产生的现金流量净额,"-7,109,793.20","11,136,399.10","-27,573,866.40","193,344,788.10","184,408,591.50","184,408,591.50","183,168,591.50",,"-19,324,000.00","-19,324,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,,,"11,055.21","-2,669.72","157,432.99","-37,670.75","3,721,713.45","-702,304.62","-1,691,525.01","-2,984,600.51"
收到其他与投资活动有关的现金,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"20,000.00","64,000.00","98,000.00",,"68,000.00","70,446,931.51","140,930,219.18","140,642,082.20","171,320,739.74","171,320,739.74"
五、现金及现金等价物净增加额,"23,799,512.09","-9,843,702.72","10,348,413.22","164,907,425.01","83,663,939.72","106,636,835.12","67,089,390.78","6,945,562.09","8,365,341.34","10,314,905.28"
购建固定资产、无形资产和其他长期资产支付的现金,"35,310,060.12","64,442,346.20","22,482,150.24","2,975,553.50","11,119,160.60","41,067,268.04","72,281,629.03","27,313,470.40","66,242,318.52","104,489,394.64"
期初现金及现金等价物余额,"54,073,245.44","77,872,757.53","68,029,054.81","78,377,468.03","78,377,468.03","78,377,468.03","78,377,468.03","145,466,858.81","145,466,858.81","145,466,858.81"
投资支付的现金,,,,,"100,000,000.00","170,000,000.00","240,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00"
期末现金及现金等价物余额,"77,872,757.53","68,029,054.81","78,377,468.03","243,284,893.04","162,041,407.75","185,014,303.15","145,466,858.81","152,412,420.90","153,832,200.15","155,781,764.09"
