科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
处置交易性金融资产净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
质押贷款净增加额,"56,000,000.00","160,000,000.00","474,000,000.00",,,,,,,,,,,,,,,,,,,,"1,451,000,000.00",,"2,952,000,000.00","233,000,000.00","1,015,000,000.00",,"3,169,000,000.00",,"2,295,000,000.00",,"4,327,000,000.00",
拆入资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
购建固定资产、无形资产和其他长期资产支付的现金,"688,000,000.00","534,000,000.00","421,000,000.00","162,000,000.00","1,567,000,000.00","846,000,000.00","973,000,000.00","1,170,000,000.00","1,339,000,000.00","75,000,000.00","162,000,000.00","1,630,000,000.00","1,995,000,000.00","274,000,000.00","520,000,000.00","842,000,000.00","2,278,000,000.00","288,000,000.00","591,000,000.00","1,161,000,000.00","2,475,000,000.00","436,000,000.00","932,000,000.00","1,244,000,000.00","1,932,000,000.00","226,000,000.00","604,000,000.00","1,855,000,000.00","3,994,000,000.00","1,649,000,000.00","3,354,000,000.00","4,546,000,000.00","7,806,000,000.00","578,000,000.00"
回购业务资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"54,333,000,000.00","11,482,000,000.00","120,557,000,000.00","40,716,000,000.00","60,733,000,000.00","7,164,000,000.00","11,402,000,000.00","64,778,000,000.00","66,359,000,000.00","4,893,000,000.00","14,743,000,000.00","20,518,000,000.00","65,140,000,000.00","42,797,000,000.00","54,912,000,000.00","61,829,000,000.00","98,379,000,000.00","91,005,000,000.00","118,065,000,000.00","150,792,000,000.00","176,031,000,000.00","10,977,000,000.00","33,998,000,000.00",,"111,047,000,000.00","85,289,000,000.00","153,260,000,000.00","231,309,000,000.00","268,235,000,000.00","2,000,000.00","157,095,000,000.00","212,574,000,000.00","1,484,000,000.00","18,000,000.00"
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计,"140,312,000,000.00","79,500,000,000.00","238,883,000,000.00","126,512,000,000.00","220,331,000,000.00","62,681,000,000.00","104,243,000,000.00","188,122,000,000.00","219,260,000,000.00","41,764,000,000.00","103,350,000,000.00","151,314,000,000.00","271,886,000,000.00","96,405,000,000.00","146,227,000,000.00","179,799,000,000.00","271,995,000,000.00","149,470,000,000.00","243,989,000,000.00","355,959,000,000.00","437,801,000,000.00","86,891,000,000.00","214,205,000,000.00","252,841,000,000.00","389,262,000,000.00","154,413,000,000.00","304,061,000,000.00","436,391,000,000.00","524,471,000,000.00","108,748,000,000.00","263,246,000,000.00","350,844,000,000.00","191,230,000,000.00","62,276,000,000.00"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,"483,000,000.00",,"21,000,000.00",,"76,000,000.00",,"13,000,000.00",,"26,000,000.00",
投资活动产生的现金流量净额,"-41,803,000,000.00","-26,093,000,000.00","-71,722,000,000.00","-48,042,000,000.00","-85,894,000,000.00","-42,409,000,000.00","-59,115,000,000.00","-72,312,000,000.00","-81,382,000,000.00","-8,412,000,000.00","-30,906,000,000.00","-43,059,000,000.00","-57,118,000,000.00","-5,619,000,000.00","-16,131,000,000.00","-15,674,000,000.00","-38,544,000,000.00","16,360,000,000.00","33,164,000,000.00","39,657,000,000.00","39,809,000,000.00","-9,475,000,000.00","-25,689,000,000.00","-20,536,000,000.00","-26,314,000,000.00","7,266,000,000.00","15,706,000,000.00","13,059,000,000.00","19,285,000,000.00","350,000,000.00","-4,271,000,000.00","-10,876,000,000.00","-3,246,000,000.00","-10,759,000,000.00"
收到原保险合同保费取得的现金,"45,516,000,000.00","64,921,000,000.00","91,240,000,000.00","49,304,000,000.00","94,444,000,000.00","33,810,000,000.00","54,566,000,000.00","76,274,000,000.00","97,450,000,000.00","29,864,000,000.00","49,978,000,000.00","70,896,000,000.00","103,528,000,000.00","46,597,000,000.00","65,734,000,000.00","84,902,000,000.00","111,720,000,000.00","48,672,000,000.00","69,578,000,000.00","91,300,000,000.00","112,453,000,000.00","42,828,000,000.00","66,908,000,000.00","89,375,000,000.00","112,458,000,000.00","33,420,000,000.00","56,372,000,000.00","84,834,000,000.00","107,825,000,000.00","35,809,000,000.00","64,559,000,000.00","95,867,000,000.00","122,389,000,000.00","39,542,000,000.00"
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保业务现金净额,"152,000,000.00","247,000,000.00","166,000,000.00",,"505,000,000.00",,"241,000,000.00","578,000,000.00","939,000,000.00",,"405,000,000.00","424,000,000.00","450,000,000.00",,"1,000,000.00","1,000,000.00",,,,,,,"239,000,000.00","239,000,000.00","765,000,000.00",,"275,000,000.00","276,000,000.00","216,000,000.00","34,000,000.00",,,,"24,000,000.00"
吸收投资收到的现金,,,"14,026,000,000.00",,"11,643,000,000.00","59,000,000.00","59,000,000.00","59,000,000.00","59,000,000.00",,,,,,,,,,,,"783,000,000.00",,,,,,,,,"15,000,000.00","110,000,000.00","115,000,000.00","115,000,000.00","25,000,000.00"
保户储金及投资款净增加额,"5,865,000,000.00",,,,,"300,000,000.00","203,000,000.00",,,,"6,650,000,000.00","6,418,000,000.00","6,376,000,000.00","557,000,000.00","869,000,000.00","1,080,000,000.00","1,233,000,000.00","1,069,000,000.00",,,,"1,823,000,000.00","2,146,000,000.00","2,114,000,000.00","2,002,000,000.00","1,570,000,000.00","2,176,000,000.00","2,481,000,000.00","2,639,000,000.00","2,138,000,000.00","3,072,000,000.00","5,032,000,000.00","5,376,000,000.00","2,324,000,000.00"
发行债券收到的现金,,,,,"5,000,000,000.00",,,"10,000,000,000.00","10,000,000,000.00",,,,,,,,"4,000,000,000.00",,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"116,000,000.00","134,000,000.00","223,000,000.00","429,000,000.00","593,000,000.00","69,000,000.00","215,000,000.00","236,000,000.00","302,000,000.00","146,000,000.00","759,000,000.00","840,000,000.00","1,341,000,000.00","157,000,000.00","354,000,000.00","448,000,000.00","680,000,000.00","532,000,000.00","1,260,000,000.00","1,649,000,000.00","2,568,000,000.00","383,000,000.00","720,000,000.00","566,000,000.00","633,000,000.00","220,000,000.00","410,000,000.00","1,503,000,000.00","1,058,000,000.00","194,000,000.00","383,000,000.00","704,000,000.00","787,000,000.00","260,000,000.00"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
