科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
现金及存放同业款项,,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款,,,,,,,,,,,,,,,,,,,,,"200,000,000.00",,,,,,
货币资金,"10,056,073,977.60","9,674,284,096.44","7,183,802,101.68",,"7,916,810,150.77","7,774,842,513.81","7,438,455,546.05","6,670,899,839.54","6,455,225,219.37","5,817,364,904.48","5,572,557,043.45","5,586,654,570.24","6,061,564,412.55","10,014,079,291.62","7,534,696,458.33","15,960,700,716.40","26,582,097,627.80","30,028,528,653.77","19,835,107,971.74","19,247,701,164.34","15,622,148,902.15","13,759,748,104.63","14,587,007,497.45","14,570,546,978.44","13,681,248,043.66","12,021,557,316.97","10,499,431,350.46"
其中：质押借款,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：客户资金存款,"8,499,978,983.13","8,280,241,086.63","6,062,936,018.82","6,196,651,377.73",,,"5,431,982,475.91","5,470,645,492.10","5,348,622,920.54","5,060,930,787.05","5,043,556,315.09","4,960,722,151.09","5,450,793,286.21","8,762,266,480.32","5,907,694,210.40","12,850,623,615.57","21,959,917,715.82","21,298,310,144.18","16,001,182,650.77","14,693,422,067.46","12,710,790,275.41","11,876,805,137.70","11,053,210,930.84","10,850,528,643.77","9,812,546,320.77","9,864,596,656.34","8,949,943,642.21"
拆入资金,,,,,,,,,"60,000,000.00","120,000,000.00","222,000,000.00","382,000,000.00","482,000,000.00","506,000,000.00","1,894,000,000.00","1,068,000,000.00","1,894,000,000.00","1,628,000,000.00",,,,,"500,000,000.00",,,,
存放中央银行款项,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,"1,379,501,486.66","2,531,015,244.98","2,634,451,187.34","2,469,474,549.89","2,291,569,981.67","1,933,369,591.45"
结算备付金,"3,167,237,535.31","538,701,734.57","308,117,920.34","322,629,549.46","384,051,692.00","311,527,721.16","352,087,447.83","671,146,500.53","506,813,870.70","598,070,418.35","523,064,492.85","804,683,939.74","549,852,402.98","793,611,829.12","5,692,490,847.20","3,151,981,392.39","3,708,780,330.95","2,188,037,260.93","4,684,112,878.54","2,840,392,494.01","2,811,203,959.67","2,999,971,759.02","4,302,279,151.25","3,214,244,359.24","3,136,421,410.87","2,525,435,329.48","2,650,676,290.43"
衍生金融负债,,,,,,,,,,,,,,,,,"427,054.52","4,681,078.52","13,245,528.00","17,506,704.00","11,198,900.00","17,499,936.00","29,409,369.60","17,224,269.92","49,714,692.84","46,583,061.76","64,368,022.70"
