科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"26,171,196.84","48,445,329.90","39,381,400.28","25,107,141.57","43,498,451.95","31,373,196.09","70,002,210.72","27,172,731.90","36,888,424.01"
短期借款,,"10,453,087.70","51,026,420.80","92,578,950.24","108,531,578.73","80,831,403.95","14,380,576.00",,
交易性金融资产,,,"68,246.66",,,,,,
交易性金融负债,,,,,,,,,
应收票据,"55,745,374.25","61,745,495.10","37,333,905.31","61,611,405.70","62,775,795.71","62,892,333.15","72,774,329.61","74,668,279.97","65,558,869.06"
应付票据,"39,868,330.90","65,189,787.27","64,385,637.83","73,875,082.13","67,787,933.08","64,295,978.79","64,543,587.24","64,757,165.14","65,276,898.46"
应收账款,"118,524,847.57","143,192,055.68","164,980,410.00","164,116,289.22","185,414,916.62","210,960,515.09","185,902,861.28","216,669,697.90","215,666,415.91"
应付账款,"75,989,689.01","74,440,672.92","104,726,870.17","119,130,179.65","109,495,172.57","98,748,596.91","96,533,695.21","92,302,135.59","86,209,093.51"
预付款项,"2,431,871.36","5,632,072.49","10,171,896.33","11,381,177.21","14,127,245.10","13,344,658.38","11,372,898.73","10,718,414.48","8,448,822.73"
预收款项,"3,863,306.55","16,605,723.15","16,792,091.07","18,208,914.36","16,473,572.84","61,893,625.82","53,522,598.70","75,151,917.23","18,486,397.35"
其他应收款,"3,627,235.00","1,134,228.41","993,740.00","775,620.00","743,970.00","190,074.52","154,210.92","5,649,018.56","18,597,795.80"
应付职工薪酬,"10,802,305.50","17,724,436.62","18,367,126.95","12,688,074.77","16,362,256.86","21,019,882.39","11,733,922.16","14,524,453.00","18,498,273.00"
应收关联公司款,,,,,,,,,
应交税费,"12,239,991.30","5,609,751.69","6,259,474.74","3,734,609.99","15,187,360.12","6,403,407.28","6,492,622.63","5,458,901.83","9,011,530.30"
应收利息,,,"28,291.67",,,,,"3,882,219.30","2,932,255.07"
应付利息,,"120,716.60","28,156.94","110,417.34","85,467.27","145,242.39",,,
应收股利,,,,,,,,,
应付股利,"6,128,277.63",,,"18,294,135.00","16,272,781.80",,,,
存货,"64,562,396.25","89,580,259.41","104,557,244.10","143,918,931.67","137,953,698.34","151,633,380.16","162,970,881.97","168,189,701.68","141,891,017.75"
其他应付款,"37,249,578.14","819,908.60","871,080.20","725,674.70","542,951.24","509,356.09","761,484.26","630,203.21","787,593.38"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,
其他流动资产,"38,150,000.00",,"11,480,000.00","1,341,171.10","8,000,000.00",,"340,000,000.00","337,900,000.00","335,700,000.00"
其他流动负债,,,,,,,,,
流动资产合计,"309,212,921.27","349,729,440.99","368,995,134.35","408,251,736.47","452,514,077.72","470,394,157.39","843,177,393.23","844,850,063.79","825,683,600.33"
流动负债合计,"186,141,479.03","190,964,084.55","262,456,858.70","339,346,038.18","350,739,074.51","333,847,493.62","247,968,486.20","252,824,776.00","198,269,786.00"
可供出售金融资产,,,,,,,,,
长期借款,,"39,012,269.56",,,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
