科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"214,997,062.85","288,116,595.17","47,395,624.74","286,371,728.93","48,035,519.23","137,843,186.60","214,445,795.84","301,705,549.37","60,628,641.14","161,197,478.21","254,483,640.22","377,715,528.25","75,940,186.14","206,238,198.60","314,996,619.26","445,780,050.13","94,926,326.20","229,787,724.61","352,452,563.59","511,119,180.90","107,366,230.09","225,202,979.26","336,101,594.82","465,606,404.42","104,613,002.80","200,327,355.12","280,189,023.27","427,522,273.61","136,713,185.88","291,962,846.83","428,444,323.99","600,482,796.93","153,188,756.20","320,990,798.61","519,492,385.36","755,661,421.21","247,514,357.24","507,837,335.00","870,085,852.29","1,087,464,010.13","414,127,140.46"
二、营业利润,"30,325,988.52","35,069,508.99","3,619,947.39","45,745,975.93","4,834,908.99","21,800,593.75","34,561,558.83","49,154,513.63","5,145,422.51","24,368,734.14","38,962,693.74","56,637,150.49","9,554,377.12","32,497,999.44","50,829,294.78","73,893,552.88","13,505,261.29","35,496,731.67","51,326,684.37","72,957,214.40","13,632,305.98","30,810,151.90","42,203,545.29","57,944,653.25","10,154,763.63","16,997,283.79","20,804,574.84","16,060,271.99","16,609,709.52","26,189,809.08","30,901,772.71","50,241,791.76","16,131,481.65","26,661,455.51","36,701,280.25","64,970,972.94","24,290,532.07","42,276,283.20","62,307,529.44","97,025,579.73","56,538,980.62"
减:营业成本,"130,906,501.79","181,633,215.84","30,627,151.95","171,983,103.14","28,376,263.74","79,157,357.56","122,575,011.28","174,345,562.32","38,236,103.56","96,675,010.43","153,968,594.48","229,717,894.28","46,068,461.36","124,948,267.76","188,610,161.79","264,758,597.71","54,408,459.29","139,992,879.80","217,673,838.73","314,994,829.62","67,896,362.61","143,096,978.11","208,090,649.02","294,494,327.63","72,255,788.69","129,615,205.70","178,479,404.32","284,211,948.09","82,635,411.86","176,789,664.43","262,879,150.22","355,670,736.77","102,518,448.56","207,513,969.62","335,759,924.16","479,325,767.79","171,362,749.36","345,260,682.28","599,796,284.78","738,108,454.90","284,582,030.11"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"471,878.05","518,378.32","66,802.50","595,517.62","70,635.14","267,776.44","325,795.21","933,086.57","90,849.14","618,267.19","911,776.61","1,998,437.34","328,285.14","1,287,957.72","1,719,642.42","2,698,923.46","814,496.63","1,779,844.70","2,979,334.40","4,124,792.72","984,311.02","1,968,677.03","3,282,884.02","4,810,552.54","978,797.74","1,136,559.61","1,595,310.17","2,790,618.93","1,217,299.30","4,021,170.08","4,695,469.37","9,421,357.18","2,192,899.84","5,418,972.46","7,929,663.41","10,036,053.71","2,673,860.87","5,267,603.04","8,557,323.41","10,675,958.21","4,807,285.63"
营业外收入,"3,081,217.36","1,365,501.83","1,633,903.90","3,305,652.08","1,738,812.52","2,998,650.02","3,249,985.98","5,948,423.63","2,575,512.98","3,563,963.46","4,511,364.47","5,660,601.98","824,080.05","2,135,661.33","2,356,962.43","3,711,970.09","1,095,140.93","2,278,775.70","3,654,736.63","4,777,402.85","1,714,840.93","3,735,012.78","5,276,531.86","6,423,031.71","1,603,014.49","2,474,508.88","3,531,823.14","6,039,787.80","1,082,174.26","2,436,872.44","6,848,273.37","12,717,959.01","1,452,899.13","4,068,645.38","8,027,426.46","12,017,005.18","2,193,597.20","7,399,362.29","13,776,078.39","22,670,332.24","3,576,073.80"
销售费用,"26,857,285.64","34,676,426.01","6,200,285.34","33,067,052.16","8,036,812.60","18,798,235.36","27,662,319.11","38,111,317.90","8,906,753.87","18,443,090.26","27,859,653.46","45,778,151.18","12,738,603.99","24,692,948.23","36,921,958.33","49,970,670.10","15,316,976.83","22,725,995.69","34,146,792.30","54,326,471.66","12,285,950.22","22,741,412.53","33,905,730.31","51,301,593.65","7,457,009.16","20,919,000.38","34,151,548.11","50,050,653.55","13,625,011.72","27,092,450.86","43,695,531.88","62,135,100.36","9,791,042.32","29,817,319.88","50,143,380.33","74,783,185.92","21,692,275.86","50,940,291.28","80,379,760.63","112,180,478.73","34,508,441.49"
减:营业外支出,"626,606.53","422,750.00",,"543,200.00","106,000.00","333,000.00","949,912.00","1,889,642.80","11,905.00","352,577.49","614,793.50","2,036,350.79","306,817.00","306,817.00","812,777.89","1,273,740.89","291,433.97","252,433.97","284,987.32","879,115.90",,"200,300.46","229,177.40","2,179,177.40",,"200,000.00","250,000.00","2,753,236.47","50,000.00","102,252.86","409,195.82","1,154,516.40","50,000.00","416,731.19","557,104.47","3,327,146.90","54,245.22","182,306.89","970,446.75","1,461,134.57","1,003,274.87"
管理费用,"22,861,550.81","31,603,161.53","6,262,819.39","31,059,468.47","6,399,476.06","13,900,021.86","26,762,125.67","38,093,172.24","7,865,266.74","24,395,945.00","34,554,088.44","45,645,009.07","9,749,484.47","26,238,273.89","38,090,212.80","55,470,893.59","13,115,060.73","29,927,726.32","47,410,901.35","62,606,984.73","13,949,804.06","30,797,089.84","52,912,546.34","59,527,852.36","16,254,888.02","34,852,758.13","47,583,134.51","66,713,260.90","21,448,778.20","48,990,810.80","73,100,023.13","97,483,375.12","19,049,391.95","44,857,592.84","76,119,967.09","104,700,262.60","25,161,161.22","60,098,902.74","54,524,848.16","65,619,664.95","17,583,963.78"
其中:非流动资产处置净损失,"121,969.78",,,,,,,"60,730.80",,"188,141.49",,"170,691.23",,,,"102,626.89",,,,"111,681.93",,,,677.40,,,,,,,,"315,880.56",,,,,,,,,
