科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"377,350,164.98","577,069,085.38","453,927,046.19","611,165,885.77","850,143,318.61","231,294,378.18","516,431,953.84","755,376,471.06","948,173,790.19","182,213,805.19","402,517,747.84","598,262,030.76","750,821,907.05","183,430,906.57","428,790,285.64","676,566,745.95","918,130,795.99","242,718,845.39","557,327,618.56","830,179,942.32","1,052,358,686.82","175,098,728.93","427,591,148.17","645,703,531.75","858,213,626.98","161,434,995.36","382,216,290.61","564,747,154.03","818,892,109.76","247,655,172.10","545,518,601.33","801,028,420.04","1,084,725,284.14","249,859,526.37","544,973,104.96","853,464,609.31","1,155,277,695.03","302,132,090.51"
二、营业利润,"38,770,263.86","48,392,787.94","37,616,907.61","48,410,341.95","65,507,728.04","14,513,662.31","36,523,778.76","55,879,558.51","63,494,404.22","1,468,183.92","9,665,414.81","16,379,299.69","3,405,933.48","520,609.00","5,564,972.07","6,878,686.74","8,147,481.93","662,991.18","7,090,297.42","9,009,328.11","-19,881,823.38","1,762,192.62","2,923,888.27","1,001,412.16","7,939,122.28","-7,635,961.69","-12,466,906.52","626,913.65","-5,099,723.82","1,150,807.77","3,091,253.47","-12,657,217.41","2,001,502.27","4,965,000.08","9,552,014.72","16,763,942.66","20,915,431.99","6,895,384.16"
减:营业成本,"309,449,608.01","478,069,894.83","369,442,707.19","515,203,706.84","717,101,547.03","195,908,866.29","437,287,713.08","640,426,565.07","805,256,005.14","162,624,163.96","352,631,891.59","520,055,406.82","671,616,608.51","163,083,034.09","378,263,685.56","600,135,387.18","815,785,063.42","221,401,053.05","504,048,712.85","750,150,464.29","971,855,750.12","155,790,640.62","386,231,426.05","582,636,120.29","762,454,856.67","144,942,348.01","343,218,874.09","510,853,978.47","734,014,751.91","226,941,567.21","493,150,950.02","725,059,333.32","973,475,327.64","222,450,749.19","488,112,743.16","763,965,623.65","1,029,272,675.93","268,222,055.09"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"950,241.00","1,630,644.86","1,762,898.09","1,312,794.17","1,828,964.28","364,625.63","1,096,956.38","1,687,342.41","2,241,123.91","600,822.62","1,155,183.58","1,462,187.93","2,062,438.10","355,355.17","935,376.65","1,118,963.14","1,642,126.29","435,515.54","1,281,653.50","1,793,469.67","2,282,113.10","289,435.41","698,634.99","1,335,728.26","2,570,080.00","659,948.42","962,510.50","1,304,333.54","3,883,409.78","939,404.06","2,647,998.73","4,293,714.18","6,200,655.49","1,149,736.11","2,461,353.30","4,578,606.82","6,015,378.86","2,116,140.72"
营业外收入,"113,320.15","1,601,916.97","7,517,252.97","594,090.25","1,135,526.26","47,329.59","147,329.59","3,045,329.59","3,557,829.59","9,461,609.02","11,498,341.35","16,486,007.27","17,433,797.73","50,980.00","579,062.87","3,500,362.87","3,915,320.15","130,890.00","499,001.22","896,499.01","3,732,996.28","94,025.00","91,025.00","1,258,538.19","3,665,731.36","5,069,671.98","2,297,461.05","1,789,003.42","2,911,022.25","15,454,517.93","15,757,397.63","16,094,639.24","192,335.52","16,200.00","16,200.00","41,616.00","628,021.34",
销售费用,"10,004,044.65","16,901,978.83","16,156,565.17","17,072,512.08","24,824,440.86","6,348,081.88","13,565,133.14","19,496,804.23","27,343,763.78","4,594,599.73","9,562,054.18","16,385,419.38","23,530,070.93","4,695,879.74","11,229,240.02","17,946,888.49","23,951,277.31","4,508,500.08","10,225,768.35","16,773,039.07","22,466,395.79","3,887,513.87","7,991,064.73","13,501,713.16","19,698,029.67","4,657,003.58","9,748,828.71","13,467,743.76","22,641,012.78","4,417,109.95","10,089,293.26","15,855,154.20","24,361,404.06","4,796,070.79","12,102,536.06","19,271,867.16","27,658,105.65","7,269,988.77"
减:营业外支出,"350,800.00","1,043,587.00","108,828.08","122,665.36","122,280.41","5,539.36","5,539.36","209,006.57","209,791.95",553.00,"93,238.90","103,257.12","162,078.44","11,621.24","36,871.05","145,653.62","172,909.56","20,000.00","27,369.65","86,810.41","262,289.09","26,050.00","26,972.68","77,858.16","528,008.58","41,371.25","135,170.61","135,169.11","135,170.61","31,066.53","264,863.73","337,417.42","312,972.69","221,820.00","225,820.00","263,641.00","414,764.06","48,841.87"
管理费用,"15,226,634.29","21,073,823.79","22,388,870.02","21,099,689.96","29,535,299.04","8,439,817.57","17,105,541.12","27,340,498.62","42,378,544.43","14,395,951.88","30,796,629.29","47,650,434.36","56,818,962.55","14,997,237.73","31,463,084.09","49,069,793.66","68,352,664.32","16,769,086.44","35,301,402.82","52,035,582.89","70,390,531.52","16,535,910.47","30,880,751.70","47,169,986.50","66,939,407.98","17,678,331.88","37,694,666.27","41,462,649.96","71,666,031.42","14,673,449.27","34,966,999.74","71,909,066.29","95,374,952.37","16,678,880.04","34,182,817.22","38,038,885.62","45,011,013.74","9,031,616.69"
其中:非流动资产处置净损失,,,,,"21,780.59",,,"9,006.57","9,791.95",,,"103,257.12","162,078.44",,,"144,813.97","129,819.91",,,,"23,550.04",,,,"461,008.58",,"6,969.11",,"6,969.11",,"239,863.73",,,,,,,
