科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"194,133,550.43","240,028,459.90","261,955,582.28","49,002,792.62","140,164,277.27","253,672,842.56","378,225,977.89","62,341,996.61","206,226,035.67","400,874,108.11","741,314,476.23","149,887,366.73","431,972,649.43","760,994,809.71","1,241,960,602.36","137,079,804.94"
二、营业利润,"45,521,189.78","49,541,365.93","55,214,544.14","6,890,037.82","21,709,399.00","39,021,478.52","66,325,681.86","5,190,553.43","37,911,643.04","83,688,014.97","149,976,932.00","21,829,493.44","84,910,071.89","138,368,181.90","229,330,131.61","176,570.68"
减:营业成本,"103,297,309.36","139,622,046.55","151,273,578.16","30,300,184.13","88,444,089.51","163,060,452.42","237,058,389.96","39,407,043.52","125,698,958.41","248,936,431.96","464,212,422.58","99,254,913.21","271,069,018.73","486,978,571.70","794,564,421.43","97,959,026.11"
加:补贴收入,,,,,,,,,,,,,,,,
营业税金及附加,"2,126,664.36","1,937,313.61","2,418,649.94","174,088.62","726,221.70","1,535,907.52","3,428,203.24","975,119.01","2,785,057.92","4,747,965.91","7,988,302.16","1,880,095.38","3,712,145.17","5,027,867.84","8,861,092.96","601,552.11"
营业外收入,"2,357,850.66","3,162,568.06","3,884,608.27","491,182.15","1,978,332.68","2,373,994.68","4,922,763.27","381,779.34","1,863,027.99","306,430.32","452,965.05","169,850.52","128,999.54","327,752.82","2,855,449.43","143,716.04"
销售费用,"9,590,008.72","13,519,482.08","16,968,747.99","3,510,601.19","8,949,700.26","14,053,925.30","22,166,832.64","5,058,876.42","13,719,924.09","25,439,877.12","40,525,966.79","13,043,395.87","31,156,571.61","49,716,708.25","79,567,191.00","19,376,657.48"
减:营业外支出,"303,257.88","131,562.65","19,100.35","10,600.01","10,535.34","10,635.34","29,662.58","7,798.20","14,910.85","586,326.52","205,342.87","31,592.13","107,780.92","307,544.73","1,006,339.12","16,201.06"
管理费用,"30,361,203.26","32,829,166.46","35,155,797.65","8,302,263.40","18,146,299.83","31,668,942.46","45,886,324.67","12,356,844.69","27,419,416.63","48,232,398.96","83,525,190.30","24,362,110.06","53,952,996.25","57,725,550.79","82,944,834.52","20,384,415.35"
其中:非流动资产处置净损失,"237,540.98","58,716.89",,,,,,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,
财务费用,"743,337.50","-225,964.08","-18,946.10","-202,513.97","-338,301.66","-934,903.53","-1,855,073.24","-389,704.40","-691,964.45","186,502.23","989,292.04","2,717,870.87","5,785,952.39","9,482,578.05","14,754,441.92","3,931,871.07"
三、利润总额,"47,575,782.56","52,572,371.34","59,080,052.06","7,370,619.96","23,677,196.34","41,384,837.86","71,218,782.55","5,564,534.57","39,759,760.18","83,408,118.77","150,224,554.18","21,967,751.83","84,931,290.51","138,388,389.99","231,179,241.92","304,085.66"
资产减值损失,"2,493,837.45","2,805,049.35","943,210.50","28,131.43","2,526,868.63","5,267,039.87","5,215,618.76","-256,736.06","-616,999.97","-10,620.30","8,066,132.07","-929,827.04","4,033,774.89","8,406,052.30","91,467,171.11","-5,995,100.28"
减:所得税,"6,796,615.20","8,033,677.25","7,826,385.44","1,036,364.01","4,168,450.38","7,567,521.37","10,574,540.66","734,061.89","6,374,589.06","9,460,628.66","21,442,751.35","4,645,582.39","13,171,409.77","22,000,689.75","32,927,961.12","1,071,895.41"
加:公允价值变动净收益,,,,,,,,,,,,,,,"80,674,926.69",
加:影响净利润的其他科目,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,"4,320.15","45,564.01",,"1,367,557.95","2,173,633.32","3,145,457.95","239,567.14"
四、净利润,"40,779,167.36","44,538,694.09","51,253,666.62","6,334,255.95","19,508,745.96","33,817,316.49","60,644,241.89","4,830,472.68","33,385,171.12","73,947,490.11","128,781,802.83","17,322,169.44","71,759,880.74","116,387,700.24","198,251,280.80","-767,809.75"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"40,945,065.25","45,305,830.58","50,047,636.07","5,922,183.23","17,587,343.93","31,351,704.06","56,366,791.21","4,902,479.20","32,223,624.31","71,926,742.75","125,654,981.90","17,170,426.28","70,893,841.02","115,284,550.20","196,131,237.12","-805,270.20"
影响营业利润的其他科目,,,,,,,,,,,,,,,,
少数股东损益,"-165,897.89","-767,136.49","1,206,030.55","412,072.72","1,921,402.03","2,465,612.43","4,277,450.68","-72,006.52","1,161,546.81","2,020,747.36","3,126,820.93","151,743.16","866,039.72","1,103,150.04","2,120,043.68","37,460.45"
