科目,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"33,461,182.06","91,757,319.40","105,680,207.75",,"434,252,940.48","154,001,928.15","182,847,060.35","156,132,080.93","116,316,891.91","174,908,255.96","167,643,958.92","213,705,423.39","224,107,509.75","271,535,585.82","484,867,449.74","497,521,701.60","241,985,004.86","376,741,250.53","438,414,623.27","238,479,657.47","108,145,611.43"
短期借款,"80,000,000.00","96,900,000.00","100,000,000.00",,"80,000,000.00",,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,"85,410,735.13","119,964,807.06","151,344,450.00",,"158,027,815.63","176,063,234.18","160,765,252.17","169,414,007.52","231,535,357.03","229,604,004.46","165,766,599.84","193,774,368.14","209,506,965.13","200,638,371.77","160,492,955.37","106,702,811.66","106,940,637.93","187,527,286.21","214,406,015.90","129,890,431.69","88,930,879.94"
应付票据,,,,,,,,,,,,,,,,,,,,,
应收账款,"58,950,095.09","36,696,080.03","23,036,906.89",,"21,378,323.94","22,193,539.86","18,514,250.06","22,535,120.43","14,133,484.69","13,484,479.51","10,258,513.07","12,680,691.72","12,517,888.14","21,620,488.69","21,439,103.90","24,784,757.93","24,052,596.46","39,516,528.89","30,968,290.24","46,815,834.07","32,139,693.37"
应付账款,"11,860,639.87","45,240,768.62","16,181,997.42",,"24,931,019.03","33,525,460.53","33,549,407.66","43,859,209.30","47,548,238.19","42,809,447.31","28,800,276.70","27,321,493.61","45,825,024.31","69,273,700.94","26,970,851.42","33,437,543.67","29,609,152.78","28,518,319.88","50,271,577.77","38,469,693.36","36,610,575.60"
预付款项,"20,064,384.95","14,157,815.73","4,223,525.54",,"3,152,245.78","29,299,760.55","3,092,405.20","9,881,910.63","11,718,967.86","6,953,444.89","2,595,634.58","4,272,873.60","3,592,691.75","3,918,957.95","4,092,328.13","7,956,209.30","5,620,955.55","8,112,124.88","21,870,267.90","26,812,966.74","31,868,488.39"
预收款项,"3,709,198.67","897,102.42","26,490,542.89",,"29,813,775.60","26,378,101.41","33,250,811.88","18,391,497.34","23,316,137.36","58,209,803.72","36,045,326.95","61,520,338.63","106,307,386.41","127,455,938.35","141,832,645.74","112,917,660.76","79,708,282.31","100,256,200.21","94,388,190.29","95,121,044.49","41,465,460.27"
其他应收款,"1,169,645.22","3,443,325.93","1,794,403.02",,"1,772,814.09","1,764,225.12","2,978,365.02","3,419,303.71","3,007,689.66","3,259,997.78","2,371,587.40","3,406,440.16","4,094,930.39","3,664,688.19","3,267,142.64","3,896,567.41","4,326,644.21","5,502,315.84","3,614,599.65","3,878,323.95","4,275,054.38"
应付职工薪酬,,,,,,,"5,184,500.00",,"5,795,360.76","6,071,939.30","14,116,622.21","4,807,455.22","4,041,786.38","4,743,268.51","19,225,023.91","7,898,602.15","8,115,436.99","3,987,105.59","13,995,794.15","733,221.48","671,751.03"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,
应交税费,"8,257,931.39","4,571,916.81","6,224,353.00",,"10,133,200.88","10,987,271.28","7,326,165.58","19,093,717.13","23,680,848.86","13,955,733.21","7,834,825.33","13,069,638.82","8,935,494.56","34,876,674.09","33,640,062.87","13,185,869.08","19,870,788.26","30,356,043.17","28,897,564.42","20,591,835.71","12,866,264.77"
应收利息,,,,,,,,,,,,,,,,,,,,,
应付利息,"167,439.30","342,586.40","329,083.15",,"267,499.70",,,,,,"61,354.17","175,472.92","159,520.84","159,520.84",,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,"769,230.60"
存货,"32,762,077.90","33,944,417.56","28,932,242.77",,"29,515,894.58","35,407,213.38","37,927,535.25","36,725,039.61","42,133,809.45","45,458,813.16","44,892,146.37","49,260,813.79","60,029,982.74","56,251,444.07","62,916,192.68","73,555,570.74","90,955,868.55","93,401,436.03","100,444,933.73","104,666,118.21","119,414,311.03"
其他应付款,"16,437,345.36","14,373,274.55","15,032,450.98",,"37,728,961.17","18,976,740.93","16,824,784.04","19,275,910.24","17,452,087.68","24,351,494.50","216,055,726.51","157,128,010.68","130,186,665.87","133,156,827.11","26,214,141.41","21,157,567.82","22,748,751.17","27,961,405.24","24,572,197.79","25,470,112.46","16,444,449.14"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,"11,000,000.00",,"11,000,000.00",,,,,,,,,,,,,,,,
其他流动资产,,,,,,"80,000,000.00","80,311,354.15","80,458,465.06","40,614,104.40","41,048,486.54","2,751,716.90","1,966,168.84","4,821,116.11","104,589,845.79","205,483,468.89","206,345,616.53","359,782,801.81","209,458,975.71","147,685,221.14","416,220,449.21","467,814,212.73"
其他流动负债,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"231,818,120.35","299,963,765.71","315,011,735.97","327,356,100.00","648,100,034.50","498,729,901.24","486,436,222.20","478,565,927.89","459,460,305.00","514,717,482.30","424,184,548.00","506,971,170.56","546,037,942.77","662,219,382.28","942,558,641.35","920,763,235.17","833,664,509.37","920,259,918.09","957,403,951.83","966,763,781.34","852,588,251.27"
流动负债合计,"120,432,554.59","162,325,648.80","175,258,427.44","201,945,400.00","193,874,456.38","89,867,574.15","96,135,669.16","100,620,334.01","117,792,672.85","145,398,418.04","302,914,131.87","264,022,409.88","295,455,878.37","369,665,929.84","247,882,725.35","188,597,243.48","160,052,411.51","191,079,074.09","212,125,324.42","180,385,907.50","108,827,731.41"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,
长期借款,"5,000,000.00","80,000,000.00","69,000,000.00",,"69,000,000.00",,,,,,"50,000,000.00","130,000,000.00","130,000,000.00","130,000,000.00",,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,"13,306,215.95",,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,"13,326,026.91",,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,
固定资产,"64,482,101.21","59,433,866.22","238,202,729.18",,"243,033,571.31","241,863,048.63","281,002,530.93","281,444,617.49","293,869,980.09","292,423,015.18","455,969,733.04","473,883,933.67","471,953,280.39","468,234,960.02","492,760,982.79","519,895,798.77","515,237,834.95","504,153,053.85","537,401,872.95","529,535,009.93","523,472,801.29"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,
在建工程,"4,369,980.49","131,069,296.85","12,883,094.87",,"49,645,452.67","63,327,238.09","50,019,444.70","72,140,034.01","82,333,754.19","100,590,365.00","53,392,218.21","56,726,112.59","57,871,609.07","76,341,553.66","70,655,656.30","49,242,781.74","107,622,330.88","122,232,382.97","127,714,918.92","134,499,111.62","150,653,317.93"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"5,000,000.00","80,000,000.00","69,000,000.00","69,000,000.00","82,326,026.91","13,306,215.95","13,306,215.95","13,306,215.95","25,827,047.89","25,827,047.89","80,452,789.89","160,452,789.89","168,593,076.89","130,000,000.00",,,,,,,
固定资产清理,,,,,,,,,,,,,,,,,,,,,
负债合计,"125,432,554.59","242,325,648.80","244,258,427.44","270,945,400.00","276,200,483.29","103,173,790.10","109,441,885.11","113,926,549.96","143,619,720.74","171,225,465.93","383,366,921.76","424,475,199.77","464,048,955.26","499,665,929.84","247,882,725.35","188,597,243.48","160,052,411.51","191,079,074.09","212,125,324.42","180,385,907.50","108,827,731.41"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"49,000,000.00","49,000,000.00","49,000,000.00","49,000,000.00","65,350,000.00","65,350,000.00","65,350,000.00","65,350,000.00","163,375,000.00","163,375,000.00","163,375,000.00","163,375,000.00","163,375,000.00","163,375,000.00","177,248,626.00","177,248,626.00","248,148,076.00","248,148,076.00","248,148,076.00","248,148,076.00","322,592,499.00"
油气资产,,,,,,,,,,,,,,,,,,,,,
资本公积,"40,627,940.84","40,627,940.84","40,627,940.84",,"331,019,890.84","331,019,890.84","331,019,890.84","331,019,890.84","298,344,890.84","298,344,890.84","298,344,890.84","298,344,890.84","298,344,890.84","298,344,890.84","765,279,377.61","765,279,377.61","703,126,003.44","703,126,003.44","694,379,927.61","694,379,927.61","619,935,504.61"
无形资产,"26,538,787.04","25,827,706.44","31,328,370.53",,"30,903,619.23","30,707,127.16","30,524,365.81","31,379,221.84","31,138,205.84","30,897,189.84","60,776,042.26","60,123,365.40","59,399,341.16","58,660,245.13","57,952,929.11","57,212,564.08","56,472,199.05","55,895,200.95","57,446,613.53","56,644,119.20","55,841,624.87"
盈余公积,"13,332,072.79","22,420,667.05","32,828,910.51",,"32,828,910.51","32,828,910.51","45,960,772.70","45,960,772.70","45,960,772.70","45,960,772.70","65,829,941.09","65,829,941.09","65,829,941.09","65,829,941.09","92,739,602.23","92,739,602.23","92,739,602.23","92,739,602.23","108,315,534.88","108,315,534.88","108,315,534.88"
开发支出,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,"228,783,780.57","228,783,780.57","228,783,780.57","228,783,780.57","228,783,780.57","228,783,780.57","228,783,780.57","228,783,780.57","178,157,244.81","178,157,244.81","178,157,244.81"
未分配利润,"98,988,655.40","162,166,003.77","230,850,194.94",,"266,418,513.63","302,383,122.41","320,568,187.13","362,631,497.24","293,072,927.87","335,449,531.78","364,071,880.91","416,278,797.64","414,496,457.80","517,464,014.04","558,965,851.61","609,029,065.09","558,855,350.48","615,537,942.71","606,439,484.97","647,291,968.66","607,691,880.60"
长期待摊费用,,,,,,,,,,,,,,,,,,,,,
少数股东权益,,,,,,,,,,,,,,,,,,,,,
递延所得税资产,"172,234.53","245,625.24","139,543.18",,"135,120.56","128,398.74","886,452.54","114,688.72","99,922.37","91,866.19","397,740.47","392,350.91","344,211.58","355,169.00","157,067.56","163,435.63","162,251.34","182,489.63","386,544.44","392,564.47","361,235.53"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,
