科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"27,427,280.19","42,000,058.77","64,054,999.06","85,796,624.33","103,336,413.96","311,851,891.99","265,406,539.72","254,549,106.18","275,474,613.25","310,369,462.32","334,904,109.47","246,070,202.83","271,807,102.82","297,195,106.53","235,232,592.03","225,670,196.44","235,473,959.48","222,761,680.34","143,204,307.68","176,208,616.79","185,814,251.32","270,089,788.87","369,139,572.44"
短期借款,"10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,006,158.07","12,198,373.44","14,073,324.83","10,146,646.52","17,817,537.28","3,240,222.69","13,877,444.44","10,103,605.36","31,563,070.61","14,883,074.11","17,670,216.65","15,325,701.20","34,808,634.24","11,407,488.61","21,473,550.95","22,347,258.42","37,317,958.22","17,927,299.98","27,470,755.72","22,781,382.30","40,727,601.58","21,952,571.64","39,135,100.64"
应付票据,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"21,982,210.85","35,020,187.48","49,054,770.17","55,800,558.70","58,464,144.35","76,761,630.29","68,339,067.99","90,236,914.28","62,136,393.74","72,817,466.18","66,658,721.38","94,254,678.29","65,330,728.60","82,808,633.88","72,046,588.52","100,868,058.94","76,791,897.83","92,598,093.57","86,337,906.74","121,167,717.73","101,673,254.68","117,249,657.52","118,577,369.45"
应付账款,"737,102.66","625,198.18","630,027.91","1,186,276.85","596,983.09","1,042,466.17","1,418,821.94","783,095.11","999,005.21","960,844.77","1,299,311.29","1,139,378.34","598,406.36","1,145,064.63","1,178,525.57","1,081,810.34","1,027,075.68","947,345.35","1,080,150.26","1,005,952.46","1,380,330.61","877,354.58","2,532,538.94"
预付款项,"326,745.39","482,017.65","1,765,497.11","3,761,526.43","5,985,787.71","1,086,266.39","364,690.17","405,237.80","626,882.00","760,207.28","712,995.89","71,733.89","1,305,941.35","1,150,904.96","1,728,729.66","2,877,794.87","1,648,396.94","3,630,778.19","2,594,107.24","4,025,617.61","4,448,830.53","4,034,953.35","5,320,129.23"
预收款项,"22,803.80","20,732.11","90,629.67","109,548.66","66,915.20","137,826.40","44,696.00","81,986.50","41,914.50","31,914.50","59,915.50","132,303.30","34,626.23","47,475.95","86,172.33","2,062,994.29","2,065,247.13","2,034,461.93","2,184,124.48","2,107,595.84","96,600.08","121,924.98","181,035.71"
其他应收款,"648,512.30","969,843.58","863,334.42","976,222.56","1,512,473.53","1,845,674.89","2,318,304.71","5,615,370.83","3,634,572.43","3,564,330.79","4,232,663.12","2,662,572.31","1,871,934.53","2,667,162.95","2,389,002.27","3,359,960.93","1,633,637.48","1,935,727.95","2,175,705.65","2,690,223.32","2,074,582.45","2,854,496.59","3,334,870.48"
应付职工薪酬,,,,,"2,500,000.00","2,833,917.86","2,980,141.51","4,114,343.44","3,420,043.72","3,284,122.20","3,246,976.27","4,667,750.94","3,927,377.23","4,029,302.40","3,869,345.99","6,073,075.95","7,454,215.48","5,316,148.73","5,374,249.02","6,998,244.98","9,594,159.11","6,343,522.43","6,824,552.80"
