科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
非流动负债合计,"14,524,536.79","33,860,230.79","41,655,763.60","48,147,374.15","47,115,452.17","559,235.05","559,235.05","559,235.05","559,235.05","1,097,104.79","1,097,104.79","1,097,104.79","1,097,104.79","2,291,640.99","2,291,640.99"
固定资产清理,,,,,,,,,,,,,,,
负债合计,"51,254,319.97","125,275,962.80","159,324,621.18","158,967,718.64","152,140,336.04","102,663,537.34","81,907,669.32","104,677,165.29","141,769,481.01","178,395,920.85","201,859,217.13","238,807,714.64","317,730,263.96","385,990,587.64","389,082,406.54"
生产性生物资产,,,,,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","83,220,000.00","83,220,000.00","83,220,000.00","83,090,000.00","83,790,000.00"
油气资产,,,,,,,,,,,,,,,
资本公积,"33,222,668.67","33,222,668.67","32,979,011.64","32,979,011.64","32,979,011.64","226,783,020.02","226,783,020.02","226,783,020.02","226,783,020.02","226,783,020.02","279,311,783.66","282,118,931.64","281,875,206.08","281,477,831.80","301,492,618.26"
无形资产,"6,426,096.31","6,090,954.57","5,527,862.27","5,182,960.52","4,999,881.38","7,656,681.53","7,469,241.80","7,293,353.98","7,107,142.72","10,104,332.66","10,017,884.14","10,577,665.50","10,681,485.30","10,097,750.37","9,973,920.83"
盈余公积,"2,390,688.46","7,056,607.94","12,294,563.31","12,294,563.31","12,294,563.31","17,715,168.46","17,715,168.46","17,715,168.46","17,715,168.46","20,763,715.09","20,763,715.09","20,763,715.09","20,763,715.09","25,064,167.89","25,064,167.89"
开发支出,,,,,,"2,511,792.95","2,895,092.88","3,205,467.99","3,538,302.43",,,,"491,961.10","1,635,147.41","2,666,547.60"
减:库存股,,,,,,,,,,,"53,226,600.00","53,033,400.00","53,033,400.00","50,892,300.00","67,818,300.00"
商誉,,,,,,,,,,,,,,"926,638.80","926,638.80"
未分配利润,"20,523,511.42","62,296,776.72","108,786,825.48","126,633,485.01","143,935,272.18","155,437,215.88","156,529,949.75","159,944,695.01","168,110,289.74","177,293,242.59","180,306,521.55","186,478,457.88","197,988,689.81","208,451,416.62","214,909,119.44"
长期待摊费用,"225,156.16","14,266.68","103,118.49","332,766.02","404,468.78","551,215.46","603,205.60","674,498.34","680,068.32","1,256,911.21","924,391.09","1,239,737.12","1,379,759.61","3,007,674.38","3,098,633.63"
少数股东权益,"194,310.33","-79,351.48","3,323,710.17","5,135,943.57","5,113,395.39","6,392,432.27","5,902,099.36","7,355,371.69","8,722,739.70","9,684,712.94","9,038,685.88","8,255,590.95","7,043,085.48","10,638,706.86","10,556,443.49"
递延所得税资产,"1,050,920.00","1,270,359.69","1,239,529.22","1,997,377.00","2,135,417.97","3,023,616.88","3,023,616.88","3,446,285.94","3,782,224.90","5,195,546.36","5,195,546.36","6,769,031.46","5,810,763.37","11,680,138.65","12,248,456.62"
外币报表折算价差,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,,
非流动资产合计,"20,324,413.89","74,997,404.15","130,871,130.43","145,288,199.15","148,205,257.65","176,109,348.80","175,972,517.64","174,714,278.16","180,148,050.61","215,020,934.76","211,916,131.58","211,627,883.47","211,311,622.84","210,933,890.28","214,342,197.82"
所有者权益(或股东权益)合计,"116,331,178.88","162,496,701.85","217,384,110.60","237,043,003.53","254,322,242.52","486,327,836.63","486,930,237.59","491,798,255.18","501,331,217.92","514,524,690.64","519,414,106.18","527,803,295.56","537,857,296.46","557,829,823.17","567,994,049.08"
资产总计,"167,585,498.85","287,772,664.65","376,708,731.78","396,010,722.17","406,462,578.56","588,991,373.97","568,837,906.91","596,475,420.47","643,100,698.93","692,920,611.49","721,273,323.31","766,611,010.20","855,587,560.42","943,820,410.81","957,076,455.62"
负债和所有者(或股东权益)合计,"167,585,498.85","287,772,664.65","376,708,731.78","396,010,722.17","406,462,578.56","588,991,373.97","568,837,906.91","596,475,420.47","643,100,698.93","692,920,611.49","721,273,323.31","766,611,010.20","855,587,560.42","943,820,410.81","957,076,455.62"
