科目,2014-12-31,2015-06-30,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"6,328,924.17","10,281,760.35","16,683,464.59","14,560,844.47","212,432,567.75","104,413,378.20","126,271,446.68","40,614,256.93"
短期借款,"11,000,000.00","25,000,000.00","5,000,000.00","25,300,000.00","6,100,000.00",,,
交易性金融资产,,,,,,,,
交易性金融负债,,,,,,,,
应收票据,"14,278,757.78","16,735,335.83","42,338,873.63","56,110,403.24","74,972,590.83","105,015,945.51","129,094,267.00","71,052,764.36"
应付票据,"12,173,835.15","16,490,000.00","24,300,000.00","6,790,000.00","14,550,000.00","13,360,000.00","18,360,000.00","30,107,676.08"
应收账款,"99,449,247.85","117,299,016.77","82,510,603.04","91,158,147.26","114,916,335.86","117,193,461.88","99,757,970.46","115,241,915.78"
应付账款,"30,768,639.19","29,937,002.58","22,411,701.25","35,474,195.09","42,931,947.10","43,445,023.54","34,764,297.35","31,663,013.89"
预付款项,"613,949.05","944,183.63","2,276,344.08","2,124,513.63","2,701,768.11","1,337,111.14","1,465,931.52","1,465,644.61"
预收款项,"72,400.68","95,626.08","138,803.35","184,905.12","99,729.45","97,929.71","67,210.09","2,600.00"
其他应收款,"1,250,259.13","1,755,566.06","1,426,494.69","817,178.21","268,087.60","238,118.31","188,105.73","53,537,289.42"
应付职工薪酬,"1,751,008.52","2,154,409.60","2,266,852.94","4,029,280.15","3,107,819.61","2,915,827.96","3,201,549.60","4,368,001.60"
应收关联公司款,,,,,,,,
应交税费,"5,651,796.72","4,516,397.92","6,659,836.31","3,311,146.01","2,036,401.31","2,703,596.11","2,404,115.23","3,735,355.96"
应收利息,,,,,,,,
应付利息,"18,950.56","33,846.94","8,164.44","34,820.49","8,652.33",,,
应收股利,,,,,,,,
应付股利,,,,,,,,
存货,"34,708,135.44","30,916,172.30","33,278,997.29","33,311,985.82","38,021,073.63","36,627,758.69","36,230,983.71","41,311,907.70"
其他应付款,"369,508.92","765,249.56","649,116.47","1,643,702.24","19,140,232.60","893,628.21","1,160,244.65","35,262,785.10"
其中:消耗性生物资产,,,,,,,,
应付关联公司款,,,,,,,,
一年内到期的非流动资产,,,,,,,,
一年内到期的非流动负债,,,,,,,,
其他流动资产,"107,928.50","107,925.23","162,262.00","3,328.55","1,591,276.18","65,376,642.39","35,189,985.47","130,003,328.55"
其他流动负债,,,,,,,,
流动资产合计,"156,737,201.92","178,039,960.17","178,677,039.32","198,086,401.18","444,903,699.96","430,202,416.12","428,198,690.57","453,227,107.35"
流动负债合计,"61,806,139.74","78,992,532.68","61,434,474.76","76,768,049.10","87,974,782.40","63,416,005.53","59,957,416.92","105,139,432.63"
可供出售金融资产,,,,,,,,
长期借款,,,,,,,,
持有至到期投资,,,,,,,,
应付债券,,,,,,,,
长期应收款,,,,,,,,
长期应付款,,,,,,,,
长期股权投资,,,,,,,,"32,790,651.00"
专项应付款,,,,,,,,
投资性房地产,,,,,,,,
预计负债,,,,"500,000.00","500,000.00",,,
固定资产,"81,599,543.93","81,479,595.78","75,772,596.73","72,607,116.16","69,888,526.42","69,514,742.29","86,854,771.68","84,991,563.09"
递延所得税负债,,,,,,,,
在建工程,"7,737,047.35","5,447,316.57","6,112,763.48","1,388,279.28","2,607,096.22","7,932,370.51","2,732,728.72","4,293,261.42"
其他非流动负债,,,,,,,,
工程物资,,,,,,,,
非流动负债合计,"1,039,840.00","975,520.00","911,200.00","1,282,560.00","1,282,560.00","718,240.00","686,080.00","653,920.00"
固定资产清理,,,,,,,,
负债合计,"62,845,979.74","79,968,052.68","62,345,674.76","78,050,609.10","89,257,342.40","64,134,245.53","60,643,496.92","105,793,352.63"
生产性生物资产,,,,,,,,
实收资本(或股本),"66,000,000.00","66,000,000.00","66,000,000.00","66,000,000.00","88,000,000.00","88,000,000.00","88,000,000.00","88,000,000.00"
油气资产,,,,,,,,
资本公积,"63,843,840.26","63,843,840.26","63,843,840.26","63,843,840.26","261,758,936.44","261,758,936.44","261,758,936.44","261,758,936.44"
无形资产,"26,818,057.90","26,523,793.26","26,229,528.62","25,640,999.34","25,493,867.02","25,346,734.70","25,199,602.38","25,052,470.06"
盈余公积,"8,271,835.40","8,271,835.40","12,270,193.52","17,045,932.93","17,045,932.93","17,045,932.93","17,045,932.93","22,572,954.58"
开发支出,,,,,,,,
减:库存股,,,,,,,,
商誉,,,,,,,,
未分配利润,"73,330,452.80","75,148,181.44","83,956,732.87","74,086,338.39","88,273,983.23","103,573,037.46","116,862,294.65","123,916,774.47"
长期待摊费用,,,,,,,,
少数股东权益,,,,,,,,
递延所得税资产,"1,400,257.10","1,741,244.00","1,624,513.26","1,303,924.72","1,443,005.38","1,515,888.74","1,324,867.59","1,686,965.20"
外币报表折算价差,,,,,,,,
其他非流动资产,,,,,,,,
非正常经营项目收益调整,,,,,,,,
非流动资产合计,"117,554,906.28","115,191,949.61","109,739,402.09","100,940,319.50","99,432,495.04","104,309,736.24","116,111,970.37","148,814,910.77"
所有者权益(或股东权益)合计,"211,446,128.46","213,263,857.10","226,070,766.65","220,976,111.58","455,078,852.60","470,377,906.83","483,667,164.02","496,248,665.49"
资产总计,"274,292,108.20","293,231,909.78","288,416,441.41","299,026,720.68","544,336,195.00","534,512,152.36","544,310,660.94","602,042,018.12"
负债和所有者(或股东权益)合计,"274,292,108.20","293,231,909.78","288,416,441.41","299,026,720.68","544,336,195.00","534,512,152.36","544,310,660.94","602,042,018.12"
