科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"2,346,915,935.78","2,321,402,082.89","857,055,167.30","1,396,744,498.73","1,786,298,231.12","365,862,833.22","940,314,358.16","1,426,472,977.86","2,013,859,885.22","394,813,431.54","1,068,806,996.84","1,770,858,219.85","2,427,651,245.66","482,696,188.02","1,200,870,738.20","2,032,965,930.86","2,906,025,300.53","593,033,909.18","1,449,400,020.17","2,317,828,402.15","3,033,486,444.32","609,219,042.07","1,467,698,039.84","2,368,847,810.23","3,305,517,905.94","592,659,295.27","1,308,726,482.44","2,021,158,868.00","2,966,953,941.04","427,747,667.87","1,182,757,157.03","1,831,791,639.47","2,845,108,007.82","623,210,602.40","1,414,530,488.15","2,164,069,478.74"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"33,201,000.00",,"36,890,000.00",,,,,,,,,,,,,"3,931,504.35","4,221,257.09","4,221,257.09","3,931,504.35",,,
收到的税费返还,"35,750,695.51","2,623,487.15","1,462,459.21","11,671,692.55","12,857,600.32","5,023,584.88","9,938,066.67","19,744,609.59","43,501,528.08","5,302,194.42","10,942,456.76","27,553,198.73","44,872,787.96","1,392,043.04","16,521,919.83","25,801,000.48","44,448,442.56","15,837,434.12","15,837,434.12","25,563,747.14","62,467,485.17","24,386,412.89","25,097,451.05","35,762,854.95","41,885,942.72","13,277,852.71","26,095,288.92","35,048,752.10","45,347,132.85","5,975,574.19","27,865,641.04","50,342,618.64","55,619,244.28","12,691,155.02","20,692,040.86","35,867,127.10"
支付其他与投资活动有关的现金,"52,000.00",,,,,,,,"3,830,000.00",,,,"986,586.35",,,,"7,072,942.00",,,,,,,"3,000,000.00","3,958,200.00","1,204,912.50","180,000.00","402,293.07","4,992,100.00",,"46,000,000.00","46,000,000.00","101,660,255.20",,,
收到其他与经营活动有关的现金,"19,660,101.35","18,336,535.08","15,942,698.77","21,140,829.82","19,879,176.06","16,464,623.18","32,733,209.03","50,115,176.64","23,202,932.46","8,864,019.28","14,449,781.64","59,266,242.33","20,430,624.52","11,687,540.72","29,501,286.75","40,155,074.93","27,257,295.22","48,530,386.47","50,478,940.37","53,293,693.03","75,881,088.42","69,986,263.51","81,088,779.55","80,574,090.25","92,143,512.22","68,605,631.34","75,549,693.20","71,805,282.29","83,509,151.05","16,016,587.10","82,375,466.40","146,510,093.27","48,604,275.75","16,395,720.71","23,691,374.27","36,389,878.19"
投资活动现金流出小计,"143,540,840.54","118,151,794.82","92,031,278.38","143,209,273.53","175,433,927.42","101,493,794.25","145,796,518.45","195,631,478.44","287,156,691.25","119,944,508.00","163,748,973.87","225,539,689.42","319,966,889.24","37,786,448.35","175,012,267.24","231,448,369.74","330,208,624.87","113,851,768.13","217,032,963.37","301,354,459.71","386,805,136.70","124,687,277.30","266,277,302.98","341,077,324.11","445,927,512.55","133,136,293.83","180,562,040.85","259,797,122.50","328,842,414.30","48,729,381.79","180,722,069.84","220,433,895.43","275,649,548.41","30,564,513.24","132,876,311.56","197,240,381.52"
经营活动现金流入小计,"2,402,326,732.64","2,342,362,105.12","874,460,325.28","1,429,557,021.10","1,819,035,007.50","387,351,041.28","982,985,633.86","1,496,332,764.09","2,080,564,345.76","408,979,645.24","1,094,199,235.24","1,857,677,660.91","2,492,954,658.14","495,775,771.78","1,246,893,944.78","2,098,922,006.27","2,977,731,038.31","657,401,729.77","1,515,716,394.66","2,396,685,842.32","3,171,835,017.91","703,591,718.47","1,573,884,270.44","2,485,184,755.43","3,439,547,360.88","674,542,779.32","1,410,371,464.56","2,128,012,902.39","3,095,810,224.94","449,739,829.16","1,292,998,264.47","2,028,644,351.38","2,949,331,527.85","652,297,478.13","1,458,913,903.28","2,236,326,484.03"
投资活动产生的现金流量净额,"-118,392,454.75","-112,793,789.94","-59,157,720.01","-109,486,793.97","-138,882,745.78","-97,832,605.29","-140,914,221.98","-186,127,150.09","-278,313,007.94","-117,831,164.72","-151,275,295.89","-215,333,600.25","-301,456,478.70","-32,080,911.61","-168,637,500.51","-223,260,145.12","-279,012,653.60","-112,737,092.42","-206,180,181.57","-283,531,589.05","-356,169,273.54","-122,044,548.41","-264,842,004.65","-338,718,932.28","-435,680,180.75","-132,993,094.18","-173,071,254.40","-237,358,998.45","-288,905,865.98","-48,594,342.70","-179,933,670.81","-211,902,787.91","-257,550,905.96","31,419,841.15","-69,036,470.87","-131,844,074.26"
购买商品、接受劳务支付的现金,"2,148,573,025.61","1,959,144,555.86","630,236,984.22","1,128,724,532.95","1,414,383,545.71","475,306,798.68","980,547,953.39","1,386,731,526.16","1,806,411,288.45","582,566,863.50","1,175,008,991.04","1,883,772,212.72","2,289,099,383.61","501,067,731.11","1,073,819,186.75","1,663,242,123.06","2,196,582,381.31","561,215,104.70","1,138,558,107.84","1,755,984,683.29","2,250,522,163.60","534,816,042.32","1,221,517,165.90","1,997,469,477.92","2,654,220,148.62","477,578,836.53","1,053,847,111.51","1,630,363,238.45","2,214,083,231.73","462,134,436.41","944,612,254.11","1,416,802,609.36","2,083,139,289.94","635,241,413.79","1,190,747,671.85","1,864,150,517.72"
吸收投资收到的现金,,,,,"883,200,000.00",,,,,,,,,,,,,,,,,,"29,750,000.00","33,670,000.00","42,490,000.00","5,880,000.00","23,738,000.00","30,010,000.00","30,010,000.00","4,764,059.00","9,930,859.63","9,930,859.63","10,108,738.57",,"31,000,000.00","31,000,000.00"
支付给职工以及为职工支付的现金,"73,729,191.00","82,226,931.65","26,218,286.04","41,170,180.45","84,577,321.12","15,075,902.77","33,542,518.18","59,706,474.69","97,449,165.77","17,565,636.34","35,783,718.71","63,702,577.05","121,239,172.03","21,617,700.52","50,962,444.65","91,565,621.07","163,616,898.65","31,036,484.88","66,842,244.91","111,367,947.49","196,071,027.69","34,584,265.13","74,456,320.48","127,099,641.20","204,076,439.07","28,113,021.75","83,993,185.77","138,332,647.88","216,935,977.36","46,084,488.45","98,895,062.20","151,409,018.12","205,897,988.20","73,986,854.72","132,856,463.92","193,234,784.61"
取得借款收到的现金,"879,971,878.80","1,020,509,121.55","316,167,902.48","485,002,637.28","650,520,430.94","236,713,773.44","374,821,746.63","465,334,216.31","549,870,045.91","288,994,519.96","551,262,614.08","864,138,031.59","1,112,325,184.60","312,770,277.43","738,848,916.91","1,073,522,329.75","1,287,935,801.99","274,929,066.65","455,917,238.38","635,549,483.55","880,648,439.42","160,224,462.27","391,420,966.29","510,428,857.94","711,649,005.35","148,556,428.23","466,424,106.71","757,897,049.28","952,384,871.22","235,305,107.00","317,383,343.86","431,330,311.72","482,293,211.72","206,300,000.00","336,300,000.00","473,300,000.00"
支付的各项税费,"46,038,508.93","77,210,823.52","42,051,063.96","58,353,556.87","80,369,997.40","4,028,984.03","16,082,273.77","21,163,751.75","38,381,660.37","5,567,898.01","19,178,004.88","33,748,900.68","55,952,824.27","16,281,751.18","37,983,078.14","49,490,129.25","73,987,302.60","21,308,998.35","53,198,012.02","68,774,121.32","94,727,997.44","24,310,688.68","77,076,491.93","89,435,381.61","98,221,362.35","43,745,411.06","67,712,921.59","100,247,800.00","117,981,799.10","46,792,852.98","83,157,534.56","117,982,874.36","142,118,130.53","27,633,081.52","79,448,914.64","94,560,806.53"
收到其他与筹资活动有关的现金,"216,990,568.30","306,108,847.65","225,186,663.66","329,136,663.66","354,229,798.33","55,423,515.62","10,000,000.00","10,000,000.00","29,910,000.00","47,000,000.00","44,500,000.00","9,500,000.00","4,500,000.00","30,500,000.00","2,032,884.00","2,032,884.00","42,032,884.00","90,000,000.00","84,716,787.00","74,716,787.00","74,758,815.00",,,"15,000,000.00","22,000,000.00",,"2,000,000.00","52,382,027.40","8,400,000.00","346,192.52",,,"193,000,000.00","2,900,000.00","56,361,922.92","93,200,927.26"
支付其他与经营活动有关的现金,"56,729,275.39","84,008,899.54","42,049,469.50","62,472,151.26","89,750,219.25","34,528,462.49","63,340,233.58","95,475,927.26","80,611,946.35","62,715,846.32","66,939,985.94","126,394,983.31","109,609,198.11","56,682,471.87","61,027,906.23","109,056,848.93","198,455,659.27","70,296,595.43","169,683,390.99","217,515,256.50","233,534,412.12","119,271,329.91","156,563,589.49","107,139,575.23","231,195,932.89","111,858,290.23","152,876,281.90","160,477,372.65","202,811,958.82","45,433,592.99","168,459,200.66","290,822,425.77","211,629,474.39","66,410,526.19","101,105,527.97","162,599,041.11"
筹资活动现金流入小计,"1,096,962,447.10","1,326,617,969.20","541,354,566.14","814,139,300.94","1,887,950,229.27","292,137,289.06","384,821,746.63","475,334,216.31","579,780,045.91","335,994,519.96","595,762,614.08","873,638,031.59","1,136,825,184.60","343,270,277.43","740,881,800.91","1,075,555,213.75","1,329,968,685.99","564,929,066.65","740,634,025.38","910,266,270.55","1,155,407,254.42","637,177,909.33","895,212,513.35","1,033,140,405.00","1,253,092,452.41","154,436,428.23","492,162,106.71","840,289,076.68","990,794,871.22","240,415,358.52","327,314,203.49","441,261,171.35","685,401,950.29","209,200,000.00","423,661,922.92","597,500,927.26"
经营活动现金流出小计,"2,325,070,000.93","2,202,591,210.57","740,555,803.72","1,290,720,421.53","1,669,081,083.48","528,940,147.97","1,093,512,978.92","1,563,077,679.86","2,022,854,060.94","668,416,244.17","1,296,910,700.57","2,107,618,673.76","2,575,900,578.02","595,649,654.68","1,223,792,615.77","1,913,354,722.31","2,632,642,241.83","683,857,183.36","1,428,281,755.76","2,153,642,008.60","2,774,855,600.85","712,982,326.04","1,529,613,567.80","2,321,144,075.96","3,187,713,882.93","661,295,559.57","1,358,429,500.77","2,029,421,058.98","2,751,812,967.01","600,445,370.83","1,295,124,051.53","1,977,016,927.61","2,642,784,883.06","803,271,876.22","1,504,158,578.38","2,314,545,149.97"
偿还债务支付的现金,"779,365,901.76","1,003,154,028.21","296,767,926.03","385,074,425.12","880,197,854.56","162,773,976.23","266,854,636.26","491,905,042.02","617,550,263.33","77,600,000.00","290,964,476.41","374,436,648.51","728,413,556.83","281,843,636.90","600,520,963.66","988,116,713.50","1,397,735,264.44","267,498,972.37","550,491,944.28","764,192,857.28","1,016,658,818.09","374,936,438.00","631,418,593.51","755,498,676.11","1,043,376,114.39","13,428,727.59","202,892,787.39","574,540,941.98","829,763,786.07","173,367,704.00","230,664,653.80","439,849,893.66","628,849,893.66","189,374,700.00","304,484,520.00","398,743,985.00"
