科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"322,968,157.38","431,312,294.99","189,285,258.57","313,987,882.62","466,454,288.73","102,798,520.35","237,787,135.11","387,429,869.01","661,887,410.44","137,152,770.89","362,958,865.62","626,319,191.51","942,387,893.91","162,821,675.47","365,495,233.08","607,916,784.57","933,408,626.41","171,958,950.90","393,026,278.79","646,752,345.00","1,013,615,367.97","194,309,777.53","462,091,656.11","783,151,799.54","1,485,664,667.67","214,518,078.48","514,902,525.43","941,372,634.83","1,669,728,074.19","289,729,041.27","691,495,055.10","1,150,452,967.39","1,769,996,350.07","319,896,796.82","873,702,317.13","1,483,023,977.40"
二、营业利润,"36,032,971.33","48,824,989.53","25,230,713.38","46,365,383.72","70,678,491.96","13,885,011.47","39,413,648.84","66,288,182.87","102,134,229.33","15,088,661.19","50,840,784.82","85,100,601.61","121,798,907.13","13,678,561.69","37,501,381.71","78,614,428.03","102,996,776.20","19,244,362.04","50,469,864.80","87,178,483.79","123,169,727.50","22,040,494.02","54,104,128.04","78,056,684.52","133,882,152.34","6,104,908.68","15,917,253.05","76,707,640.37","159,415,474.73","26,459,364.17","45,058,735.89","108,853,066.88","171,772,990.02","27,878,879.54","297,986,691.39","378,843,008.21"
减:营业成本,"224,465,974.17","284,293,416.72","119,980,576.59","197,342,323.48","283,785,820.43","65,226,843.73","146,943,892.98","236,532,457.86","418,263,957.59","87,025,764.56","230,426,353.32","409,565,220.57","630,757,338.59","115,361,405.86","253,709,356.36","410,230,620.21","630,501,927.30","115,386,979.98","257,143,061.38","416,917,113.56","657,437,901.24","125,979,202.34","287,832,945.29","494,851,819.23","1,007,346,285.41","138,266,410.34","330,450,796.29","592,183,156.81","1,092,415,817.11","180,291,505.14","434,923,334.59","724,614,404.38","1,116,888,345.54","201,762,386.40","581,621,318.82","971,050,328.78"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,689,451.20","2,890,010.48","1,207,185.22","2,049,873.46","4,250,753.99","274,853.20","828,154.24","1,878,076.58","5,025,549.18","490,916.87","1,494,537.44","3,893,748.79","7,182,435.99","928,961.88","2,338,288.68","4,443,567.57","7,683,942.98","676,219.21","2,669,772.25","4,005,005.60","9,050,208.58","250,908.74","1,541,592.45","3,314,905.96","8,761,992.10","660,026.20","3,112,355.80","5,996,760.19","13,149,482.78","848,475.81","2,313,179.25","4,957,213.58","15,246,581.29","1,835,945.81","5,965,141.89","9,683,628.16"
营业外收入,"518,021.12","1,954,035.24","125,584.40","1,417,482.48","11,260,048.66","791,838.05","3,702,364.35","4,704,613.77","8,236,759.19","667,458.05","1,604,882.22","5,325,084.06","8,487,457.04","2,847,916.72","5,077,445.15","6,548,972.54","11,190,340.20","3,285,308.91","5,238,257.80","10,390,447.34","15,200,388.49","2,948,661.91","8,992,680.32","14,818,798.38","22,324,367.63","9,066,507.97","11,500,948.67","17,813,358.17","22,005,746.47","4,116,481.68","7,465,590.23","11,728,408.21","26,399,577.62","5,066,197.66","12,991,660.96","20,167,813.83"
销售费用,"34,326,949.74","52,316,529.44","24,010,778.64","39,985,585.58","57,753,524.29","13,022,042.66","27,406,488.97","45,099,852.36","78,816,553.55","18,691,334.04","46,543,390.92","70,329,496.35","114,191,140.93","20,090,552.63","45,963,057.46","74,660,096.22","127,921,891.29","23,064,259.67","49,602,079.23","83,054,295.11","137,052,532.55","25,106,710.38","61,370,635.43","104,511,604.57","180,727,124.37","31,981,666.63","83,112,136.16","126,966,426.01","206,890,780.95","34,353,583.30","99,994,471.14","146,612,159.81","223,158,850.19","40,118,216.36","105,749,195.95","166,806,564.12"
减:营业外支出,"101,737.23","936,238.90","111,253.70","227,833.77","420,989.14","20,250.00","380,568.29","776,272.96","1,333,753.32","62,886.84","165,092.75","511,794.11","573,221.37","117,229.09","313,242.98","319,310.41","806,680.71","105,148.51","327,392.37","963,186.78","1,468,640.12","93,943.08","98,278.74","526,125.18","1,241,110.29","69,803.88","235,980.63","568,630.48","682,840.87","146,528.26","385,896.32","1,024,428.80","1,381,147.22","31,239.31","368,931.31","617,820.25"
管理费用,"22,686,247.15","38,149,613.89","18,551,425.28","27,810,212.82","48,227,935.44","10,676,559.84","23,127,928.10","38,258,186.36","62,229,879.92","17,929,506.61","36,206,286.55","60,179,918.59","71,530,146.03","13,148,745.66","26,796,591.77","40,157,736.70","63,934,279.96","14,768,575.50","35,668,382.61","56,215,859.63","87,334,654.68","23,333,959.38","57,013,665.83","100,387,085.01","140,667,805.61","34,885,361.72","76,071,209.74","127,561,021.69","170,401,655.69","39,924,003.95","95,216,950.65","147,868,254.42","222,115,753.12","51,371,459.07","122,541,619.46","189,780,571.90"
其中:非流动资产处置净损失,"37,195.27","3,731.70",403.70,403.70,"1,446.15",,,,,,,,"111,234.40",,"2,345.61","2,672.56","4,220.51",158.00,"56,254.15","350,028.74","355,482.08","70,943.08","74,273.92","132,294.08","172,522.71","10,889.57","23,442.35","25,691.78","121,946.53","22,681.70","62,350.14","196,227.82","244,424.41","13,911.59","23,879.86","32,657.80"
