科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"346,731,264.44","459,672,575.81","209,940,110.84","487,763,295.73","371,400,299.81","520,158,943.14","661,404,606.07","255,827,447.44","445,604,138.30","691,126,943.58","770,678,100.49","270,178,508.14","269,608,152.36","462,849,822.80","607,736,890.91","211,582,543.01","307,491,885.11","495,041,900.39","594,063,277.44","175,622,054.75","330,494,470.17","406,273,212.43","418,073,727.32","246,730,124.24","372,052,989.90","457,763,806.41","517,942,731.05","220,407,706.20","346,704,993.77","477,915,175.04","733,967,188.53","175,374,782.37","329,708,397.86","1,017,107,811.48","1,022,031,286.05"
取得子公司及其他营业单位支付的现金净额,"20,853,717.41","2,226,461.10",,,,,,,,,"130,188,735.30",,,,,,,,"86,965,996.42",,,,,,"17,994,966.67","70,674,886.58","64,811,461.08",,"8,250,000.00","8,250,000.00",,,,,
收到的税费返还,"3,156,785.51","2,132,061.71","2,068,909.39","7,853,505.16","8,835,737.76","19,471,061.58","23,104,365.62","3,657,091.82","13,948,066.69","20,458,262.33","29,207,820.87","8,535,034.16","18,254,512.16","23,070,802.98","30,436,486.98","8,029,921.51","16,253,427.52","23,940,295.45","31,957,982.92","9,587,562.58","16,088,648.36","20,580,786.74","19,967,343.77","8,018,447.98","9,123,913.38","11,706,098.04","10,827,208.97","4,554,527.06","9,283,209.81","14,349,053.02","15,724,055.86","3,731,053.16","6,746,842.58","9,675,138.12","11,773,654.93"
支付其他与投资活动有关的现金,,,"1,000,000.00","1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"90,658,434.10","5,207,018.86","2,116,232.42","4,049,149.89","11,623,280.12","15,042,790.82","9,827,966.06","21,236,452.33","1,270,240.28","2,789,606.81","23,503,483.64","16,064,938.00","24,663,452.37","22,209,017.86","22,714,843.34","12,368,309.50","10,464,740.40","21,085,436.23","8,163,537.78","18,672,707.88","46,485,086.27","935,283.66","19,106,403.18","3,818,717.42","49,126,642.05","254,304,411.70","38,887,327.26","7,324,335.34","41,933,816.88","188,707,379.00","38,898,162.15","25,516,381.20","35,280,177.62","65,570,101.87","51,429,082.66"
投资活动现金流出小计,"83,672,190.14","85,255,454.52","61,147,379.53","91,425,107.21","18,923,047.27","48,645,473.28","71,256,665.57","14,913,197.77","23,234,579.52","89,261,643.99","197,653,158.39","25,643,899.83","113,444,655.17","183,695,713.99","212,086,106.19","30,776,316.83","138,608,746.83","129,969,703.44","470,367,216.72","45,477,572.44","115,652,769.90","167,786,127.49","294,049,201.53","46,432,430.57","282,879,241.68","280,161,856.03","177,533,699.31","50,533,626.48","62,609,315.77","63,992,373.07","114,565,778.85","65,056,162.48","102,618,377.36","149,034,471.30","272,636,669.79"
经营活动现金流入小计,"440,546,484.05","467,011,656.38","214,125,252.65","499,665,950.78","391,859,317.69","554,672,795.54","694,336,937.75","280,720,991.59","460,822,445.27","714,374,812.72","823,389,405.00","294,778,480.30","312,526,116.89","508,129,643.64","660,888,221.23","231,980,774.02","334,210,053.03","540,067,632.07","634,184,798.14","203,882,325.21","393,068,204.80","427,789,282.83","457,147,474.27","258,567,289.64","430,303,545.33","723,774,316.15","567,657,267.28","232,286,568.60","397,922,020.46","680,971,607.06","788,589,406.54","204,622,216.73","371,735,418.06","1,092,353,051.47","1,085,234,023.64"
投资活动产生的现金流量净额,"-22,531,430.15","-66,111,253.70","-55,147,379.53","-73,252,007.87","-17,747,412.46","-47,065,285.90","-43,322,434.77","-14,422,404.24","-23,234,579.52","-89,261,643.99","-197,513,532.09","-25,493,749.83","-82,095,716.53","-140,685,588.67","-175,198,467.55","-30,568,236.77","-138,261,673.97","-117,633,159.12","-452,556,696.21","-2,426,148.60","-34,130,015.35","-49,049,893.40","-69,529,576.17","-6,466,259.02","-139,062,339.31","-175,989,027.12","-17,245,112.14","-21,358,131.50","-26,785,016.96","-46,300,018.32","-47,985,967.71","-25,983,985.35","-23,148,061.05","-57,525,153.05","-242,132,771.37"
购买商品、接受劳务支付的现金,"302,374,988.75","381,820,853.25","141,284,585.07","315,784,903.02","329,811,459.39","454,321,143.11","603,897,014.93","258,407,584.39","475,006,469.48","645,759,877.76","715,022,367.58","251,328,649.45","195,411,781.27","371,681,295.58","441,595,882.13","171,486,603.76","137,807,672.55","348,510,593.59","350,070,039.96","114,756,384.39","171,511,016.80","194,654,844.26","242,667,832.93","239,991,152.31","192,256,660.82","249,282,502.42","212,283,671.57","197,049,299.80","152,480,139.61","284,558,884.43","340,072,603.01","75,268,836.88","179,021,185.34","721,526,512.18","519,594,908.74"
吸收投资收到的现金,"20,000,000.00",,,,,"448,800,000.00","420,300,000.00",,,,,,,,,,"465,964,501.30","465,964,501.30","479,325,000.00",,,,"1,106,874.00",,"900,000.00","900,000.00","900,000.00","900,000.00","900,000.00","900,000.00","900,000.00",,,,
