科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"283,981,005.99","390,615,406.92","472,439,908.05","253,183,109.95","435,856,789.06","611,382,286.82","126,277,923.98","291,435,726.91","499,177,887.24"
二、营业利润,"48,960,430.73","49,692,590.67","60,137,913.07","20,103,631.42","42,315,386.63","53,180,831.41","9,257,666.50","26,542,899.23","52,535,553.92"
减:营业成本,"186,780,863.69","259,583,256.53","313,783,175.72","171,099,583.22","299,561,432.61","432,112,122.82","87,175,213.10","201,056,845.37","350,259,917.00"
加:补贴收入,,,,,,,,,
营业税金及附加,"579,471.25","1,711,646.16","3,012,875.34","806,208.89","1,083,679.31","3,725,856.37","120,697.03","1,888,445.67","2,564,539.23"
营业外收入,"5,578,024.07","11,111,537.25","9,073,527.84","8,650,823.67","17,667,252.25","21,434,477.27","4,587,868.21","2,183,496.40","2,503,459.38"
销售费用,"9,241,365.53","14,057,026.02","15,309,863.38","8,565,102.06","13,605,228.92","19,738,603.61","4,709,307.93","10,650,680.03","16,256,023.47"
减:营业外支出,"1,492,213.18","660,838.43","920,489.93","5,767,906.96","6,002,171.98","6,106,398.08","1,791.97","251,894.65","1,035,998.29"
管理费用,"29,531,807.63","41,511,135.64","54,700,435.56","33,418,006.58","52,482,844.89","73,752,638.70","25,157,574.83","49,898,721.77","72,985,369.43"
其中:非流动资产处置净损失,,,,"5,216,719.67","5,216,719.67","5,216,719.67",,635.00,"675,095.60"
堪探费用,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,
财务费用,"7,163,339.79","17,549,681.20","16,364,297.84","8,153,865.74","12,569,271.13","15,796,847.20","2,629,637.75","4,969,847.14","8,494,026.68"
三、利润总额,"53,046,241.62","60,143,289.49","68,290,950.98","22,986,548.13","53,980,466.90","68,508,910.60","13,843,742.74","28,474,500.98","54,003,015.01"
资产减值损失,"1,723,727.37","6,521,222.81","9,131,347.14","11,036,712.04","14,238,945.57","13,075,386.71","-2,772,173.16","2,236,732.53","6,177,065.81"
减:所得税,"7,701,430.25","9,514,056.30","10,968,373.96","3,734,074.83","9,751,524.89","9,256,261.18","2,661,888.89","4,317,282.71","8,614,114.38"
加:公允价值变动净收益,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,
投资收益,,"11,152.11",,,,,,,"-45,878.50"
四、净利润,"45,344,811.37","50,629,233.19","57,322,577.02","19,252,473.30","44,228,942.01","59,252,649.42","11,181,853.85","24,157,218.27","45,388,900.63"
其中:对联营企业和合营企业的投资权益,,,,,,,,,
归属于母公司所有者的净利润,"45,344,811.37","50,629,233.19","57,322,577.02","19,252,473.30","44,228,942.01","59,252,649.42","11,181,853.85","24,157,218.27","45,144,472.09"
影响营业利润的其他科目,,,,,,,,,
少数股东损益,,,,,,,,,"244,428.54"
