科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,561,866,197.92","1,903,721,273.13","1,716,864,835.10","1,605,039,965.40","1,848,876,782.08","2,461,969,206.24","972,716,973.95","1,861,294,637.07","2,080,341,657.23","2,681,287,512.00","1,353,977,573.00","2,283,907,183.94","2,543,325,264.03","2,718,721,354.95","1,087,883,079.32","2,394,873,955.17","2,782,628,444.40","3,071,416,736.31","1,020,928,317.63","2,210,823,877.33","2,585,919,543.30","3,042,405,659.80","1,246,675,261.83","2,544,572,782.87","2,931,013,849.48","3,571,193,750.46","1,333,367,599.34","2,718,679,530.04","3,274,123,316.96","3,868,514,604.12","1,235,587,949.55","2,880,046,837.31","3,665,374,752.65","4,398,589,145.25"
取得子公司及其他营业单位支付的现金净额,"70,781,280.00",,,,,,,,,,,,,,,,,,,"11,256,759.20","11,256,759.20","11,256,759.20",,,"86,294,407.64","78,489,223.89",,"14,862,065.14","15,258,436.60","15,258,436.60",,,,
收到的税费返还,"124,862,227.48","115,061,788.27","176,694,033.51","152,331,132.30","209,103,452.70","240,918,003.43","80,351,880.60","219,260,443.58","279,059,152.88","320,705,239.05","178,345,170.42","243,661,024.09","280,522,656.27","307,821,907.91","109,075,568.50","238,852,733.15","270,284,520.85","292,555,345.63","133,529,485.92","251,068,469.32","290,189,116.77","326,089,090.55","131,269,999.02","262,151,588.82","313,982,104.70","352,889,717.58","163,494,830.56","235,306,987.33","268,411,765.79","323,223,617.76","142,365,300.65","250,580,552.75","295,752,715.67","377,588,452.53"
支付其他与投资活动有关的现金,"4,600,000.00","185,000,000.00","11,006,038.00","105,947.00","105,947.00","10,000,000.00",,,"4,500.00",,"330,000,000.00","478,000,000.00","478,000,000.00","20,000,000.00","470,100,000.00","1,223,016,649.11","1,675,016,649.11","667,234,000.00","411,665,000.00","200,015,000.00","200,015,000.00","200,000,000.00",,"20,000,000.00","60,000,000.00","218,390,750.00","80,100,000.00",,,,,,,
收到其他与经营活动有关的现金,"271,857,870.42","639,336,559.78","328,813,703.55","328,973,510.61","334,390,322.63","345,656,657.00","163,126,239.84","355,939,353.12","375,842,876.64","416,038,935.12","57,270,045.85","114,276,088.74","177,570,530.11","158,652,562.37","52,818,982.48","86,830,119.77","232,076,460.94","119,382,748.97","8,062,813.76","57,013,296.63","101,311,099.89","52,414,953.92","49,722,113.22","70,347,183.15","699,470,075.23","115,572,776.58","82,051,557.38","260,908,856.39","2,619,785,978.56","168,103,689.63","107,843,110.64","244,642,660.72","402,643,525.89","227,096,613.60"
投资活动现金流出小计,"215,748,999.81","366,583,057.00","102,634,650.05","66,024,621.25","104,939,821.02","204,674,174.05","74,995,894.71","169,846,767.68","183,011,029.28","501,483,972.71","401,898,430.67","731,546,619.41","815,274,226.46","806,436,575.29","503,116,276.51","1,289,394,999.35","1,850,819,433.93","2,019,082,654.73","561,348,875.14","1,061,534,748.02","1,425,550,237.86","1,836,168,535.39","900,499,063.27","1,182,004,279.02","2,246,306,645.24","2,510,304,967.23","1,067,957,386.16","993,493,485.81","1,263,902,457.94","1,368,412,010.61","117,069,142.91","439,430,872.64","923,356,156.33","971,703,568.22"
经营活动现金流入小计,"1,958,586,295.82","2,658,119,621.18","2,222,372,572.16","2,086,344,608.31","2,392,370,557.41","3,048,543,866.67","1,216,195,094.39","2,436,494,433.77","2,735,243,686.75","3,418,031,686.17","1,589,592,789.27","2,641,844,296.77","3,001,418,450.41","3,185,195,825.23","1,249,777,630.30","2,720,556,808.09","3,284,989,426.19","3,483,354,830.91","1,162,520,617.31","2,518,905,643.28","2,977,419,759.96","3,420,909,704.27","1,427,667,374.07","2,877,071,554.84","3,944,466,029.41","4,039,656,244.62","1,578,913,987.28","3,214,895,373.76","6,162,321,061.31","4,359,841,911.51","1,485,796,360.84","3,375,270,050.78","4,363,770,994.21","5,003,274,211.38"
投资活动产生的现金流量净额,"-31,147,004.81","-170,410,146.37","-98,633,838.88","-65,481,409.68","-104,389,409.45","-194,040,760.80","-74,545,894.71","-169,139,286.48","-182,274,248.08","-363,309,979.46","-221,415,421.73","-281,898,810.92","-334,423,657.90","-623,268,375.30","-299,565,578.58","-867,854,305.10","-803,234,151.90","-1,319,756,016.00","131,443,388.46","34,080,226.41","-105,885,631.57","303,890,170.09","171,041,652.60","-150,994,759.77","238,720,427.70","320,802,528.05","-75,941,387.53","205,854,631.83","50,308,305.34","147,039,221.70","123,000,725.29","-49,203,301.18","-262,675,127.65","-396,175,430.47"
购买商品、接受劳务支付的现金,"1,242,013,740.30","1,517,435,830.17","1,140,290,708.55","766,236,520.64","1,195,199,031.40","2,166,788,086.62","614,847,770.64","1,451,400,468.25","2,002,414,308.83","2,788,988,916.27","641,947,453.18","861,621,461.57","1,198,519,230.36","1,712,833,042.27","447,287,535.58","988,815,365.06","1,677,262,627.06","2,126,610,843.90","611,321,183.90","1,253,298,605.29","2,090,753,517.54","2,662,352,354.61","682,567,834.82","1,372,303,804.19","2,043,459,831.16","2,786,274,207.14","571,967,326.08","1,268,703,313.15","1,966,543,778.53","2,680,462,180.25","641,025,874.12","1,404,322,968.98","2,390,244,559.99","3,253,616,816.55"
吸收投资收到的现金,"7,559,067.14",,,,,"2,164,215,496.23",,,,,,"24,595,200.00","24,595,200.00","24,595,200.00",,,,,,,,"1,500,000.00",,,"1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","4,000,000.00","4,000,000.00","4,206,415.11","4,206,415.11"
