科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"69,962,725.80","53,455,913.81","62,343,716.98","8,448,623.16","128,558,574.73","68,628,078.12","75,944,227.95","52,981,103.13","86,962,168.23","52,066,352.97","69,411,289.00","48,722,368.13","155,427,752.59"
短期借款,"112,065,800.00","164,583,332.08","179,300,000.00","123,100,000.00","141,690,000.00","103,775,620.24","77,290,000.00","65,100,000.00","121,600,554.48","197,267,790.00","194,930,348.19","172,017,823.45","263,069,563.60"
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,"54,116,760.25","78,968,033.84","111,297,368.81","46,659,943.81","90,949,241.02","91,649,549.45","89,764,459.51","41,634,498.46","51,909,028.41","63,682,903.58","111,231,310.52","66,136,952.94","71,695,216.91"
应付票据,,,"1,700,000.00",,,,,,"15,000,000.00","28,620,000.00","13,620,000.00","10,300,000.00","51,080,000.00"
应收账款,"84,327,628.30","137,882,240.32","155,825,994.39","186,804,615.50","173,703,782.17","194,467,799.36","223,195,480.19","227,519,722.82","202,732,957.95","284,512,268.04","187,144,295.22","193,132,928.31","212,425,341.68"
应付账款,"22,417,841.45","31,218,375.40","22,127,804.80","21,582,481.83","31,393,201.03","29,714,594.51","35,938,807.19","28,113,913.65","39,866,601.53","76,010,268.54","25,720,131.63","24,952,564.27","49,065,216.18"
预付款项,"15,497,992.41","23,812,424.34","17,676,677.15","34,183,047.06","40,174,315.34","54,306,615.19","90,663,119.54","142,090,004.43","114,187,781.70","155,095,010.92","165,926,177.03","108,609,385.91","131,588,304.21"
预收款项,"5,277,807.56","8,800,696.63","1,055,566.21","1,688,011.39","136,107.58","6,523,392.39","64,963,394.64","63,437,431.33","2,721,694.62","10,295,119.54","3,928,225.36","4,844,266.50","3,399,327.18"
其他应收款,"20,267,957.46","41,239,404.97","20,853,981.28","42,439,185.12","36,570,893.60","29,786,421.32","26,916,397.20","16,556,058.98","17,696,118.48","18,238,996.37","19,752,075.38","22,172,964.67","20,396,737.18"
应付职工薪酬,"1,499,728.60","2,013,107.95","2,830,960.22","2,047,236.42","2,050,458.93","2,399,644.54","5,475,584.06","1,523,385.70","1,934,438.79","2,899,893.17","5,983,843.87","3,520,784.64","2,237,300.85"
应收关联公司款,,,,,,,,,,,,,
应交税费,"4,669,712.00","5,011,147.34","2,615,683.13","2,250,406.65","3,006,639.34","3,435,921.22","6,418,494.40","6,106,322.11","4,385,960.59","7,862,650.60","6,528,514.69","1,824,585.25","2,271,188.52"
应收利息,,,,,,,,"129,427.50","269,795.00",,,,"2,700,000.00"
应付利息,"631,757.98","459,893.33","232,211.16","922,107.06","158,773.77","113,027.52","116,327.40","185,070.08","160,102.97","252,917.89","322,606.51","320,188.46","429,099.48"
应收股利,,,,,,,,,,,,,
应付股利,,,,,,,,,"7,468,000.00",,,,"8,961,600.00"
存货,"7,797,522.85","14,088,727.91","4,334,565.82","4,086,343.60","4,468,577.79","10,703,541.37","8,480,023.32","18,484,737.63","36,931,692.81","80,769,523.29","56,714,534.48","109,874,681.81","105,094,492.35"
其他应付款,"1,603,150.80","6,075,046.45","7,634,830.14","9,284,891.83","19,222,012.30","10,019,391.72","10,426,950.87","10,733,153.57","7,324,518.81","8,021,746.98","9,619,072.79","5,700,379.80","6,461,331.03"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,
其他流动资产,"3,851,201.50","5,578,414.73","5,862,154.97","4,278,426.34","7,559,822.70","21,615,113.46","10,385,130.15","11,497,577.48","26,289,357.09","12,723,786.76","10,249,853.50","19,568,974.42","14,302,775.02"
其他流动负债,,,,,,,,,,,,,
流动资产合计,"255,821,788.57","355,025,159.92","378,194,459.40","326,900,184.59","481,985,207.35","471,157,118.27","525,348,837.86","510,893,130.43","536,978,899.67","667,088,841.93","620,429,535.13","568,218,256.19","713,630,619.94"
流动负债合计,"148,165,798.39","218,161,599.18","217,497,055.66","160,875,135.18","197,657,192.95","155,981,592.14","200,629,558.56","175,199,276.44","200,461,871.79","331,230,386.72","260,652,743.04","223,480,592.37","386,974,626.84"
可供出售金融资产,,,,,,,,,,,,,
长期借款,,,,,,,,,,,"30,000,000.00","30,000,000.00","28,500,000.00"
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,"43,581.09"
长期应付款,,,,,,,"163,736.76","133,275.70","106,968.60","76,396.98","4,670,894.90","4,230,587.24","3,822,221.24"
长期股权投资,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,
投资性房地产,"45,595,627.99","44,589,210.34","43,722,185.09","43,445,038.46","43,368,853.37","43,090,428.02","42,812,002.67","42,533,584.40","42,255,166.13","41,976,747.86","41,698,329.59","41,419,911.32","107,765,758.50"
预计负债,,,,,,,,,,,,,
固定资产,"37,442,652.60","34,258,713.67","31,032,402.43","30,496,524.30","29,633,739.37","28,742,488.97","27,934,949.94","27,942,281.14","26,231,545.24","32,269,463.08","36,533,624.47","36,705,295.85","47,652,538.96"
递延所得税负债,,,,,,,,,,,,,
在建工程,"23,612,049.45","25,076,274.76","41,747,578.31","41,751,216.00","41,780,878.38","41,813,093.78","42,753,756.34","42,854,963.35","45,971,502.87","57,393,442.89","68,659,407.59","74,508,178.38","26,568,015.92"
其他非流动负债,,,,,,,,"36,404,739.54",,"36,245,583.84",,"36,154,448.42",
工程物资,"202,440.00","202,440.00","100,988.18","15,148.23","15,148.23","15,148.23",,,,,,,
非流动负债合计,"5,585,980.62","5,331,264.78","16,375,907.34","17,005,339.60","16,934,771.86","36,364,204.12","36,648,054.15","36,538,015.24","36,432,130.29","36,321,980.82","70,853,117.20","70,385,035.66","68,458,753.33"
固定资产清理,,,,,,,,,,,,,
负债合计,"153,751,779.01","223,492,863.96","233,872,963.00","177,880,474.78","214,591,964.81","192,345,796.26","237,277,612.71","211,737,291.68","236,894,002.08","367,552,367.54","331,505,860.24","293,865,628.03","455,433,380.17"
生产性生物资产,,,,,,,,,,,,,
实收资本(或股本),"56,000,000.00","56,000,000.00","56,000,000.00","56,000,000.00","74,680,000.00","74,680,000.00","74,680,000.00","74,680,000.00","74,680,000.00","74,680,000.00","74,680,000.00","74,680,000.00","74,680,000.00"
油气资产,,,,,,,,,,,,,
资本公积,"65,214,602.56","65,214,602.56","65,214,602.56","65,214,602.56","152,705,254.25","152,705,254.25","152,705,254.25","152,705,254.25","152,705,254.25","152,705,254.25","152,705,254.25","152,705,254.25","152,705,254.25"
无形资产,"6,461,877.63","6,186,002.14","6,028,832.87","5,928,948.44","5,829,064.01","5,751,031.43","5,660,162.24","5,557,785.83","6,343,804.79","6,195,585.53","6,063,725.99","5,964,586.31","5,928,908.15"
盈余公积,"8,006,112.72","8,065,667.13","9,624,188.26","9,624,188.26","9,624,188.26","9,624,188.26","10,261,564.87","10,261,564.87","10,261,564.87","10,261,564.87","19,244,930.83","19,244,930.83","19,244,930.83"
开发支出,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,
未分配利润,"87,990,646.30","114,603,424.04","139,334,005.76","143,174,180.85","153,977,100.12","164,159,521.28","174,131,384.64","181,541,066.48","186,720,059.46","202,850,196.09","198,904,575.94","190,295,810.38","190,925,323.47"
长期待摊费用,,,"424,160.00","388,813.33","353,466.67","318,120.01","294,087.64","247,426.69","736,204.15","722,206.43","653,613.36","563,113.83","468,856.42"
少数股东权益,,,"346,139.35","311,686.87","275,537.32","234,931.91","3,885,676.79","7,271,255.39","5,488,967.23","5,840,774.57","6,366,949.10","5,957,060.20","17,261,847.43"
