科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"4,678,667.69","4,490,284.22","2,554,130.99","4,926,553.05","31,706,809.12","35,084,107.06","82,934,489.16","78,537,380.87","75,369,815.96","50,731,918.84","16,392,987.10","64,192,094.04","84,328,785.13","67,572,946.26","75,308,513.23","101,305,807.56","90,918,156.67","73,029,458.78","66,379,517.05","69,461,769.40","86,400,281.52","94,360,814.84","67,203,525.30","86,665,225.20","73,855,733.03","79,246,456.33","78,882,746.44","101,214,424.58","76,374,658.41","78,611,462.56","95,080,665.61","101,598,861.39","77,046,090.36","82,271,705.38","57,242,149.83","67,038,723.66","52,566,481.29","40,947,777.22","92,874,532.94","74,010,998.05","48,102,358.06","42,146,911.82","419,991,004.34","411,625,148.13","415,250,351.35","453,976,050.55"
短期借款,"81,278,650.00","91,224,040.00","95,219,000.00","78,539,000.00","83,760,000.00","79,487,920.00","92,687,920.00","101,460,000.00","107,200,000.00","100,460,000.00","105,500,000.00","106,500,000.00","104,500,000.00","71,690,000.00","77,090,000.00","79,020,000.00","61,000,000.00","73,379,000.00","82,959,725.85","78,580,000.00","62,330,000.00","103,390,860.60","12,180,000.00","64,645,528.00","85,010,000.00","128,080,000.00","105,000,000.00","114,690,000.00","110,720,000.00","127,820,000.00","144,670,000.00","83,290,000.00","112,700,000.00","86,865,450.94","64,138,927.24","60,070,290.49","81,707,443.86","78,469,710.20","84,375,074.00","74,056,000.00","40,930,000.00","35,070,000.00","38,002,050.00","29,256,850.00","29,256,850.00",
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"18,241,050.00","28,344,040.00","33,709,000.00","16,339,000.00","4,933,000.00","39,130,320.00","17,403,620.00","19,846,420.00","26,739,420.00","40,199,660.00","75,065,710.00","64,670,082.80","75,105,009.19","92,516,437.08","90,533,975.56","62,292,478.95","31,548,391.63","67,583,941.43","74,191,516.47","62,249,894.84","28,377,191.63","71,651,721.20","38,782,668.93","27,509,239.17","42,541,976.84","67,054,111.04","43,338,118.97","35,195,349.10","33,988,583.93","47,636,647.90","66,858,855.71","52,226,897.36","62,830,446.63","54,160,190.73","29,487,617.17","28,251,106.32","48,630,704.02","54,050,907.03","44,932,258.81","38,742,280.95","10,930,000.00","23,400,903.76",,,,"1,375,000.00"
应付票据,"2,218,991.00","1,756,834.00","995,223.00","639,641.00","33,550,000.00","39,220,000.00","73,870,000.00","43,446,420.00","73,861,020.00","56,864,600.00","45,789,000.00","55,839,000.00","67,300,000.00","79,680,000.00","77,850,000.00","86,570,000.00","77,563,000.00","74,063,000.00","77,422,590.62","66,692,590.62","76,140,000.00","71,392,000.00","62,708,000.00","52,354,000.00","70,706,000.00","75,060,000.00","80,030,000.00","91,030,000.00","75,000,000.00","70,000,000.00","78,990,000.00","59,470,000.00","65,490,000.00","57,980,000.00","36,980,000.00","48,000,000.00","34,850,000.00","33,000,000.00","44,120,000.00","45,650,000.00","43,595,000.00","35,975,000.00",,,,
应收账款,"51,297,853.87","54,029,868.18","48,670,428.00","41,039,886.45","61,822,745.54","57,675,316.40","52,335,675.68","52,033,633.89","62,391,707.75","74,553,943.26","103,735,296.94","81,910,848.80","86,954,105.97","69,443,775.20","71,853,912.61","66,501,408.98","74,623,833.98","59,300,405.58","81,448,912.63","62,374,862.50","55,060,857.30","51,478,970.75","53,776,881.68","51,989,787.73","56,848,519.03","51,136,694.20","39,442,858.73","48,651,388.96","44,295,598.34","57,184,151.86","49,907,733.67","49,545,473.36","45,553,435.46","52,911,539.86","40,980,844.95","64,392,619.30","53,516,408.51","64,669,279.46","51,592,735.47","76,709,287.52","57,073,822.66","68,670,789.52","426,776,881.45","514,182,588.99","501,360,026.62","573,380,531.57"
应付账款,"43,120,093.97","46,319,237.69","42,148,103.87","40,784,183.24","48,652,782.80","53,696,066.09","58,176,047.14","49,447,817.77","49,550,256.98","59,093,456.32","67,231,972.40","73,756,981.77","77,182,302.62","80,041,325.06","77,130,555.98","82,327,310.43","86,234,666.59","73,720,994.12","71,180,442.90","72,747,024.62","73,433,205.81","82,172,730.64","57,963,878.30","58,071,615.93","73,866,596.47","75,519,293.53","47,928,393.59","45,853,587.04","52,216,416.22","88,413,188.21","61,293,650.83","85,536,695.89","86,017,016.23","93,654,090.34","83,819,984.10","95,994,532.90","105,195,214.13","141,878,218.07","117,438,802.91","140,735,056.43","93,616,063.56","131,756,353.25","27,450,466.21","86,827,104.68","57,973,346.01","126,240,032.13"
预付款项,"23,514,581.80","22,615,209.01","22,638,668.18","12,601,201.74","42,707,377.01","17,858,971.23","53,542,962.91","7,885,396.33","38,255,161.56","25,269,559.99","6,676,217.37","5,908,229.40","9,158,043.24","11,972,720.30","7,433,804.95","2,337,955.93","3,668,714.65","17,322,437.75","9,320,412.84","7,712,567.88","22,802,479.39","21,852,495.14","16,380,508.50","7,729,769.62","15,968,549.85","4,862,312.01","15,763,566.58","5,819,095.15","5,730,169.39","8,726,046.30","6,519,210.14","8,147,739.05","12,503,897.66","6,801,545.96","25,538,857.57","4,650,636.74","4,472,029.28","4,082,918.46","1,595,495.67","4,747,616.35","7,782,548.21","4,909,255.16","42,935,890.15","37,635,010.85","37,339,263.25","39,751,672.20"
预收款项,"4,360,376.84","5,251,537.08","5,740,712.90","3,536,434.51","3,212,381.46","5,192,467.54","4,132,429.69","3,553,176.44","5,210,424.03","3,125,138.61","4,584,844.29","4,808,438.54","4,657,835.00","3,823,853.31","3,740,434.53","2,021,624.36","2,771,017.94","2,036,006.54","1,713,963.85","1,441,193.42","1,250,264.31","1,241,315.23","641,104.48","1,022,922.52","839,515.46","553,601.92","852,363.79","580,653.37","1,015,907.54","1,072,022.00","979,273.47","977,401.70","1,398,590.93","1,241,395.93","1,271,767.57","1,219,765.53","960,042.04","2,007,971.15","1,168,150.29","1,330,302.52","1,182,145.23","686,315.09","17,513,991.69","41,224,619.15","538,588.73","59,147,090.91"
