科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"682,470.95","44,287,720.85","64,743,818.30","23,371,587.63","287,539,779.75","264,925,248.93","235,766,577.70","214,531,963.83","244,114,132.86","139,780,172.26","171,373,473.46","125,990,257.03","113,571,542.22","125,856,594.87","47,337,711.93","70,448,585.13","70,309,317.77","116,677,771.86","64,777,788.66","225,181,582.07","107,216,849.11","205,840,413.18","221,515,361.63","234,407,811.72","212,122,536.52","270,376,765.07","212,902,714.33"
短期借款,,"5,000,000.00","55,600,000.00","35,799,989.36","7,999,989.36","7,999,989.36","7,999,989.36",,"50,000,000.00","50,000,000.00","55,000,000.00","62,970,000.00","70,140,260.00","75,000,000.00","82,652,340.85","117,166,946.88","141,500,000.00","213,500,000.00","238,000,000.00","334,500,000.00","250,300,000.00","475,720,000.00","639,058,885.85","557,192,231.39","618,925,941.01","624,684,413.85","582,824,162.49"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,"48,703,020.00","48,703,020.00","48,703,020.00","97,650,320.00","48,947,300.00","48,821,500.00","48,821,500.00","89,269,120.00","188,452,000.00",
应收票据,"3,454,838.52","8,989,901.22","9,735,902.85","20,034,050.80","29,930,221.26","43,376,656.61","59,980,535.95","46,343,263.88","40,150,468.07","64,387,049.93","95,607,218.57","86,536,467.37","57,784,735.52","59,207,494.78","202,641,343.41","109,790,533.67","52,737,783.87","66,476,789.07","122,653,113.18","120,565,504.16","133,101,078.58","119,276,101.07","307,518,315.15","237,276,633.38","249,016,644.58","238,523,133.99","217,551,820.97"
应付票据,,"8,174,547.42","23,721,289.42","17,999,702.53","26,961,517.89",,"48,829,289.04","40,523,945.44","27,771,189.03","47,459,685.61","55,139,809.11","53,097,941.67","43,300,734.27","62,026,329.15","93,361,650.78","79,167,263.12","50,976,561.22","41,941,592.50","46,721,090.84","170,179,845.77","107,991,603.70","53,588,092.28","68,572,930.58","93,766,219.51","34,858,551.73","88,606,211.74","59,486,652.12"
应收账款,"22,789,052.98","29,644,352.68","51,949,294.09","48,596,612.73","57,753,409.32","79,123,313.95","71,450,808.79","61,271,537.60","83,557,819.23","86,545,667.20","105,531,102.77","86,152,685.73","129,967,836.85","176,551,541.93","182,503,827.93","146,420,340.05","135,826,652.57","168,240,785.79","171,040,240.63","335,867,105.75","405,631,535.06","400,779,275.86","371,197,258.77","290,060,724.04","406,386,792.97","550,195,525.21","440,150,648.04"
应付账款,"20,691,768.66","32,972,946.25","37,747,445.38","36,418,256.31","49,408,609.72","68,231,165.77","60,496,193.12","45,290,684.66","79,449,362.52","79,644,668.49","89,141,933.33","80,388,555.49","118,436,273.65","160,236,670.17","141,041,213.94","104,685,606.76","124,836,471.27","162,242,435.99","193,330,014.14","588,124,416.22","620,532,930.47","504,847,394.54","443,728,886.84","361,125,850.39","485,410,878.43","661,600,246.44","295,588,599.63"
预付款项,"2,341,016.77","6,910,827.18","4,350,215.98","7,073,640.35","16,685,484.91","21,936,027.60","28,717,963.14","27,327,825.18","20,347,696.58","34,229,722.79","15,092,053.36","74,895,542.52","80,366,333.13","48,061,869.21","7,363,652.31","16,739,798.81","13,704,415.19","12,854,938.36","9,030,794.90","12,027,342.09","11,267,061.36","6,827,341.58","9,746,942.05","10,676,737.89","6,953,117.51","13,090,128.41","11,700,534.46"
预收款项,"405,368.15","854,481.74","279,022.80","686,675.14","347,328.33","416,498.46","372,576.18","413,598.44","701,119.13","2,232,860.98","639,808.86","4,486,725.67","698,021.79","957,465.23","2,168,809.58","931,457.82","1,220,189.82","2,402,906.09","2,734,366.63","6,365,177.61","7,451,804.52","4,206,423.44","5,968,488.89","8,980,831.76","5,595,453.38","10,085,833.83","12,013,810.26"
