科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"227,700,106.14","248,835,881.51","273,775,944.93","145,899,346.33","231,424,373.42","316,684,966.68","71,381,910.18","210,922,306.00","356,359,527.29","483,484,366.51","100,781,941.84","234,910,790.21","399,794,994.35","567,894,429.66","121,867,675.86","306,784,476.87","507,284,639.24","705,603,497.18","167,872,363.75","377,830,692.90","599,081,238.68","916,903,892.35","175,580,707.62","484,377,333.09","736,957,112.58","1,024,065,450.63","191,032,107.82","505,871,029.09","748,069,081.66","1,086,059,416.82","251,165,600.79","586,194,401.73","901,883,796.64","1,240,987,227.75"
二、营业利润,"23,071,553.35","33,133,194.35","42,744,400.23","28,283,012.54","37,778,334.14","57,035,297.08","11,152,190.46","34,040,112.32","52,893,301.06","66,418,217.15","10,829,979.38","26,010,262.87","44,289,218.35","52,122,629.53","9,635,495.08","27,870,566.28","44,856,596.92","59,612,659.59","12,089,807.84","35,584,114.10","55,959,837.09","110,892,007.18","15,470,407.08","72,812,504.53","102,800,823.18","130,438,700.99","16,984,802.71","77,866,067.10","106,781,331.62","137,029,655.90","19,197,811.16","84,706,888.38","132,884,424.09","174,653,834.69"
减:营业成本,"152,886,317.14","157,697,454.78","178,641,571.65","92,787,943.12","152,748,599.87","204,916,579.02","47,113,855.42","143,167,351.69","242,456,917.94","329,959,411.93","67,592,423.02","165,211,714.89","281,566,191.59","396,256,823.70","86,065,809.59","220,472,580.46","365,645,425.07","500,948,516.98","119,206,120.59","268,548,173.77","427,179,308.74","618,156,426.60","122,735,306.67","326,207,866.72","491,377,037.50","676,167,509.19","133,111,536.89","327,729,260.39","488,591,278.65","714,750,264.01","168,064,046.63","375,710,668.52","583,597,894.02","757,592,114.26"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,698,288.18","1,934,740.51","2,212,220.40","1,219,975.70","1,823,897.66","2,508,804.74","346,662.70","968,228.74","1,813,933.96","2,664,057.65","598,777.47","1,365,253.30","2,110,681.44","3,411,568.24","661,725.12","1,777,711.24","2,902,655.12","4,254,974.41","712,654.11","1,932,663.62","3,391,345.72","5,099,544.89","1,521,194.86","3,695,028.27","5,751,265.76","7,265,687.99","979,590.49","3,228,485.87","4,766,471.12","10,070,766.50","2,789,252.23","5,840,111.46","9,284,554.73","12,690,002.91"
营业外收入,"18,600.00","96,853.70","354,314.29","129,846.32","485,808.00","1,224,286.05","65,281.53","167,880.88","1,230,636.52","9,500,055.56","427,324.99","877,741.74","1,605,363.07","1,812,543.88","462,181.69","623,324.46","2,253,140.35","3,737,511.52","518,675.73","1,583,479.44","4,792,016.66","5,857,256.11","342,109.69","2,050,852.34","2,671,908.11","3,833,104.18","1,911,853.36","5,776,126.03","10,549,907.63","11,254,312.03","835,192.11","3,304,620.96","4,238,903.69","1,297,297.88"
销售费用,"11,013,961.24","10,215,803.54","14,018,142.43","8,591,898.80","12,902,992.90","17,700,724.51","4,673,379.68","13,370,401.77","23,038,630.21","34,608,144.93","8,146,055.21","17,411,204.30","28,406,674.59","42,061,719.38","8,650,283.99","21,292,422.88","35,051,379.98","50,762,676.72","14,891,904.17","28,758,211.78","44,621,455.30","65,782,870.33","13,966,739.48","36,052,885.29","56,426,740.52","82,414,985.83","15,593,852.74","39,841,979.59","59,708,756.61","93,824,682.68","24,233,335.89","47,248,987.62","74,012,171.94","137,297,354.66"
减:营业外支出,"1,594,850.41","363,087.92","632,040.26","31,293.15","347,309.02","811,279.57","9,511.75","82,999.35","462,865.63","795,041.12","7,442.06","164,568.51","203,461.11","244,592.81","14,026.04","58,928.15","104,503.37","240,110.09","203,402.55","257,828.24","311,317.48","579,879.23","99,458.32","233,047.29","803,990.50","1,341,176.42","58,998.30","59,393.44","121,407.91","683,264.58","97,831.18","97,832.77","138,488.75","834,943.96"
管理费用,"38,279,231.88","46,120,067.77","41,026,033.22","15,119,123.79","26,651,179.46","40,057,589.10","12,060,558.19","29,000,796.55","49,105,663.64","69,808,776.13","17,834,346.85","35,538,013.72","57,065,635.45","89,992,164.11","19,189,943.09","41,497,988.28","67,492,030.50","105,167,482.18","23,535,233.82","49,289,956.29","75,980,189.27","130,976,905.15","26,014,436.00","50,057,166.01","81,360,790.48","132,280,276.00","26,292,555.37","59,805,555.90","93,896,726.99","144,802,301.54","37,804,611.11","74,300,461.89","108,546,641.39","185,722,936.74"
其中:非流动资产处置净损失,"1,454,454.56","75,228.09","189,125.49","23,406.12","139,421.99","160,268.85","8,369.69","55,817.93","74,158.06","148,083.57","6,807.94","157,934.39","182,270.66","185,847.05","4,089.50","47,991.61","38,767.99","171,374.71","46,456.34","83,359.43","105,821.65","196,483.40","49,140.24","73,194.88","631,879.81","1,126,197.15","32,970.36","32,970.36","94,784.83","170,210.73","17,831.18","17,831.18","55,826.66",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,551,604.68","4,672,631.06","-1,006,995.40","1,673,221.22","2,342,842.02","-319,288.14","-2,031,672.24","-4,128,783.22","-6,219,662.10","-9,350,207.18","-2,688,750.61","-5,125,811.24","-6,461,694.81","-7,366,693.20","-991,555.34","-1,550,914.18","-2,082,574.01","-3,150,980.39","-1,325,435.90","-1,535,581.19","-2,337,222.02","-1,172,653.44","-1,328,012.95","-2,353,184.40","-3,458,613.66","-4,726,751.80","-1,111,823.30","-2,554,596.90","-4,881,803.08","-7,408,035.61","-1,219,832.15","-3,100,029.72","-7,004,749.92","-11,729,025.16"
三、利润总额,"21,495,302.94","32,866,960.13","42,466,674.26","28,381,565.71","37,916,833.12","57,448,303.56","11,207,960.24","34,124,993.85","53,661,071.95","75,123,231.59","11,249,862.31","26,723,436.10","45,691,120.31","53,690,580.60","10,083,650.73","28,434,962.59","47,005,233.90","63,110,061.02","12,405,081.02","36,909,765.30","60,440,536.27","116,169,384.06","15,713,058.45","74,630,309.58","104,668,740.79","132,930,628.75","18,837,657.77","83,582,799.69","117,209,831.34","147,600,703.35","19,935,172.09","87,913,676.57","136,984,839.03","175,116,188.61"
资产减值损失,"1,683,842.52","730,098.31","2,512,970.99","1,614,026.24","2,787,115.86","2,663,221.42","384,860.18","287,479.02","727,450.77","896,597.68","590,435.15","128,045.82","1,038,954.91","2,409,916.87","1,689,066.57","2,404,579.35","2,691,042.72","1,210,540.06","2,030,310.97","3,561,964.81","5,527,686.60","3,546,776.11","1,571,597.35","3,074,177.13","12,426,902.98","15,115,725.10","2,185,742.91","3,320,229.41","4,912,786.59","4,352,616.05","3,434,594.42","5,739,245.31","7,117,035.20","8,023,638.86"
减:所得税,"4,012,510.93","4,108,406.17","3,719,996.38","3,936,764.39","5,138,410.81","6,635,288.74","1,443,632.14","4,211,079.82","7,217,250.75","8,938,543.71","1,396,397.48","2,303,700.31","6,422,384.26","4,193,492.83","1,211,317.46","2,164,588.69","4,351,441.12","5,846,794.42","878,694.44","2,987,634.43","5,572,949.31","14,240,008.49","1,464,820.16","9,535,044.39","13,871,645.44","17,871,161.27","2,540,809.36","10,717,393.03","15,659,023.52","24,739,458.43","1,155,675.34","7,997,739.11","16,862,309.32","24,802,537.21"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"2,484,692.85","5,668,108.81","6,372,398.59","3,389,855.08","5,610,588.49","7,877,961.05","2,317,924.21","5,783,280.87","7,456,708.19","11,520,631.78","2,121,324.63","5,627,893.45","8,220,667.17","10,993,698.97","3,033,092.24","6,980,457.44","9,271,917.06","13,202,372.37","3,268,231.85","8,308,810.28","11,241,362.02","16,377,984.47","4,370,960.87","5,169,110.46","9,727,834.18","14,890,682.67","3,004,149.99","3,365,952.27","5,706,466.84","11,362,834.25","3,138,218.50","4,251,931.73","6,554,174.81","13,720,178.29"
四、净利润,"17,482,792.01","28,758,553.96","38,746,677.88","24,444,801.32","32,778,422.31","50,813,014.82","9,764,328.10","29,913,914.03","46,443,821.20","66,184,687.88","9,853,464.83","24,419,735.79","39,268,736.05","49,497,087.77","8,872,333.27","26,270,373.90","42,653,792.78","57,263,266.60","11,526,386.58","33,922,130.87","54,867,586.96","101,929,375.57","14,248,238.29","65,095,265.19","90,797,095.35","115,059,467.48","16,296,848.41","72,865,406.66","101,550,807.82","122,861,244.92","18,779,496.75","79,915,937.46","120,122,529.71","150,313,651.40"
其中:对联营企业和合营企业的投资权益,"1,040,057.57","6,521,998.66","6,372,398.59","3,389,855.08","5,610,588.49","7,877,961.05","2,317,924.21","5,783,280.87","7,456,708.19","11,778,572.91","2,121,324.63","5,933,889.77","8,526,663.49","11,299,695.29","3,033,092.24","6,980,457.44","9,271,917.06","13,202,372.37","3,268,231.85","8,308,810.28","11,241,362.02","16,377,984.47","4,370,960.87","5,169,110.46","9,727,834.18","14,549,410.49","3,004,149.99","3,365,952.27","5,706,466.84","11,362,834.25","3,138,218.50","4,251,931.73","6,554,174.81","13,603,917.97"
归属于母公司所有者的净利润,"17,482,792.01","28,758,553.96","38,746,677.88","24,444,801.32","32,778,422.31","50,813,014.82","9,764,328.10","27,793,558.07","42,028,354.53","61,489,109.16","10,278,443.01","25,974,193.26","38,802,495.08","47,660,309.36","9,227,305.29","24,265,406.81","37,009,369.72","47,697,316.89","9,738,125.61","26,179,852.76","41,204,474.16","87,125,077.50","11,575,568.78","54,307,222.69","77,006,893.50","100,323,076.71","12,409,329.68","61,295,653.63","84,934,357.55","103,035,054.44","16,871,732.33","70,900,433.88","103,063,593.81","129,445,459.12"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,"2,120,355.96","4,415,466.67","4,695,578.72","-424,978.18","-1,554,457.47","466,240.97","1,836,778.41","-354,972.02","2,004,967.09","5,644,423.06","9,565,949.71","1,788,260.97","7,742,278.11","13,663,112.80","14,804,298.07","2,672,669.51","10,788,042.50","13,790,201.85","14,736,390.77","3,887,518.73","11,569,753.03","16,616,450.27","19,826,190.48","1,907,764.42","9,015,503.58","17,058,935.90","20,868,192.28"
