科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"246,765,674.05","300,653,391.56","437,822,562.17","87,471,793.20","250,704,474.48","352,342,389.27","447,928,620.80","196,957,555.21","347,809,680.81","504,193,358.02","673,977,703.45","97,315,581.09","309,382,074.46","473,049,317.24","650,493,540.29","191,682,831.38","470,750,465.85","688,649,639.94","924,231,736.37","257,424,374.26","580,776,866.76","711,184,187.38","959,142,834.59","327,122,158.00","542,717,313.64","676,021,844.26","829,036,323.24","223,211,702.64","595,444,901.28","902,344,131.71","940,891,051.68","197,853,391.38"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"9,456,581.38","36,956,581.38","36,956,581.38",,,,,,,,,,,,"73,525,103.14",,,,"19,998,287.00",
收到的税费返还,,,"134,072.02","27,387.86","27,387.86","49,015.98","49,015.98",,,,"1,108,162.84","6,751.38","8,338.63","162,433.89","590,988.08","4,559.93",,"71,086.62","48,217.78","116,186.82","174,627.98","180,734.45",,"280,451.27","431,933.81","836,923.58","748,037.04","364,000.52","1,237,786.53","4,442,592.91","6,783,568.19","1,505,032.59"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"15,000,000.00","15,000,000.00",,,,,,,,,,
收到其他与经营活动有关的现金,"35,650,157.60","53,471,216.37","22,868,934.77","892,383.35","1,195,753.75","1,476,876.78","20,047,804.72","10,193,485.98","12,773,306.68","16,825,375.40","17,072,002.73","1,808,088.86","14,598,208.46","17,821,916.08","24,325,690.01","1,412,629.16","6,009,744.99","8,871,957.68","20,223,461.69","1,482,194.46","6,017,513.56","8,004,514.33","33,251,003.48","1,632,786.84","2,285,877.75","5,266,651.40","9,339,922.51","3,072,971.37","4,608,133.98","11,731,555.23","15,920,094.74","7,360,682.55"
投资活动现金流出小计,"90,695,614.31","259,029,752.72","22,172,426.32","1,856,422.38","9,835,256.38","16,155,245.19","106,203,650.95","12,470,298.61","19,212,699.22","35,004,153.63","53,093,321.79","25,920,203.71","45,277,672.68","84,491,168.01","100,235,123.97","15,857,731.02","81,996,240.21","124,412,148.10","156,026,987.61","19,579,840.54","55,070,648.21","64,910,390.65","606,652,591.29","459,942,672.29","946,178,409.36","1,244,750,268.95","1,494,426,970.12","191,534,471.32","616,768,700.96","742,324,988.57","183,134,543.90","414,688,078.34"
经营活动现金流入小计,"282,415,831.65","354,124,607.93","460,825,568.96","88,391,564.41","251,927,616.09","353,868,282.03","468,025,441.50","207,151,041.19","360,582,987.49","521,018,733.42","692,157,869.02","99,130,421.33","323,988,621.55","491,033,667.21","675,410,218.38","193,100,020.47","476,760,210.84","697,592,684.24","944,503,415.84","259,022,755.54","586,969,008.30","719,369,436.16","992,393,838.07","329,035,396.11","545,435,125.20","682,125,419.24","839,124,282.79","226,648,674.53","601,290,821.79","918,518,279.85","963,594,714.61","206,719,106.52"
投资活动产生的现金流量净额,"-20,150,099.87","-53,149,154.18","8,124,187.31","-1,846,422.38","-9,775,256.38","-16,095,245.19","-106,080,650.95","-12,469,148.61","-19,211,549.22","-34,740,813.63","-51,929,331.79","-25,918,244.11","-45,275,713.08","-84,441,933.66","-100,166,901.29","-15,837,731.02","-81,990,677.99","-124,356,490.30","-155,916,978.23","-19,578,840.54","-55,015,648.21","-49,862,590.65","-605,752,695.72","-6,257,333.66","-54,078,006.80","-57,308,450.83","-57,608,418.55","175,429,992.96","98,284,003.99","171,409,760.66","128,377,098.44","18,532,862.18"
购买商品、接受劳务支付的现金,"154,473,220.01","164,808,319.89","262,260,546.55","75,230,095.65","166,585,283.03","272,373,854.01","377,934,011.37","95,701,428.30","225,931,699.09","316,818,443.65","463,836,352.36","95,033,850.88","238,112,363.61","367,832,700.89","542,803,020.63","143,628,127.19","302,510,314.58","462,766,701.84","606,905,355.24","163,260,022.74","338,936,008.82","467,673,394.09","597,594,397.02","178,089,507.89","302,502,448.61","401,263,012.39","466,024,564.30","311,347,298.75","579,961,654.03","761,838,442.80","585,987,956.68","251,411,902.82"
吸收投资收到的现金,,,,,"562,836,420.00","562,836,420.00","562,186,420.00",,,,"373,078.42",,"190,213.50","1,565,060.70","2,165,761.38",,,,,,,,"587,318,954.63",,,,,"2,900,500.00","2,900,500.00","2,900,500.00","2,900,500.00","1,000,000.00"
