科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"19,022,950.46","29,381,236.00","70,990,843.00","103,568,595.00","14,340,683.00","30,760,857.00","39,462,608.00","46,881,258.00","6,445,026.00","12,487,503.00","20,176,605.00","27,517,759.00","1,924,354.00","5,280,588.00","7,521,544.00","9,351,110.00","3,169,625.00","5,528,810.00","7,992,076.00","9,850,484.00","2,500,956.00","5,019,787.00","7,273,861.00","11,095,669.00","2,430,392.00","4,990,626.00","7,580,884.00","26,998,990.00","2,432,585.00","5,077,451.00","8,032,138.00","11,015,403.00","3,017,384.00","5,569,686.00","2,916,615,389.84","4,010,358,999.58","924,667,155.55","1,953,574,755.51","3,233,597,223.19","4,664,999,117.17","1,059,865,573.83","3,025,082,356.80","4,685,207,526.32","6,497,124,980.52","923,442,740.92","1,586,971,575.24","2,259,055,189.05","2,426,987,687.02","152,514,127.64"
二、营业利润,"-24,990,106.79","-33,772,611.00","-51,859,659.00","-112,501,891.00","-2,173,453.00","-4,418,876.00","-9,751,527.00","-26,089,064.00","-1,848,453.00","-1,376,856.00","-469,091.00","11,905,069.00","-3,543,478.00","5,365,210.00","6,296,885.00","2,328,181.00","-4,165,220.00","-8,268,334.00","-12,329,302.00","-17,466,634.00","-238,285.00","-1,234,684.00","-3,196,941.00","264,217.00","-2,645,703.00","-1,708,492.00","-2,237,596.00","8,445,604.00","-1,144,673.00","740,248.00","1,175,117.00","3,433,977.00","-390,827.00","-608,576.00","324,124,581.43","431,436,691.98","94,854,920.20","213,063,051.16","338,016,528.82","556,497,654.12","124,548,550.63","331,347,066.35","500,815,653.72","507,863,179.08","66,653,339.55","-16,728,436.25","-173,156,353.80","-1,449,558,758.67","-128,964,725.66"
减:营业成本,"18,656,362.45","31,429,194.00","79,380,067.00","119,387,919.00","12,208,985.00","29,929,555.00","35,595,169.00","41,341,329.00","4,404,659.00","11,614,318.00","20,238,958.00","22,624,986.00","1,625,230.00","2,360,424.00","3,188,566.00","4,323,089.00","1,761,091.00","2,331,440.00","3,547,980.00","4,269,140.00","1,087,742.00","2,199,834.00","2,871,722.00","5,413,356.00","948,594.00","2,073,313.00","2,636,266.00","9,461,003.00","724,283.00","1,446,029.00","2,166,988.00","3,760,752.00","720,960.00","1,922,683.00","2,344,122,874.48","3,165,027,185.66","725,086,112.57","1,460,727,131.33","2,452,777,768.51","3,459,377,744.66","792,699,521.00","2,319,598,615.76","3,657,257,165.36","4,886,354,499.66","694,723,215.49","1,312,212,102.46","1,970,673,537.82","2,449,500,634.87","129,968,630.28"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,270.79",,,"1,833.00",,,,458.00,,,,540.00,857.00,,,,,,,"447,517.00","93,516.00","158,799.00","269,633.00","487,000.00","125,716.00","230,666.00","371,339.00","597,749.00","116,647.00","256,140.00","351,188.00","652,215.00","167,247.00","308,387.00","56,906,003.26","79,485,669.04","15,324,842.63","9,026,652.11","9,029,321.48","9,651,529.46","654,554.35","1,942,587.29","2,386,723.94","4,533,005.61","623,963.17","2,106,518.05","2,852,388.84","4,790,660.57","426,847.49"
营业外收入,"1,094.30","50,348.00","56,384.00","94,621.00",,,118.00,116.00,"2,339.00","26,598.00","48,482.00","552,940.00",,,190.00,"38,382.00","8,466.00","8,413.00","8,332.00","8,308.00","5,174.00","29,563.00","29,602.00","29,498.00","1,942.00","3,929.00","1,725,229.00","1,923,105.00",,,"4,894.00","1,526,154.00",,,"405,739.61","380,733.08",,"29,133,269.00","29,136,122.16","26,427,042.86","7,714.78","4,444,624.78","4,708,455.09","156,426.78","188,488,727.79","179,220,495.20","205,066,020.08","128,699,835.85",
销售费用,"4,784,513.36","6,074,417.00","7,097,097.00","8,606,930.00","1,032,294.00","1,392,540.00","2,133,113.00","2,629,457.00","799,222.00","1,147,721.00","1,675,268.00","2,267,860.00","244,011.00","377,292.00","527,740.00","687,772.00",,,,"282,627.00","75,074.00",,,"295,678.00","91,723.00",,,"300,128.00","73,907.00",,,"333,548.00","80,060.00",,"10,539,011.91","13,686,172.10","2,429,168.94","9,259,264.24","18,366,539.49","30,318,688.27","5,524,280.43","18,094,586.39","23,281,434.80","32,213,247.97","2,926,234.68","16,521,622.08","18,463,113.78","28,300,802.42","678,202.81"
减:营业外支出,471.41,"2,132,866.00","11,815,965.00","12,002,260.00","13,950.00","33,995.00","68,789.00","79,687.00",220.00,"7,845.00","10,982.00","790,188.00",60.00,259.00,"1,050.00","40,332.00",,"1,517.00","1,503.00","8,088.00",,"2,982,015.00","2,982,915.00","582,915.00","19,024.00","2,419,043.00","19,043.00","134,222.00",,"1,918.00","6,918.00","219,259.00",,,"971,667.76","1,025,395.57",,"2,755,912.00","2,892,580.00","21,586,940.28","377,750.50","93,122.33","508,950.45","-3,030,152.73","403,952.94","636,300.62","841,479.08","395,623,593.98",
管理费用,"14,866,810.39","23,615,977.00","29,954,499.00","34,992,178.00","3,160,446.00","5,502,329.00","9,913,775.00","10,098,033.00","2,276,214.00","3,061,042.00","5,053,897.00","7,977,421.00","1,973,276.00","4,297,439.00","6,116,880.00","8,868,792.00","1,695,091.00","4,316,273.00","6,028,863.00","8,000,296.00","2,100,061.00","4,358,499.00","6,404,547.00","7,567,920.00","2,006,565.00","4,050,058.00","6,210,853.00","8,073,279.00","1,957,807.00","3,550,910.00","5,607,384.00","11,889,671.00","2,627,518.00","4,090,387.00","107,924,317.65","154,562,327.86","42,252,271.83","112,993,754.29","196,940,207.67","313,930,733.58","65,256,604.52","125,176,758.15","206,493,833.92","312,957,207.20","73,133,254.43","127,907,861.56","185,124,556.07","311,698,800.53","47,113,359.52"
其中:非流动资产处置净损失,471.41,,,"2,258,181.00",,,,,,,,,,,,"39,237.00",,,,,,,,,,"19,043.00","19,043.00","32,666.00",,"1,918.00",,"212,341.00",,,"31,839.34","85,567.15",,,,"564,833.40",,,,,,,,,
