科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"50,444,428.98","11,927,602.76","22,800,595.04","24,636,989.47","568,069,415.75","383,796,656.18","507,913,598.94","528,338,861.08","473,284,437.86","475,621,900.72","358,105,540.80","361,814,016.96","366,705,320.53","297,638,343.47","302,172,232.00","312,583,390.23","473,352,245.68","469,474,607.29","478,066,717.61","304,137,672.21","337,005,662.46","307,022,346.73","206,163,814.51","232,223,213.57","354,178,982.14","217,801,103.08","306,598,862.53","375,927,251.75","416,483,109.12","399,925,511.84","335,241,369.80","424,816,935.00","779,746,054.57","615,785,282.21","640,645,006.63","718,549,526.52","641,773,838.95","358,849,308.44"
短期借款,"43,355,360.00","51,390,000.00","56,353,924.86","82,443,500.00","65,000,000.00","51,460,782.09","156,460,782.09","211,373,549.08","135,387,765.56","202,419,011.22","171,492,384.80","215,184,143.56","267,816,582.34","255,384,021.68","249,598,685.00","316,400,248.00","424,000,000.00","478,326,648.52","518,647,308.80","574,881,684.00","559,554,375.20","535,910,000.00","536,250,000.00","536,500,000.00","336,000,000.00","232,000,000.00","257,250,000.00","310,250,000.00","325,580,000.00","464,580,000.00","422,000,000.00","500,500,000.00","586,448,850.00","526,448,850.00","435,948,850.00","337,499,990.00","379,056,810.00","331,086,220.00"
交易性金融资产,,,,,"400,000.00",,,,"9,148.62","9,148.62",914.23,914.23,"69,976.99","21,956.50",,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"14,685,295.82","51,467,213.42","37,528,070.00","39,528,070.00","54,138,287.60","38,969,043.40","40,845,216.20","35,218,924.00","4,543,164.00","5,986,000.00","5,294,645.09","7,138,000.00","8,760,527.30","8,629,738.80","5,850,000.00","2,050,000.00","715,000.00","3,555,000.00","2,351,303.99","2,643,545.73","5,160,975.63","2,480,537.00","1,800,000.00","300,000.00","3,530,000.00","3,500,000.00","3,287,841.50","12,231,554.13","3,904,599.34","4,920,531.34","5,731,407.72","6,972,906.55","4,118,702.32","4,531,467.26","5,185,866.07","4,009,297.40","5,592,449.12","3,198,591.18"
应付票据,"18,585,379.20","27,597,727.00","20,876,229.80","17,523,205.32","25,124,839.02","9,928,788.90","687,585.00","10,597,467.00","34,458,371.85","12,634,664.20","3,206,075.60","54,500,653.57","42,864,193.77","47,817,576.00","62,599,642.86","167,046,413.62","123,069,226.60","96,702,612.12","152,038,384.91","110,724,679.65","62,058,636.12","14,769,439.86","32,612,521.92","56,540,960.94","164,719,526.00","122,406,397.00","276,792,997.00","363,310,000.00","68,310,913.00","31,014,297.00","27,716,794.00","67,785,363.35","142,599,423.18","68,783,337.91","42,047,625.64","114,808,824.45","34,031,514.02","24,535,000.00"
应收账款,"100,786,756.82","133,663,720.70","154,128,451.91","152,601,472.46","159,132,518.74","168,318,769.59","203,885,312.19","218,817,752.61","277,267,085.62","270,270,055.36","315,085,239.95","331,727,249.67","443,367,980.20","405,491,720.05","434,778,680.66","537,193,936.84","496,575,084.24","460,157,505.72","534,895,854.06","614,572,701.12","722,558,849.26","622,940,563.37","638,662,239.88","595,041,587.49","538,507,343.55","557,276,706.18","571,061,075.94","638,811,992.65","533,362,623.25","477,714,412.88","513,716,367.56","459,414,105.01","510,695,056.81","436,930,202.41","494,706,242.85","637,837,608.24","564,166,361.08","515,239,417.87"
应付账款,"26,631,887.50","6,901,465.71","11,231,605.57","11,730,674.40","16,080,673.81","6,372,508.14","37,458,132.56","56,409,570.86","48,697,677.93","26,417,295.06","37,085,200.84","74,356,888.37","50,158,797.17","63,053,951.25","78,499,660.16","95,465,440.50","106,897,965.49","132,014,343.22","122,674,797.60","171,308,179.72","209,090,654.96","153,300,429.88","171,567,068.58","188,978,870.80","218,108,092.50","221,261,104.38","267,050,044.93","340,653,862.83","301,698,759.27","283,301,046.33","304,598,748.76","260,978,811.95","322,982,255.56","258,906,452.45","304,127,829.02","458,696,652.83","424,448,288.05","452,535,855.36"
预付款项,"13,282,236.25","16,508,843.26","13,508,499.87","35,705,172.21","37,916,467.85","66,801,541.12","51,035,196.70","70,379,305.00","96,799,581.99","101,780,600.06","108,896,642.39","112,419,522.62","99,824,939.17","141,798,760.91","138,614,017.71","146,868,457.85","85,150,700.03","189,929,667.04","161,303,465.13","297,289,101.20","69,331,040.46","99,594,290.96","141,135,932.26","128,199,287.37","81,447,193.40","104,626,450.11","214,941,920.60","176,007,443.75","89,196,458.79","102,906,162.82","99,779,795.01","120,163,593.21","61,922,506.04","90,165,664.34","91,702,392.48","116,993,200.77","108,378,388.97","125,329,123.52"
预收款项,"2,920,784.42","120,086.29","28,027.15","3,508,078.50","9,431,614.20","7,736,021.30","11,932,511.70","1,447,601.28","7,631,270.52","13,491,398.05","12,784,698.72","18,847,465.85","8,586,208.31","11,633,029.48","10,045,140.89","5,620,262.61","8,576,672.59","20,000,169.40","14,781,327.22","16,151,748.76","23,669,512.40","38,421,640.45","35,261,373.61","38,674,800.13","40,057,202.76","66,806,565.20","94,864,399.02","143,014,443.00","91,769,189.41","47,088,647.64","44,681,376.40","30,479,221.17","29,615,578.87","47,529,873.63","45,341,041.33","31,268,760.73","84,058,820.51","93,206,282.36"
