科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"7,101,959,705.78","10,206,880,688.37","4,077,420,647.82","9,152,526,552.64","1,446,447,676.56","2,968,940,848.18","5,041,626,080.05","8,591,230,909.74","1,325,821,820.68","3,119,042,012.82","5,148,212,561.81","8,749,200,826.12","1,454,813,468.58","3,888,399,356.59","5,979,087,973.70","8,318,520,004.92","1,510,239,707.16","3,376,254,591.57","5,553,537,616.26","8,368,755,810.39","935,259,193.63","3,376,310,046.42","7,123,466,695.66","7,327,996,673.93","1,057,804,977.69","2,405,885,587.03","3,424,633,285.57","5,012,176,479.48","522,207,712.04","1,504,250,375.60","2,377,842,730.32","3,204,403,231.38","1,595,947,227.66","3,986,315,667.01","6,600,794,050.90","10,251,825,155.33","2,796,994,640.52","5,398,260,965.47","6,763,928,501.25","10,511,383,456.06","2,480,305,886.61"
二、营业利润,"1,383,843,645.71","1,251,181,966.84","379,658,216.06","861,363,217.46","151,345,296.35","314,359,793.55","552,817,428.18","634,144,783.90","26,459,829.08","55,457,119.67","94,486,701.73","315,564,294.79","28,993,998.55","76,361,631.76","-24,036,901.41","-220,378,986.72","-100,168,230.55","-370,563,029.08","-409,926,486.07","29,466,709.00","-337,289,721.63","-676,456,118.59","-785,043,250.22","-690,652,501.89","-289,209,482.07","-520,394,247.09","-1,044,338,423.58","-1,872,592,311.89","-323,768,816.09","-682,746,015.35","-2,069,286,133.94","-5,621,085,168.40","-7,922,636.57","-19,118,158.38","5,150,007.56","209,874,774.65","27,921,418.24","41,308,439.72","29,983,948.08","-33,147,372.61","32,713,318.78"
减:营业成本,"4,828,282,464.61","7,423,693,598.52","2,894,067,747.55","6,334,820,166.62","968,630,775.41","2,014,641,181.20","3,562,726,254.83","6,353,725,464.59","1,032,387,644.24","2,418,033,496.86","4,046,592,596.67","6,749,907,444.13","1,095,131,180.80","3,036,370,545.77","4,847,881,047.56","6,768,863,295.89","1,248,042,240.28","3,054,450,121.35","4,925,159,669.37","7,135,140,349.71","916,369,454.26","3,331,935,208.54","6,840,456,848.85","6,523,212,504.85","933,702,035.72","2,048,733,842.76","3,169,323,436.49","4,873,993,514.89","458,097,837.67","1,431,256,221.96","2,536,593,388.12","3,964,267,858.56","1,250,988,460.61","3,308,863,586.98","5,517,952,363.36","8,498,277,696.73","2,441,536,065.27","4,667,277,477.95","5,610,589,259.57","8,854,509,047.89","2,122,455,371.33"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"49,357,533.37","50,074,506.01","30,673,410.30","74,580,207.07","8,347,851.59","22,286,213.56","40,682,153.74","65,178,800.66","11,426,957.86","20,106,064.39","28,880,089.11","42,017,033.75","3,869,843.19","10,362,488.69","19,209,036.55","31,471,777.16","10,937,528.95","27,633,899.05","39,287,547.29","59,713,338.73","2,746,753.89","14,933,584.25","31,007,275.24","61,610,444.73","16,330,060.33","25,735,232.35","32,664,316.45","40,695,613.21","2,287,050.46","6,037,918.07","13,713,740.71","81,669,480.50","35,432,413.35","71,759,279.60","107,598,512.71","136,148,436.21","25,486,047.77","71,043,554.95","94,792,524.38","122,763,275.44","25,835,868.37"
营业外收入,"56,272,564.08","141,883,383.16","276,590,828.45","478,210,753.04","1,706,675.83","65,592,822.81","68,594,443.02","536,363,269.35","1,886,157.66","25,860,405.86","60,617,298.43","215,867,467.16","3,186,694.18","11,271,772.75","128,726,541.95","304,430,977.23","5,601,227.70","16,369,775.46","24,795,308.47","134,062,563.14","3,529,134.82","9,294,953.91","156,111,607.99","773,261,200.29","1,557,063.56","7,332,331.05","10,783,715.94","66,249,059.65","1,542,025.51","7,391,803.67","14,121,638.04","104,106,889.40","22,948,990.37","57,468,901.30","65,537,672.88","26,063,135.31","8,190,051.56","26,810,437.10","55,525,441.32","172,479,158.33","7,325,884.57"
销售费用,"93,102,753.09","130,669,708.42","64,827,518.43","132,381,140.51","20,172,579.85","38,617,930.16","64,392,600.09","102,658,319.21","23,224,632.55","46,063,770.82","76,918,805.43","119,032,745.94","25,468,267.09","53,650,149.25","84,029,214.58","130,370,966.53","24,818,661.49","52,130,482.10","80,470,373.91","120,597,000.17","33,702,066.85","56,047,380.17","82,946,015.11","124,120,074.54","29,404,727.83","54,194,750.04","74,322,705.20","114,078,438.21","24,294,946.21","47,176,947.38","82,192,347.57","302,480,538.24","27,747,537.17","61,251,185.49","96,288,542.71","193,193,937.20","31,847,024.36","74,188,740.57","108,736,572.59","162,614,950.99","32,174,976.89"
减:营业外支出,"158,459,793.43","17,848,528.04","1,914,165.98","10,282,569.32","3,121,046.64","4,575,615.88","6,714,670.95","23,389,773.53","616,722.72","1,807,076.47","2,545,776.89","3,094,471.02","85,898.92","416,351.68","782,468.40","2,263,568.13","60,198.35","692,526.74","4,869,292.35","8,027,017.53","117,548.31","672,382.92","1,468,341.66","1,712,813.85","890,048.66","1,550,762.02","4,687,483.52","5,640,469.94","463,562.90","2,918,481.78","8,341,210.64","30,127,707.89","4,620,727.30","6,249,360.01","8,843,799.60","130,624,025.36","1,075,537.59","3,320,090.10","16,518,222.55","18,913,001.35","836,046.07"
管理费用,"476,348,795.73","763,173,326.21","390,881,606.96","950,363,205.02","198,774,682.33","422,636,665.91","641,064,403.14","1,068,518,978.55","192,042,597.05","461,813,870.37","700,845,483.49","1,022,558,027.36","219,895,686.33","489,030,306.28","736,069,544.16","1,005,296,348.62","200,249,627.72","395,086,971.69","592,385,442.58","863,802,836.21","198,456,954.97","408,703,388.12","600,751,507.68","830,951,833.85","200,378,668.52","400,289,223.10","590,971,798.80","807,509,407.63","203,043,550.41","395,466,535.61","618,933,848.29","840,553,824.65","161,186,944.33","298,792,509.32","479,251,303.97","700,948,532.56","156,993,459.40","320,354,407.23","350,078,245.49","602,763,602.87","134,727,888.25"
其中:非流动资产处置净损失,,,,,"31,858.35",,"1,134,986.14","17,039,616.94","390,943.18",,"1,248,557.00","1,334,947.13","12,597.38","86,675.70","201,219.99","875,789.74","2,640.99","77,768.27","129,533.26","932,165.11","38,815.26","88,124.92","282,233.64","284,360.78","3,240.43","42,987.08","187,115.78","285,553.04","3,237.01","986,814.78","2,758,697.15","15,628,688.84","858,714.78","1,313,433.34","3,450,800.79",,,,,,
