科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"31,294,746.53","43,421,259.26","73,350,078.19","50,077,674.79","112,181,641.23","35,296,582.59","71,505,447.63","108,746,197.79","150,484,583.10","42,453,230.96","82,637,634.59","118,375,138.80","151,611,757.49","36,044,972.94","62,762,464.58","88,076,895.95","121,340,952.09","62,898,376.92","157,451,004.08","232,146,937.01","316,626,488.83","90,069,170.41","189,515,427.50","294,171,376.19","398,076,096.17","280,134,177.25","982,505,207.74","1,939,031,310.32","411,758,330.50","105,717,302.57"
二、营业利润,"10,974,623.90","15,580,583.43","39,267,620.31","25,843,769.32","54,506,589.47","15,906,791.10","37,814,907.52","56,867,913.11","80,093,921.88","19,426,129.48","34,829,504.26","45,575,102.29","52,049,847.37","10,631,569.36","12,047,847.97","11,770,038.37","12,520,808.32","15,394,657.43","40,639,370.40","64,790,935.01","87,730,927.69","15,235,040.77","33,157,879.91","52,419,139.58","57,101,024.56","243,547,516.74","320,920,663.91","395,920,209.20","107,711,607.11","22,130,662.76"
减:营业成本,"6,372,976.10","10,409,287.08","11,069,826.63","5,396,824.91","11,681,268.99","4,288,455.89","8,884,034.78","13,209,579.60","17,581,422.23","4,582,924.30","8,785,176.20","12,720,502.81","16,620,742.87","3,067,143.73","6,093,960.60","9,222,118.60","12,535,115.68","11,994,449.93","45,665,206.85","55,800,488.80","76,637,894.29","35,897,553.57","76,182,990.61","120,541,775.44","174,685,998.08","204,704,243.03","746,613,739.81","1,472,078,694.73","199,090,816.86","52,646,884.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,073,123.93","1,494,775.57","2,517,938.12","1,732,943.21","3,897,020.29","1,292,693.43","2,603,440.00","3,970,845.58","5,466,712.53","1,521,281.79","3,056,286.16","4,370,355.80","5,535,617.41","1,246,730.69","1,761,545.53","1,803,660.10","1,856,957.55","820,175.01","1,782,793.27","2,929,672.94","4,175,111.68","774,204.95","1,932,204.41","2,922,302.40","4,914,738.11","1,071,548.24","3,207,195.29","8,795,662.82","4,613,798.82","646,505.20"
营业外收入,,"210,000.00","1,442,261.58","3,390,818.74","14,031,555.08","2,002,629.68","6,068,957.79","10,993,259.02","14,126,985.05","2,415,558.30","6,024,774.87","7,529,435.09","9,908,860.89","2,304,470.01","3,660,805.18","18,018,034.81","22,993,759.81","975,965.45","3,534,297.46","12,505,874.98","22,972,822.66","1,346,218.19","11,195,084.16","16,168,384.55","31,813,733.83","2,424,758.53","9,164,111.67","17,877,377.50","1,281,774.96","1,253,847.46"
销售费用,"1,323,885.05","1,313,984.98","1,531,988.45","2,249,318.29","8,979,979.73","2,118,671.89","5,715,825.50","7,964,107.47","11,816,392.89","3,558,292.57","10,964,768.27","16,255,890.74","23,015,142.44","4,004,107.23","9,160,561.05","12,858,531.76","22,270,996.73","9,050,510.32","21,132,632.05","33,227,007.98","42,096,827.07","7,382,713.07","17,180,977.30","26,889,929.32","44,948,257.17","20,321,138.87","64,424,705.28","142,555,908.73","36,969,037.47","6,372,239.89"
减:营业外支出,"15,399.81","4,001.28","11,576.99",,"120,917.61","50,000.00","50,000.00","50,000.00","68,846.68",,"1,000,000.00","1,000,000.00","1,003,205.86",,,"6,335.25","68,997.72",,"111,232.65","192,565.27","316,354.75","10,527.43","31,574.85","259,563.76","768,349.02","2,849.00","7,209,327.80","7,417,451.76","7,290,709.71","18,794.96"
管理费用,"11,922,629.63","14,655,324.84","19,314,874.90","15,403,846.43","34,740,853.10","12,188,151.86","21,388,235.32","34,117,863.24","45,825,625.34","16,080,493.20","29,956,346.22","46,922,479.71","64,470,235.13","19,867,248.79","38,523,376.81","59,599,921.12","82,293,510.76","26,732,527.67","53,918,958.41","81,035,975.76","107,262,758.76","31,953,939.38","64,392,641.43","98,086,548.61","125,126,870.33","36,468,994.57","71,613,299.91","136,315,060.09","118,679,135.52","32,066,185.50"
其中:非流动资产处置净损失,"15,149.81","4,001.28","11,576.99",,917.61,,,,"18,846.68",,,,"3,179.10",,,"6,135.25","57,197.28",,"17,450.55","38,783.17","59,105.81","1,100.25","1,100.25","171,083.66","276,820.02",,"5,910,555.52","5,918,322.69",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-401,947.01","-89,522.69","-276,206.73","-638,477.43","-1,693,385.26","-539,839.79","-5,100,697.59","-7,630,881.29","-10,420,738.19","-2,758,004.16","-5,384,692.65","-7,837,431.29","-10,548,022.16","-2,948,135.34","-5,423,557.79","-8,054,133.59","-9,770,127.60","-1,138,329.38","-2,883,797.54","-4,540,467.75","-6,371,287.89","-1,526,219.90","-2,778,013.98","-3,972,772.71","-4,723,764.84","-947,602.04","-604,960.08","-2,285,339.46","-864,090.75","688,970.01"
