科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"107,600,419.34","101,506,518.55","55,478,309.84","86,205,774.09","130,740,857.74","22,089,811.96","44,388,598.43","72,013,101.32","148,729,389.03","61,686,067.24","129,319,369.11","179,654,676.94","280,938,765.42","68,914,285.77","123,320,322.71","176,602,023.79","318,355,529.75","115,027,715.58","192,981,817.79","240,877,767.03","330,685,366.44","86,699,231.72","168,280,996.47","211,237,941.14","309,112,240.01","36,004,126.60","74,819,384.26","156,736,867.98","498,554,749.88","95,680,710.76","254,743,053.57","382,622,728.03","718,928,024.26","176,388,388.09","393,170,333.95","610,853,116.33","982,694,246.68","116,240,244.87","296,480,957.42"
取得子公司及其他营业单位支付的现金净额,,,,,,,"2,982,981.79","38,399,456.01","38,399,456.01",,"7,508,232.30","7,508,232.30","7,508,232.30",,,,,,,,,,,,,,,"398,124,999.74","245,063,563.02",,,,"356,970,559.50",,,,,,"987,958.66"
收到的税费返还,"2,953,501.11","4,566,206.22","3,462,273.08","5,963,050.28","20,289,407.05","1,628,471.62","2,252,938.60","6,137,247.38","7,640,818.30","1,218,360.72","2,949,053.29","2,949,053.29","7,432,685.21","2,569,680.62","2,942,031.83","7,728,209.23","11,838,005.16","5,600,375.03","9,846,819.51","19,109,390.19","28,069,754.87","5,213,199.82","6,682,055.51","9,331,955.98","11,488,432.33","2,026,439.55","3,436,258.58","8,938,838.70","27,799,876.40","9,335,501.08","11,030,860.10","22,783,289.93","35,143,061.08","2,136,905.99","4,224,519.04","15,682,116.28","27,821,677.68","4,621,388.16","15,049,932.11"
支付其他与投资活动有关的现金,"25,000,000.00",,,,,,,,,,,,,,,,,,,,,,"90,000,000.00","100,000,000.00","180,000,000.00","10,000,000.00","20,000,000.00","20,000,000.00","183,000,000.00","20,000,000.00","60,000,000.00","60,000,001.00","65,000,000.00","100,000,000.00","130,000,000.00","160,000,000.00","366,547,751.91","70,000,000.00","119,961,193.19"
收到其他与经营活动有关的现金,"6,866,064.81","6,519,295.78","2,341,408.81","1,626,528.77","4,672,239.50","4,671,408.10","4,969,032.44","9,765,664.10","7,430,827.00","5,619,289.94","3,906,664.00","20,417,147.47","7,117,265.69","8,455,507.09","15,310,529.09","33,626,283.54","21,773,939.33","8,044,974.49","14,133,702.89","35,222,723.98","27,927,113.62","8,990,409.81","20,874,861.90","27,550,139.44","51,562,142.72","2,487,745.78","4,046,146.96","239,722,274.51","40,178,893.36","25,108,353.64","40,659,137.05","60,678,310.15","54,464,224.68","35,803,965.20","30,028,979.99","49,400,273.06","45,357,803.84","8,628,643.92","28,416,782.13"
投资活动现金流出小计,"58,096,739.59","13,735,650.38","14,540,170.29","29,398,571.13","44,341,210.88","13,011,937.87","46,013,751.16","102,090,470.38","136,283,947.50","14,932,773.38","43,372,126.20","56,874,828.21","68,522,946.18","21,375,926.37","34,820,197.49","40,599,683.52","48,909,985.95","14,299,718.17","15,347,602.01","16,608,073.38","29,049,350.77","1,704,030.56","91,919,279.16","104,057,017.76","195,419,539.63","10,933,185.87","21,285,583.26","426,428,214.02","438,948,411.65","20,411,095.60","61,193,546.14","87,397,551.25","456,258,887.81","100,700,182.99","137,501,145.59","170,678,389.37","385,519,814.97","70,884,418.38","123,615,928.70"
经营活动现金流入小计,"117,419,985.26","112,592,020.55","61,281,991.73","93,795,353.14","155,702,504.29","28,389,691.68","51,610,569.47","87,916,012.80","163,801,034.33","68,523,717.90","136,175,086.40","203,020,877.70","295,488,716.32","79,939,473.48","141,572,883.63","217,956,516.56","351,967,474.24","128,673,065.10","216,962,340.19","295,209,881.20","386,682,234.93","100,902,841.35","195,837,913.88","248,120,036.56","372,162,815.06","40,518,311.93","82,301,789.80","405,397,981.19","566,533,519.64","130,124,565.48","306,433,050.72","466,084,328.11","808,535,310.02","214,329,259.28","427,423,832.98","675,935,505.67","1,055,873,728.20","129,490,276.95","339,947,671.66"
投资活动产生的现金流量净额,"-16,745,181.78","-7,953,531.92","-11,113,277.60","-25,881,577.02","-35,827,651.55","-12,972,912.36","-39,853,545.27","-95,813,385.08","-125,046,893.18","-14,818,869.10","-42,347,528.22","-56,699,660.44","-29,245,594.08","-21,350,272.14","-34,580,852.12","-40,316,544.41","-48,875,866.29","-14,299,718.17","-15,287,559.23","-16,516,030.60","-28,960,273.85","-1,704,030.56","-91,849,279.16","-103,987,017.76","-195,348,166.55","-10,933,185.87","32,314,416.74","-335,827,714.02","-333,335,554.63","119,590,404.40","120,752,953.86","166,258,948.75","-216,766,161.39","-19,383,387.99","31,600,501.00","-1,334,076.11","-60,400,955.10","42,087,007.89","80,575,682.81"
购买商品、接受劳务支付的现金,"46,021,171.14","35,764,156.21","17,091,813.41","32,222,992.70","36,486,598.54","10,757,950.17","33,936,860.72","54,492,981.83","82,790,502.31","49,733,004.73","63,134,557.39","82,648,194.30","111,680,198.91","17,403,808.73","49,882,492.88","81,071,423.02","152,867,705.28","28,432,129.79","58,344,195.69","92,448,623.23","105,401,139.43","20,242,231.81","47,506,238.51","68,150,798.74","74,550,376.48","14,555,124.62","25,488,726.19","56,229,394.02","208,722,415.55","36,673,165.67","113,497,094.20","174,479,020.32","290,847,784.47","115,239,960.83","198,993,651.95","304,319,406.29","466,427,256.60","87,901,733.68","182,990,274.14"
吸收投资收到的现金,,"2,425,000.00",,,"627,215,960.64",,,,"1,960,000.00",,,"1,750,000.00","1,750,000.00",,"65,303,700.00","70,772,700.00","70,772,700.00",,,,,,,"3,700,000.00","4,400,000.00",,,"405,351,997.34","404,421,661.32",,"500,000.00","500,000.00","500,000.00",,,,,,"1,050,000.00"
支付给职工以及为职工支付的现金,"8,724,223.68","12,284,315.44","7,993,720.88","11,140,786.37","15,440,282.50","6,371,881.71","10,274,664.28","15,763,904.72","23,156,287.56","11,882,915.63","19,389,239.14","25,605,718.97","37,202,896.47","13,175,342.24","22,223,507.79","32,288,918.17","45,628,384.23","15,584,895.09","25,641,519.03","36,591,379.10","49,187,591.01","13,682,729.96","22,798,278.63","32,726,989.79","41,922,125.40","14,257,987.95","22,724,300.50","42,319,294.69","74,912,092.95","69,164,775.98","66,389,394.11","94,858,072.67","142,212,557.65","55,675,589.67","96,938,517.48","136,669,102.25","182,607,458.92","62,833,069.01","104,496,974.81"
取得借款收到的现金,"88,000,000.00","65,000,000.00","89,250,000.00","89,250,000.00","89,250,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,,,,,,,,,,,,,,"40,000.00","40,000.00","45,000,000.00",,"80,000,000.00","80,000,000.00","125,000,000.00",,"180,000,000.00"
