科目,2006年度
一、营业收入,"6,081,613,169.99"
二、营业利润,"1,507,753,173.61"
减:营业成本,"4,189,817,735.81"
加:补贴收入,
营业税金及附加,"49,194,189.64"
营业外收入,"313,172.42"
销售费用,"60,035,279.83"
减:营业外支出,"9,973,063.24"
管理费用,"283,102,061.78"
其中:非流动资产处置净损失,
堪探费用,
加:影响利润总额的其他科目,
财务费用,"1,347,680.11"
三、利润总额,"1,498,093,282.79"
资产减值损失,
减:所得税,"456,503,667.26"
加:公允价值变动净收益,
加:影响净利润的其他科目,
投资收益,
四、净利润,"1,041,589,615.53"
其中:对联营企业和合营企业的投资权益,
归属于母公司所有者的净利润,"1,039,970,592.68"
影响营业利润的其他科目,"9,636,950.79"
少数股东损益,"1,619,022.85"
