科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"14,238,274.71","28,534,973.83","28,699,589.94","7,170,067.60","395,058,564.61","294,129,369.83","309,404,943.90","763,960,786.27","840,124,906.46","1,107,056,957.07","699,373,347.29","174,520,126.65","101,239,844.70","459,465,044.26","271,241,421.07","457,699,644.82","102,346,857.79","118,297,758.40","88,124,451.87","93,645,001.38"
短期借款,"219,000,000.00","123,000,000.00","149,500,000.00","129,500,000.00","143,000,000.00","154,000,000.00","184,690,000.00","244,690,000.00","489,690,000.00","477,690,000.00","485,000,000.00","553,432,000.00","603,522,000.00","873,522,000.00","923,522,000.00","1,035,522,000.00","1,060,432,000.00","978,432,000.00","1,001,921,000.00","982,355,010.89"
交易性金融资产,,,,,,"100,000,000.00",,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,"4,216,957.44","11,792,283.53","13,851,300.00","14,153,700.00","8,618,152.00","5,591,055.29","14,538,000.00","11,737,675.20","5,764,116.27","5,559,111.62","18,079,111.62","17,580,000.00","11,190,000.00","12,772,139.59","16,609,029.59","11,502,019.56","13,375,327.16","24,985,327.16","24,191,219.56","39,504,516.50"
应付票据,"5,000,000.00",,,,,,,,,,,,,,,,,,"5,000,000.00",
应收账款,"231,496,310.73","245,279,201.64","265,072,659.11","252,424,926.43","287,826,363.17","312,608,654.91","303,772,201.44","329,069,316.23","428,913,117.03","341,839,326.47","365,380,856.68","326,612,424.11","376,070,751.93","385,720,622.00","412,057,027.08","373,738,644.93","423,189,270.54","544,899,175.88","576,296,663.82","494,184,303.01"
应付账款,"17,863,860.93","43,618,236.61","39,908,837.33","26,281,502.09","35,193,768.22","37,357,707.70","75,231,923.96","56,003,402.70","69,786,224.03","54,900,207.80","80,918,452.54","78,213,562.61","83,806,645.70","73,806,387.86","86,925,151.14","49,777,383.34","69,016,696.67",,"109,792,088.23",
预付款项,"2,001,084.22","1,659,615.52","3,028,909.70","3,006,890.97","3,189,094.13","7,679,774.45","2,662,483.24","8,355,775.06","5,916,873.07","5,834,171.14","1,891,545.20","5,416,563.16","4,841,886.33","13,175,518.87","3,207,861.88","2,429,551.66","21,379,170.96","14,257,977.21","5,435,317.83","6,009,584.64"
预收款项,"1,295,589.89","1,426,647.91","621,939.78","2,150,730.83","3,656,834.95","2,382,273.35","687,033.53","4,335,573.37","838,777.09","1,036,831.48","354,283.75","290,462.80","2,081,020.32","3,992,434.20","1,024,687.71","4,004,769.94","10,234,026.46","22,371,052.08","28,118,718.55","32,066,881.68"
其他应收款,"3,674,625.46","6,821,111.54","9,607,045.15","12,203,038.13","6,140,979.63","8,805,434.48","8,061,804.82","828,961,469.24","828,277,385.71","17,271,387.66","14,662,321.34","18,857,650.17","107,950,817.36","135,127,726.73","131,156,450.42","134,803,986.11","102,077,219.28","66,890,226.74","80,454,697.38","69,825,505.31"
应付职工薪酬,"2,046,082.73","2,742,266.62","3,322,650.79","798,310.44","1,075,082.95","1,313,341.31","4,131,546.07","1,254,901.21","1,372,842.73","1,461,184.08","5,197,111.85","1,646,058.29","1,486,286.55","1,577,907.77","4,994,853.94","1,474,270.95","1,251,756.30","1,643,586.69","6,578,911.43","2,586,102.35"
应收关联公司款,,,,,,,,,,,,,,,,,,,,
应交税费,"7,193,919.55","9,905,692.44","3,951,896.25","5,572,304.88","4,070,433.14","5,944,288.78","4,553,429.49","6,234,130.37","4,294,778.10","24,960,590.88","23,622,976.53","26,761,611.80","14,303,434.68","13,355,643.39","30,040,615.19","32,609,657.98","38,997,789.93","45,352,042.61","71,308,385.23","86,622,151.26"
应收利息,,,,,,,,,"33,333.33","166,666.66","145,833.33","145,833.33","104,166.66",,"32,876.72","32,876.72","32,876.72","32,876.72","32,876.72","32,876.72"
应付利息,"792,961.93","6,671,027.28","6,718,167.91","9,040,473.16","1,922,452.20","4,403,916.77","6,870,208.25","8,920,323.47","1,057,083.74","1,037,949.03","982,715.28","423,376.16","1,204,364.62","1,635,374.91","2,029,395.41","2,176,451.64","1,745,488.47","3,645,468.06","1,960,349.03","1,827,817.54"
应收股利,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,"14,186,900.00",,,,,,,
存货,"850,732.00","4,468,828.80","1,220,529.04","1,444,625.42","2,670,182.99","2,511,823.83","1,609,227.48","1,306,448.27","1,453,929.35","1,903,019.65","2,691,345.06","3,049,610.67","3,116,532.96","4,288,991.55","2,712,237.60","3,137,004.85","3,497,465.64","3,542,967.81","5,271,603.29","6,070,999.28"
其他应付款,"11,545,390.15","8,365,707.51","8,359,328.38","6,031,433.55","9,111,862.62","24,460,274.28","5,170,594.21","5,831,163.24","9,562,624.40","6,106,310.38","5,590,827.61","5,228,395.43","13,264,138.77","19,915,882.46","10,889,702.79","12,945,393.67","199,454,827.00","248,188,609.48","244,627,577.16","246,342,870.99"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,"997,526,608.63","1,283,863,083.01","1,191,850,094.15","1,019,898,590.98","1,626,235,087.99","1,566,462,545.28","1,289,873,746.57","1,328,791,532.00","1,162,453,030.31","1,119,917,553.27"
一年内到期的非流动负债,"71,800,000.00","65,028,594.97","12,667,666.67","4,117,666.66","208,600,287.08","152,310,510.09","205,791,288.87","205,735,879.51","54,000,000.00","53,000,000.00","162,337,975.30","137,551,372.30","258,444,266.02","327,230,086.85","557,497,984.39","528,001,735.23","473,778,330.45","365,650,672.31","452,217,994.21","280,678,285.58"
其他流动资产,,"14,694,598.78","30,071,859.16","28,689,676.21","27,053,676.31","34,969,809.77","138,324,954.52","146,338,696.30","162,000,882.28","106,756,398.08","108,766,128.21","108,974,281.33","56,359,714.80","60,696,775.54","54,846,805.07","56,581,300.20","89,790,975.99","97,773,709.82","100,578,086.38","118,929,003.10"
其他流动负债,,,,,,,,,,,,,,,,,,,,
流动资产合计,"256,477,984.56","313,250,613.64","351,551,892.10","319,092,924.76","730,557,012.84","766,295,922.56","778,373,615.40","2,089,730,166.57","2,272,484,543.50","1,586,387,038.35","2,208,517,097.36","1,939,019,572.43","1,852,723,808.89","2,091,145,409.52","2,518,098,797.42","2,606,387,574.13","2,045,562,910.65","2,199,438,675.02","2,042,805,070.44","1,948,086,466.49"
流动负债合计,"336,537,805.18","260,758,173.34","225,050,487.11","183,492,421.61","406,630,721.16","382,172,312.28","487,126,024.38","533,005,373.87","630,602,330.09","620,193,073.65","764,004,342.86","803,546,839.39","992,299,056.66","1,315,035,717.44","1,616,924,390.57","1,666,511,662.75","1,854,910,915.28","1,753,746,559.37","1,919,564,674.81","1,713,932,791.56"
可供出售金融资产,,,,,,,,,,,,,,,"182,000,000.00","182,000,000.00","182,000,000.00","182,000,000.00","182,000,000.00","182,000,000.00"
长期借款,"96,950,000.00","9,500,000.00","56,000,000.00","56,000,000.00","54,000,000.00","124,000,000.00","120,000,000.00","159,000,000.00","274,000,000.00","274,000,000.00","163,000,000.00","245,000,000.00","120,000,000.00","111,000,000.00","111,000,000.00","42,800,000.00","10,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,
应付债券,,"143,877,282.47","146,329,050.15","147,021,076.98",,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,"1,506,103,902.15","1,212,319,676.19","1,628,087,127.76","1,781,238,281.97","1,857,950,128.40","1,851,430,133.32","2,014,679,281.58","2,118,288,886.16","1,947,180,929.19","2,368,136,294.74","2,327,708,135.93"
长期应付款,"16,891,526.76","109,411,160.71","78,884,682.09","77,527,271.10","4,066,937.33","2,551,125.26","256,173.11","198,238.27","153,945.32","108,917.51","198,776,119.44","187,976,618.59","173,247,909.48","140,436,591.02","436,085,305.60","376,757,232.39","280,477,651.00","224,186,833.03","78,981,490.29","64,148,478.77"
长期股权投资,,,,,,,,,,,,,,,,,"8,960,570.85","9,173,230.67","56,157,380.47","57,771,029.61"
专项应付款,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,"8,694,565.20","44,926,934.70","44,615,167.56"
预计负债,,,,,,,,,,,,,,,,,,,,
固定资产,"680,414,231.59","719,543,217.38","759,819,747.78","744,488,482.65","733,271,143.51","776,670,325.74","809,183,354.34","833,074,677.34","852,651,135.45","851,572,451.72","876,014,149.81","862,018,564.57","862,844,394.52","882,639,878.91","902,025,684.54","910,160,535.80","1,313,375,930.84","1,409,108,931.22","1,277,760,277.11","1,279,632,949.12"
递延所得税负债,,,,,,,,,,,,,,,,,,,"34,375.00","32,500.00"
在建工程,,,"1,626,270.08","1,953,872.25","2,034,675.31","4,759,596.75","30,554,792.62","35,005,093.72","39,971,258.40","40,747,949.54","56,319,273.97","74,054,416.47","60,103,319.64","60,550,176.01","60,825,740.65","60,911,838.54","4,421,593.47","17,497,309.83","8,998,358.59","9,125,717.08"
其他非流动负债,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"112,426,043.18","261,583,552.32","280,106,827.26","279,465,939.57","57,009,025.29","125,517,709.69","119,248,162.13","158,204,742.03","273,157,724.72","273,173,487.82","360,864,234.14","432,090,181.84","292,385,969.20","250,599,147.21","546,272,358.26","418,768,781.52","289,713,696.60","283,447,375.10","139,015,865.29","124,180,978.77"
固定资产清理,,,,,,,,,,,,,,,,,,,,
