科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"385,067,432.45","697,423,398.18","972,821,332.59",,"401,188,096.55","692,757,689.49","1,262,121,155.03","141,816,160.92","382,443,260.17","603,126,874.42","1,099,977,105.59","122,881,069.25","300,030,711.61","533,590,754.40","1,037,256,712.72","131,742,819.25","415,896,043.79","669,152,855.80","1,263,589,798.21","101,826,954.26","342,925,103.52"
取得子公司及其他营业单位支付的现金净额,,,,,,,"33,128,218.21",,,,,,,,,"36,758,813.14","76,553,813.14","76,553,813.14","76,553,813.14",,
收到的税费返还,,"4,380,660.42","39,253,376.77",,"19,004,775.63","23,183,378.86","33,233,027.45","12,040,465.81","27,908,453.55","30,859,165.64","50,537,599.18","215,457.26","18,643,305.64","18,290,016.42","41,141,551.99","4,923,568.98","8,889,737.00","18,174,920.71","45,042,968.21","8,915,080.42","12,553,368.60"
支付其他与投资活动有关的现金,,,,,,,"1,021,000.00",,,,,,,,,,,,"1,809,011.43",,
收到其他与经营活动有关的现金,"9,753,967.55","17,925,350.70","21,568,346.71",,"3,782,669.61","5,987,248.66","10,805,013.78","8,142,600.87","14,263,627.93","24,984,561.22","20,723,860.48","4,727,483.31","58,077,179.08","66,833,053.02","75,426,967.06","4,678,511.01","8,390,667.22","23,381,799.07","18,135,791.57","1,876,080.70","4,776,097.21"
投资活动现金流出小计,"2,531,879.93","2,004,227.49","4,977,170.93",,"1,268,908.46","20,062,610.49","301,971,919.14","257,893,938.00","289,991,403.53","297,262,466.93","2,205,522,398.39","637,833,093.12","14,902,926.53","17,229,284.45","730,278,547.91","702,086,427.64","1,397,964,839.54","2,099,196,392.97","2,791,845,623.70","621,112,272.38","1,138,707,039.92"
经营活动现金流入小计,"394,821,400.00","719,729,409.30","1,033,643,056.07",,"423,975,541.79","721,928,317.01","1,306,159,196.26","161,999,227.60","424,615,341.65","658,970,601.28","1,171,238,565.25","127,824,009.82","376,751,196.33","618,713,823.84","1,153,825,231.77","141,344,899.24","433,176,448.01","710,709,575.58","1,326,768,557.99","112,618,115.38","360,254,569.33"
投资活动产生的现金流量净额,"-2,531,879.93","-2,004,227.49","-4,977,170.93","-461,964.00","-1,268,908.46","-19,994,610.49","-271,535,535.58","-176,881,992.80","77,806,486.87","70,535,423.47","-475,701,256.87","59,415,949.49","684,490,499.64","682,229,421.76","229,302,734.90","-135,570,032.30","-257,845,201.46","-297,184,074.08","-281,611,902.62","-3,817,023.01","128,302,239.92"
购买商品、接受劳务支付的现金,"225,840,174.70","382,428,300.10","630,423,617.02",,"343,722,442.36","545,929,765.78","755,568,385.18","180,156,673.86","324,037,819.01","475,758,591.63","651,082,443.18","156,592,533.27","313,559,822.45","474,624,299.60","678,804,842.25","197,215,478.21","419,983,853.47","595,909,034.29","820,996,063.48","200,178,042.33","418,748,715.52"
吸收投资收到的现金,,,,,"624,143,175.00","624,143,175.00","621,248,867.86",,,,"50,000.00",,"1,000,000.00","1,000,000.00","1,000,000.00",,,,,,
支付给职工以及为职工支付的现金,"49,747,946.19","79,472,092.20","85,250,590.81",,"49,953,343.44","78,188,969.68","111,332,968.20","30,451,403.40","69,686,022.89","104,392,246.60","152,366,474.61","39,843,136.63","88,549,479.09","130,457,898.33","178,031,737.76","46,558,573.01","98,608,388.54","147,045,699.76","193,382,671.30","49,126,086.24","104,372,809.30"
取得借款收到的现金,"20,000,000.00","15,000,000.00",,,,,,,,,,,,,,,,,,,
支付的各项税费,"38,072,393.10","70,602,450.50","91,429,178.81",,"30,720,299.13","60,823,962.04","85,879,634.40","28,604,726.61","48,236,988.61","62,429,226.33","90,486,766.57","25,169,351.76","41,374,109.14","57,382,317.53","75,291,159.81","23,531,489.00","45,552,167.64","60,744,561.06","86,747,523.18","31,474,336.01","58,044,672.07"
收到其他与筹资活动有关的现金,,,,,"117,901,387.48","117,967,760.72","3,000,000.00",,,,"1,500,000.00",,,,,,,,,,
支付其他与经营活动有关的现金,"35,780,244.44","51,456,660.42","67,010,800.92",,"38,298,853.47","84,923,045.20","78,131,833.26","23,845,285.14","60,768,659.15","94,826,364.23","171,780,113.59","31,831,300.59","61,666,832.56","91,334,231.57","122,866,772.85","30,868,853.04","61,649,630.25","91,144,675.42","122,705,439.29","35,345,825.21","63,094,106.81"
筹资活动现金流入小计,"20,000,000.00","15,000,000.00",,,"742,044,562.48","742,110,935.72","624,248,867.86",,,,"1,550,000.00",,"1,000,000.00","1,000,000.00","1,000,000.00",,,,,,
经营活动现金流出小计,"349,440,758.43","583,959,503.22","874,114,187.56",,"462,694,938.40","769,865,742.70","1,030,912,821.04","263,058,089.01","502,729,489.66","737,406,428.79","1,065,715,797.95","253,436,322.25","505,150,243.24","753,798,747.03","1,054,994,512.67","298,174,393.26","625,794,039.90","894,843,970.53","1,223,831,697.25","316,124,289.79","644,260,303.70"
偿还债务支付的现金,"5,000,000.00","20,000,000.00","15,000,000.00",,,,,,,,,,,,,,,"1,000,000.00","1,000,000.00",,
经营活动产生的现金流量净额,"45,380,641.57","135,769,906.08","159,528,868.51","-65,623,937.77","-38,719,396.61","-47,937,425.69","275,246,375.22","-101,058,861.41","-78,114,148.01","-78,435,827.51","105,522,767.30","-125,612,312.43","-128,399,046.91","-135,084,923.19","98,830,719.10","-156,829,494.02","-192,617,591.89","-184,134,394.95","102,936,860.74","-203,506,174.41","-284,005,734.37"
分配股利、利润或偿还利息支付的现金,"10,723,880.65","9,361,118.79","2,547,542.85",,,,,,"72,207,600.00","72,124,710.48","72,207,741.30","19,567.70","50,172,870.08","50,172,870.08","50,165,280.00","14,451.67","41,832,989.16","41,845,423.88","41,845,320.20",,"20,902,200.00"
收回投资收到的现金,,,,,,,"30,000,000.00","80,000,000.00","360,000,000.00","360,000,000.00","1,700,500,000.00","689,000,000.00","689,000,000.00","689,000,000.00","949,000,000.00","560,000,000.00","1,128,000,000.00","1,783,000,000.00","2,485,219,342.47","610,000,000.00","1,250,454,545.00"
支付其他与筹资活动有关的现金,"3,545,992.12",,,,"50,505.00","119,908,265.72",,,,,"313,709.96",,"359,517.84","359,517.84","359,517.84",,"118,035.95","118,035.95","118,035.95",,"20,348.11"
取得投资收益收到的现金,,,,,,,"368,383.56","1,011,945.20","7,797,890.40","7,797,890.40","29,321,141.52","8,214,042.61","10,358,426.17","10,358,426.17","10,491,165.90","6,516,395.34","12,119,638.08","19,012,318.89","25,010,078.61","7,293,964.37","16,553,449.84"
