科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月
销售商品、提供劳务收到的现金,"2,872,028,465.14","6,193,752,367.52","9,983,032,745.48","12,398,704,791.54","3,838,156,780.70","7,657,778,937.73","11,217,588,247.17","13,940,020,253.54","2,861,598,005.71","5,613,946,533.40","10,192,766,613.17"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"66,936,479.32","42,975,957.12","73,728,556.13","101,383,088.20","14,955,891.41",,,"63,704,554.46","14,825,779.44","146,776,680.12","146,776,680.12"
支付其他与投资活动有关的现金,"23,032,165.08",,"862,054.00",,,"29,537,698.74",,,"6,114,577.35",,
收到其他与经营活动有关的现金,"30,791,101.89","84,198,534.09","119,407,280.33","48,257,819.27","8,432,678.96","48,311,717.33","73,405,792.06","152,678,277.19","290,768,372.17","72,547,620.12","103,701,776.60"
投资活动现金流出小计,"358,661,175.86","745,493,840.29","1,834,477,429.00","1,417,689,522.65","496,535,772.54","1,450,230,080.37","1,734,909,112.39","824,139,006.30","477,290,548.31","619,940,392.06","1,272,486,351.05"
经营活动现金流入小计,"2,969,756,046.35","6,320,926,858.73","10,176,168,581.94","12,548,345,699.01","3,861,545,351.07","7,706,090,655.06","11,290,994,039.23","14,156,403,085.19","3,167,192,157.32","5,833,270,833.64","10,443,245,069.89"
投资活动产生的现金流量净额,"-350,920,737.07","-741,776,508.59","-1,799,499,209.15","-956,558,369.54","-483,680,502.75","-1,435,527,430.00","-1,715,956,136.04","-800,637,408.72","-476,182,845.81","-617,223,840.93","-1,261,762,532.14"
购买商品、接受劳务支付的现金,"2,359,503,803.02","4,934,434,408.18","7,662,447,702.77","9,410,342,518.66","3,404,554,780.94","6,302,300,384.69","9,162,297,894.84","10,628,234,489.90","2,202,664,963.53","4,368,531,379.22","7,951,435,887.64"
吸收投资收到的现金,,,"2,715,745.86","38,715,745.86",,"131,490,000.00","131,490,000.00","119,400,000.00",,"980,259,900.00","1,070,259,900.00"
支付给职工以及为职工支付的现金,"251,210,729.43","493,514,087.02","771,052,681.95","1,046,751,777.15","334,856,532.96","640,231,568.54","992,107,105.49","1,440,205,957.26","336,570,390.61","726,125,466.08","1,127,458,053.57"
取得借款收到的现金,"1,841,939,687.89","3,087,880,369.59","6,062,345,455.23","6,172,642,224.31","2,898,982,233.82","4,032,913,503.89","6,184,746,361.09","6,801,548,858.52","3,663,631,918.65","4,645,875,240.58","7,610,609,839.60"
支付的各项税费,"123,694,228.26","253,536,100.01","416,295,408.46","611,084,825.15","168,916,611.73","339,318,368.37","495,403,516.88","839,580,572.15","102,012,384.89","327,438,701.19","523,054,524.27"
收到其他与筹资活动有关的现金,,,,,,,,,,,
支付其他与经营活动有关的现金,"129,246,999.17","376,851,641.64","602,545,682.23","849,342,107.28","296,712,811.70","464,090,703.22","505,533,496.16","966,527,635.22","484,186,155.88","332,225,900.05","503,312,217.49"
筹资活动现金流入小计,"1,841,939,687.89","3,087,880,369.59","6,065,061,201.09","6,211,357,970.17","2,898,982,233.82","4,164,403,503.89","6,316,236,361.09","6,920,948,858.52","3,663,631,918.65","5,626,135,140.58","8,680,869,739.60"
经营活动现金流出小计,"2,863,655,759.88","6,058,336,236.85","9,452,341,475.41","11,917,521,228.24","4,205,040,737.33","7,745,941,024.82","11,155,342,013.37","13,874,548,654.53","3,125,433,894.91","5,754,321,446.54","10,105,260,682.97"
偿还债务支付的现金,"1,410,098,478.78","2,313,274,992.17","4,429,083,694.91","5,177,044,027.81","1,545,596,360.00","2,231,658,762.79","4,562,631,363.18","5,678,046,619.33","2,913,625,520.41","3,760,804,104.71","6,740,743,719.93"
经营活动产生的现金流量净额,"106,100,286.47","262,590,621.88","723,827,106.53","630,824,470.77","-343,495,386.26","-39,850,369.76","135,652,025.86","281,854,430.66","41,758,262.41","78,949,387.10","337,984,386.92"
分配股利、利润或偿还利息支付的现金,"101,277,518.40","190,738,159.22","296,182,635.42","381,622,974.36","89,971,641.98","189,873,799.18","32,634,361.11","559,157,842.63","113,440,764.10","244,128,769.49","330,800,441.49"
收回投资收到的现金,,,"30,000,000.00","360,179.00",,,,"6,209,184.32",,,
支付其他与筹资活动有关的现金,,,,,,,,"46,920,893.40",,"186,970,567.12","216,809,938.89"
