科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"552,281,171.13","508,770,221.45","769,244,955.51","178,539,240.56","423,200,680.80","649,457,671.21","895,970,399.83","219,010,415.00","511,199,987.59","795,478,152.48","1,083,643,724.97","303,248,901.68","640,559,966.45","996,637,122.21","1,405,167,937.95","311,044,993.90","848,947,742.32","1,340,220,313.97","2,060,288,682.23","615,184,637.85","1,615,265,758.43","2,844,732,394.26","4,869,278,346.61","1,594,170,278.37","4,127,033,137.48","8,237,029,514.75","12,051,500,774.83","3,431,727,531.86","7,442,626,199.25","11,794,607,392.52","15,925,169,841.94","4,275,804,922.35","9,817,282,574.55"
二、营业利润,"67,797,522.82","73,030,749.97","120,014,327.85","22,748,018.77","59,373,312.01","81,711,951.66","75,885,412.41","3,812,869.32","9,421,574.42","25,911,516.16","22,550,367.06","7,453,928.55","13,195,849.59","16,143,431.47","6,926,797.47","-189,058.96","-9,696,218.73","-13,478,901.70","-13,908,796.76","-3,195,710.61","6,133,395.11","29,433,879.87","80,941,026.77","25,223,582.75","91,786,168.83","233,420,151.15","312,330,217.34","76,847,923.51","170,434,608.48","290,442,450.83","1,469,655,150.98","513,748,254.55","-481,388,498.95"
减:营业成本,"416,130,679.31","375,442,245.43","565,681,173.38","135,262,744.49","314,462,407.78","483,836,981.20","694,540,671.82","185,469,202.08","434,016,982.55","667,613,748.06","909,775,883.89","255,215,363.47","533,175,220.99","837,570,397.56","1,189,585,906.39","258,630,748.79","739,172,040.13","1,172,980,532.88","1,822,262,362.49","561,695,688.33","1,485,366,080.97","2,620,394,992.47","4,450,217,931.83","1,464,169,463.48","3,776,836,734.03","7,477,043,267.67","10,874,682,037.64","3,084,175,724.19","6,678,496,334.68","10,534,636,507.90","14,277,249,252.33","3,401,719,473.95","8,203,621,692.05"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,397,668.04","3,088,291.58","3,684,561.68","1,008,427.64","2,475,311.30","3,817,704.93","5,884,754.00","734,720.32","2,018,055.11","3,418,089.90","5,078,599.96","1,563,682.84","4,935,909.20","7,129,517.65","10,417,090.91","1,995,245.88","4,711,392.83","7,713,235.96","11,977,089.42","1,994,922.48","5,366,186.38","9,717,750.65","14,291,245.27","4,550,277.97","10,430,400.77","19,008,474.74","39,128,895.88","14,124,423.22","29,762,812.69","51,986,471.87","68,702,825.91","32,466,448.85","71,707,420.70"
营业外收入,"1,826,093.39","1,790,771.85","3,341,739.70","2,094,775.45","2,574,918.19","3,044,694.83","3,159,249.46","230,845.56","45,142,819.22","45,317,692.76","47,294,163.24","270,628.67","388,062.39","548,724.03","19,490,227.24","293,343.41","1,114,064.32","1,555,101.63","23,013,881.32","415,866.78","755,216.56","4,518,594.43","9,825,855.07","1,900,120.15","9,541,587.85","26,397,188.37","37,262,733.29","6,379,622.26","14,483,357.65","21,347,857.15","19,790,562.91","1,469,284.78","2,229,094.62"
销售费用,"17,834,358.64","17,201,618.77","34,517,134.81","8,057,676.14","16,865,950.13","26,237,697.90","36,336,217.55","10,197,509.23","22,428,643.33","34,415,783.48","47,474,756.61","10,905,502.89","24,675,960.58","36,878,349.31","54,853,674.33","12,651,739.54","26,825,073.85","41,959,789.24","58,274,057.41","14,183,096.21","28,889,125.03","49,603,195.11","74,018,762.32","20,014,180.08","44,516,540.52","73,966,959.06","106,225,423.09","22,440,633.04","50,492,894.08","77,978,935.71","112,360,955.67","48,806,338.54","114,477,016.14"
减:营业外支出,"417,068.67","267,366.11","990,426.28","105,295.01","106,570.01","111,335.01","343,781.12","32,942.53","116,990.49","224,325.09","593,974.52","18,868.03","1,713,839.54","1,746,561.98","4,099,238.52","555,357.83","1,294,619.68","7,371,257.82","7,991,065.03","43,788.06","213,379.59","4,905,126.66","9,450,896.78","7,671,113.75","9,390,138.67","12,771,198.96","18,736,624.26","5,361,075.63","10,649,304.89","14,229,791.50","20,505,204.77","4,295,736.39","13,053,995.57"
管理费用,"38,802,726.63","35,431,485.51","45,320,656.39","11,624,266.60","26,764,355.41","48,855,270.35","73,150,164.51","19,463,781.40","41,583,647.09","67,428,730.35","96,273,231.73","23,594,950.80","54,565,133.80","84,688,804.47","119,351,401.67","32,438,280.09","69,467,578.03","103,137,182.49","151,526,960.51","33,132,252.19","71,456,315.93","120,837,141.31","211,753,381.12","66,661,976.82","178,342,365.84","373,192,627.85","627,404,646.72","178,115,661.56","389,993,360.84","643,789,656.17","900,298,056.08","383,189,898.67","856,147,599.10"
其中:非流动资产处置净损失,"79,299.40","56,075.85","818,046.28",,,,"166,326.50","18,950.70","91,771.70","95,776.45","410,994.53","13,614.75","866,489.45","877,601.55","841,418.86","399,557.83","587,124.79","6,572,561.27","6,995,923.62","5,456.38","137,130.64","340,980.80","969,995.86","864,945.47","818,875.91","1,261,066.32","2,552,831.39","2,708,438.42","3,313,697.67","4,799,803.51",,,
