科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"197,264,027.57","348,857,221.86","132,801,925.43","211,999,279.48","336,623,193.85","75,784,326.46","190,106,427.32","305,828,600.34","471,352,350.22","154,637,480.48","326,013,128.09","590,732,036.17","1,059,225,378.61","345,398,070.60","753,201,110.55","1,229,120,796.50","1,909,842,767.89","615,380,069.80","1,111,628,307.24","2,157,047,674.68","3,373,721,145.78","1,386,158,274.74","2,545,354,403.58","3,930,328,357.43","5,511,983,624.85","1,801,255,971.49","3,539,195,922.97","5,577,541,640.97","10,939,969,457.25","2,367,084,807.06","6,236,818,069.25","9,508,871,443.63","14,151,347,587.92","3,940,332,150.22","7,978,889,115.35","11,997,414,059.77"
取得子公司及其他营业单位支付的现金净额,,"11,589,412.55",,,,,,,,,"103,684,453.21","111,956,747.18","141,534,228.74",,"103,232,801.99","117,143,101.99","122,915,927.38",,"20,399,786.13","151,169,284.01","151,169,284.01","154,973,917.98","202,915,764.61","248,947,018.78","1,248,556,217.41",,"60,922,956.96","1,553,262,938.86","1,636,815,158.25","4,047,707.08","4,047,707.08","4,047,707.08",,,,
收到的税费返还,,,,,,,,,,,,"584,106.52",,,,,,,,,,"579,667.34","687,586.32","687,586.32",,"109,285.80","109,285.80","109,595.53",,,"2,626,824.98","2,829,362.92",,65.83,"115,190.89","259,343.34"
支付其他与投资活动有关的现金,,,,,,"29,750.00",,,"4,500,000.00",,,,,,,"14,962.94","14,962.94",,"11,473,369.88","16,213,475.43","16,453,475.43","36,165.22","36,165.22","36,165.22","87,846,265.02",,"1,882,653.91","24,886,812.34","147,386,679.82","24,156,901.25","2,749,926.43","5,721,711.72","4,738,317.49","14,451,511.82","18,815,304.61","25,940,964.25"
收到其他与经营活动有关的现金,"7,317,273.16","2,792,508.88","2,273,575.74","2,426,868.10","2,580,160.46","1,265,290.73","4,379,558.37","6,887,628.17","7,396,692.29","16,485,466.68","9,211,568.42","17,172,493.49","33,699,767.79","5,607,296.00","10,095,205.45","16,370,635.26","50,992,110.75","2,962,355.10","11,700,618.69","15,981,546.90","42,838,752.60","15,860,945.78","24,131,647.97","80,700,695.34","330,612,377.37","22,988,431.14","49,548,965.36","223,569,655.11","162,634,630.49","154,780,810.10","267,373,074.54","315,956,471.51","206,481,784.71","262,756,571.51","695,508,188.01","1,015,533,083.09"
投资活动现金流出小计,"763,198.28","82,874,602.11","2,713,313.33","4,293,214.24","6,305,150.89","7,787,612.38","29,243,374.54","29,958,083.00","50,728,774.56","44,092,810.00","134,299,659.32","206,044,774.72","251,479,457.09","40,532,842.91","263,945,536.35","368,112,524.48","424,586,553.61","202,795,082.73","352,219,228.07","694,428,737.14","648,723,603.34","190,519,076.41","385,519,722.53","517,230,149.91","2,014,868,878.98","293,630,234.09","507,337,300.69","2,300,893,327.97","2,760,283,027.23","118,933,557.13","157,969,308.59","212,900,404.42","2,503,121,375.06","198,801,905.59","1,394,045,372.32","512,171,920.32"
经营活动现金流入小计,"204,581,300.73","351,649,730.74","135,075,501.17","214,426,147.58","339,203,354.31","77,049,617.19","194,485,985.69","312,716,228.51","478,749,042.51","171,122,947.16","335,224,696.51","608,488,636.18","1,092,925,146.40","351,005,366.60","763,296,316.00","1,245,491,431.76","1,960,834,878.64","618,342,424.90","1,123,328,925.93","2,173,029,221.58","3,416,559,898.38","1,402,598,887.86","2,570,173,637.87","4,011,716,639.09","5,842,596,002.22","1,824,353,688.43","3,588,854,174.13","5,801,220,891.61","11,102,604,087.74","2,521,865,617.16","6,506,817,968.77","9,827,657,278.06","14,357,829,372.63","4,203,088,787.56","8,674,512,494.25","13,013,206,486.20"
投资活动产生的现金流量净额,"-760,058.28","-82,787,752.11","-2,706,353.33","-4,253,657.83","-6,285,240.89","-7,780,882.08","-29,236,644.24","-29,949,172.70","-50,719,942.26","-44,092,810.00","-134,299,659.32","-205,972,774.72","-251,407,457.09","-39,945,118.31","-260,890,407.67","-350,683,615.80","-405,550,502.33","-201,155,082.73","-344,185,420.35","-670,048,955.54","-481,818,551.23","-168,498,196.41","-356,432,270.37","-469,516,218.34","-1,937,456,883.26","-142,725,727.83","-332,355,754.84","-2,033,484,451.44","-1,810,173,439.12","-67,253,435.57","-58,291,652.27","-91,169,323.02","-677,055,024.60","567,937,493.92","-408,871,628.67","629,072,710.45"
购买商品、接受劳务支付的现金,"98,018,640.62","151,318,609.44","57,646,339.76","94,370,533.22","155,216,023.64","33,348,641.20","86,582,817.65","161,276,729.95","242,573,282.44","51,445,689.64","192,662,586.41","388,687,319.99","686,709,411.73","208,960,669.55","478,045,586.98","811,222,891.70","1,229,639,004.38","352,265,086.41","741,152,538.79","1,389,968,074.67","2,221,291,772.38","777,030,533.46","1,756,910,806.51","2,701,046,821.47","3,900,655,830.75","1,041,306,756.67","2,024,661,173.23","3,388,626,144.20","8,003,845,752.74","1,744,549,306.08","4,995,805,217.79","7,779,822,911.05","11,315,486,398.09","3,097,472,690.45","6,493,632,179.35","9,882,134,148.07"
吸收投资收到的现金,,"53,100,000.00","3,900,000.00","3,900,000.00","4,213,250.00","632,068,000.00","632,068,000.00","633,103,000.00","638,827,294.71",,"1,058,000.00","1,058,000.00","1,058,000.00","200,000.00","47,636,982.50","47,636,982.50","48,126,982.50","1,810,000.00","70,610,239.00","601,610,209.00","602,590,209.00","296,070,807.60","298,070,807.60","386,243,453.00","412,473,453.00",,"-215,890.00","1,662,820,881.20","799,040,087.79","49,317,228.80","-46,859,282.63","-46,423,306.53","83,558,321.00","1,736,067,064.64","2,078,295,061.57","2,102,453,502.36"
支付给职工以及为职工支付的现金,"29,570,306.59","68,284,769.92","41,491,645.68","60,333,047.20","79,420,932.40","26,294,905.14","51,639,250.49","71,735,741.07","107,766,509.84","30,107,992.72","62,980,282.25","96,025,301.48","146,213,953.69","43,735,137.26","116,539,606.70","177,645,454.25","245,005,153.85","95,511,107.43","178,693,030.74","285,721,503.95","387,669,630.14","149,043,301.71","331,086,548.33","497,561,511.03","715,584,800.39","377,151,484.33","745,121,583.22","1,194,901,201.13","1,451,196,589.76","535,316,496.21","1,023,263,407.97","1,531,885,345.54","1,938,238,154.60","541,458,340.85","1,083,074,061.55","1,638,972,769.80"
取得借款收到的现金,,"40,000,000.00",,,"40,000,000.00",,,,,,,,,"20,409,511.77","100,000,000.00","150,000,000.00","204,375,000.00","50,000,000.00","264,097,989.55","768,251,522.15","768,251,522.15","431,497,018.01","503,914,818.01","900,795,724.74","3,268,123,559.74","132,405,000.00","1,631,315,500.00","3,534,324,021.89","6,481,293,485.82","1,723,825,501.19","2,235,982,675.27","5,158,227,274.14","5,792,346,117.00","415,970,659.74","1,165,317,151.84","2,295,361,716.63"
支付的各项税费,"7,159,827.00","28,518,183.15","18,110,045.22","30,168,484.21","37,249,150.87","8,755,435.20","19,529,561.54","34,983,247.38","49,909,109.47","13,463,676.61","29,649,390.83","51,977,901.25","74,336,687.44","44,770,324.93","80,980,796.68","119,592,447.08","158,626,618.91","57,938,368.27","99,286,304.18","140,527,797.56","244,051,603.26","118,734,584.72","210,057,189.95","269,510,048.41","355,103,373.51","147,813,716.30","236,864,568.71","315,251,287.43","417,954,283.88","128,772,651.66","237,682,856.55","312,805,176.69","308,790,406.82","92,379,359.60","188,899,988.40","258,338,772.85"
收到其他与筹资活动有关的现金,,,,,"1,000,000.00","147,590.03","193,741.07","3,914,009.44","61,250.00",,,,,,,,,,,,,,,,,,,,"1,539,485,349.89","137,574,047.83","645,159,125.33","12,721,625.35","648,526,392.19","1,367,177.53","77,652,726.73","77,652,726.73"
支付其他与经营活动有关的现金,"32,045,886.87","38,010,652.49","12,974,023.87","31,980,646.28","31,139,795.84","14,222,722.63","19,375,225.17","32,808,683.02","34,824,054.75","20,824,465.51","24,592,104.99","42,332,780.06","71,325,619.71","36,616,547.15","65,837,162.88","97,921,290.87","133,503,841.56","44,285,436.95","89,057,653.31","158,553,009.09","413,791,935.67","88,187,178.09","183,183,170.63","372,485,773.79","665,892,379.61","177,492,327.93","483,292,569.84","661,679,874.29","740,532,851.53","237,847,595.97","453,514,077.42","615,486,509.58","885,425,581.12","433,391,109.17","927,189,704.10","1,496,142,027.25"
筹资活动现金流入小计,,"93,100,000.00","3,900,000.00","3,900,000.00","45,213,250.00","632,215,590.03","632,261,741.07","637,017,009.44","638,888,544.71",,"1,058,000.00","1,058,000.00","1,058,000.00","20,609,511.77","147,636,982.50","197,636,982.50","450,301,982.50","51,810,000.00","334,708,228.55","1,369,861,731.15","1,370,841,731.15","727,567,825.61","801,985,625.61","1,287,039,177.74","3,680,597,012.74","132,405,000.00","1,631,099,610.00","5,197,144,903.09","8,819,818,923.50","1,910,716,777.82","2,834,282,517.97","5,124,525,592.96","6,524,430,830.19","2,153,404,901.91","3,321,264,940.14","4,475,467,945.72"
经营活动现金流出小计,"166,794,661.08","286,132,215.00","130,222,054.53","216,852,710.91","303,025,902.75","82,621,704.17","177,126,854.85","300,804,401.42","435,072,956.50","115,841,824.48","309,884,364.48","579,023,302.78","978,585,672.57","334,082,678.89","741,403,153.24","1,206,382,083.90","1,766,774,618.70","549,999,999.06","1,108,189,527.02","1,974,770,385.27","3,266,804,941.45","1,132,995,597.98","2,481,237,715.42","3,840,604,154.70","5,637,236,384.26","1,743,764,285.23","3,489,939,895.00","5,560,458,507.05","10,613,529,477.91","2,646,486,049.92","6,710,265,559.73","10,239,999,942.86","14,447,940,540.63","4,164,701,500.07","8,692,795,933.40","13,275,587,717.97"
偿还债务支付的现金,,"10,000,000.00",,"30,000,000.00","30,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00",,,,,,,,,"70,409,511.77","155,000,000.00","279,225,000.00","502,372,989.55","1,504,003.75","202,888,146.67","351,384,142.92","721,284,142.92","44,836,875.00","1,017,146,600.00","1,806,360,347.14","4,952,726,826.98","999,212,167.67","2,368,584,137.75","4,464,886,986.09","5,259,503,743.48","557,217,526.09","1,318,849,848.80","3,225,899,702.42"
