科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"251,643,288.94","304,836,734.83","386,339,527.87","77,649,099.49","199,056,136.32","234,875,682.53","473,196,469.36","71,182,003.80","161,580,730.39","176,583,959.10","311,153,016.49","78,748,331.99"
二、营业利润,"88,389,693.03","105,261,203.91","121,301,830.51","22,314,201.24","53,782,223.15","45,005,280.66","136,502,723.37","14,597,718.79","42,614,732.26","28,732,773.48","48,394,138.78","7,585,762.61"
减:营业成本,"128,167,739.78","155,906,715.07","202,144,861.27","38,144,380.21","104,702,244.25","124,866,259.14","253,167,872.63","39,252,279.46","88,552,709.08","100,202,672.18","197,162,061.33","55,325,114.71"
加:补贴收入,,,,,,,,,,,,
营业税金及附加,"2,382,984.65","1,995,989.83","3,595,230.59","409,452.62","1,524,538.33","1,738,353.59","5,958,463.33","342,535.41","1,168,138.97","1,557,259.16","2,158,271.14","728,851.08"
营业外收入,"4,212,425.39","2,859,185.65","17,024,458.00","1,681,540.93","4,782,749.21","13,302,333.42","25,512,591.05","11,180,222.13","130,000.03","130,000.14","187,796.14","2,000.00"
销售费用,"5,789,475.98","7,495,469.67","10,166,382.59","1,975,394.62","3,766,169.37","6,531,888.79","11,284,098.19","2,520,741.02","5,742,944.48","9,664,828.12","16,286,996.43","2,181,409.98"
减:营业外支出,"40,533.05","80,143.49",,,14.88,64.88,64.88,974.41,"9,601.47","10,035.69","17,833.58",429.48
管理费用,"26,007,241.79","30,530,226.66","44,904,916.53","11,231,871.33","27,766,558.66","49,350,420.62","66,254,991.86","16,021,200.61","40,800,474.69","60,627,290.38","81,612,348.77","14,680,563.04"
其中:非流动资产处置净损失,,264.43,,,,,,,,766.60,,
堪探费用,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,
财务费用,"1,288,299.66","2,932,215.69","4,056,609.72","1,161,805.70","2,072,978.68","1,161,783.10","-112,284.01","-1,440,385.41","-3,110,840.40","-4,100,550.83","-4,551,614.39","-607,540.88"
三、利润总额,"92,561,585.37","108,040,246.07","138,326,288.51","23,995,742.17","58,564,957.48","58,307,549.20","162,015,249.54","25,776,966.51","42,735,130.82","28,852,737.93","48,564,101.34","7,587,333.13"
资产减值损失,"-382,145.95","714,914.00","169,696.66","2,411,993.77","5,441,423.88","6,221,696.63","3,078,490.29","1,362,913.92","5,503,313.53","6,437,250.92","6,201,774.68","2,629,349.59"
减:所得税,"13,867,218.97","14,936,382.28","18,516,039.93","3,083,439.87","7,282,479.10","6,169,963.35","21,083,223.00","2,884,824.54","3,870,189.57","1,044,281.72","4,022,137.61","510,895.09"
加:公允价值变动净收益,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,
投资收益,,,,,,,"2,937,886.30","1,475,000.00","4,506,565.07","6,964,335.23","9,693,073.81","3,572,586.56"
四、净利润,"78,694,366.40","93,103,863.79","119,810,248.58","20,912,302.30","51,282,478.38","52,137,585.85","140,932,026.54","22,892,141.97","38,864,941.25","27,808,456.21","44,541,963.73","7,076,438.04"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,
归属于母公司所有者的净利润,"78,694,366.40","93,103,863.79","119,810,248.58","20,912,302.30","51,282,478.38","52,137,585.85","140,932,026.54","22,892,141.97","38,864,941.25","27,808,456.21","44,541,963.73","7,076,438.04"
影响营业利润的其他科目,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,
