科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"6,611,981,126.83","8,035,779,247.88","9,582,182,010.45","3,377,929,222.86","5,506,707,615.58","8,880,268,618.22","12,211,118,977.57","4,365,812,204.81","7,107,830,482.83","11,119,061,851.82","15,333,794,882.88","4,141,921,922.37","7,284,512,948.43","11,850,230,921.54","15,102,147,872.05","4,484,684,395.09","7,722,901,241.15","11,946,430,144.79","16,707,711,765.84","4,612,623,235.00","8,749,078,592.79","13,468,248,232.92","18,622,925,313.09","5,603,668,265.08","9,504,511,971.78","14,296,548,102.30","19,109,797,054.57","5,277,834,730.18","9,258,547,170.91","14,135,330,768.74","19,286,215,394.13","5,297,557,189.46","9,645,589,754.54","14,593,225,769.35","19,631,984,286.40"
取得子公司及其他营业单位支付的现金净额,"90,485,792.00",,,,,,,"-11,463,152.73","-11,463,152.73","-11,463,152.73","1,000,000.00",,,,,,,,,,,,"13,640,538.65",,,,"11,181,000.00",,,,"2,909,000.00",,,,"669,783,685.89"
收到的税费返还,,,,,"175,666.80","175,666.80","537,326.34",,,,"436,664.43",,,,,,,"2,076.15",,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,"42,202.50",,,,"700,000,000.00",,"1,015,000,000.00","2,475,000,000.00","3,395,000,000.00","350,000,000.00","1,010,000,000.00","2,410,000,000.00","4,260,000,000.00","1,700,000,000.00","3,200,000,000.00","4,650,000,000.00","5,532,250,000.00","2,588,461,440.00","5,630,000,000.00","8,479,000,000.00","10,189,000,000.00","2,277,000,000.00","4,377,000,000.00","7,097,000,000.00","9,037,556,663.68"
收到其他与经营活动有关的现金,"124,295,469.77","269,021,295.49","282,460,912.21","138,391,547.25","98,794,965.54","238,610,555.65","287,618,066.98","76,040,864.38","201,926,638.16","290,025,177.25","483,749,751.95","133,309,736.56","176,065,997.87","281,631,964.04","645,718,800.94","269,116,829.27","423,057,397.38","760,559,035.35","695,182,180.42","235,668,812.31","816,862,095.20","1,138,672,113.06","798,041,772.45","300,315,967.71","499,453,183.87","893,374,571.62","977,784,645.43","376,500,873.50","588,762,201.30","836,176,456.48","1,298,849,648.61","427,664,171.73","550,170,466.81","766,743,032.87","1,524,323,858.27"
投资活动现金流出小计,"399,387,090.96","177,861,591.72","884,790,765.29","34,828,214.55","257,774,818.73","422,753,422.13","428,911,157.22","84,071,282.54","330,947,482.89","466,847,112.85","603,851,764.49","99,494,336.38","203,649,759.25","956,594,930.90","1,362,252,575.98","909,675,539.41","1,501,648,427.15","3,149,198,510.72","4,162,493,708.50","663,654,481.86","1,515,456,582.69","3,126,832,206.75","5,078,388,504.26","1,839,897,891.80","3,393,926,142.15","5,087,287,822.07","6,193,651,581.06","2,672,196,560.54","5,778,504,119.45","8,726,757,529.78","10,938,567,818.55","2,381,565,277.85","4,689,662,179.77","8,129,983,639.37","10,449,945,382.44"
经营活动现金流入小计,"6,736,276,596.60","8,304,800,543.37","9,864,642,922.66","3,516,320,770.11","5,605,678,247.92","9,119,054,840.67","12,499,274,370.89","4,441,853,069.19","7,309,757,120.99","11,409,087,029.07","15,817,981,299.26","4,275,231,658.93","7,460,578,946.30","12,131,862,885.58","15,747,866,672.99","4,753,801,224.36","8,145,958,638.53","12,706,991,256.29","17,402,893,946.26","4,848,292,047.31","9,565,940,687.99","14,606,920,345.98","19,420,967,085.54","5,903,984,232.79","10,003,965,155.65","15,189,922,673.92","20,087,581,700.00","5,654,335,603.68","9,847,309,372.21","14,971,507,225.22","20,585,065,042.74","5,725,221,361.19","10,195,760,221.35","15,359,968,802.22","21,156,308,144.67"
投资活动产生的现金流量净额,"-296,267,358.62","-177,073,146.72","-884,646,193.88","-34,821,619.55","-257,758,093.93","-422,722,149.46","-428,875,264.80","-83,942,301.11","-330,818,069.92","-466,793,816.29","-591,358,809.91","-99,483,316.38","-203,638,739.25","-956,583,910.90","-654,501,826.01","-909,675,539.41","-1,195,939,386.06","-1,657,845,813.34","-1,384,200,693.19","-309,914,752.86","-400,572,470.10","-1,344,370,203.60","-1,578,870,266.58","-25,920,906.25","82,442,602.63","-400,500,411.54","664,748,859.36","-1,066,322,015.53","-884,378,344.85","-1,584,530,241.61","-1,269,624,655.91","-490,306,450.87","-680,944,277.06","-1,376,964,625.26","-1,309,874,832.45"
购买商品、接受劳务支付的现金,"4,822,173,716.68","5,973,506,382.11","6,944,463,971.05","2,330,909,395.38","4,309,901,831.24","6,368,916,163.93","9,054,655,429.72","3,024,601,421.01","5,485,619,743.75","7,833,041,093.54","11,000,980,156.82","3,784,732,661.94","6,241,402,041.51","8,823,724,228.03","11,309,252,655.30","3,672,117,344.70","6,425,122,285.63","9,190,558,102.11","12,688,460,136.03","4,041,293,968.92","7,651,389,742.16","10,852,720,619.58","14,590,413,735.16","4,730,774,031.40","8,148,334,493.71","10,997,598,055.56","14,614,634,243.52","4,619,804,024.35","7,917,367,512.98","11,255,499,757.02","14,399,474,319.02","4,921,259,311.24","8,286,116,759.00","11,771,836,394.56","14,896,879,523.06"
吸收投资收到的现金,,"38,400,000.00",,,"1,932,860,000.00","1,932,860,000.00","1,932,860,000.00",,"799,618.09","799,618.09","2,412,328.09","1,591,263.69","1,591,263.69","1,591,263.69","1,591,263.69",,,,,,,"31,489,964.00","31,489,964.00",,,,"4,800,000.00",,"1,400,000.00",,"1,112,223.47",,,"500,951.40","932,251.40"
