科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"41,398,794.45","42,286,947.06","87,965,514.20","65,930,180.02","1,784,439,745.76","1,569,120,151.43","1,538,322,600.66","1,453,819,315.72","1,450,381,092.01","1,389,479,332.00","1,453,522,599.70","1,462,149,719.47","1,281,646,236.87","1,323,766,202.71","1,262,704,068.95","1,162,978,324.28","697,199,990.75","734,489,501.22","829,922,662.07","390,731,202.09","385,776,292.91","349,050,993.53","1,071,153,646.16","479,399,918.83","628,202,287.98","981,210,124.37","1,193,363,406.18","735,937,767.64","778,454,244.57","880,915,211.21","1,201,833,976.58","1,109,008,007.23","1,239,636,803.41","1,292,433,945.29","961,794,125.80","961,153,403.81","896,192,286.75","895,560,023.94","1,305,013,248.83","1,285,488,625.89"
短期借款,"35,000,000.00","52,000,000.00","92,000,000.00","92,000,000.00","92,000,000.00","42,000,000.00",,,,,,,,,,,,,,"200,000,000.00","630,000,000.00","480,000,000.00","780,000,000.00","1,400,000,000.00","1,550,000,000.00","1,800,000,000.00","1,699,000,000.00","1,400,000,000.00","1,400,000,000.00","1,700,000,000.00","1,750,000,000.00","1,822,000,000.00","1,822,000,000.00","1,872,000,000.00","2,110,900,920.00","2,178,900,920.00","1,935,288,509.00","1,726,111,509.00","1,653,428,789.00","1,832,936,764.38"
交易性金融资产,,,,,,,,,,,,,"200,000,000.00","183,000,000.00","80,000,000.00","200,000,000.00","200,000,000.00","240,000,000.00","270,000,000.00","354,400,000.00",,,,,,,,,,,,,,,,,,,,"101,956,885.88"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,672,042.48","200,000.00","300,000.00","868,800.00",,"1,571,880.00","300,000.00","1,820,448.00","4,438,025.36",,"2,878,210.00","1,294,310.00","420,000.00","6,241,188.99","5,044,780.07","2,697,500.00","2,493,564.67","5,473,286.46","18,084,188.84","2,596,142.20","7,511,702.47","11,629,030.89","12,303,063.91","8,699,677.07","11,398,056.46","21,644,680.94","37,860,195.21","38,025,617.79","40,369,010.31","33,711,231.52","69,128,950.47","54,249,206.43","52,334,945.85","33,216,253.75","19,457,202.97","42,328,772.72","23,045,492.88","15,141,657.45","5,906,368.33","3,041,894.00"
应付票据,,,,,,,,,,"2,200,500.00","7,200,500.00","2,160,000.00","2,750,700.00","1,240,000.00",,,,,,,,,"9,940,106.00","40,843,847.00","80,700,282.00","150,095,186.21","91,870,932.61","27,330,603.57","56,909,705.17","1,450,000.00","11,576,931.00","21,073,282.00","14,751,730.00","16,228,772.00","17,342,401.31","15,982,064.31","14,603,228.33",,"147,348,006.48",
应收账款,"314,844.37",,"723,942.11","723,942.11",,"55,858.47","18,221,032.27","23,532,025.66","13,810,735.96","9,314,022.51","3,188,085.06","6,356,760.32","31,009,350.48","38,414,410.35","43,574,794.33","78,550,109.30","155,816,745.94","160,205,605.06","111,333,360.12","114,847,837.96","224,696,519.42","130,367,666.80","108,048,800.41","119,370,588.01","153,574,830.66","113,748,286.61","96,194,046.37","91,512,653.68","82,240,100.78","138,467,055.84","174,498,329.15","171,321,367.85","177,245,541.50","268,650,099.71","427,544,691.62","569,143,721.70","736,062,355.93","752,422,797.16","752,164,345.63","657,367,600.16"
应付账款,"7,511,430.15","9,585,924.91","11,048,443.39","19,765,067.75","13,514,120.57","13,038,743.83","12,665,410.36","21,460,291.56","12,882,976.08","17,544,938.37","30,416,277.20","43,378,246.38","35,017,093.47","38,796,399.82","35,305,262.14","51,712,140.21","52,079,682.09","33,007,756.83","49,962,119.99","59,160,946.04","69,783,718.85","65,889,185.86","66,950,608.77","93,152,649.23","147,797,492.82","138,778,982.72","95,480,858.12","96,090,389.15","145,010,482.60","142,537,404.62","113,051,388.80","134,664,218.93","102,203,571.97","188,205,368.20","166,280,935.01","193,578,725.87","183,519,591.38",,"168,801,200.76",
预付款项,"26,988,309.46","46,523,357.61","71,971,673.53","79,026,368.78","71,011,943.04","162,369,483.86","148,541,102.58","167,500,603.41","201,299,405.06","270,850,514.23","200,040,023.77","198,585,056.70","190,456,327.27","225,788,030.90","323,647,446.02","166,884,275.93","165,762,067.13","162,866,038.70","117,822,397.51","134,125,574.79","82,343,832.04","106,116,611.77","114,570,665.13","122,044,440.12","165,571,482.28","201,580,758.79","118,939,646.04","200,759,337.12","151,714,329.46","193,837,624.38","79,300,527.46","105,634,852.11","65,036,155.73","108,011,487.33","31,908,541.44","45,717,364.76","32,145,171.84","47,501,294.75","36,691,568.17","49,133,634.64"
预收款项,"230,000.00","1,631,686.40","2,997,708.90","2,107,708.90","2,582,128.89","2,577,987.36","3,831,334.30","3,831,334.30","981,334.30","981,334.30","2,184,297.89","3,184,297.89","2,184,297.89","5,455,512.71","1,921,347.37","4,336,005.32","13,916,957.38","20,686,496.02","24,332,529.38","34,179,236.07","29,767,225.27","34,479,308.46","68,466,499.43","109,411,944.41","88,943,844.24","79,366,193.08","143,475,391.65","152,248,066.57","151,799,755.22","116,384,329.29","186,766,092.50","108,938,917.75","131,598,274.15","128,591,438.72","139,038,849.56","164,479,513.49","185,511,981.49","133,669,367.10","146,386,194.71","96,731,299.49"
