科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"189,136,216.60","223,035,769.08","241,885,918.18","70,468,551.62","138,372,370.14","218,456,020.30","309,725,182.27","74,194,471.59","158,363,191.58","258,541,729.77","348,511,770.82","82,592,010.95","153,701,888.88","245,183,765.86","334,569,341.16","85,052,136.01","189,007,433.39","312,758,970.06","407,714,299.43","136,564,065.09","263,945,888.42","357,930,853.01","488,045,016.84","123,119,139.99","289,152,443.03","496,618,253.84","820,714,311.44","231,509,847.75","489,383,273.71","660,001,346.41","1,104,771,675.22","216,683,412.75","471,203,064.48","663,677,907.81","1,145,142,321.20","215,080,828.27"
取得子公司及其他营业单位支付的现金净额,,"892,500.00",,,"2,514,170.14","2,514,170.14",,,,,,,"18,233,758.53","18,233,758.53","16,280,713.94",,,,,,"44,198,312.41","49,957,733.72","52,522,862.12",,"316,424,184.00","616,424,184.00","574,965,388.08",,,,"468,705,024.96",,,,"23,192,260.15",
收到的税费返还,"2,294,419.56","7,950,810.44","13,420,065.54","7,767,684.31","12,945,408.46","23,225,297.89","31,508,632.52","10,623,454.13","18,069,105.47","31,793,356.18","41,283,374.84","6,104,790.02","13,160,339.61","19,853,389.15","26,852,433.95","8,945,903.82","15,333,439.50","25,145,817.22","34,664,234.88","8,877,883.96","15,160,783.90","21,543,327.16","28,536,204.41","10,256,945.66","21,951,221.47","37,517,904.11","50,714,356.84","9,112,260.17","20,852,711.94","32,636,316.60","57,303,410.70","31,001,997.79","44,758,764.15","65,213,164.07","81,677,278.36","21,977,520.92"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"16,586.09",,,,,,,,"17,418,391.04","359,798.49",,,,"2,000,000.00",,"51,108,298.47","50,000,041.55","106,169,955.94","51,477,485.70"
收到其他与经营活动有关的现金,"1,303,199.30","3,266,825.21","7,984,733.92","752,538.64","1,297,099.69","2,548,292.90","5,855,312.90","1,160,983.94","1,933,450.60","3,069,830.43","3,129,647.71","4,210,621.84","2,364,759.49","3,633,884.99","5,410,368.93","3,489,487.53","5,599,221.69","6,525,037.03","7,370,995.47","1,199,466.31","3,356,072.63","4,662,108.63","15,606,862.33","5,940,463.26","37,324,135.40","67,048,776.19","55,172,121.13","9,719,660.76","12,567,537.33","33,360,345.33","26,542,245.46","8,965,151.47","20,969,591.26","43,211,035.15","40,938,176.85","22,249,422.07"
投资活动现金流出小计,"9,688,265.74","23,009,263.65","25,250,139.32","13,735,687.63","19,033,987.07","24,892,893.05","30,300,318.01","14,468,070.26","17,468,747.78","31,165,653.12","31,540,638.37","23,384,948.14","22,534,935.69","44,525,560.67","49,171,122.58","27,382,467.77","71,874,849.05","94,651,900.44","121,788,108.32","131,723,529.07","160,195,808.43","254,988,999.92","287,382,924.73","24,501,878.06","347,476,691.80","668,715,478.16","674,537,831.94","488,644,876.02","501,854,216.31","510,434,971.85","594,406,590.17","10,465,335.47","110,669,200.32","166,102,560.19","284,782,561.97","109,482,493.04"
经营活动现金流入小计,"192,733,835.46","234,253,404.73","263,290,717.64","78,988,774.57","152,614,878.29","244,229,611.09","347,089,127.69","85,978,909.66","178,365,747.65","293,404,916.38","392,924,793.37","92,907,422.81","169,226,987.98","268,671,040.00","366,832,144.04","97,487,527.36","209,940,094.58","344,429,824.31","449,749,529.78","146,641,415.36","282,462,744.95","384,136,288.80","532,188,083.58","139,316,548.91","348,427,799.90","601,184,934.14","926,600,789.41","250,341,768.68","522,803,522.98","725,998,008.34","1,188,617,331.38","256,650,562.01","536,931,419.89","772,102,107.03","1,267,757,776.41","259,307,771.26"
投资活动产生的现金流量净额,"-6,928,989.11","-17,374,945.40","-24,671,403.91","-13,735,687.63","-18,112,469.51","-23,633,084.60","-27,971,477.04","-13,532,122.69","-9,657,101.75","-21,241,518.30","-19,328,302.94","-21,603,254.45","764,503.30","-21,224,390.55","-18,972,404.06","-27,187,400.13","-47,553,828.16","-68,253,765.19","-90,118,576.31","-130,263,150.99","-120,809,647.58","-211,649,568.19","-241,244,228.35","-22,438,226.64","-340,317,319.57","-663,729,211.98","-655,040,085.40","-488,210,962.54","-496,610,286.63","-504,322,053.96","-588,124,857.85","-8,788,704.84","-107,367,369.96","-160,656,439.79","-168,403,267.86","-109,219,687.04"
购买商品、接受劳务支付的现金,"90,908,483.30","164,039,365.22","138,120,407.48","42,220,560.55","88,531,087.99","139,970,725.38","193,016,397.37","40,082,391.88","127,805,979.94","195,120,616.18","232,148,912.68","42,194,827.96","95,380,653.69","144,722,881.36","195,165,748.85","49,174,648.67","126,067,959.95","219,632,570.71","279,888,032.66","83,445,258.06","159,796,197.93","213,979,172.14","262,956,719.07","80,974,980.51","184,803,370.25","313,469,568.78","460,478,192.03","126,484,650.57","270,742,340.44","357,377,885.52","639,795,957.79","177,910,072.42","330,938,602.82","466,384,026.56","603,485,771.01","180,317,411.63"
吸收投资收到的现金,,,,,"946,560,000.00","946,560,000.00","946,560,000.00",,,,,"1,000,000.00","1,000,000.00","1,000,000.00","1,049,000.00","2,790,994.32","2,790,994.32","2,790,994.32","2,798,168.48",,,,"500,000.00",,,,"100,000.00",,"1,300,000.00","1,300,000.00","592,299,961.29",,"1,400,000.00","1,700,000.00","1,900,000.00",
