科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"356,599,489.68","673,040,628.94","1,266,761,212.65","424,614,018.10","807,941,279.86","1,108,426,245.43","1,695,762,809.36","422,417,373.26","769,223,506.46","1,095,974,279.03","1,573,065,719.82","555,723,463.36","1,042,328,920.84","1,503,485,387.98","2,048,115,853.30","725,065,196.56","1,384,305,552.25","1,999,442,138.94","2,813,636,964.08","764,916,287.12","1,342,704,098.51","2,035,629,333.14","2,851,041,083.41","937,475,968.76","1,758,582,153.81","2,624,429,612.89","3,755,923,981.71","1,184,068,569.75","2,191,717,436.12","3,065,864,954.75","4,240,476,995.47","1,168,705,409.72","2,154,144,245.25","3,181,259,869.09","4,351,908,223.17","1,493,837,085.64","2,683,319,640.50","3,903,379,220.96","5,486,984,585.21","1,590,257,221.70","2,824,446,373.76","4,055,394,445.71"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"121,094,690.33",,,,,,,,,,,,,,,
收到的税费返还,"10,371,688.70","17,127,838.97","21,849,843.73","2,894,839.31","7,603,664.47","12,627,965.05","19,738,869.23","4,584,485.01","7,809,730.19","11,307,968.27","12,895,990.80","6,911,049.67","20,023,627.65","24,661,741.32","34,954,061.38",,"10,644,895.38","13,684,038.58","28,320,662.30",,"1,918,282.29","16,575,385.91","31,318,315.89","2,555,002.92","9,969,178.06","14,080,818.12","31,161,702.28",,"11,514,842.60","13,906,783.67","31,820,607.33",,"4,949,848.49","14,747,956.72","31,953,993.22","2,999,476.86","10,285,865.25","11,007,297.85","27,538,158.38","9,805,708.00","16,270,061.54","26,137,428.17"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,346,309.78","100,346,309.78",,,"1,500,000.00","1,800,000.00",,,,,,,,
收到其他与经营活动有关的现金,"10,783,106.63","7,630,308.48","42,238,325.97","12,290,629.44","19,734,803.92","45,872,387.76","77,230,348.56","16,952,535.51","43,953,787.82","52,702,795.48","61,356,080.34","17,107,068.53","24,214,558.47","33,836,684.64","91,179,192.36","14,938,625.59","35,962,850.46","48,910,120.81","66,500,100.89","20,331,053.19","42,549,631.40","49,397,873.17","58,088,842.45","10,445,937.77","23,988,263.18","44,831,668.20","61,088,161.69","21,653,521.27","31,031,025.69","49,032,061.22","90,095,290.58","13,663,430.80","39,751,480.51","47,702,908.41","105,564,861.52","11,670,979.39","33,139,771.37","64,457,795.47","111,475,391.92","13,876,032.51","40,219,431.36","70,807,359.35"
投资活动现金流出小计,"30,215,029.35","70,754,671.09","124,412,911.08","21,943,116.71","50,412,758.80","72,625,284.47","114,295,417.85","20,686,746.84","42,836,354.58","64,227,700.21","101,037,393.72","37,835,135.61","52,935,644.57","83,075,595.90","126,172,896.15","107,303,590.77","180,184,457.37","286,255,635.07","382,894,588.31","89,765,065.75","159,641,648.48","173,967,442.63","343,017,296.17","78,225,618.23","337,932,053.72","367,136,335.22","407,793,419.85","58,194,996.02","212,094,042.61","288,987,110.78","481,700,204.71","161,188,157.05","318,395,598.78","397,653,216.17","486,984,046.79","62,640,223.43","132,632,284.88","160,168,864.47","237,554,810.51","256,816,150.29","375,467,970.67","435,897,677.34"
经营活动现金流入小计,"377,754,285.01","697,798,776.39","1,330,849,382.35","439,799,486.85","835,279,748.25","1,166,926,598.24","1,792,732,027.15","443,954,393.78","820,987,024.47","1,159,985,042.78","1,647,317,790.96","579,741,581.56","1,086,567,106.96","1,561,983,813.94","2,174,249,107.04","740,003,822.15","1,430,913,298.09","2,062,036,298.33","2,908,457,727.27","785,247,340.31","1,387,172,012.20","2,101,602,592.22","2,940,448,241.75","950,476,909.45","1,792,539,595.05","2,683,342,099.21","3,848,173,845.68","1,205,722,091.02","2,234,263,304.41","3,128,803,799.64","4,362,392,893.38","1,182,368,840.52","2,198,845,574.25","3,243,710,734.22","4,489,427,077.91","1,508,507,541.89","2,726,745,277.12","3,978,844,314.28","5,625,998,135.51","1,613,938,962.21","2,880,935,866.66","4,152,339,233.23"
投资活动产生的现金流量净额,"-28,884,874.19","-68,783,332.94","-115,456,009.60","-21,883,808.71","-46,402,770.75","-71,626,020.32","-104,691,394.71","-20,618,846.84","-40,117,693.25","-59,867,049.44","-94,483,238.92","-37,691,197.61","-49,746,530.85","-78,366,640.79","-104,961,309.75","-107,203,861.47","-176,700,356.00","-280,659,205.47","-353,099,643.03","-89,279,626.75","-154,227,713.14","-149,525,634.74","-297,770,751.83","-78,208,752.23","-332,445,874.18","-305,849,406.64","-323,128,585.46","-57,056,269.02","-205,881,511.09","-280,715,148.44","-368,226,156.92","-120,468,571.36","-119,340,117.75","-142,684,555.15","-97,118,437.30","-49,621,999.51","-66,815,583.61","-93,332,368.02","-114,113,097.34","-151,155,196.09","-218,490,668.97","-175,247,741.63"
购买商品、接受劳务支付的现金,"201,108,494.35","418,140,152.99","665,051,418.67","276,602,545.80","555,005,066.97","685,080,558.23","1,058,748,101.21","324,136,779.87","508,385,973.92","666,856,241.66","784,346,792.44","397,295,169.62","763,151,298.54","989,627,827.81","1,323,638,617.45","584,914,747.47","924,149,380.02","1,328,110,987.32","1,967,185,397.19","640,330,503.11","954,616,131.30","1,215,754,180.24","1,729,759,611.32","679,470,505.19","1,061,249,373.64","1,447,100,013.09","2,254,802,884.94","891,810,674.96","1,509,383,973.12","1,922,666,396.73","2,654,136,092.24","837,144,054.15","1,588,882,960.62","2,132,136,693.55","2,731,315,482.02","993,229,944.55","1,803,898,862.76","2,403,582,564.25","3,413,774,855.15","1,032,415,441.99","1,712,736,859.39","2,463,827,894.23"
吸收投资收到的现金,,"8,123,435.00","4,423,539.00","493,070,400.00","493,070,400.00","493,070,400.00","488,641,900.00",,,,,,,,,,,"484,930,596.50","484,930,596.50",,,,,,,,,,,,,,,,"80,000,000.00",,,,"45,624,784.00",,,"2,331,890.00"
