科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"5,677,603,767.58","6,315,200,012.00","8,287,623,755.78","4,513,188,169.34","7,131,932,736.95","9,847,360,834.21","3,634,504,563.14","4,812,408,898.94","8,792,638,094.95","14,308,472,750.45","4,076,834,095.47","8,176,135,129.18","12,768,739,699.98","19,419,124,680.73","3,767,161,357.18","7,364,986,250.03","18,569,517,528.78","24,504,632,925.97","4,269,392,914.08","13,627,366,831.71","19,888,553,294.57","27,575,935,245.82","4,804,352,660.68","11,481,788,038.95","19,569,218,112.02","26,224,629,024.91","6,296,444,620.28","16,263,345,783.81","28,268,952,496.78","52,230,227,446.54","16,983,838,778.93","38,181,150,921.22","55,805,922,395.53","75,229,239,229.25","16,582,347,470.13"
取得子公司及其他营业单位支付的现金净额,"2,500,000.00","12,500,000.00",,"35,409,999.91","35,409,999.91","35,409,999.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,586,034,116.00",
收到的税费返还,"4,418,622.26","4,396,303.81","497,311.70",,,"208,084.57",,,,"2,940,941.48",,"60,753.15","69,651.29","3,221,883.51",,"2,753,300.90","3,970,276.82","123,969,667.23","1,825,261.64","11,377,210.24","40,027,070.12","58,237,264.64","6,238,493.05","12,478,568.26","19,745,897.91","1,376,610,856.36","7,301,077.88","1,021,693,632.34","3,188,713,556.45","5,546,770,640.49","663,642,441.64","2,908,861,684.16","4,513,665,172.25","5,784,581,300.23","1,048,906,934.79"
支付其他与投资活动有关的现金,,"110,000,000.00","30,000.00","6,383,446.00","6,408,230.44","1,569,086,446.00","1,547,822.00","914,090,793.00","914,090,793.00","312,738,793.00","1,300,098,660.00","1,611,113,888.50","1,023,110,000.00","1,456,714,356.20","390,000,000.00","211,110,000.00","721,110,000.00","648,305,534.00","97,364,415.10","198,334,854.86","264,550,499.35","312,072,980.39","1,261,981,473.36","932,000,290.43","2,892,862,933.04","984,909,233.66","340,888,937.38","580,999,145.95","1,087,770,095.99","862,269,898.94","57,515,664.19","2,785,261,172.80","1,279,074,097.78","1,805,803,358.31","328,729,734.86"
收到其他与经营活动有关的现金,"2,546,676,742.21","313,348,628.37","425,058,192.74","141,207,824.40","160,644,498.58","165,730,159.85","239,542,032.40","246,548,217.07","299,872,614.65","248,495,727.66","370,135,236.05","571,738,466.83","931,200,859.15","508,812,650.42","578,685,849.59","785,478,800.67","978,095,140.36","1,957,414,956.65","1,724,603,952.99","2,727,091,293.57","4,617,450,120.38","4,841,654,550.65","3,409,587,981.07","5,910,992,469.42","8,907,006,077.71","11,696,740,156.78","4,920,765,542.20","5,257,905,028.21","8,824,148,597.34","11,068,743,215.29","3,986,961,476.26","4,318,110,004.72","10,368,141,739.90","8,719,634,625.93","4,196,000,592.56"
投资活动现金流出小计,"472,697,430.94","2,780,492,116.82","668,553,025.13","868,567,089.07","1,077,733,091.42","2,848,661,372.15","549,959,673.29","2,444,183,359.77","3,117,812,157.51","2,937,593,179.26","2,539,267,880.52","3,222,436,819.49","4,160,579,207.65","4,874,519,951.39","1,544,498,472.21","1,807,799,716.25","3,376,785,085.48","3,855,234,828.71","879,806,029.88","2,154,618,670.47","4,131,960,299.05","5,631,149,604.49","2,367,392,036.90","3,786,182,253.48","8,363,755,024.72","13,108,905,501.13","4,312,822,678.64","5,988,340,483.54","10,303,327,042.03","12,319,443,046.52","887,381,673.23","3,788,990,645.49","11,716,087,251.85","22,617,622,271.70","8,030,584,540.67"
经营活动现金流入小计,"8,228,699,132.05","6,632,944,944.18","8,713,179,260.22","4,654,395,993.74","7,292,577,235.53","10,013,299,078.63","3,874,046,595.54","5,058,957,116.01","9,092,510,709.60","14,559,909,419.59","4,446,969,331.52","8,747,934,349.16","13,700,010,210.42","19,931,159,214.66","4,345,847,206.77","8,153,218,351.60","19,551,582,945.96","26,586,017,549.85","5,995,822,128.71","16,365,835,335.52","24,546,030,485.07","32,475,827,061.11","8,220,179,134.80","17,405,259,076.63","28,495,970,087.64","39,297,980,038.05","11,224,511,240.36","22,542,944,444.36","40,281,814,650.57","68,845,741,302.32","21,634,442,696.83","45,408,122,610.10","70,687,729,307.68","89,733,455,155.41","21,827,254,997.48"
投资活动产生的现金流量净额,"-34,769,072.35","-2,551,720,846.83","-379,940,844.43","-288,718,689.07","-497,884,691.42","-2,052,421,201.15","-544,234,105.73","-886,018,737.47","-1,559,518,204.97","-834,756,637.29","-2,158,985,757.00","-2,655,894,873.80","-3,574,540,561.56","-4,155,479,966.37","-1,189,532,075.70","-1,170,989,007.64","-1,576,201,976.13","-1,267,525,277.28","-482,895,511.54","-1,514,886,498.76","-3,464,982,152.92","-3,944,108,320.70","-2,141,971,154.74","-2,061,351,894.01","-5,551,057,815.00","-4,556,903,402.89","-2,881,751,141.28","-2,949,894,380.36","-3,852,910,243.87","-2,878,768,425.18","-124,761,821.85","-2,427,030,024.67","-9,091,808,240.60","-18,672,852,948.65","-5,430,517,929.18"
购买商品、接受劳务支付的现金,"5,634,235,432.34","5,665,225,535.69","7,277,075,811.04","3,540,002,771.35","5,390,578,351.39","6,678,613,370.75","3,191,482,902.01","3,881,921,895.67","7,137,149,644.71","12,542,373,650.88","3,815,423,120.02","7,216,938,366.51","10,549,619,865.79","17,701,348,811.39","3,432,601,928.43","7,401,865,355.28","19,549,825,981.41","25,689,223,302.47","3,037,197,207.76","10,336,218,623.77","15,994,027,615.06","22,015,287,114.09","6,862,815,758.47","13,059,844,393.07","23,592,392,398.28","27,327,875,504.13","6,676,953,733.70","15,769,782,840.51","27,478,324,144.77","53,143,962,365.84","16,888,763,612.68","40,836,273,917.15","58,362,010,347.09","75,721,942,778.67","16,954,979,207.56"
吸收投资收到的现金,,"476,756,000.00",,"30,000,000.00","30,000,000.00","2,945,800,000.00",,,,,,,,"301,548,000.00","138,375,996.39","138,375,996.39","138,375,996.39","172,364,023.93",,,,,,,,"3,971,800,000.00","200,000,000.00",,"335,400,000.00","335,400,000.00",,,"5,920,000,000.00","8,860,000,000.00","2,352,000,000.00"
