科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"1,289,489,186.67","1,524,677,220.15","1,804,670,267.90","1,597,600,640.63",,"1,934,789,867.05","2,492,387,827.41","2,471,946,914.72","2,429,164,548.58","3,150,284,151.23","2,890,106,327.61","2,917,008,651.80","2,905,210,688.12","3,359,282,612.42","3,248,375,362.34"
短期借款,"11,895,065.57","8,000,000.00","10,000,000.00","8,000,000.00",,,"6,298,164.74","7,000,000.00","7,000,000.00","7,000,000.00",,,,,
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,"13,131,713.01","4,260,649.45","8,600,000.00","872,640.06",,"7,462,659.00","7,462,659.00","5,735,561.10","2,263,664.12","6,254,890.01","181,820.10","1,000,000.00","1,781,159.46","15,618,145.50","1,944,814.77"
应付票据,,,,,,,,,,,,,,,
应收账款,"94,160,578.22","87,659,315.90","68,018,465.48","137,165,360.90",,"62,413,725.56","122,744,510.56","134,434,974.94","170,260,190.30","74,482,349.44","133,700,167.48","129,866,318.83","185,638,020.06","62,667,514.98","148,943,932.83"
应付账款,"486,256,641.03","397,815,016.89","381,913,601.57","475,298,169.83",,"425,096,291.36","368,518,441.66","489,100,091.17","560,826,613.85","501,003,662.06","465,593,239.09","616,669,579.77",,"532,408,182.31",
预付款项,"20,879,549.01","20,024,635.92","46,321,689.43","44,536,980.96",,"54,987,857.02","66,605,410.66","74,101,088.63","98,852,453.65","124,615,511.90","164,821,452.45","132,103,032.43","151,394,137.19","141,747,079.75","197,568,780.58"
预收款项,"57,097,625.13","126,997,791.76","202,891,222.72","174,119,917.94",,"285,916,901.59","289,705,818.92","247,000,036.78","210,837,429.77","450,259,751.08","432,533,073.06","395,145,106.35","396,266,606.37","532,442,338.24","490,808,171.48"
其他应收款,"11,150,387.22","15,827,042.80","18,669,956.04","41,175,068.81",,"74,026,593.50","81,530,581.61","88,937,620.12","110,054,859.45","25,422,571.64","24,809,095.61","25,862,366.85","45,530,552.85","39,986,428.76","41,219,841.25"
应付职工薪酬,"7,776,467.73","21,369,136.53","22,296,717.74","8,934,627.48",,"30,895,393.95","10,096,204.48","10,726,138.37","9,867,738.95","47,374,552.71","14,389,885.06","13,380,709.80","11,493,604.34","47,189,896.61","13,989,972.53"
