科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"86,438,897.21","117,105,271.94","60,354,054.86","135,505,985.60","36,698,938.85","70,441,048.29","116,751,856.62","154,315,433.01","40,910,588.66","97,350,097.36","136,236,067.46","181,193,983.73","44,663,694.45","117,519,738.49","183,067,964.99","187,502,042.05","46,719,373.46","122,302,971.96","155,672,832.21","194,877,696.31","49,652,542.08","107,913,819.29","166,538,346.73","295,938,157.99","58,097,874.58","115,927,087.59","186,729,344.47","284,816,387.22","123,265,764.75","228,193,582.34","319,903,786.38","393,180,637.98","78,338,858.65","192,529,803.25","298,481,885.29","459,263,800.26","103,581,742.05","232,638,049.53"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,679,150.09",,,,,"969,239.25",,
收到的税费返还,"817,709.91","1,585,587.65","121,348.53","1,103,252.62","1,311,604.95","1,506,893.76","2,472,365.37","2,355,335.23","784,145.21","1,191,247.23","2,242,210.79","2,698,453.46","549,613.17","1,068,936.99","2,337,931.41","3,359,670.93","841,305.90","684,389.99","2,012,735.12","3,137,270.29","971,745.74","1,425,504.06","1,603,578.44","1,819,803.24","983,365.37","986,844.33","1,055,009.81","1,051,079.80",,,"64,226.95","120,795.16","124,461.26","405,923.18","539,801.41","1,893,136.98","662,598.86","264,050.45"
支付其他与投资活动有关的现金,,,,,,"56,700.00","56,700.00",,,,,,,,,,,,,,,,,,,,"2,000,000.00",,,,,,,,,,"68,126.54","13,100,000.00"
收到其他与经营活动有关的现金,"5,785,540.02","4,771,822.95","4,422,829.64","9,577,347.54","357,885.00","3,041,407.00","6,442,932.52","7,389,419.19","435,966.21","3,102,048.98","5,436,418.29","4,805,689.56","3,268,708.26","2,586,737.69","5,721,819.13","3,489,514.17","65,118.07","406,028.15","704,211.84","2,456,665.58","678,654.70","494,111.92","686,271.26","1,105,820.47","1,587,677.92","288,744.12","3,820,371.92","12,374,791.82","228,931.05","10,159,842.43","8,715,751.87","7,372,255.78","4,549,784.56","5,082,069.71","8,143,152.18","10,027,074.50","5,946,419.62","15,315,824.59"
投资活动现金流出小计,"4,767,584.91","9,544,177.87","4,666,305.14","25,266,331.61","1,402,687.60","3,719,200.07","13,515,180.70","21,378,457.47","10,616,004.16","28,059,999.76","67,381,644.24","105,293,668.73","17,851,957.72","45,957,794.39","74,973,623.14","90,959,850.95","14,575,360.31","22,176,820.30","30,574,430.09","35,472,465.67","9,210,114.90","19,848,336.47","36,049,220.61","47,106,633.09","10,723,503.84","22,551,822.29","32,725,462.25","44,007,404.66","352,441,227.05","307,390,186.40","350,368,237.89","466,945,424.36","102,372,722.37","128,034,503.47","198,188,238.01","549,187,601.00","280,092,162.83","277,140,217.52"
经营活动现金流入小计,"93,042,147.14","123,462,682.54","64,898,233.03","146,186,585.76","38,368,428.80","74,989,349.05","125,667,154.51","164,060,187.43","42,130,700.08","101,643,393.57","143,914,696.54","188,698,126.75","48,482,015.88","121,175,413.17","191,127,715.53","194,351,227.15","47,625,797.43","123,393,390.10","158,389,779.17","200,471,632.18","51,302,942.52","109,833,435.27","168,828,196.43","298,863,781.70","60,668,917.87","117,202,676.04","191,604,726.20","298,242,258.84","123,494,695.80","238,353,424.77","328,683,765.20","400,673,688.92","83,013,104.47","198,017,796.14","307,164,838.88","471,184,011.74","110,190,760.53","248,217,924.57"
投资活动产生的现金流量净额,"-4,367,584.91","-9,044,177.87","-3,558,501.79","-23,658,528.26","-1,402,687.60","-3,719,200.07","-13,515,180.70","-21,361,457.47","-10,616,004.16","-27,320,799.76","-66,642,444.24","-104,554,468.73","-17,851,957.72","-44,957,794.39","-73,973,623.14","-87,453,850.95","-14,575,360.31","-22,176,820.30","-30,574,430.09","-35,472,465.67","-9,210,114.90","-19,509,536.47","-35,710,420.61","-46,767,833.09","-10,653,503.84","-22,481,822.29","-22,903,661.05","-34,157,654.20","-352,441,227.05","-292,000,062.83","-88,216,678.96","-108,858,934.29","-70,128,340.56","-95,717,383.93","-116,306,747.41","-396,032,630.93","-239,036,719.00","-277,123,289.61"
购买商品、接受劳务支付的现金,"62,649,759.09","93,959,979.68","41,406,414.54","77,559,312.19","22,158,757.55","49,848,594.45","86,926,826.22","118,687,341.97","41,592,338.15","79,645,420.98","121,610,195.88","147,060,146.96","38,260,912.91","96,570,658.36","147,714,243.73","135,634,030.84","42,810,505.05","93,558,321.29","100,848,790.52","131,433,617.74","41,248,670.43","64,301,034.62","99,826,329.12","202,646,754.02","42,070,297.32","67,099,938.31","102,383,041.69","141,574,487.79","76,977,875.39","124,188,848.51","162,988,426.41","146,445,405.65","36,707,276.36","77,795,084.80","149,724,242.66","242,908,907.34","103,113,587.75","164,983,409.64"
吸收投资收到的现金,,"15,760,000.00",,,,,"253,769,000.00","253,769,000.00",,,,,,,,,,,,,,,,,,,"175,674,970.00","176,824,970.00",,,,,,,,,,
