科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"129,361,532.43","184,061,893.50","239,129,713.05","126,614,383.75","223,618,075.83","358,792,291.69","48,404,258.62","180,597,572.27","295,438,781.87","473,810,891.63","55,510,800.32","228,610,898.32","351,876,129.38","537,558,541.09","94,003,313.22","235,197,166.74","354,020,836.46","583,094,757.27","186,751,858.70","401,710,306.09","586,816,940.19","719,021,311.05","172,262,540.87","413,747,314.68","711,254,390.47","1,006,027,016.92","210,975,889.30","292,993,268.65","397,616,994.15","591,004,603.69","86,171,893.73","256,697,187.06","435,029,015.41","668,264,842.11","117,705,565.21","374,572,232.49"
二、营业利润,"5,549,425.21","35,164,377.94","89,166,565.07","62,443,489.56","114,911,859.35","173,417,104.97","21,179,354.81","96,746,078.93","156,529,234.47","237,977,252.16","26,567,065.87","122,001,051.18","177,148,642.93","253,894,010.05","16,505,473.44","78,209,179.60","22,991,000.06","3,508,470.23","-63,497,222.55","-82,595,814.42","-192,479,959.93","128,161,427.55","-56,975,815.32","-84,869,870.10","-137,496,580.63","-898,164,561.39","-49,339,357.68","-200,022,171.84","-293,909,600.95","-160,356,647.02","-71,629,426.72","-85,035,690.81","-85,958,217.60","-144,153,896.49","31,616,758.92","101,818,167.14"
减:营业成本,"63,253,632.96","38,899,557.37","32,611,715.33","10,269,313.02","19,702,005.46","32,721,450.06","3,937,422.50","15,878,575.78","26,726,449.74","41,896,391.25","5,546,996.98","25,970,544.37","40,612,433.56","63,915,756.82","13,666,446.80","37,061,251.04","89,050,194.34","161,633,873.02","101,795,310.97","210,062,074.88","327,942,766.44","406,956,301.66","102,165,707.84","228,609,984.23","399,708,174.80","574,903,714.15","124,827,688.49","176,666,801.73","218,876,635.61","280,718,591.06","38,056,059.60","97,553,600.29","155,153,354.19","215,343,679.46","25,652,735.61","74,753,981.31"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,045,109.53","2,584,526.70","2,260,913.52","1,786,283.53","1,642,419.44","2,536,191.83","319,474.33","1,300,554.80","2,127,982.51","3,636,383.65","399,678.07","1,645,998.76","2,538,856.82","3,876,652.89","676,823.91","1,814,148.22","2,538,030.12","4,498,414.33","1,086,400.65","4,265,676.06","5,684,713.72","7,458,586.65","1,389,296.11","3,026,188.50","3,733,820.68","4,143,818.95","870,279.05","2,004,347.23","2,887,287.62","6,773,489.78","1,466,868.75","3,461,805.41","5,201,257.44","7,450,198.94","1,971,299.99","4,150,415.59"
营业外收入,"3,910,265.00","10,490,828.00","5,449,887.00","5,302,500.52","7,086,250.52","10,424,242.69","2,619,650.00","2,792,825.99","3,504,575.99","11,798,244.66","1,618,500.00","6,270,662.43","8,238,332.78","14,077,371.58","1,564,119.42","1,984,763.66","2,480,633.94","8,267,825.15","1,595,523.84","3,450,414.11","7,599,959.65","15,745,771.07","5,457,561.00","6,240,542.68","13,794,511.93","23,278,778.99","3,941,935.74","9,245,791.71","14,756,407.65","203,032,446.76","2,688,602.01","1,065,268.91","6,660,329.48","487,735.86","3,891,927.31","4,558,817.14"
销售费用,"26,270,610.39","70,566,168.96","61,106,530.67","31,147,377.48","52,379,532.25","91,598,824.24","17,253,974.94","52,277,403.44","91,219,133.10","144,179,357.92","18,346,259.23","60,867,656.56","96,529,386.16","122,698,570.70","17,637,254.80","33,454,763.74","52,890,859.79","104,336,116.29","33,095,343.24","53,679,032.11","118,542,399.12","187,472,228.37","38,376,047.91","73,686,462.11","125,362,760.85","208,174,470.78","32,895,544.78","58,720,150.80","124,144,973.96","150,365,790.52","26,146,046.61","77,482,512.65","139,471,436.23","253,677,740.52","46,054,832.06","139,002,856.93"
减:营业外支出,"2,594.19","2,344,740.94","417,294.67","262,150.97","600,662.35","654,316.11","30,430.94","162,370.33","246,294.48","3,868,014.69","215,877.17","374,150.90","436,981.32","504,117.67","8,960.78","271,410.88","1,070,030.28","1,475,108.58","1,031,540.74","1,671,838.08","1,695,077.77","5,949,893.35",473.55,"3,451,942.29","4,024,017.51","9,794,600.99","2,511,244.88","2,105,313.16","2,308,132.00","7,991,836.99","50,814.73","287,913.01","467,821.58","432,993,285.52","398,930.17","1,239,403.55"
管理费用,"30,194,350.69","29,283,866.01","31,866,970.20","18,569,847.49","30,705,530.41","52,704,679.81","10,782,644.83","34,506,291.23","50,756,852.98","77,400,227.33","16,445,409.59","37,763,151.22","64,039,823.62","105,908,560.82","42,455,689.31","67,885,867.60","146,173,293.29","235,153,505.07","62,621,438.01","130,548,176.53","194,265,551.94","307,290,265.36","53,684,912.63","106,040,860.08","161,287,492.54","376,268,913.79","57,302,552.92","122,551,358.18","178,847,745.81","249,980,121.06","47,135,141.96","91,601,759.04","136,692,401.69","198,285,960.36","36,458,138.46","106,747,059.88"
其中:非流动资产处置净损失,"1,594.19","21,804.61","60,265.37",,,,,,,"3,597,029.65",,"32,310.38",,"56,240.38",,"21,295.36","38,677.89","40,056.41",,"32,780.09","32,780.09","2,011,191.56",,"109,881.70","109,881.70","5,687,742.34","17,335.38","18,267.63","18,805.28","371,795.50","9,872.73","12,914.03","59,076.89",,,
