科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"9,223,752,632.40","12,085,935,053.85","22,387,956,702.33","17,046,504,584.31","15,626,087,320.46","15,369,845,629.99","19,942,417,819.50","19,978,285,929.92","26,921,921,879.80","26,880,423,542.74","27,614,616,095.17","23,001,923,830.80","17,917,618,441.85","19,111,314,733.47","31,543,455,323.84","37,816,932,911.84","37,189,322,962.18","40,779,468,533.59","33,899,446,885.85","34,239,514,295.08","39,054,424,566.76","47,012,188,240.68","33,307,397,473.86","52,291,542,055.49","52,258,688,500.11","37,603,625,994.77","37,063,558,411.45","44,365,409,795.23","37,525,817,692.80","42,861,721,091.89","48,741,855,059.14","62,715,253,375.94","38,889,714,570.47","44,612,562,238.72","42,734,555,138.81","53,180,381,016.34","52,784,761,696.94","71,867,989,238.43","75,187,017,626.78","87,032,118,210.63","90,969,143,057.96","107,563,206,080.73","94,352,631,304.03","174,121,009,199.93"
短期借款,"1,852,990,000.00","1,840,000,000.00","450,000,000.00","1,104,850,000.00","1,424,850,000.00","5,350,616,527.77","4,533,515,833.31","4,601,968,333.32","6,604,540,083.34","2,141,296,944.44","1,915,242,246.93","1,188,256,111.11","430,000,000.00","1,023,308,333.34","2,000,070,312.50","1,478,000,000.00","1,718,000,000.00","1,607,200,000.00","921,008,220.10","1,724,446,469.54","2,044,944,769.32","4,800,111,122.97","4,483,636,536.70","9,932,400,240.50","13,108,054,428.03","11,988,616,839.68","12,522,737,995.52","5,102,514,631.14","4,376,777,764.69","6,582,434,941.60","6,028,636,535.35","2,383,069,704.65","1,023,304,449.50","476,645,418.03","763,032,757.23","1,900,087,965.52","3,296,994,702.92","2,850,966,376.01","6,836,528,049.17","16,576,589,202.38","15,858,622,782.67","13,419,638,368.25","17,301,123,599.78","16,108,858,651.31"
交易性金融资产,"1,602,684.84","4,015,523.52",,,,,,,,,,"740,470.77",,,,,,,,,,,,,,,,,,,,,"31,666,282.82",,,,,,,,,,,
交易性金融负债,,,,"20,957,112.00","36,279,087.13","23,973,840.00","6,268,680.00","1,694,880.00","3,841,200.00","3,544,200.00",,,"342,220.92","5,070,200.41","15,534,853.03","15,054,493.43","16,115,679.30","10,545,369.37","24,619,235.33","17,041,784.19","27,395,401.86","19,313,243.23","26,314,450.69","25,761,017.27","24,299,750.64","13,817,984.96","13,143,635.25","11,686,986.02","10,335,559.75","7,675,898.71","2,243,924.66",,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,"30,000,000.00",,,,,,,"31,250,000.41","31,250,000.41",,"271,621,986.82","1,691,602,311.00","4,977,131,435.22","7,865,423,745.41","10,948,869,354.35","13,178,152,013.25","14,783,899,946.37","14,037,439,687.30","16,608,760,016.02","21,331,699,229.44","21,291,893,866.16","24,701,310,207.47","21,633,882,194.55","18,288,791,447.39","16,744,732,907.08","11,479,514,868.60","8,340,925,657.41","5,351,726,972.01","3,603,839,089.85","2,628,084,431.33","2,222,818,560.06","2,794,001,399.41","3,330,183,222.91"
应收账款,"299,825,550.82","446,272,044.62","317,512,660.57","864,883,012.55","865,218,305.83","1,032,195,093.15","777,669,995.99","922,774,844.24","1,037,137,439.23","1,001,075,236.38","501,523,208.25","713,191,906.14","406,782,082.64","336,286,525.75","192,537,178.21","1,594,024,561.07","1,102,852,078.52","1,044,885,560.60","995,080,616.19","1,514,813,781.10","1,254,167,201.01","1,140,477,551.74","1,352,490,629.96","1,886,548,523.49","1,818,703,512.65","1,748,303,836.67","1,432,473,333.67","3,078,969,781.37","2,926,167,656.32","2,210,244,418.33","1,738,411,713.24","1,894,071,801.08","1,614,707,133.67","1,897,732,013.09","1,508,193,169.43","2,510,653,269.96","1,617,864,148.60","2,262,389,058.87","2,504,272,008.33","2,075,256,823.79","1,734,498,135.38","1,694,829,670.94","1,302,107,882.27","1,432,734,013.84"
应付账款,"3,495,932,975.70","6,429,699,189.19","6,602,873,390.84","11,103,797,389.76","9,202,802,987.72","10,139,958,748.48","10,198,440,954.15","12,895,962,836.63","11,057,267,587.88","12,198,850,105.46","12,127,516,745.10","16,300,047,905.75","15,937,825,057.03","13,345,146,050.98","13,134,370,053.86","16,923,777,818.98","16,225,661,524.35","18,435,021,487.32","20,479,603,331.80","29,745,813,416.12","28,223,693,829.62","28,685,304,439.45","32,064,096,860.89","44,860,995,716.97","43,029,674,846.11","48,312,393,766.42","47,359,086,737.99","63,958,459,138.78","55,598,684,734.25","59,668,028,767.10","60,344,787,658.55","67,047,199,764.55","65,715,845,568.78","63,623,926,045.13","76,799,528,491.31","91,446,458,420.61","92,043,786,892.46","106,705,559,765.71","118,760,360,775.11","138,047,562,476.06","123,236,723,837.55","130,957,238,033.04","135,947,346,263.21","173,439,402,739.67"
预付款项,"1,756,961,384.64","2,904,585,830.09","4,502,196,101.44","8,284,197,850.73","9,943,048,262.63","5,825,281,328.12","5,364,692,643.75","3,160,518,998.56","3,218,185,592.20","2,858,052,281.36","4,733,854,686.05","8,736,319,500.73","9,333,214,951.75","9,760,453,250.15","10,843,643,208.14","17,838,003,464.71","19,301,585,142.37","19,227,480,406.42","21,484,479,529.90","20,116,219,043.31","23,961,462,217.97","22,626,340,957.94","24,088,085,618.04","33,373,611,935.08","33,371,503,081.22","29,601,947,463.73","31,867,448,089.00","28,653,665,102.61","33,705,469,035.39","31,945,813,886.80","32,323,239,442.58","29,433,125,588.58","37,960,034,857.08","40,103,349,403.96","53,028,449,827.00","39,646,972,826.29","42,767,157,889.18","46,142,823,292.79","49,397,992,003.96","50,262,540,606.60","60,150,857,173.63","68,963,254,527.38","105,270,074,361.66","73,017,106,922.21"
预收款项,"9,565,965,345.76","13,498,009,337.59","28,798,755,594.01","21,622,747,400.80","24,308,987,349.25","26,453,686,006.30","31,079,804,725.17","23,945,755,139.85","27,387,907,481.48","29,979,748,629.62","34,568,739,770.54","31,734,801,163.76","36,694,590,559.56","45,384,939,824.10","65,646,366,078.07","74,405,197,318.78","92,940,741,614.90","107,073,555,082.71","122,814,853,488.65","111,101,718,105.82","122,363,408,287.51","130,864,793,680.34","144,840,709,925.91","131,023,977,530.61","150,435,897,097.54","159,401,788,305.77","175,298,121,287.08","155,518,071,436.35","176,721,332,709.21","181,529,734,053.20","199,271,975,119.86","181,749,337,004.86","206,364,038,337.64","210,477,620,408.01","231,354,064,559.99","212,625,705,637.30","251,086,084,757.51","278,333,161,162.53","312,602,984,906.59","274,645,554,496.88","327,936,096,162.93","357,931,319,353.33","407,882,270,730.40","407,705,939,864.83"
