科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"55,419,023.21","71,498,866.50","48,699,843.98","253,555,644.01","79,222,282.47","148,254,780.22","207,218,733.42","102,222,358.94","125,152,405.41","103,168,670.06","185,566,346.40","124,105,839.69","89,422,213.80","120,053,549.62","134,452,984.90","131,810,283.14","124,693,886.84","85,275,763.13","96,436,131.83","63,358,235.47"
短期借款,"90,000,000.00","99,139,253.09","60,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","100,000,000.00","80,000,000.00","62,000,000.00","102,001,000.00","130,001,000.00","140,001,000.00","138,000,000.00","148,000,000.00","213,200,000.00","203,200,000.00","192,200,000.00","205,452,800.00","168,000,000.00"
交易性金融资产,"667,937.93","375,549.49",,,"217,351.70","168,921.25","7,998,973.21","29,323,804.49","11,052,971.91","22,104,492.73","378,940.00","286,210.00","278,239.05","806,384.93","879,870.10","795,302.98",,,"1,211,258.40","1,361,354.60"
交易性金融负债,,,"61,891.82","61,891.82",,,"394,551.43","20,582.06","176,927.82","176,927.82",,,,,,,"279,941.35",,,
应收票据,"1,430,000.00","100,000.00","2,500,000.00","1,812,502.60","1,991,145.89","2,609,711.89","1,800,000.00","1,200,000.00","1,765,000.00","1,515,000.00","2,631,632.10","2,281,632.10","450,000.00","1,600,000.00","1,800,000.00","2,000,000.00","670,000.00","1,520,000.00","2,800,000.00","3,172,957.45"
应付票据,,,,,,,,,,,,,,,,,,,,
应收账款,"61,337,086.38","78,797,569.04","74,968,257.27","99,748,291.18","99,303,348.35","119,113,475.67","100,430,530.30","103,129,525.98","93,475,715.16","92,460,045.85","111,939,426.18","91,537,050.23","94,831,709.12","116,005,595.74","141,365,801.01","134,390,215.03","139,117,668.48","159,074,023.87","135,606,321.87","128,464,198.74"
应付账款,"6,161,284.33","11,486,250.53","6,405,907.63","5,637,152.73","6,526,210.65","5,142,926.06","7,892,692.42","5,094,481.49","4,880,447.34","6,360,132.95","18,547,421.02","9,233,582.83","13,477,438.82","8,980,997.55","18,810,502.18","30,957,027.32","27,908,543.05",,"38,658,333.64",
预付款项,"7,224,946.92","7,166,824.32","6,991,356.59","7,673,278.66","8,325,862.43","14,096,548.31","6,314,630.21","14,316,414.28","11,554,492.42","13,498,510.89","15,666,299.19","29,737,030.60","25,544,103.95","24,773,013.62","19,234,692.21","28,125,775.03","27,654,662.13","29,128,167.01","33,263,335.22","39,868,551.66"
预收款项,"2,128,337.00","4,968,750.33","9,828,892.54","9,222,860.97","11,772,618.28","10,381,017.62","5,449,329.65","6,702,080.12","6,402,738.76","3,569,545.32","5,631,970.99","5,988,277.12","7,776,361.19","9,889,770.94","8,675,446.96","15,430,744.81","22,066,082.21","22,042,094.39","15,566,268.06","12,617,115.52"
其他应收款,"3,228,659.48","5,049,756.82","5,542,259.97","6,394,040.76","4,111,723.47","4,119,254.19","14,046,103.82","2,914,443.99","41,831,704.82","29,724,696.98","31,601,928.60","24,836,745.55","4,915,852.61","3,368,565.11","3,473,743.03","8,996,279.83","3,474,850.90","4,793,448.08","4,748,177.84","4,251,247.36"
应付职工薪酬,"3,547,277.49","3,552,430.70","3,347,519.05","3,324,611.89","3,122,005.46","2,863,706.73","3,269,856.73","2,482,240.95","3,642,703.00","4,032,887.52","8,990,294.57","6,889,086.58","7,546,762.23","7,753,556.62","14,163,421.96","8,133,570.60","10,097,745.38","8,947,514.13","17,403,291.95","11,713,679.36"
应收关联公司款,,,,,,,,,,,,,,,,,,,,
应交税费,"5,097,219.79","9,958,749.66","4,347,329.54","4,918,041.99","2,861,051.03","4,009,808.88","2,725,715.68","3,667,577.42","4,005,354.90","2,133,615.01","7,325,777.92","3,854,963.97","5,431,233.80","8,367,122.05","14,245,383.34","4,770,468.76","4,965,476.79","7,264,937.56","6,463,441.49","3,360,874.00"
应收利息,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,"218,939.15",,,,"421,574.21",
应收股利,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,
存货,"46,076,809.98","57,587,922.00","68,569,725.06","76,075,357.10","84,125,648.54","79,237,254.92","79,579,533.39","85,739,775.11","73,198,399.62","75,138,554.95","101,329,569.32","106,770,329.49","120,789,951.25","118,471,053.27","107,824,884.79","133,585,013.35","151,483,610.82","186,065,729.21","190,353,172.63","189,000,372.00"
其他应付款,"1,329,073.30","973,343.69","1,032,263.69","8,512,827.28","2,348,391.43","1,354,175.93","1,731,436.38","24,035.64","953,357.04","859,499.08","66,635,782.28","52,995,136.20","3,410,357.95","35,918,920.68","155,152,028.95","156,688,261.53","108,766,044.61","122,985,501.87","99,078,994.64","106,412,873.65"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,"59,946,571.46","59,946,571.46"
其他流动资产,"11,479,293.21","3,066,536.65","3,544,945.66","3,759,092.40","165,614,944.28","104,474,197.15","52,194,014.34","149,162,694.73","144,115,340.04","89,580,615.79","6,320,115.98","26,065,495.40","50,646,054.81","8,626,932.10","14,336,122.68","15,618,568.11","21,318,224.48","23,886,452.59","17,241,855.57","18,267,077.05"
其他流动负债,,,,,,,,,,,,,,,,,,,,
流动资产合计,"186,863,757.11","223,643,024.82","210,816,388.53","449,018,206.71","442,912,307.13","472,074,143.60","469,582,518.69","488,009,017.52","502,146,029.38","427,190,587.25","455,434,257.77","405,620,333.06","386,878,124.59","393,705,094.39","423,368,098.72","506,560,452.11","468,412,903.65","489,743,583.89","481,660,253.36","461,343,994.33"
流动负债合计,"108,263,191.91","130,078,778.00","85,023,804.27","91,677,386.68","86,630,276.85","103,751,635.22","101,463,582.29","117,990,997.68","100,061,528.86","79,132,607.70","209,132,246.78","208,962,046.70","177,643,153.99","208,910,367.84","359,265,722.54","429,180,073.02","377,283,833.39","377,642,838.14","442,569,701.24","392,081,315.01"
可供出售金融资产,,,,,,,"7,500,000.00","7,500,000.00","7,500,000.00","7,500,000.00","17,310,084.59","169,291,310.93","6,990,085.00","26,990,085.00","26,990,085.00","26,990,085.00","26,990,085.00","26,990,085.00","20,590,085.00",
长期借款,,,,,,,,,,,"42,240,000.00","70,600,000.00","120,600,000.00","120,600,000.00","181,116,000.00","181,116,000.00","193,382,000.00","193,382,000.00","107,937,142.82","107,937,142.82"
持有至到期投资,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,"900,000.00",,,,,,,"105,645,461.19","105,466,204.96","106,459,339.44","55,525,330.42","55,750,156.03","55,592,843.66","86,108,129.67","86,406,626.35"
专项应付款,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,
固定资产,"102,886,210.79","99,091,154.97","103,904,923.48","101,370,673.60","100,187,603.21","96,984,181.37","110,315,223.58","107,537,788.05","104,845,375.85","102,829,275.94","208,142,382.88","207,933,700.26","208,526,937.31","212,608,854.29","229,706,673.41","235,179,386.68","270,662,825.26","266,607,458.25","277,053,220.15","272,016,157.90"
递延所得税负债,"109,607.20","93,887.37",,,,,,,,,"8,305,978.30","8,145,887.42","7,985,851.42","7,824,908.19","8,473,149.85","8,294,812.25","8,135,343.72","7,858,931.87","7,346,551.14","7,006,898.52"
在建工程,,"3,187,340.74","3,353,348.00","4,301,483.30","8,242,594.90","9,456,029.50","5,628,644.91","9,339,207.47","11,682,291.88","21,547,658.78","9,914,027.18","20,198,089.27","24,058,290.34","62,433,502.14","49,875,055.98","45,092,941.01","6,099,137.61","5,869,766.10","1,941,802.74","1,081,784.55"
其他非流动负债,"2,160,000.00","5,365,261.80","3,115,358.59","2,771,080.59",,"2,246,080.59",,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"2,269,607.20","5,459,149.17","3,115,358.59","2,771,080.59","2,591,080.59","2,246,080.59","4,710,429.56","4,531,718.23","4,353,006.91","4,174,295.59","63,753,574.88","91,774,772.68","140,694,892.50","140,342,094.16","201,392,148.23","201,024,929.82","212,558,870.28","211,901,722.52","125,204,464.91","124,405,038.89"
固定资产清理,,,,,,"1,027,546.69",,,,,,,,,,,,,,
