科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"135,215,061.47","218,240,952.81","55,063,533.46","314,091,766.91","74,381,379.47","200,964,167.90","322,868,743.50","424,187,070.31","114,720,327.84","304,038,442.37","464,350,701.87","665,159,566.78","138,850,680.36","337,746,397.99","627,681,212.17","848,742,180.52","202,283,767.88","452,699,178.74","817,163,541.75","1,170,070,053.74","248,873,753.65","535,438,633.73","798,648,179.75","1,210,136,819.43","375,910,741.77","773,705,174.18","1,062,263,636.85","1,640,325,013.28","223,133,982.54","651,489,762.69","1,166,355,500.31","1,572,382,068.00","331,497,620.43","800,564,481.16","1,232,678,587.68"
二、营业利润,"24,334,198.98","45,017,766.60","7,698,919.16","51,524,565.75","10,793,215.03","32,085,959.17","52,251,720.30","49,926,056.74","9,912,480.25","36,297,073.44","53,883,026.48","62,438,390.46","10,909,537.37","33,298,566.92","48,718,959.50","72,359,042.67","16,955,469.73","56,943,078.87","98,845,681.48","175,037,858.13","23,973,253.82","102,574,363.09","131,078,307.78","214,500,146.70","46,507,175.48","134,165,052.71","175,871,313.91","868,939,297.10","4,513,259.84","82,744,101.44","176,175,523.22","145,147,762.18","10,286,828.08","57,661,096.64","8,113,673.13"
减:营业成本,"84,906,692.51","140,525,673.53","36,391,025.58","209,506,160.70","47,835,366.83","134,186,875.06","214,841,795.00","283,449,495.44","77,689,837.09","206,300,930.37","318,321,990.08","454,107,832.22","98,294,515.36","239,952,973.37","465,184,997.80","618,542,664.35","145,013,151.64","316,197,777.00","584,849,140.74","787,727,076.46","163,392,601.21","337,294,810.61","489,866,188.87","761,105,718.08","255,433,121.14","542,978,153.48","712,856,185.22","1,144,199,138.23","112,705,731.38","368,510,654.97","695,091,079.72","1,046,923,493.36","185,113,533.11","506,128,138.38","857,040,802.69"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"854,504.23","1,168,784.97","203,388.58","1,536,901.92","426,368.76","1,368,966.35","1,492,479.96","1,982,192.32","217,169.51","1,147,528.29","1,678,889.52","2,293,383.66","263,129.32","988,223.46","1,602,456.32","3,302,246.51","838,249.28","2,079,301.15","3,558,787.56","6,456,014.39","1,655,359.42","4,026,834.59","5,432,162.75","8,276,988.18","3,078,620.03","10,579,565.03","14,553,964.17","25,280,738.30","2,279,939.70","4,342,860.44","6,593,598.59","19,887,132.82","4,331,924.97","8,441,276.14","10,669,514.25"
营业外收入,"1,103,041.00","1,985,662.30","347,132.93","5,575,396.42","1,090,467.56","1,929,230.53","3,470,323.31","13,503,480.31","1,216,341.02","1,850,502.95","4,844,716.82","21,754,848.47","6,757,652.60","14,427,950.05","22,937,307.66","24,091,985.64","3,217,289.67","7,990,080.62","15,088,212.32","22,190,426.92","20,360,052.46","15,235,827.43","21,236,476.68","26,125,239.49","1,017,912.91","2,821,477.30","4,948,868.23","12,751,295.31","2,755,835.38","5,591,900.72","11,485,506.30","20,127,628.35","5,468,324.55","8,106,373.98","13,147,435.59"
销售费用,"11,145,534.57","17,440,879.12","3,362,042.81","21,192,378.48","5,766,805.33","14,133,115.47","21,807,729.21","33,919,994.57","8,383,794.36","19,837,634.19","30,693,416.08","51,371,445.53","9,500,778.14","29,507,179.50","41,456,033.42","59,842,950.19","10,862,743.97","22,896,415.23","42,038,039.42","65,991,416.65","12,803,929.22","31,004,306.45","44,274,095.64","54,738,157.83","6,921,273.93","15,273,540.74","22,530,280.22","27,573,494.99","6,974,365.71","26,204,030.19","35,703,598.25","27,160,905.32","8,067,964.65","12,095,431.81","20,907,379.57"
减:营业外支出,"55,494.00","467,434.01","5,870.00","15,297.35",,"33,600.00","118,870.00","161,069.49","30,200.00","80,200.00","132,100.00","182,414.24","70,000.00","581,981.08","953,870.57","1,130,193.76","168,784.41","226,441.88","226,589.78","778,775.49","151,698.32","309,344.40","732,836.27","838,614.13","382,541.85","481,346.20","624,179.34","729,548.76","433,909.86","597,102.17","2,100,219.79","2,617,087.00","379,457.58","1,269,634.55","1,907,579.23"
管理费用,"7,874,086.58","11,025,360.28","4,692,348.37","20,814,175.87","6,594,444.61","13,990,267.20","23,835,757.73","38,966,446.62","12,007,752.87","26,241,824.65","38,618,818.09","62,802,137.55","13,411,375.05","34,423,896.27","61,912,557.84","94,062,053.90","19,481,859.55","48,633,092.09","84,786,872.42","133,234,000.59","30,028,648.06","79,081,578.92","118,337,917.92","183,924,828.63","37,952,983.00","80,548,448.49","126,976,130.95","178,121,584.81","44,628,324.67","93,147,741.16","145,240,001.12","188,529,431.19","50,226,672.17","98,050,793.87","156,912,101.14"
其中:非流动资产处置净损失,"55,494.00","284,505.32",,,,,,,,,,,,,,,,,,,,,,"33,054.01",,,,"101,729.37",,,,"186,220.83",,,
