科目,2010-12-31,2011-06-30,2011-12-31,2012-06-30,2012-12-31,2013-06-30,2013-12-31,2015-12-31
货币资金,"16,119,130.73","16,118,241.45","100,247.17","166,086.31","123,610.09","141,534.71","147,152.45","2,480,675.71"
短期借款,"23,960,000.00","23,960,000.00","23,960,000.00","23,960,000.00","23,960,000.00","23,960,000.00","23,960,000.00",
交易性金融资产,,,,,,,,
交易性金融负债,,,,,,,,
应收票据,,,,,,,,
应付票据,,,,,,,,
应收账款,"43,400,345.46","43,400,345.46",,,,,,"2,828,324.19"
应付账款,"17,977,640.42","17,977,640.42","17,977,640.42","17,977,640.42","17,977,640.42","17,977,640.42","17,977,640.42",
预付款项,,,,,,,,
预收款项,"24,504,012.55","24,504,012.55","24,504,012.55","24,504,012.55","24,504,012.55","21,697,784.66","21,697,784.66",
其他应收款,"142,229.08","30,116.53","142,229.08","142,229.08",,"13,600.00","13,600.00","45,119.03"
应付职工薪酬,"1,533,071.13","1,533,071.13","1,203,071.13","1,203,071.13","1,203,071.13","1,203,071.13","1,203,071.13","189,202.88"
应收关联公司款,,,,,,,,
应交税费,"19,591,895.96","19,591,895.96","19,591,895.96","19,591,895.96","19,591,895.96","19,591,895.96","19,591,895.96","974,559.13"
应收利息,,,,,,,,
应付利息,,,,,,,,
应收股利,,,,,,,,
应付股利,"5,437,376.66","5,437,376.66","5,437,376.66","5,437,376.66","5,437,376.66","5,437,376.66","5,437,376.66",
存货,,,,,,,,"337,631.17"
其他应付款,"187,727,267.05","172,344,373.72","168,164,373.72","170,284,373.72","172,526,353.72","177,022,098.80","179,392,098.80",
其中:消耗性生物资产,,,,,,,,
应付关联公司款,,,,,,,,
一年内到期的非流动资产,,,,,,,,
一年内到期的非流动负债,"19,580,000.00","19,580,000.00","19,580,000.00","19,580,000.00","19,580,000.00","19,580,000.00","19,580,000.00",
其他流动资产,,,,,,,,"1,000,000.00"
其他流动负债,,,,,,,,
流动资产合计,"59,661,705.27","59,548,703.44","242,476.25","308,315.39","123,610.09","155,134.71","160,752.45","6,691,750.10"
流动负债合计,"300,311,263.77","284,928,370.44","280,418,370.44","282,538,370.44","284,780,350.44","286,469,867.63","288,839,867.63","1,163,762.01"
可供出售金融资产,,,,,,,,
长期借款,,,,,,,,
持有至到期投资,,,,,,,,
应付债券,,,,,,,,
长期应收款,,,,,,,,
长期应付款,,,,,,,,
长期股权投资,"24,333,106.08",,,,,,,
专项应付款,,,,,,,,
投资性房地产,,,,,,,,
预计负债,"434,713,680.46","441,309,010.27","447,735,189.38","454,245,943.84","460,754,573.91","467,265,328.37","473,671,824.87",
固定资产,"342,825.62","338,576.12","284,592.52","47,011.60","46,135.56","42,713.38","44,318.53","58,030.17"
递延所得税负债,,,,,,,,
在建工程,,,,,,,,
其他非流动负债,,,,,,,,
工程物资,,,,,,,,
非流动负债合计,"434,713,680.46","441,309,010.27","447,735,189.38","454,245,943.84","460,754,573.91","467,265,328.37","473,671,824.87",
固定资产清理,,,,,,,,
负债合计,"735,024,944.23","726,237,380.71","728,153,559.82","736,784,314.28","745,534,924.35","753,735,196.00","762,511,692.50","1,163,762.01"
生产性生物资产,,,,,,,,
实收资本(或股本),"380,925,448.00","380,925,448.00","380,925,448.00","380,925,448.00","380,925,448.00","380,925,448.00","380,925,448.00","285,694,086.00"
油气资产,,,,,,,,
资本公积,"227,857,870.47","227,857,870.47","227,857,870.47","227,857,870.47","227,857,870.47","227,857,870.47","227,857,870.47","386,763,672.25"
无形资产,,,,,,,,
盈余公积,"33,122,893.42","33,122,893.42","33,122,893.42","33,122,893.42","33,122,893.42","33,122,893.42","33,122,893.42","33,122,893.42"
开发支出,,,,,,,,
减:库存股,,,,,,,,
商誉,,,,,,,,
未分配利润,"-1,292,593,519.15","-1,308,256,313.04","-1,369,532,702.94","-1,378,335,199.18","-1,387,271,390.59","-1,395,443,559.80","-1,404,212,833.41","-702,264,715.39"
长期待摊费用,,,,,,,,
少数股东权益,,,,,,,,"2,270,081.98"
递延所得税资产,,,,,,,,
外币报表折算价差,,,,,,,,
其他非流动资产,,,,,,,,
非正常经营项目收益调整,,,,,,,,
非流动资产合计,"24,675,931.70","338,576.12","284,592.52","47,011.60","46,135.56","42,713.38","44,318.53","58,030.17"
所有者权益(或股东权益)合计,"-650,687,307.26","-666,350,101.15","-727,626,491.05","-736,428,987.29","-745,365,178.70","-753,537,347.91","-762,306,621.52","5,586,018.26"
资产总计,"84,337,636.97","59,887,279.56","527,068.77","355,326.99","169,745.65","197,848.09","205,070.98","6,749,780.27"
负债和所有者(或股东权益)合计,"84,337,636.97","59,887,279.56","527,068.77","355,326.99","169,745.65","197,848.09","205,070.98","6,749,780.27"
