科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"79,170,209.26","180,102,916.61","263,779,969.86","53,141,089.33","143,319,446.50","234,402,250.61","347,367,232.67","94,954,050.39","175,223,921.37","260,170,131.52","505,730,967.67","196,817,773.10","400,275,164.15","641,876,453.01","814,866,241.70","309,987,890.41","516,341,628.43","725,960,340.07","919,239,418.31","500,234,055.28","774,931,669.21","1,300,570,543.69","1,787,891,375.93","376,843,046.34","707,992,624.17","1,304,634,494.49","1,813,111,223.32"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"22,171,618.49","21,870,808.49"
收到的税费返还,,,,,,,,,,,,,"1,328,924.80","1,350,265.04","1,299,639.32","19,548.20","335,043.78","1,404,595.77","5,525,113.00","3,685,990.15","5,172,723.83","5,552,093.97","7,623,427.75","698,560.64","1,052,192.57","3,195,334.13","11,543,191.13"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"877,656.09","305,200.80",,,,,
收到其他与经营活动有关的现金,"510,718.84","269,473.58","3,584,416.77","376,958.32","5,100,803.33","11,040,461.69","15,344,307.48","569,516.06","2,249,458.29","2,053,224.63","11,906,399.99","16,394,773.11","15,840,240.17","18,590,330.53","23,130,911.13","120,508.94","4,452,164.44","3,203,757.75","15,998,797.22","82,770,277.24","12,925,165.27","130,362,430.24","226,509,692.28","11,893,732.46","21,022,316.02","69,455,533.90","148,038,089.26"
投资活动现金流出小计,"5,911,774.32","34,157,160.51","67,549,218.71","8,158,003.38","34,185,694.12","66,005,374.55","98,222,315.03","15,382,599.93","34,593,235.61","136,283,672.26","126,501,772.86","79,903,757.74","117,308,695.66","134,613,124.61","174,498,988.74","55,250,359.56","68,980,802.08","146,433,118.88","210,967,668.64","78,679,415.36","113,884,896.40","160,900,836.15","226,978,168.89","63,612,876.08","114,833,978.71","159,785,294.67","194,484,713.79"
经营活动现金流入小计,"79,680,928.10","180,372,390.19","267,364,386.63","53,518,047.65","148,420,249.83","245,442,712.30","362,711,540.15","95,523,566.45","177,473,379.66","262,223,356.15","517,637,367.66","213,212,546.21","417,444,329.12","661,817,048.58","839,296,792.15","310,127,947.55","521,128,836.65","730,568,693.59","940,763,328.53","586,690,322.67","793,029,558.31","1,436,485,067.90","2,022,024,495.96","389,435,339.44","730,067,132.76","1,377,285,362.52","1,972,692,503.71"
投资活动产生的现金流量净额,"-5,911,774.32","-33,975,250.93","-66,512,049.54","-8,158,003.38","-34,165,694.12","-65,861,374.55","-97,296,751.86","-15,382,599.93","-34,593,235.61","-136,280,172.26","-107,693,140.49","-79,903,757.74","-117,217,399.35","-134,521,828.30","-174,339,677.43","-55,205,299.56","-68,935,742.08","-146,332,842.88","-210,791,942.64","-58,840,989.08","-59,892,770.12","-107,071,109.20","-82,020,502.78","-61,178,637.67","-100,799,740.30","-144,742,556.26","-143,154,084.39"
购买商品、接受劳务支付的现金,"49,110,420.17","91,404,102.76","161,721,624.66","45,379,373.26","104,575,276.29","165,582,169.62","248,268,189.83","61,057,399.84","112,437,062.89","175,783,306.29","385,033,436.71","126,985,080.91","271,066,463.00","436,409,454.67","604,587,842.08","188,121,689.83","329,744,296.76","488,040,404.39","652,999,474.61","353,694,920.58","627,664,611.90","1,056,608,565.28","1,353,240,265.06","205,900,420.78","508,963,714.95","849,337,847.15","1,342,146,498.96"
吸收投资收到的现金,,"42,500,000.00","7,627,886.00",,"313,141,825.00","313,141,825.00","313,141,825.00",,,,,,"25,340,000.00","33,765,700.00","36,219,280.00",,,,"3,588,775.56","32,379,091.15","23,509,512.15","77,704,184.40","119,903,756.54","1,294,509.00","11,051,000.00","11,036,277.50","12,027,355.11"
支付给职工以及为职工支付的现金,"13,576,175.49","31,375,085.98","44,152,245.18","11,986,871.27","24,037,616.01","37,925,030.01","54,361,338.10","16,572,500.00","32,042,693.56","48,971,374.98","69,768,023.25","26,242,542.10","54,187,515.62","86,255,385.65","118,768,761.74","46,648,085.05","92,131,645.84","142,116,007.39","198,017,393.26","91,477,823.77","195,649,897.14","285,236,306.52","374,481,896.33","83,892,687.20","169,385,268.93","308,641,170.91","374,585,998.17"
取得借款收到的现金,,"18,700,000.00","67,600,000.00","7,999,989.36","22,598,989.36","22,598,989.36","22,598,989.36",,"50,000,000.00","50,000,000.00","55,000,000.00",,"65,140,260.00","75,140,260.00","87,792,600.85","34,500,000.00","126,500,000.00","298,244,347.96","244,490,000.00","164,266,950.00","352,142,336.04","663,862,336.04","616,422,600.00","97,000,000.00","310,900,000.00","595,174,520.00","764,708,942.00"
支付的各项税费,"4,997,469.52","21,664,220.73","22,179,272.17","5,941,185.16","9,280,236.92","13,363,181.27","18,168,388.84","3,726,722.54","6,801,614.79","14,547,277.32","12,653,147.33","7,392,883.54","17,994,590.36","28,514,510.60","38,062,424.76","9,377,636.43","12,271,910.04","15,858,700.60","18,441,688.10","18,033,091.63","34,177,354.16","46,086,062.97","63,416,586.94","12,295,803.20","24,832,978.33","43,933,393.34","55,721,558.78"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,"124,703,020.00",,"72,800,000.00","152,000,000.00","236,339,736.04","53,256,160.22","162,569,820.00","276,571,377.81","455,537,747.83"
支付其他与经营活动有关的现金,"8,948,044.02","12,491,144.18","19,620,925.40","1,601,317.25","13,347,640.22","17,768,329.74","27,414,528.88","4,383,917.00","10,610,758.02","5,940,574.37","31,414,683.77","20,252,799.47","32,906,830.06","50,392,024.63","66,516,783.61","21,900,685.07","38,824,887.20","61,839,730.60","101,910,652.31","69,519,401.24","32,218,551.96","227,542,865.05","224,469,899.00","45,535,487.70","59,183,725.50","130,666,978.90","155,848,865.48"
筹资活动现金流入小计,,"61,200,000.00","75,227,886.00","7,999,989.36","335,740,814.36","335,740,814.36","335,740,814.36",,"50,000,000.00","50,000,000.00","55,000,000.00",,"90,480,260.00","108,905,960.00","124,011,880.85","34,500,000.00","126,500,000.00","298,244,347.96","372,781,795.56","196,646,041.15","448,451,848.19","893,566,520.44","972,666,092.58","151,550,669.22","484,520,820.00","882,782,175.31","1,232,274,044.94"
经营活动现金流出小计,"76,632,109.20","156,934,553.65","247,674,067.41","64,908,746.94","151,240,769.44","234,638,710.64","348,212,445.65","85,740,539.38","161,892,129.26","245,242,532.96","498,869,291.06","180,873,306.02","376,155,399.04","601,571,375.55","827,935,812.19","266,048,096.38","472,972,739.84","707,854,842.98","971,369,208.28","532,725,237.22","889,710,415.16","1,615,473,799.82","2,015,608,647.33","347,624,398.88","762,365,687.71","1,332,579,390.30","1,928,302,921.39"
偿还债务支付的现金,,"6,600,000.00","6,300,000.00","28,800,000.00","72,199,000.00","73,199,000.00","74,499,000.00","15,499,989.36","16,699,989.36","17,899,989.36","18,799,989.36","900,000.00","59,770,000.00","65,810,260.00","70,810,260.00",,"67,672,046.39","77,672,046.39","83,172,046.39","97,142,446.60","266,175,432.80","438,226,972.00","645,387,991.78","105,319,533.27","118,952,063.92","419,357,343.09","617,239,699.90"
经营活动产生的现金流量净额,"3,048,818.90","23,437,836.54","19,690,319.22","-11,390,699.29","-2,820,519.61","10,804,001.66","14,499,094.50","9,783,027.07","15,581,250.40","16,980,823.19","18,768,076.60","32,339,240.19","41,288,930.08","60,245,673.03","11,360,979.96","44,079,851.17","48,156,096.81","22,713,850.61","-30,605,879.75","53,965,085.45","-96,680,856.85","-178,988,731.92","6,415,848.63","41,810,940.56","-32,298,554.95","44,705,972.22","44,389,582.32"
分配股利、利润或偿还利息支付的现金,,"495,737.16","1,556,356.80","1,030,885.54","2,177,928.22","2,597,427.68","2,985,123.33","69,541.94","6,150,845.08","8,824,390.83","11,615,294.14","971,569.61","13,185,912.42","14,111,107.70","15,523,564.68","833,936.22","16,419,993.93","27,995,188.33","32,154,997.81","8,124,370.47","16,489,500.46","22,910,961.96","33,811,073.10","6,906,534.60","27,770,252.54","36,545,534.64","48,810,922.80"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,"46,333,700.00","46,333,700.00","37,833,700.00","1,400,000.00","14,000,000.00","15,000,000.00","40,150,000.00"
支付其他与筹资活动有关的现金,,,,,"1,437,172.50","4,504,196.50","4,504,196.50",,,,,,,"263,656.19","43,619.00","330,000.00",,"1,280,769.23","2,773,869.23","3,613,039.24","2,651,431.95","15,680,205.99","157,768,585.00","29,459,092.22","224,959,385.22","297,722,071.53","391,417,724.47"
取得投资收益收到的现金,,"73,909.58",,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,,"7,095,737.16","7,856,356.80","29,830,885.54","75,814,100.72","80,300,624.18","81,988,319.83","15,569,531.30","22,850,834.44","26,724,380.19","30,415,283.50","1,871,569.61","72,955,912.42","80,185,023.89","86,377,443.68","1,163,936.22","84,092,040.32","106,948,003.95","118,100,913.43","108,879,856.31","285,316,365.21","476,818,139.95","836,967,649.88","141,685,160.09","371,681,701.68","753,624,949.26","1,057,468,347.17"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"108,000.00","1,037,169.17",,"20,000.00","144,000.00","925,563.17",,,"3,500.00","45,944.46",,,,"68,015.00","45,060.00","45,060.00","100,276.00","175,726.00",,"1,320,000.00","2,035,256.76","2,028,200.00","34,238.41","34,238.41","42,738.41","665,705.98"
筹资活动产生的现金流量净额,,"54,104,262.84","67,371,529.20","-21,830,896.18","259,926,713.64","255,440,190.18","253,752,494.53","-15,569,531.30","27,149,165.56","23,275,619.81","24,584,716.50","-1,871,569.61","17,524,347.58","28,720,936.11","37,634,437.17","33,336,063.78","42,407,959.68","191,296,344.01","254,680,882.13","87,766,184.84","163,135,482.98","416,748,380.49","135,698,442.70","9,865,509.13","112,839,118.32","129,157,226.05","174,805,697.77"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,"19,838,426.28","6,338,426.28","5,460,770.19","55,860,770.19",,,,"10,514,923.42"
四、汇率变动对现金的影响,"-13,147.37","38,401.45","-93,701.43","7,368.18","-144,538.46","-201,386.66","67,922.23","-65,509.71","210,374.81","37,323.82","-52,756.85","-100,566.10","602,190.45","38,340.57","-545,453.31","900,257.81","1,343,291.43","1,662,708.19","1,599,039.93","72,609.48","134,826.26","205,914.09","1,079,330.69","-605,583.76","191,619.22","-173,784.29","-4,881,574.18"
收到其他与投资活动有关的现金,,,,,,,,,,,"18,762,687.91",,"91,296.31","91,296.31","91,296.31",,,,,,,,"49,234,995.92","1,000,000.00",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"181,909.58","1,037,169.17",,"20,000.00","144,000.00","925,563.17",,,"3,500.00","18,808,632.37",,"91,296.31","91,296.31","159,311.31","45,060.00","45,060.00","100,276.00","175,726.00","19,838,426.28","53,992,126.28","53,829,726.95","144,957,666.11","2,434,238.41","14,034,238.41","15,042,738.41","51,330,629.40"
五、现金及现金等价物净增加额,"-2,876,102.79","43,605,249.90","20,456,097.45","-41,372,230.67","222,795,961.45","200,181,430.63","171,022,759.40","-21,234,613.87","8,347,555.16","-95,986,405.44","-64,393,104.24","-49,536,653.26","-57,801,931.24","-45,516,878.59","-125,889,713.61","23,110,873.20","22,971,605.84","69,340,059.93","14,882,099.67","82,962,890.69","6,696,682.27","130,894,453.46","61,173,119.24","-10,107,771.74","-20,067,557.71","28,946,857.72","71,159,621.52"
购建固定资产、无形资产和其他长期资产支付的现金,"5,911,774.32","34,157,160.51","67,549,218.71","8,158,003.38","34,185,694.12","66,005,374.55","98,222,315.03","15,382,599.93","34,593,235.61","67,112,772.26","126,501,772.86","60,303,677.74","108,308,695.66","125,613,124.61","165,498,988.74","45,250,359.56","58,980,802.08","100,295,598.88","129,347,668.64","20,666,772.41","58,290,297.36","105,928,392.40","202,378,168.89","35,550,391.08","86,607,888.71","114,753,676.18","135,613,905.30"
期初现金及现金等价物余额,"3,558,573.74","682,470.95","44,287,720.85","64,743,818.30","64,743,818.30","64,743,818.30","64,743,818.30","235,766,577.70","235,766,577.70","235,766,577.70","235,766,577.70","175,526,910.30","171,373,473.46","171,373,473.46","171,373,473.46","47,337,711.93","47,337,711.93","47,337,711.93","45,483,759.85","65,117,088.70","65,180,599.38","65,198,154.47","60,365,859.52","121,538,978.76","121,538,978.76","121,538,978.76","121,538,978.76"
投资支付的现金,,,,,,,,,,"69,170,900.00",,"19,600,080.00","9,000,000.00","9,000,000.00","9,000,000.00","10,000,000.00","10,000,000.00","46,137,520.00","81,620,000.00","58,012,642.95","54,716,942.95","54,667,242.95","24,600,000.00","28,062,485.00","28,226,090.00","22,860,000.00","37,000,000.00"
期末现金及现金等价物余额,"682,470.95","44,287,720.85","64,743,818.30","23,371,587.63","287,539,779.75","264,925,248.93","235,766,577.70","214,531,963.83","244,114,132.86","139,780,172.26","171,373,473.46","125,990,257.04","113,571,542.22","125,856,594.87","45,483,759.85","70,448,585.13","70,309,317.77","116,677,771.86","60,365,859.52","148,079,979.39","71,877,281.65","196,092,607.93","121,538,978.76","111,431,207.02","101,471,421.05","150,485,836.48","192,698,600.28"
