科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"124,540,147.23","157,131,611.62","188,064,631.85","150,385,285.43","408,063,596.75","472,895,363.20","302,640,195.43","264,426,114.61","272,287,149.15","518,002,577.33","251,521,129.87"
短期借款,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"744,938.50","1,597,640.00","2,364,547.00","1,670,560.00","4,519,785.00","1,501,565.00","1,599,055.00","2,367,675.00","4,921,500.00","14,703,921.00","9,901,658.93"
应付票据,"9,344,961.81","13,634,970.50","6,251,688.81","2,975,849.38","18,436,066.97","15,562,840.32","6,283,444.86","11,781,025.87","11,546,026.64","23,653,141.72","17,210,350.20"
应收账款,"81,227,092.68","61,708,961.79","78,205,876.51","111,864,635.96","122,871,312.65","102,061,023.91","103,087,434.76","135,017,121.91","153,890,560.44","159,589,548.12","139,389,981.59"
应付账款,"22,926,394.90","28,839,826.93","36,605,859.87","38,108,810.13","32,758,134.51","35,937,461.47","42,605,284.37","24,968,904.86","39,173,887.24","84,614,479.42","95,324,692.38"
预付款项,"2,989,764.82","2,372,609.63","3,590,077.23","2,698,836.33","3,903,024.65","5,314,811.64","4,077,613.82","5,819,706.03","6,099,003.48","5,936,586.28","6,065,887.95"
预收款项,"11,671,896.31","30,877,493.72","26,957,985.07","18,198,272.15","21,447,600.78","28,838,101.99","20,839,913.13","16,424,650.00","29,464,764.81","82,528,396.96","51,938,666.91"
其他应收款,"9,192,980.46","9,298,425.50","8,132,523.20","7,877,552.46","9,460,785.34","8,660,220.06","11,028,747.62","12,319,454.46","13,556,549.36","14,052,735.69","22,501,647.16"
应付职工薪酬,"4,621,931.40","8,190,310.84","11,462,215.45","3,980,363.94","4,116,818.94","16,806,261.85","4,802,645.37","6,838,735.99","6,083,611.41","26,628,868.82","8,428,251.72"
应收关联公司款,,,,,,,,,,,
应交税费,"4,257,841.02","4,363,559.62","5,008,068.01","4,123,782.00","2,996,753.63","4,760,767.95","1,386,991.67","4,088,832.96","4,649,588.93","7,338,225.84","511,226.20"
应收利息,,,,,,,,,,,
应付利息,,,,,,,,,,,
应收股利,,,,,,,,,,,
应付股利,,,,,,,,,,,
存货,"31,784,344.50","55,387,315.72","65,840,400.03","74,262,434.41","77,725,378.92","77,300,622.82","98,189,458.67","102,326,942.64","114,884,248.41","161,326,447.40","202,315,270.42"
其他应付款,"10,298,862.94","17,365,490.72","22,602,913.17","23,173,562.28","36,053,117.33","31,272,903.52","29,332,182.00","65,789,932.45","66,166,502.51","76,590,400.36","73,746,667.38"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,
其他流动资产,"286,802.42","2,119,200.16","2,678,410.49","1,258,703.65","2,025,105.81","4,243,734.15","125,660,210.76","138,837,633.21","137,530,082.34","9,701,936.01","170,552,099.61"
其他流动负债,,,,,,,,,,,
流动资产合计,"250,766,070.61","289,615,764.42","348,876,466.31","350,018,008.24","628,568,989.12","671,977,340.78","646,282,716.06","661,114,647.86","703,169,093.18","883,313,751.83","802,247,675.53"
流动负债合计,"63,121,888.38","103,271,652.33","108,888,730.38","90,560,639.88","115,808,492.16","133,178,337.10","105,250,461.40","129,892,082.13","157,084,381.54","301,353,513.12","247,159,854.79"
可供出售金融资产,,,,,,,,,,,
长期借款,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,,,,,,,,,,,"9,000,000.00"
专项应付款,,,,,,,,,,,
投资性房地产,,,,,,,,,,,
预计负债,,,,,,,,,,,
固定资产,"6,337,583.58","9,539,914.60","9,781,164.67","9,361,648.56","10,037,625.01","10,594,353.72","11,224,099.45","11,482,079.62","12,313,604.15","12,957,440.25","13,257,138.99"
递延所得税负债,,,,,,,,,,,
在建工程,"1,943,915.00","1,404,320.00","2,122,788.00","2,379,201.13","3,155,900.16","3,730,357.37","8,135,180.59","11,631,072.59","12,588,212.82","21,763,170.53","40,490,717.78"
其他非流动负债,,,,,,,,,,,
工程物资,,,,,,,,,,,
非流动负债合计,"7,699,714.74","3,069,138.97","3,468,756.62","3,295,411.94","7,208,739.60","7,122,067.26","7,046,365.33","6,969,842.56","5,709,741.67","5,608,788.27","9,514,384.72"
固定资产清理,,,,,,,,,,,
负债合计,"70,821,603.12","106,340,791.30","112,357,487.00","93,856,051.82","123,017,231.76","140,300,404.36","112,296,826.73","136,861,924.69","162,794,123.21","306,962,301.39","256,674,239.51"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","53,340,000.00","53,340,000.00","53,340,000.00","135,205,000.00","135,205,000.00","135,205,000.00","135,205,000.00"
油气资产,,,,,,,,,,,
资本公积,"10,311,874.21","10,311,874.21","10,311,874.21","10,311,874.21","234,851,359.95","234,851,359.95","235,418,259.95","191,597,119.95","193,297,819.95","194,998,519.95","195,701,244.95"
无形资产,"6,869,726.72","29,446,200.34","28,432,006.20","27,886,828.43","27,972,506.18","27,727,468.35","27,449,238.84","27,171,009.33","26,893,959.08","21,011,416.01","20,834,654.75"
盈余公积,"14,585,728.39","18,992,430.98","24,363,321.40","24,363,321.40","24,363,321.40","30,291,556.65","30,291,556.65","30,291,556.65","30,291,556.65","38,121,572.94","38,121,572.94"
开发支出,,,,,,,,,,,
减:库存股,,,,,,,,"36,343,160.00","36,343,160.00","36,343,160.00","36,343,160.00"
商誉,,,,,,,,,,,
未分配利润,"132,113,095.39","156,247,081.83","204,344,512.21","223,604,415.44","236,703,859.82","258,827,541.33","264,288,268.59","257,054,662.62","273,183,778.31","303,838,989.53","300,251,265.21"
长期待摊费用,,,,,,,,,,,
少数股东权益,,,,,,,,,,,
递延所得税资产,"1,915,005.20","1,885,978.96","2,164,769.64","2,489,976.51","2,540,752.46","2,545,009.07","2,543,676.98","3,268,294.51","3,487,263.04","3,743,069.56","3,713,824.45"
外币报表折算价差,,,,,,,,,,,
其他非流动资产,,,,,,"1,036,333.00",,,,,
非正常经营项目收益调整,,,,,,,,,,,
非流动资产合计,"17,066,230.50","42,276,413.90","42,500,728.51","42,117,654.63","43,706,783.81","45,633,521.51","49,352,195.86","53,552,456.05","55,283,039.09","59,475,096.35","87,296,335.97"
所有者权益(或股东权益)合计,"197,010,697.99","225,551,387.02","279,019,707.82","298,279,611.05","549,258,541.17","577,310,457.93","583,338,085.19","577,805,179.22","595,658,009.06","635,826,546.79","632,869,771.99"
资产总计,"267,832,301.11","331,892,178.32","391,377,194.82","392,135,662.87","672,275,772.93","717,610,862.29","695,634,911.92","714,667,103.91","758,452,132.27","942,788,848.18","889,544,011.50"
