科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"325,936,940.11","520,662,252.15","702,177,341.43","183,834,558.80","381,649,989.56","589,837,562.28","820,444,124.56","217,483,058.89","477,545,902.31","809,431,430.76","1,100,352,254.06","247,384,215.65","571,843,275.95","954,469,812.01","1,352,950,271.85","342,810,361.86","700,551,009.62","1,071,197,245.38","1,421,931,308.69","339,710,567.93","739,110,530.17","1,211,195,284.22","1,745,594,684.87","439,394,674.37","971,718,423.82","1,659,742,562.17"
取得子公司及其他营业单位支付的现金净额,"19,727,196.05","5,933,013.68","3,729,005.35",,,,,,,,,,,,"91,916,053.51",,,,,,,,,,,
收到的税费返还,"559,067.58","7,317,731.14","27,986,144.80","6,589,466.96","7,589,869.71","12,405,282.58","13,083,965.47","11,763,859.50","14,725,603.22","15,487,471.60","15,487,471.60","9,379,604.61","9,504,246.58","9,504,246.58","9,504,246.58","1,362,461.81","5,220,402.10","5,220,402.10","5,244,510.16","171,779.32","3,119,437.65","4,462,337.31","5,403,840.53","9,107,913.31","9,202,208.15","12,042,581.28"
支付其他与投资活动有关的现金,,"702,029.13","122,899.81",,,,,,,"450,000.00","621,389,248.40","225,000,000.00","445,000,000.00","785,000,000.00","985,000,000.00","123,100,000.00","129,805,126.19","129,805,126.19","123,600,000.00",,"40,000,000.00","40,007,000.00","90,000,000.00","50,000,000.00","100,000,000.00","222,562,761.55"
收到其他与经营活动有关的现金,"3,611,737.17","2,652,716.00","11,969,291.69","2,298,175.66","5,086,969.55","7,649,911.37","12,892,031.65","3,688,234.84","9,713,958.83","19,484,651.50","25,047,957.39","9,611,192.46","20,729,534.95","9,976,670.19","12,913,806.28","6,778,030.30","10,910,074.39","13,639,326.54","44,129,309.20","6,767,289.37","15,550,682.40","23,999,511.21","38,623,909.94","3,973,292.30","9,642,380.30","19,982,049.68"
投资活动现金流出小计,"74,725,323.87","76,688,114.83","41,397,657.22","7,776,137.41","26,043,971.19","43,077,801.45","81,865,012.11","52,550,252.95","268,544,827.40","483,635,415.48","699,588,274.41","239,669,390.87","478,628,157.38","838,044,776.68","1,147,092,158.09","145,452,539.99","180,086,304.80","209,520,585.94","252,330,844.51","23,910,314.76","98,503,769.88","122,138,926.46","210,725,102.86","70,448,415.76","164,234,363.30","298,648,049.99"
经营活动现金流入小计,"330,107,744.86","530,632,699.29","742,132,777.92","192,722,201.42","394,326,828.82","609,892,756.23","846,420,121.68","232,935,153.23","501,985,464.36","844,403,553.86","1,140,887,683.05","266,375,012.72","602,077,057.48","973,950,728.78","1,375,368,324.71","350,950,853.97","716,681,486.11","1,090,056,974.02","1,471,305,128.05","346,649,636.62","757,780,650.22","1,239,657,132.74","1,789,622,435.34","452,475,879.98","990,563,012.27","1,691,767,193.13"
投资活动产生的现金流量净额,"-74,725,323.87","-76,589,407.40","-40,107,457.22","-7,714,137.41","-25,882,891.19","-42,664,721.45","-81,330,688.52","-31,421,138.46","-146,454,772.84","-60,713,458.52","-73,219,331.63","-13,263,009.01","-47,340,707.03","-185,607,395.82","-223,186,278.59","-51,737,226.85","18,329,744.75","-11,104,536.39","-53,313,436.16","-22,380,762.76","-96,821,325.63","-79,909,386.65","-113,712,085.79","-19,928,963.71","-63,125,879.57","-146,459,762.57"
购买商品、接受劳务支付的现金,"250,398,176.14","429,096,590.59","590,145,834.64","164,532,970.76","353,822,269.57","517,902,423.44","640,749,089.30","216,259,653.80","456,356,762.07","745,419,431.59","863,436,445.52","248,909,353.70","472,519,508.20","642,019,889.22","911,115,981.55","285,807,235.04","510,140,100.74","723,811,412.77","847,251,535.22","183,396,172.44","540,830,952.84","749,574,135.79","1,041,022,248.60","423,135,081.78","903,392,220.13","1,299,710,190.48"
吸收投资收到的现金,"10,000,000.00","218,600,000.00",,"502,435,200.00","502,435,200.00","502,435,200.00","502,885,200.00",,,"9,800,000.00","9,800,000.00",,,,,,,"35,000,000.00","35,000,000.00",,,,,,,
