科目,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
销售商品、提供劳务收到的现金,"7,687,774,587.77","2,795,994,306.77","7,414,922,715.65","1,158,650,659.32","2,853,589,789.51","4,614,373,620.03","7,279,167,348.01","1,635,771,396.61","3,303,365,178.72","4,376,427,519.25","5,550,883,843.72","1,001,114,936.40","2,395,212,834.10","3,321,244,652.26","4,740,121,140.11","1,003,273,923.62","2,118,657,084.55","3,217,903,785.60","4,310,083,012.06","1,143,141,643.83","1,622,816,303.73"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"1,932,417.65","1,932,417.65",,,
收到的税费返还,"43,191,520.80","33,941,890.39","54,133,180.82","29,976,471.94","34,131,176.14","77,987,649.36","104,860,017.95","28,142,303.81","34,493,891.36","37,832,277.95","48,206,641.72","3,272,207.29","13,927,010.88","26,329,380.88","32,645,157.53","13,545,687.89","25,569,744.15","27,499,082.89","28,112,725.32","12,999,569.95","30,555,070.63"
支付其他与投资活动有关的现金,,,,"13,863,000.00","13,850,000.00","14,754,000.00",,,,,,,,,"37,950,844.42","7,000.00","6,000,000.00","9,000,000.00","47,160,908.33","13,046.94","676,462.08"
收到其他与经营活动有关的现金,"50,383,931.20","37,742,992.29","102,631,232.98","55,488,308.32","86,164,157.61","143,831,897.30","166,192,457.85","32,975,616.07","60,957,040.64","87,502,831.29","113,663,130.72","23,075,672.78","40,805,322.76","62,925,670.42","185,232,049.40","58,862,423.72","34,071,808.64","63,792,207.52","70,154,758.33","112,212,554.18","58,688,108.13"
投资活动现金流出小计,"950,341,715.26","1,007,842,212.75","2,193,075,771.95","367,043,325.53","786,424,421.76","1,201,704,846.40","1,745,278,158.76","428,929,114.57","717,966,173.55","1,014,851,101.47","1,478,210,708.18","383,627,414.29","548,971,176.04","645,099,624.94","838,247,872.65","64,852,965.07","145,125,285.89","318,020,232.04","346,113,496.68","76,448,924.05","125,888,227.28"
经营活动现金流入小计,"7,781,350,039.77","2,867,679,189.45","7,571,687,129.45","1,244,115,439.58","2,973,885,123.26","4,836,193,166.69","7,550,219,823.81","1,696,889,316.49","3,398,816,110.72","4,501,762,628.49","5,712,753,616.16","1,027,462,816.47","2,449,945,167.74","3,410,499,703.56","4,957,998,347.04","1,075,682,035.23","2,178,298,637.34","3,309,195,076.01","4,408,350,495.71","1,268,353,767.96","1,712,059,482.49"
投资活动产生的现金流量净额,"-707,136,656.14","-820,061,674.59","-2,054,636,217.95","-361,203,152.84","-779,955,486.97","-1,191,535,139.68","-1,609,632,327.16","-426,615,714.57","-708,321,922.96","-1,002,923,732.23","-1,426,898,789.63","-377,628,561.79","-433,074,764.78","-519,358,013.68","-837,992,297.67","-57,417,737.72","-131,266,314.49","-300,979,260.64","-331,243,329.29","-76,448,924.05","-119,470,880.28"
购买商品、接受劳务支付的现金,"6,221,299,766.50","3,342,909,828.98","5,925,766,994.73","1,289,857,172.32","2,905,865,850.59","4,578,255,449.91","6,263,350,428.29","1,815,705,477.71","3,692,224,720.99","4,975,573,182.56","6,056,043,060.12","1,347,172,575.01","2,546,598,776.04","3,855,972,965.23","4,946,746,883.80","1,261,951,285.22","2,225,887,241.00","3,404,921,362.01","3,855,911,005.04","787,079,865.48","2,023,267,649.43"
吸收投资收到的现金,,"57,600,000.00","57,600,000.00","2,502,863,721.54","2,502,863,721.54","2,502,863,721.54","2,502,863,721.54",,,,"600,000.00",,,,"1,500,000,000.00",,,,,,
