科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"669,662,219.70","862,816,904.44","1,020,954,639.41","950,358,290.30","1,007,060,547.65","996,505,294.07","1,518,131,825.05","1,609,948,111.71","1,522,190,075.88","1,324,504,836.39","1,339,616,899.61","1,177,188,098.89","1,182,059,088.77","1,024,866,521.56","1,137,604,083.95","1,019,754,035.87","973,639,166.44","1,104,919,514.87"
短期借款,,,,,,,,,,"50,000,000.00",,,,,,,"23,000,000.00","35,953,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"24,749,000.00","57,274,213.12","73,830,537.67","54,662,807.05","20,982,279.08","86,877,816.55","76,924,104.54","24,508,829.74","22,566,978.25","12,730,396.02",,,,,,,,
应付票据,,,,,,,"38,250,000.00","35,700,000.00","43,130,000.00","173,200,434.40","195,071,000.00","54,827,600.00","119,061,200.00","158,285,000.00","153,685,000.00","62,039,600.00","62,330,000.00","46,504,250.00"
应收账款,"23,136,765.70","18,578,937.08","17,252,531.88","15,173,487.53","20,937,084.52","21,213,747.43","20,294,964.53","27,963,916.70","30,832,502.41","53,220,990.90","111,253,185.60","140,982,979.46","100,632,949.36","152,346,185.66","195,585,887.20","141,317,640.42","148,433,673.90","215,586,155.24"
应付账款,"253,052,611.70","269,417,316.62","354,354,231.08","251,263,418.07","272,192,977.24","318,025,715.31","310,557,396.12","337,034,686.52","291,551,278.69","313,857,358.22","284,714,787.37","345,115,941.47","292,665,994.34","305,873,954.11","329,691,853.00","285,613,962.25","290,954,732.64","246,542,555.70"
预付款项,"55,880,189.21","50,757,312.61","48,679,516.00","8,803,054.72","29,380,364.15","73,752,171.77","163,417,398.83","199,484,343.29","204,102,195.79","134,573,924.21","160,374,987.88","152,136,883.58","207,872,048.16","197,119,445.78","207,527,045.58","180,690,443.37","256,844,543.53","200,336,381.88"
预收款项,"7,692,584.72","20,406,641.70","5,886,073.34","5,976,208.55","14,451,856.42","64,849,685.74","97,205,690.19","135,611,355.48","79,961,995.03","95,730,452.87","115,798,848.17","117,872,977.74","142,448,956.36","97,022,460.57","163,649,065.60","114,965,154.30","138,120,152.77","109,457,783.45"
其他应收款,"10,003,798.00","11,963,150.01","8,601,733.89","13,107,960.42","12,459,682.77","13,072,659.30","15,989,398.90","11,199,676.22","13,831,537.58","8,235,234.68","7,242,534.88","9,622,044.52","10,660,258.14","21,977,308.60","16,634,292.41","13,503,727.58","12,255,042.53","12,090,767.98"
应付职工薪酬,"40,736,421.53","42,088,165.34","49,930,512.81","25,167,790.64","20,828,469.74","28,706,144.49","9,672,957.63","15,967,585.95","17,829,494.70","29,953,421.09","19,849,335.36","22,272,909.50","22,852,778.39","30,443,742.42","19,295,444.16","21,662,748.28","24,643,312.40","34,029,108.67"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"25,654,650.49","61,468,694.65","31,098,558.57","-2,575,875.02","12,743,184.92","11,442,342.44","3,218,617.71","-16,909,402.00","-2,082,584.43","-15,007,029.09","-4,567,543.87","-6,490,211.61","-9,829,288.66","3,488,482.28","6,307,223.54","4,293,893.50","3,422,471.71","5,952,394.74"
应收利息,"1,746,274.85","3,774,456.96","2,005,008.22","6,965,860.92","5,497,698.58","3,910,404.32","4,999,974.18","7,327,487.04","3,844,291.20","7,027,774.42","5,621,073.33","9,548,599.89","8,222,517.52","8,623,001.11","5,137,406.20","6,224,325.55","6,961,272.13","4,658,182.58"
应付利息,,,,,,,,,,"28,602.74",,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,"44,110,000.00",,,,,,,,,,
存货,"51,127,420.25","61,468,693.05","61,865,282.82","38,279,138.87","40,151,729.83","57,673,713.10","89,092,025.78","100,269,465.66","65,466,256.02","232,721,089.43","179,962,190.65","142,371,347.93","156,626,476.86","101,690,186.40","119,853,695.05","105,632,285.66","130,671,536.20","73,707,167.21"
其他应付款,"20,250,625.82","16,684,239.01","32,990,519.49","27,830,612.90","36,678,035.13","29,971,468.64","24,597,826.70","32,862,074.72","18,488,252.96","49,497,920.79","34,937,097.51","45,186,688.31","47,810,445.79","36,609,950.44","33,801,596.78","30,947,378.68","22,814,769.78","30,804,341.71"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,
其他流动资产,"36,898,809.84","41,932,936.50","60,393,854.33","55,552,275.13","40,750,848.68","57,358,646.72","38,710,915.61","37,246,327.86","41,251,280.48","350,505,685.59","295,051,324.36","342,710,506.54","333,269,804.00","537,600,389.83","448,288,695.93","504,573,049.42","486,246,352.01","383,886,387.72"
其他流动负债,"38,470,524.71","63,673,470.55","65,137,314.91","71,508,716.80","49,388,882.20","57,540,324.43","60,828,869.66","62,659,139.92","58,535,118.83","37,406,955.88","47,741,403.61","39,121,348.17","41,554,319.18","36,902,958.60","35,349,138.25","51,619,477.68","54,849,172.27","41,833,040.54"
流动资产合计,"873,204,477.55","1,108,566,603.77","1,293,583,104.22","1,142,902,874.94","1,177,220,235.26","1,310,364,453.26","1,927,560,607.42","2,017,948,158.22","1,904,085,117.61","2,123,519,931.64","2,099,122,196.31","1,974,560,460.81","1,999,343,142.81","2,044,223,038.94","2,130,631,106.32","1,971,695,507.87","2,015,051,586.74","1,995,184,557.48"
流动负债合计,"385,857,418.97","473,738,527.87","539,397,210.20","379,170,871.94","406,283,405.65","510,535,681.05","544,331,358.01","647,035,440.59","507,413,555.78","734,668,116.90","693,544,928.15","617,907,253.58","656,564,405.40","668,626,548.42","741,779,321.33","571,142,214.69","620,134,611.57","551,076,474.81"
可供出售金融资产,,,,,,,,,,,,"60,062,049.00","60,062,049.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00"
长期借款,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,"330,000.00",,,,,"11,329,764.69","11,030,054.17","11,016,205.93","11,699,428.99","16,652,002.04"
专项应付款,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,
固定资产,"42,732,104.72","38,855,765.70","46,613,950.00","51,925,705.83","50,975,162.03","49,794,120.16","48,061,148.34","51,119,073.41","61,206,234.22","119,662,947.46","116,913,480.03","113,097,204.41","121,973,943.33","120,211,173.60","118,086,100.50","117,273,843.87","117,147,499.26","115,638,755.81"
递延所得税负债,,,,,,,,,,,,,,,,,,
在建工程,"558,195.00","1,887,386.21","6,769,933.51","11,112,756.81","33,243,679.52","38,960,591.73","46,480,296.32","52,091,748.86","57,528,798.46",,"10,534,600.95","11,448,875.81",,"440,099.75","1,437,554.24","543,846.17","643,846.17",
其他非流动负债,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,,,,,,"5,259,856.04","5,009,856.05","4,605,356.98","4,311,901.60","3,945,805.12"
固定资产清理,,,,,,,,,,,,,,,,,,
负债合计,"385,857,418.97","473,738,527.87","539,397,210.20","379,170,871.94","406,283,405.65","510,535,681.05","544,331,358.01","647,035,440.59","507,413,555.78","734,668,116.90","693,544,928.15","617,907,253.58","656,564,405.40","673,886,404.46","746,789,177.38","575,747,571.67","624,446,513.17","555,022,279.93"
生产性生物资产,,,,,,,,,,,,,,,,,,
实收资本(或股本),"331,000,000.00","331,000,000.00","331,000,000.00","331,000,000.00","331,000,000.00","331,000,000.00","401,000,000.00","401,000,000.00","401,000,000.00","401,000,000.00","401,000,000.00","401,000,000.00","401,000,000.00","401,000,000.00","401,000,000.00","401,000,000.00","401,000,000.00","401,000,000.00"
油气资产,,,,,,,,,,,,,,,,,,
资本公积,"177,990,467.94","177,990,467.94","177,990,467.94","177,990,467.94","177,990,467.94","177,990,467.94","671,560,467.94","671,560,467.94","671,560,467.94","673,394,021.19","673,394,021.19","673,394,021.19","673,394,021.19","673,394,021.19","673,394,021.19","673,394,021.19","673,394,021.19","677,824,905.78"
无形资产,"41,237,821.01","40,603,901.98","42,062,592.32","40,798,064.38","39,800,556.73","60,397,327.26","60,719,791.28","59,531,951.14","58,011,564.37","56,303,661.79","54,672,610.86","53,430,053.83","51,216,180.45","50,970,500.94","50,468,115.66","49,298,307.84","48,167,586.40","47,108,827.79"
