科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"26,682,143.80","52,020,758.68","80,330,935.35","55,411,995.30","64,737,491.92","504,089,639.49","455,064,343.15","372,042,269.50","317,639,563.41","263,347,540.55","168,792,174.86","153,692,903.68","130,822,937.37","96,353,620.07","70,485,939.72","74,402,328.26","118,386,952.23","122,209,324.86","111,189,522.31","504,006,598.10","512,644,804.89","425,427,826.03","343,250,853.44","393,815,100.56","406,826,757.14","420,280,765.64","421,185,298.97","392,844,317.86","350,046,562.90","432,272,227.92","278,505,170.36","287,904,545.59","252,780,161.80","338,175,513.08","351,628,916.03"
短期借款,"41,406,000.00","48,321,150.00","104,332,210.00","140,534,680.00","125,966,270.00","14,492,070.00","19,976,890.00","14,747,270.00","14,693,270.00","8,271,150.00",,"30,000,000.00","20,000,000.00","20,000,000.00","15,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00",,,,,,,,,"1,110,207.91","219,030,764.49","191,344,979.09","131,764,669.32","126,200,000.00","54,000,000.00","500,000.00",
交易性金融资产,,,"134,355.00",,,,,,,"47,088.00","47,088.00","403,102.00","654,234.00","225,209.00",,,,,,,,,,,,,,"263,833.01","2,119,465.01","3,582,139.50","7,673,478.50","485,019.25",,,
交易性金融负债,,,,"257,490.00","257,490.00",,,"20,536.00",,,,,,,"90,070.00","1,085,691.00","222,652.99",,,,,,"136,159.52",,,,,,,,,,"7,636,538.00","5,351,213.91","1,126,736.60"
应收票据,,,,,,"4,493,911.86","2,659,800.00","740,000.00","1,957,769.00","926,000.00","1,542,957.40","3,654,480.00","2,132,936.60","4,848,500.00","1,213,330.60","3,846,618.00","3,251,045.87","2,327,895.00","4,542,740.00","1,333,892.00","1,979,355.00","5,638,923.50","2,342,576.72","8,484,849.25","11,138,152.68","16,065,799.66","12,592,187.47","12,784,354.14","118,651,859.34","49,502,767.37","43,926,426.28","30,247,334.22","39,523,161.81","108,255,462.79","48,891,893.12"
应付票据,"22,100,000.00","34,400,600.00","30,955,675.60","35,083,308.00","38,155,810.00","33,580,060.00","12,950,096.00","1,789,456.00","4,167,000.00","11,063,028.00","13,478,237.94","23,524,609.94","32,194,524.65","30,730,774.44","20,176,819.19","18,310,651.01","22,662,534.00","11,528,091.49","8,388,709.96","9,625,860.22","16,890,254.75","11,869,202.57","4,335,590.59","3,416,526.95","4,032,571.35","3,410,542.35","1,919,653.80","2,631,097.40","7,181,269.78",,,,,"47,000,000.00",
应收账款,"20,885,074.54","39,535,764.96","42,691,529.46","56,832,829.89","71,945,009.64","59,309,672.95","58,842,819.77","65,597,456.17","66,801,034.77","62,084,361.91","69,673,853.01","75,203,517.05","74,013,069.10","71,771,503.68","64,905,688.29","81,375,437.30","78,772,762.72","72,965,863.09","81,538,375.64","88,073,867.86","90,903,099.96","84,822,952.72","80,075,786.82","104,876,457.90","83,631,977.45","102,829,928.51","109,828,850.41","134,152,682.20","215,511,140.01","225,081,891.87","237,503,740.82","299,146,282.54","310,304,262.22","259,113,787.08","286,886,363.08"
应付账款,"25,812,305.36","30,997,356.75","33,148,299.41","37,319,782.03","41,786,729.93","40,268,653.27","48,487,140.38","54,099,373.95","63,960,248.87","42,307,693.77","67,549,025.49","74,512,336.68","63,651,633.13","66,476,491.41","71,177,350.04","58,371,751.13","53,680,142.29","60,782,894.71","45,347,303.86","53,966,500.31","44,617,162.64","59,533,050.12","56,080,433.59","66,998,202.48","68,686,792.14","70,560,560.00","63,109,069.25","64,142,011.50","134,321,712.43","137,742,010.05","93,413,456.08","94,399,052.59",,"115,850,974.51",
预付款项,"26,280,730.36","16,965,799.25","23,843,412.50","41,119,144.58","34,385,138.59","54,821,078.70","43,960,326.70","57,704,249.05","60,913,921.77","4,761,817.19","4,415,251.56","24,348,933.18","23,917,316.62","8,775,378.56","10,900,831.49","9,819,029.71","9,377,306.15","4,711,328.20","5,315,150.56","11,291,685.66","14,001,286.85","11,095,111.59","16,487,369.92","13,057,246.98","13,201,871.09","8,459,609.14","11,932,396.89","11,351,939.94","20,799,609.42","14,100,094.82","16,296,629.50","14,781,565.72","17,810,924.89","18,504,270.77","14,676,684.37"
预收款项,"6,683,981.14","9,688,074.18","19,483,807.35","5,665,326.74","17,251,305.51","12,776,733.81","13,172,594.35","18,393,097.70","19,484,577.31","25,390,041.61","30,762,276.91","22,700,779.20","20,935,925.73","17,612,902.27","13,505,377.52","23,162,852.22","21,861,580.15","18,030,199.88","15,397,867.52","15,285,101.69","19,110,847.43","21,103,885.18","21,021,352.28","19,505,583.43","22,019,291.53","21,465,686.07","25,841,460.16","31,750,059.91","41,946,910.28","24,493,473.64","29,087,371.47","26,448,260.13","25,397,030.98","18,126,051.31","18,553,580.50"
