科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"147,657,345.10","183,507,220.52","215,156,436.76","159,905,553.85","304,756,339.71","68,439,307.03","148,940,867.55","269,962,026.88","468,720,891.34","88,305,857.79","220,128,111.17","357,958,944.74","597,770,885.52","98,876,015.11","226,773,319.49","333,754,037.47","543,104,750.58","108,872,844.39","250,307,881.62","369,960,919.02","580,361,068.61","130,446,289.64","327,978,110.49","506,133,532.57","777,010,224.26","141,448,728.84","312,733,577.17","435,075,030.48","583,965,508.09","97,977,026.19","247,624,449.07","381,998,272.06","621,054,006.76","123,181,019.61","284,175,187.70","464,213,455.69","706,714,962.45","142,414,249.77"
二、营业利润,"38,296,165.78","46,833,755.80","56,898,921.06","40,534,994.85","84,919,256.88","15,004,372.71","42,461,206.44","77,708,445.21","149,332,200.71","19,532,924.65","57,481,495.77","97,899,844.43","192,902,671.76","21,132,701.27","57,208,016.84","84,917,876.11","153,599,442.35","22,575,336.29","61,015,012.32","90,485,531.86","153,292,814.76","25,484,360.47","70,678,032.12","102,224,074.34","170,050,494.27","25,263,843.01","56,764,788.08","71,762,225.87","98,932,219.01","17,915,103.13","55,486,836.57","84,212,382.97","123,936,394.14","26,364,506.44","69,807,559.61","112,199,932.70","160,509,931.90","26,209,549.97"
减:营业成本,"75,549,643.80","101,843,135.76","118,837,601.89","92,381,911.53","169,976,233.81","37,960,010.94","86,620,824.68","157,955,259.68","266,479,280.83","50,630,351.73","129,151,300.93","212,642,577.68","337,845,145.14","58,072,035.68","135,281,305.52","201,019,586.23","320,085,852.06","63,997,619.77","149,631,874.16","224,990,334.82","345,082,859.54","77,264,952.12","195,999,648.70","302,718,123.46","461,686,913.33","82,757,362.40","187,824,514.48","266,766,680.96","357,188,070.61","59,634,231.39","157,648,204.36","243,806,347.51","405,244,630.09","78,637,633.16","185,590,898.20","307,466,577.79","489,677,412.60","95,802,237.89"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,292,546.21","1,500,887.52","2,007,892.03","786,654.34","2,571,747.38","145,613.74","272,067.97","1,029,998.50","5,364,846.92","378,364.21","1,201,424.93","2,304,620.05","5,762,990.76","314,892.97","682,685.55","1,077,324.62","3,918,311.85","856,252.06","1,893,441.40","2,622,478.54","5,413,075.60","600,949.75","2,000,177.22","3,246,883.83","6,299,575.96","1,251,097.47","2,926,648.28","3,494,705.42","8,101,566.92","1,373,435.12","2,927,607.08","5,282,700.52","8,659,782.70","1,107,141.79","4,050,991.28","5,779,059.83","7,989,109.91","1,115,104.67"
营业外收入,"8,612,073.56","7,848,581.83","2,833,141.59","5,484,197.18","9,993,726.58","677,454.39","683,183.02","886,230.79","7,227,460.21","1,756,210.59","4,856,134.42","7,450,142.21","10,739,881.27","7,413,109.17","10,692,643.27","12,766,701.76","19,741,219.56","4,762,465.56","7,446,055.42","8,663,746.57","16,325,879.17","3,827,229.47","5,867,927.32","10,707,596.12","16,390,188.58","2,818,481.85","5,973,065.19","9,738,995.53","12,099,971.86","3,213,087.71","2,478,527.78","4,652,774.55","6,240,681.30","225,416.17","1,764,516.72","2,672,206.78","4,704,885.11","1,870,522.52"
销售费用,"8,245,776.42","9,129,158.67","9,764,258.33","7,405,654.41","10,877,716.32","2,755,373.52","5,086,961.05","11,396,674.95","15,234,500.44","5,176,667.54","8,223,112.33","13,496,187.04","19,030,552.22","6,069,967.13","8,980,299.94","13,429,144.99","21,056,618.13","6,511,765.74","11,179,481.79","15,474,732.90","23,739,788.88","7,044,407.12","15,525,485.53","25,174,915.53","35,334,636.44","7,316,714.13","15,781,151.25","25,967,972.47","39,324,030.97","7,999,018.80","15,711,535.82","23,936,203.82","34,277,775.64","7,135,478.27","14,911,833.33","23,290,042.77","34,235,345.82","6,269,299.57"
减:营业外支出,"21,682.00","234,250.17","69,242.67","154,192.75","148,937.07",200.00,"1,400.00","17,135.09","118,546.91",,"71,570.85","143,638.68","553,720.38","4,111,039.56","4,125,756.17","4,198,356.49","4,288,994.73","2,494.10","10,520.90","960,105.55","1,354,395.48","123,558.86","216,420.90","246,301.47","394,962.76","40,369.34","90,194.02","154,248.46","256,184.19","17,244.71","713,318.38","795,065.12","780,041.71","12,383.60","63,180.05","119,180.34","92,544.09","69,468.00"
管理费用,"20,242,413.77","21,731,743.58","23,875,813.67","19,086,499.82","33,227,587.27","12,657,073.55","17,446,814.05","28,427,870.14","42,131,316.92","16,154,381.42","30,266,433.94","43,578,042.31","59,087,942.09","17,545,517.55","32,830,100.85","47,940,648.76","68,330,466.61","18,294,871.05","33,693,126.25","51,630,845.44","82,703,144.08","23,972,188.63","48,803,285.82","76,132,126.33","110,422,584.13","27,397,194.59","57,819,964.84","87,569,503.53","121,191,681.14","26,835,432.27","54,086,532.59","81,448,527.69","113,079,589.74","24,443,636.67","51,943,694.01","40,584,266.62","60,414,368.88","12,650,693.94"
其中:非流动资产处置净损失,,"40,030.61","3,192.67","51,891.91","25,290.56",,,,"33,220.51",,"33,964.26","33,964.26","33,964.26","4,085,165.56","4,098,416.17","4,098,416.17","3,868,838.23","2,154.10","2,594.10","3,512.73","273,816.62",,,,"21,503.18",,,,"99,635.73","11,903.46","72,984.56","73,262.34",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,123,579.16","1,598,308.24","1,249,373.58","-210,641.77","-149,227.90","-83,137.43","-5,548,274.32","-9,307,009.13","-13,839,397.22","-3,566,831.76","-7,680,609.24","-13,893,178.08","-17,392,206.68","-2,817,489.90","-4,274,269.81","-5,968,249.82","-8,154,558.52","-1,153,006.60","-3,545,800.44","-4,565,811.06","-4,866,745.28","-187,000.35","-907,933.17","-2,677,223.25","-6,099,563.54","-3,716,523.14","-9,825,084.69","-11,478,682.60","-19,997,503.72","-8,621,407.76","-11,503,568.89","-11,377,926.97","-5,754,893.32","301,931.71","362,534.35","638,185.44","-5,725,847.87","225,208.48"
三、利润总额,"46,886,557.34","54,448,087.46","59,662,819.98","45,864,999.28","94,764,046.39","15,681,627.10","43,142,989.46","78,577,540.91","156,441,114.01","21,289,135.24","62,266,059.34","105,206,347.96","203,088,832.65","24,434,770.88","63,774,903.94","93,486,221.38","169,051,667.18","27,335,307.75","68,450,546.84","98,189,172.88","168,264,298.45","29,188,031.08","76,329,538.54","112,685,368.99","186,045,720.09","28,041,955.52","62,647,659.25","81,346,972.94","110,776,006.68","21,110,946.13","57,252,045.97","88,070,092.40","129,397,033.73","26,577,539.01","71,508,896.28","114,752,959.14","165,122,272.92","28,010,604.49"
