科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"753,839,498.11","869,602,795.99","704,460,894.32","205,292,732.53","481,477,691.65","887,723,868.31","1,381,099,295.50","607,636,338.19","1,253,218,119.80"
取得子公司及其他营业单位支付的现金净额,"1,258,560.43",,,,,,,,
收到的税费返还,"639,960.58","1,871,030.59","2,587,115.55","677,810.44","845,268.38","1,094,440.79","1,094,440.79","677,143.28","1,233,582.31"
支付其他与投资活动有关的现金,,,,,,,,,
收到其他与经营活动有关的现金,"4,480,389.02","3,844,105.63","3,278,108.70","834,790.63","1,402,108.76","1,965,238.42","3,681,833.63","727,305.07","1,675,432.75"
投资活动现金流出小计,"191,358,472.20","272,995,753.96","66,120,749.83","6,081,102.61","167,988,131.09","436,340,643.94","602,298,108.46","13,611,462.75","50,386,624.27"
经营活动现金流入小计,"758,959,847.71","875,317,932.21","710,326,118.57","206,805,333.60","483,725,068.79","890,783,547.52","1,385,875,569.92","609,040,786.54","1,256,127,134.86"
投资活动产生的现金流量净额,"-19,856,204.34","-43,282,883.17","-66,120,084.54","-6,081,102.61","-167,489,849.29","-84,417,156.68","-101,910,769.76","36,776,622.02","751,460.50"
购买商品、接受劳务支付的现金,"591,666,892.87","649,300,499.59","449,486,690.04","185,260,866.69","527,393,980.48","900,448,480.53","1,314,866,556.55","494,048,838.77","1,163,752,723.46"
吸收投资收到的现金,,,,"340,885,000.00","340,885,000.00","340,885,000.00","340,885,000.00",,
支付给职工以及为职工支付的现金,"32,506,838.49","27,287,818.52","26,097,865.91","11,189,771.85","17,843,172.72","24,843,563.62","31,425,281.59","17,172,487.01","27,482,634.19"
取得借款收到的现金,"650,491,621.49","816,713,113.94","703,392,753.98","122,796,449.25","234,591,930.50","382,536,779.54","752,957,109.30","400,489,617.84","669,310,397.87"
支付的各项税费,"40,011,111.65","69,507,009.64","45,435,578.27","11,693,731.73","24,856,699.74","55,357,698.96","82,806,886.47","37,342,001.49","128,030,813.91"
收到其他与筹资活动有关的现金,,,,"16,915,671.70","19,742,202.36","30,725,671.37","5,166,010.40","5,000,000.00","15,024,298.25"
支付其他与经营活动有关的现金,"34,382,178.58","36,481,663.88","40,767,819.53","8,701,953.66","19,961,412.33","36,366,569.18","50,887,503.05","20,659,307.29","44,899,634.27"
筹资活动现金流入小计,"650,491,621.49","816,713,113.94","703,392,753.98","480,597,120.95","595,219,132.86","754,147,450.91","1,099,008,119.70","405,489,617.84","684,334,696.12"
经营活动现金流出小计,"698,567,021.59","782,576,991.63","561,787,953.75","216,846,323.93","590,055,265.27","1,017,016,312.29","1,479,986,227.66","569,222,634.56","1,364,165,805.83"
偿还债务支付的现金,"606,213,685.24","861,142,045.16","780,956,810.28","118,704,384.95","209,598,598.91","281,463,579.94","367,743,113.84","272,273,381.90","520,186,658.65"
经营活动产生的现金流量净额,"60,392,826.12","92,740,940.58","148,538,164.82","-10,040,990.33","-106,330,196.48","-126,232,764.77","-94,110,657.74","39,818,151.98","-108,038,670.97"
分配股利、利润或偿还利息支付的现金,"22,688,845.63","19,064,739.40","15,667,405.17","1,377,299.27","3,190,869.41","5,982,580.74","6,978,365.97","5,028,384.97","130,815,065.80"
收回投资收到的现金,"170,896,877.94","228,430,842.24",,,,"351,085,205.46","500,000,000.00","50,000,000.00","50,000,000.00"
支付其他与筹资活动有关的现金,"10,344,517.42","19,421,965.79","11,869,525.22","7,766,729.92","13,242,165.76","14,033,894.05","31,033,215.92","4,533,521.69","3,808,399.32"
取得投资收益收到的现金,,,,,,,,"388,084.77","388,084.77"
筹资活动现金流出小计,"639,247,048.29","899,628,750.35","808,493,740.67","127,848,414.14","226,031,634.08","301,480,054.73","405,754,695.73","281,835,288.56","654,810,123.77"
处置固定资产、无形资产和其他长期资产收回的现金净额,"605,389.92","1,282,028.55",665.29,,"498,281.80","838,281.80","387,338.70",,"750,000.00"
筹资活动产生的现金流量净额,"11,244,573.20","-82,915,636.41","-105,100,986.69","352,748,706.81","369,187,498.78","452,667,396.18","693,253,423.97","123,654,329.28","29,524,572.35"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,"891,532.81","2,823,795.16","1,930,149.47","-179,909.12","-1,508,494.17","-227,951.46","-7,114,236.57","-6,868,619.00","3,832,744.60"
收到其他与投资活动有关的现金,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"171,502,267.86","229,712,870.79",665.29,,"498,281.80","351,923,487.26","500,387,338.70","50,388,084.77","51,138,084.77"
五、现金及现金等价物净增加额,"52,672,727.79","-30,633,783.84","-20,752,756.94","336,446,704.75","93,858,958.84","241,789,523.27","490,117,759.90","193,380,484.28","-73,929,893.52"
购建固定资产、无形资产和其他长期资产支付的现金,"19,099,911.77","44,995,753.96","66,120,749.83","6,081,102.61","17,988,131.09","36,340,643.94","52,298,108.46","13,611,462.75","50,386,624.27"
期初现金及现金等价物余额,"44,710,508.64","97,383,236.43","66,749,452.59","45,996,695.65","45,996,695.65","45,996,695.65","45,996,695.65","536,114,455.55","536,114,455.55"
投资支付的现金,"171,000,000.00","228,000,000.00",,,"150,000,000.00","400,000,000.00","550,000,000.00",,
期末现金及现金等价物余额,"97,383,236.43","66,749,452.59","45,996,695.65","382,443,400.40","139,855,654.49","287,786,218.92","536,114,455.55","729,494,939.83","462,184,562.03"
