科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"334,102,376.25","445,601,119.18","264,580,318.53","357,553,998.16","488,608,903.18","48,435,281.29","140,222,276.35","250,638,633.81","364,989,954.77","80,026,296.90","183,852,778.08","271,779,612.37","419,172,608.13","87,872,639.76","180,293,880.28","318,951,038.39","587,585,184.08","76,670,602.81","339,985,697.18","498,007,244.39","633,813,777.86","124,056,129.01","218,713,070.21","400,681,570.35","520,490,166.00","162,504,253.67","324,689,732.55","489,807,046.51","649,216,996.37","171,009,527.35","364,523,437.17","528,859,567.84","902,502,954.60","240,677,393.48","1,011,305,666.97","1,698,624,342.86","2,477,630,373.60","435,565,647.48"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,986,104,215.38","3,130,072,041.38","3,306,123,241.38","355,000,000.01"
收到的税费返还,,,,,,,,,"1,401,359.85","1,366,914.64","3,596,660.13","3,596,660.13","3,596,660.13",,,,,,,,,,,,,"1,603,517.79","2,604,154.01","2,604,154.01","2,604,154.01","2,004,115.34","2,846,179.62","2,846,179.62","3,660,436.53",,"1,845,595.32","3,640,895.08","1,846,679.40","3,782,269.90"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,"470,809,000.00",,"2,997,035.60","5,057,035.60","4,430,188.68",,"1,352,830.19","1,352,830.19","2,701,886.79",,"90,000.00","90,000.00","90,000.00","143,600,000.00"
收到其他与经营活动有关的现金,"15,590,313.96","46,391,009.72","30,060,633.78","31,195,102.76","57,972,892.62","21,956,631.55","36,893,163.61","48,671,530.09","51,242,928.36","7,255,898.05","21,815,790.80","55,756,851.79","61,005,974.89","17,647,576.55","26,433,735.20","38,710,166.29","32,279,771.59","51,154,975.03","98,653,746.87","211,790,125.29","102,442,593.62","52,790,833.82","59,618,170.62","75,119,699.48","78,574,317.92","17,871,880.62","61,706,946.24","73,645,531.39","103,168,664.51","17,478,880.77","40,695,589.14","71,780,675.25","93,327,853.34","36,654,403.40","157,129,765.35","263,429,193.82","292,139,358.70","74,746,500.56"
投资活动现金流出小计,"26,343,301.19","17,961,768.95","957,692.01","7,202,020.12","9,262,826.85","867,461.05","19,203,427.54","44,782,491.77","71,970,847.34","35,522,473.62","122,961,801.68","185,034,250.30","344,742,760.47","34,830,304.60","46,142,931.32","57,936,112.24","61,945,013.55","11,651,711.04","46,859,460.22","84,482,861.29","109,506,886.38","20,141,073.38","23,454,121.73","26,684,979.73","521,286,082.13","137,968.00","16,862,135.76","19,043,624.66","26,945,661.50","1,835,574.24","8,646,107.21","10,195,000.87","15,429,525.21","3,793,376.98","3,488,984,772.29","5,971,262,118.04","7,279,015,577.71","1,752,223,217.11"
经营活动现金流入小计,"349,692,690.21","491,992,128.90","294,640,952.31","388,749,100.92","546,581,795.80","70,391,912.84","177,115,439.96","299,310,163.90","417,634,242.98","88,649,109.59","209,265,229.01","331,133,124.29","483,775,243.15","105,520,216.31","206,727,615.48","357,661,204.68","619,864,955.67","127,825,577.84","438,639,444.05","709,797,369.68","736,256,371.48","176,846,962.83","278,331,240.83","475,801,269.83","599,064,483.92","181,979,652.08","389,000,832.80","566,056,731.91","754,989,814.89","190,492,523.46","408,065,205.93","603,486,422.71","999,491,244.47","277,331,796.88","1,170,281,027.64","1,965,694,431.76","2,771,616,411.70","514,094,417.94"
投资活动产生的现金流量净额,"-26,139,180.41","-16,514,403.75","-957,692.01","-7,202,020.12","-9,262,826.85","-867,461.05","-19,203,427.54","-44,782,491.77","-71,970,847.34","-35,520,473.62","-122,808,853.68","-184,881,302.30","-343,587,276.34","-34,830,304.60","-46,142,931.32","-57,936,112.24","-61,945,013.55","-11,651,711.04","-46,859,460.22","-69,462,861.29","-93,308,488.38","-19,712,085.91","-22,859,121.73","-25,663,729.73","-39,429,949.33","312,032.00","-16,355,988.24","-18,534,202.14","-26,436,238.98","-1,835,574.24","-8,646,107.21","-10,195,000.87","-15,429,525.21","-3,334,966.98","-3,488,538,362.29","-5,879,171,876.16","-6,982,183,974.58","-1,752,223,217.11"
购买商品、接受劳务支付的现金,"259,144,705.97","310,049,931.92","165,839,408.08","276,640,598.14","368,088,238.72","108,936,438.79","253,833,241.03","293,339,192.67","345,605,098.24","148,457,771.02","195,871,246.14","298,777,203.90","400,854,536.96","89,991,225.36","192,783,314.31","297,430,723.89","483,334,605.26","169,002,028.68","433,236,386.14","636,208,343.30","610,402,091.63","122,533,701.32","186,124,519.47","221,694,489.47","331,777,882.33","141,093,952.85","299,921,248.42","416,968,921.37","528,770,680.90","139,151,697.73","249,419,134.64","392,720,374.61","572,723,235.23","152,147,955.37","392,711,038.91","877,524,993.86","1,633,864,742.78","376,467,854.17"
吸收投资收到的现金,"35,000,000.00",,,,,"466,950,000.00","436,423,500.00","436,423,500.00","442,129,713.75",,,,,,,,"400,107.32","354,135,000.00","348,885,000.00","348,885,000.00","348,885,000.00",,,,,,,,,,,,,,"4,981,348,000.00","4,981,348,000.00","4,981,348,000.00",
支付给职工以及为职工支付的现金,"10,086,015.34","21,903,923.31","9,488,449.54","14,889,551.30","20,281,219.31","6,635,893.92","13,993,168.99","23,651,796.12","31,603,256.02","8,256,728.84","17,222,978.52","26,819,116.49","40,005,815.65","10,233,497.66","23,240,895.53","39,173,532.82","57,875,324.51","19,626,397.17","39,574,932.56","57,453,269.57","77,002,729.65","17,032,936.62","36,287,059.12","53,945,870.42","72,110,886.98","25,070,185.26","46,355,031.96","62,227,403.67","79,198,790.52","22,390,235.78","46,141,519.93","69,401,339.10","98,809,048.93","27,416,556.40","62,347,263.63","92,016,271.57","130,726,011.81","32,010,502.49"
