科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"296,799,601.88","303,218,136.24","284,216,179.69","642,751,836.00","458,234,257.23","451,154,189.69","374,579,678.76","329,029,526.69","262,842,527.12"
短期借款,,,,,,,"99,978,458.90","222,071,259.93","237,828,790.05"
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"200,222,946.21","73,410,550.23","58,999,121.51","44,660,381.12","25,917,837.33","50,779,941.52","122,858,239.55","62,981,643.89","62,592,599.72"
应付票据,"133,438,603.41","136,787,627.54","83,018,618.11","130,588,811.56","125,751,639.90","168,910,572.13","111,068,072.73","91,080,858.65","99,091,460.06"
应收账款,"481,262,235.63","551,538,290.37","373,434,723.72","252,000,889.06","257,402,194.02","313,650,523.27","358,951,289.12","345,578,691.08","582,462,760.91"
应付账款,"755,793,815.87","722,196,866.95","589,914,666.28","439,089,572.25","318,188,742.63","413,299,604.61","485,053,807.59","498,109,220.53","637,056,519.46"
预付款项,"18,363,305.25","3,945,491.73","14,678,230.17","9,668,170.86","22,264,798.01","45,202,227.15","10,792,064.89","28,067,041.21","18,752,752.41"
预收款项,"3,726,676.03","3,327,116.22","3,570,180.97","2,835,699.25","2,928,846.13","3,094,063.90","2,642,876.96","2,165,586.10","1,383,376.04"
其他应收款,"25,805,908.39","30,744,461.81","24,812,308.55","16,740,588.74","13,375,263.93","18,142,840.16","30,669,717.37","25,088,922.65","30,249,429.05"
应付职工薪酬,"71,993,617.13","60,764,438.94","49,774,445.74","31,679,887.24","28,655,050.31","36,119,302.03","36,589,538.60","35,297,318.02","44,354,647.67"
应收关联公司款,,,,,,,,,
应交税费,"16,244,548.45","23,845,241.85","26,364,491.28","9,423,537.46","7,233,904.66","10,122,394.16","16,241,860.08","11,199,939.42","9,798,436.05"
应收利息,,"85,216.44",,,,,,,
应付利息,,"1,116,301.37","1,268,567.76",,,,,,
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"254,868,461.45","310,462,476.85","356,800,012.38","331,070,483.61","390,860,411.85","450,586,082.64","483,428,851.36","582,341,896.06","561,400,913.14"
其他应付款,"11,618,567.72","49,273,706.64","45,773,452.46","21,014,901.13","6,128,673.47","10,478,763.61","14,210,284.47","16,413,019.05","14,106,665.77"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,"3,045,066.74","2,123,838.94","2,123,838.94"
一年内到期的非流动负债,,,,,,,"5,242,840.94","3,520,801.28",
其他流动资产,"7,839,089.80","1,861,368.55","17,605,407.09","28,958,209.34","38,502,608.05","31,739,342.20","27,381,372.16","44,596,093.88","30,524,149.19"
其他流动负债,,,,,,,,,
流动资产合计,"1,285,161,548.61","1,275,265,992.22","1,130,545,983.11","1,325,850,558.73","1,206,557,370.42","1,361,255,146.63","1,411,706,279.95","1,419,807,654.40","1,550,948,970.48"
流动负债合计,"992,815,828.61","997,311,299.51","799,684,422.60","634,632,408.89","488,886,857.10","642,024,700.44","771,027,740.27","879,858,002.98","1,043,619,895.10"
可供出售金融资产,,,,,,,,,
长期借款,,,,,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,"12,621,558.41","10,128,997.83","9,668,383.93","5,597,393.07","4,167,892.16",,,
长期应付款,"29,948,601.92","57,484,442.05","25,799,768.01","22,533,673.16","17,147,551.46","11,757,473.84","3,971,935.90","52,653,160.89","75,289,776.42"
长期股权投资,,,,,,"1,689,400.00","2,001,145.75","2,001,145.75","2,001,145.75"
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,,
预计负债,,,,,,,,,
固定资产,"298,466,971.56","402,840,339.26","371,914,971.13","368,142,840.79","359,788,319.69","350,613,289.34","376,364,969.76","376,098,055.11","388,462,521.06"
递延所得税负债,,,,,,,,,
在建工程,"15,048,928.11","29,968,049.37","34,123,636.85","35,933,077.26","36,952,029.38","41,171,767.68","44,489,684.93","84,892,388.91","127,622,932.34"
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
非流动负债合计,"29,948,601.92","59,869,199.76","27,515,279.44","24,249,184.59","18,557,731.33","13,014,987.93","6,246,872.73","54,928,097.72","75,777,227.55"
固定资产清理,,,,,,,,,
负债合计,"1,022,764,430.53","1,057,180,499.27","827,199,702.04","658,881,593.48","507,444,588.43","655,039,688.37","777,274,613.00","934,786,100.70","1,119,397,122.65"
生产性生物资产,,,,,,,,,
实收资本(或股本),"180,000,000.00","180,000,000.00","180,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00"
油气资产,,,,,,,,,
资本公积,"218,392,442.46","218,392,442.46","218,392,442.46","500,642,442.46","500,642,442.46","500,642,442.46","500,642,442.46","500,642,442.46","500,642,442.46"
无形资产,"32,885,776.98","31,556,030.04","28,814,852.02","32,626,452.10","33,057,492.04","32,285,915.38","32,387,329.50","147,994,204.05","147,416,835.39"
盈余公积,"25,743,706.02","27,091,801.87","29,926,527.37","29,926,527.37","29,926,527.37","29,926,527.37","33,024,997.20","33,024,997.20","33,024,997.20"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,
商誉,,,,,,,,,
未分配利润,"221,432,449.02","302,457,833.33","371,808,903.53","388,096,767.40","398,569,260.09","406,271,688.40","420,494,752.55","428,630,399.47","445,987,008.96"
长期待摊费用,"31,917,092.19","25,034,796.84","15,845,603.95","14,970,507.49","14,065,416.85","11,909,018.64","17,089,452.02","15,854,080.41","21,243,484.28"
少数股东权益,"8,408,923.73","12,658,049.86","11,503,301.68","11,906,817.58","7,333,320.45","7,163,102.32","7,135,592.13","5,739,136.01","1,321,956.93"
递延所得税资产,"10,004,043.34","9,951,532.98","8,154,024.88","6,490,151.32","6,405,982.10","7,087,486.62","8,795,635.54","8,503,221.17","9,697,764.05"
外币报表折算价差,,,,,,,,,
其他非流动资产,"3,563,116.01","11,704,983.50","43,685,608.78","39,747,210.38","24,194,557.70","30,042,908.70","85,412,804.49","84,617,460.43","94,103,604.80"
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"391,885,928.19","523,677,290.40","512,667,695.44","507,578,623.27","480,061,190.83","478,967,678.52","566,541,021.99","719,960,555.83","790,548,287.67"
所有者权益(或股东权益)合计,"654,283,046.27","741,762,783.35","816,013,976.51","1,174,547,588.52","1,179,173,972.82","1,185,183,136.78","1,200,972,688.94","1,204,982,109.53","1,222,100,135.50"
资产总计,"1,677,047,476.80","1,798,943,282.62","1,643,213,678.55","1,833,429,182.00","1,686,618,561.25","1,840,222,825.15","1,978,247,301.94","2,139,768,210.23","2,341,497,258.15"
负债和所有者(或股东权益)合计,"1,677,047,476.80","1,798,943,282.62","1,643,213,678.55","1,833,429,182.00","1,686,618,561.25","1,840,222,825.15","1,978,247,301.94","2,139,768,210.23","2,341,497,258.15"
