科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"2,294,105,093.32","2,666,137,532.58","668,872,082.29","2,686,413,995.81","706,701,255.79","1,502,366,638.51","2,152,578,608.24","3,023,389,695.18","909,271,985.40","1,860,262,526.57","2,905,083,370.71","4,232,534,722.24","1,087,670,073.61","2,414,816,684.92","3,679,470,283.81","5,353,924,660.59","1,147,028,796.55","2,425,340,039.03","3,903,856,305.97","5,502,717,841.48","1,280,220,015.66","2,603,810,663.50","4,196,429,605.83","5,933,824,004.67","1,430,312,985.41","2,928,414,728.18","4,538,299,727.26","5,939,667,062.54","1,089,987,983.32","2,199,498,762.19","3,563,797,012.69","4,944,465,775.38","1,336,555,961.01","2,914,523,879.99","4,650,226,161.15","6,451,799,195.92","1,637,681,518.18"
二、营业利润,"230,786,444.93","299,313,197.43","74,663,777.75","309,786,073.16","84,932,829.39","202,993,336.79","310,091,142.28","436,267,543.13","137,864,192.08","275,497,413.03","419,288,773.22","593,312,526.77","127,120,410.52","274,188,885.55","399,753,857.41","546,885,528.29","57,511,674.90","159,894,394.96","227,809,113.74","322,909,243.80","17,945,843.17","56,418,304.99","100,407,526.80","171,594,849.05","40,052,571.33","86,415,985.97","136,247,847.93","162,895,453.39","-29,557,965.05","-51,698,383.64","-152,813,362.92","-302,568,100.53","44,434,433.13","118,566,998.89","263,876,003.16","529,042,098.23","211,892,029.35"
减:营业成本,"1,853,069,117.93","2,097,546,820.55","520,642,398.31","2,026,919,773.63","530,496,687.65","1,087,163,418.84","1,541,237,724.11","2,127,583,202.86","665,010,781.38","1,382,674,115.87","2,152,388,217.99","3,134,744,291.37","824,590,119.89","1,832,048,003.14","2,806,061,913.64","4,129,565,863.96","932,968,223.47","1,933,137,247.25","3,143,164,323.45","4,432,925,527.61","1,072,126,937.83","2,144,801,269.13","3,483,110,435.77","4,888,480,485.56","1,185,859,060.42","2,431,575,708.57","3,750,265,637.19","4,944,144,530.22","913,543,097.15","1,848,282,507.86","3,011,548,712.66","4,239,699,073.63","1,103,036,588.77","2,378,425,607.06","3,703,608,258.38","5,082,879,910.72","1,250,437,686.28"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"9,330,854.50","11,640,212.28","4,283,622.28","19,816,422.54","4,537,947.75","8,899,641.49","11,471,785.39","16,104,748.28","5,253,528.65","9,406,217.61","14,281,449.84","22,319,685.68","3,541,675.41","9,724,253.96","17,881,148.01","33,994,232.73","2,393,250.63","6,086,364.08","11,671,528.89","21,933,020.77","5,937,794.17","12,416,750.62","18,272,540.18","28,806,277.54","5,133,038.50","10,982,729.85","17,731,414.09","25,922,229.51","7,471,045.56","13,318,758.03","19,364,857.33","38,546,777.99","11,485,090.48","28,616,752.16","46,808,817.43","63,154,099.59","12,935,047.17"
营业外收入,"20,078,228.59","10,065,433.34","3,034,546.14","168,857,530.42","16,274,244.18","26,888,386.59","32,288,643.24","43,172,338.25","6,919,397.94","18,075,696.75","22,361,672.86","35,107,204.88","4,708,229.51","40,097,815.47","50,701,817.89","60,060,127.63","7,775,744.92","17,529,125.21","32,749,668.35","47,292,649.25","25,383,606.95","36,099,350.57","53,718,826.00","78,582,133.05","8,791,252.28","18,749,988.36","26,768,369.97","60,068,042.42","11,991,045.70","27,684,150.20","37,729,239.43","56,073,596.75","13,040,506.92","33,701,880.94","67,921,846.48","10,796,208.94","1,857,642.93"
销售费用,"75,666,263.97","78,743,894.33","18,672,566.73","70,150,214.69","15,088,896.65","29,739,220.17","51,869,896.44","82,642,918.25","21,528,678.01","37,853,564.17","52,451,727.33","68,098,297.12","19,876,157.32","45,699,567.91","67,666,305.74","84,712,203.46","18,958,878.21","43,115,371.52","67,644,227.09","88,792,840.74","21,305,639.87","58,373,874.44","88,277,537.24","115,808,268.50","31,132,825.03","52,426,908.34","81,774,955.74","97,969,307.71","27,601,771.29","49,670,550.52","73,382,670.00","100,857,592.33","25,692,423.02","52,798,269.99","88,257,583.29","118,823,533.68","39,057,763.94"
减:营业外支出,"3,616,993.20","1,260,302.76","768,555.74","144,390,489.46","882,616.34","2,560,840.03","4,452,405.97","4,703,394.98","2,493,016.51","3,774,758.82","5,508,057.59","7,378,796.87","1,928,814.54","2,078,010.94","4,711,586.92","7,630,267.62","1,549,595.27","6,384,842.02","8,719,898.65","12,176,909.39","1,899,716.75","3,725,368.90","6,049,028.77","7,871,127.76","3,214,849.80","4,631,841.58","6,780,164.40","13,696,576.31","1,698,411.23","3,786,571.56","3,752,958.87","5,276,411.40","788,829.11","1,371,500.30","3,305,027.00","8,517,448.93","372,016.47"
管理费用,"117,634,211.03","155,684,705.13","44,388,533.17","239,985,160.62","62,278,461.29","141,881,397.38","228,239,062.77","338,829,894.56","80,248,295.51","166,679,654.68","265,880,552.17","400,691,254.19","109,696,767.62","242,396,697.87","371,075,062.68","506,131,034.79","117,675,917.38","254,935,308.24","417,527,171.26","561,078,126.68","123,428,607.82","266,875,649.25","400,600,816.36","519,159,661.57","123,273,120.71","250,625,598.93","374,715,184.21","498,722,293.20","117,105,378.85","246,959,804.32","363,787,469.25","495,592,868.69","106,786,758.30","236,887,639.52","389,582,483.79","522,651,708.80","128,625,360.75"
其中:非流动资产处置净损失,"27,677.14","4,434.20",,"3,090,304.45",,,,"751,071.47",,,,"1,510,134.30",,"32,979.75",,"1,044,871.92",,,,"3,764,381.33",,,,"2,331,703.42","1,830,324.71","1,831,528.51","1,846,319.61","2,856,456.15","521,755.82","686,314.95","725,930.88","649,742.11","1,894.61","1,894.61","116,483.15",,
