科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"438,149,714.10","541,428,160.53","244,127,490.81","428,843,034.68","650,337,252.61","160,653,068.70","348,154,606.32","552,887,803.14","820,818,267.76","154,706,213.70","408,385,567.57","617,102,075.35","951,687,884.52","219,681,939.26","515,064,428.96","817,244,969.41","1,334,239,133.54","259,720,944.71","543,484,124.08","783,146,828.24","1,112,700,879.51","189,569,421.42","416,398,586.37","648,943,712.91","960,654,031.12","228,020,657.62","450,303,972.63","732,913,440.93","1,133,757,108.23","239,474,758.71","539,595,338.14","853,291,991.22","1,222,629,210.35","226,126,081.33","470,632,966.65","793,693,334.65","1,243,246,377.73"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"503,614,232.18","503,262,975.64","1,023,542,063.02","1,023,537,236.54",,,,"120,114,550.11",,,,"231,375,932.53"
收到的税费返还,,,"2,081,591.66","7,630,344.70","20,970,376.08","9,738,473.65","12,901,068.12","27,671,729.47","46,242,476.15","8,264,836.64","8,474,488.01","8,474,488.01","52,608,119.26","10,583,116.78","25,250,200.63","41,466,765.71","73,459,512.85",,"17,848,875.65","45,634,964.06","71,069,283.63","12,260,120.03","18,439,894.93","23,794,557.46","56,631,348.60","2,038,344.15","19,600,803.94","34,166,545.73","52,166,038.91","11,158,750.16","17,042,334.46","26,219,926.69","43,773,708.01","7,818,796.63","13,454,103.04","26,163,409.51","39,851,714.49"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.25,,,,,
收到其他与经营活动有关的现金,"14,125,163.50","19,010,226.75","7,065,475.39","9,238,579.95","19,615,586.22","2,927,508.81","9,572,353.36","12,589,644.76","36,503,145.66","5,645,817.88","24,609,211.15","28,307,687.89","68,637,865.03","27,750,831.99","33,435,391.94","44,155,063.20","70,570,925.82","8,306,617.67","18,516,718.92","25,375,728.34","70,505,339.81","4,045,595.80","12,896,602.76","24,326,612.19","52,893,629.73","9,502,951.27","67,222,078.49","214,051,649.08","252,586,612.20","54,868,483.82","57,625,686.84","91,411,409.87","111,031,411.76","14,747,439.72","31,536,223.47","48,614,131.83","100,365,478.40"
投资活动现金流出小计,"73,496,096.86","11,588,392.67","5,106,937.77","5,387,965.34","5,920,135.32","6,252,754.75","4,704,720.94","7,247,482.82","11,747,624.19","62,849,789.36","77,890,520.55","126,299,720.86","157,412,020.48","52,579,401.24","130,825,073.76","188,278,508.81","244,132,802.47","46,064,000.57","63,247,204.00","76,660,781.11","88,532,770.67","30,709,758.04","39,272,697.99","51,531,300.06","58,303,537.27","508,125,261.78","568,176,211.77","1,170,010,636.14","1,273,656,102.31","252,557,297.92","317,594,330.13","507,113,577.06","864,002,930.22","400,201,069.56","662,035,682.96","960,130,753.27","1,384,760,116.68"
经营活动现金流入小计,"452,274,877.60","560,438,387.28","253,274,557.86","445,711,959.33","690,923,214.91","173,319,051.16","370,628,027.80","593,149,177.37","903,563,889.57","168,616,868.22","441,469,266.73","653,884,251.25","1,072,933,868.81","258,015,888.03","573,750,021.53","902,866,798.32","1,478,269,572.21","268,027,562.38","579,849,718.65","854,157,520.64","1,254,275,502.95","205,875,137.25","447,735,084.06","697,064,882.56","1,070,179,009.45","239,561,953.04","537,126,855.06","981,131,635.74","1,438,509,759.34","305,501,992.69","614,263,359.44","970,923,327.78","1,377,434,330.12","248,692,317.68","515,623,293.16","868,470,875.99","1,383,463,570.62"
投资活动产生的现金流量净额,"-72,413,607.13","28,905,907.33","-457,852.92","-738,880.49","-1,271,050.47","-3,723,021.78","1,003,087.36","-689,174.52","-9,655,126.22","-61,910,907.11","-76,951,638.30","-125,360,838.61","-156,445,445.23","-51,809,652.84","-130,055,325.36","-187,508,760.41","-243,182,863.53","-45,739,252.17","-62,916,405.60","-76,328,869.21","-88,200,858.77","-30,647,958.04","-39,198,086.99","-51,451,189.06","-58,223,426.27","-497,990,011.78","-544,043,893.21","-1,082,946,017.89","-1,065,391,211.82","-203,270,671.41","-215,447,382.59","-347,762,923.16","-376,416,250.54","-157,527,552.12","-257,375,574.47","-294,877,025.57","-386,252,127.32"
购买商品、接受劳务支付的现金,"154,797,265.14","264,010,501.29","120,089,073.48","178,616,133.00","253,312,161.13","89,941,939.65","214,668,999.68","329,727,264.17","476,707,868.33","103,416,835.98","205,892,009.04","320,993,099.83","452,247,385.56","140,090,994.89","269,792,057.04","416,925,236.19","592,414,985.17","161,486,187.03","249,985,677.22","383,232,388.90","528,356,927.86","167,216,287.69","258,284,277.87","396,879,934.07","500,439,548.26","120,075,049.78","202,588,460.73","318,100,651.56","450,459,260.59","107,986,959.33","212,131,430.81","312,507,176.31","434,093,909.54","126,357,193.95","197,890,960.73","323,625,166.66","476,143,161.56"
吸收投资收到的现金,"41,172,198.15",,,,"1,216,190,775.29",,,,,,,,,,,,,,"15,589,728.00","15,589,728.00","15,589,728.00",,,,,,,"2,500,000.00","2,500,000.00",,,"89,303,940.00","94,298,940.00",,,"1,250,000.00","898,659,997.05"
支付给职工以及为职工支付的现金,"53,859,530.18","80,715,673.50","55,421,104.26","74,009,104.93","101,580,074.12","46,521,439.43","69,869,966.07","98,926,965.59","130,176,637.85","59,661,991.88","94,919,021.69","136,152,354.00","174,092,540.33","76,788,829.50","125,115,135.11","176,116,999.44","226,269,251.52","84,886,244.17","151,626,609.31","205,135,978.03","257,647,921.70","84,857,800.73","137,489,192.03","197,648,910.38","253,163,410.78","81,229,969.12","141,763,593.48","205,883,721.01","267,220,727.36","99,540,249.55","163,660,219.09","233,791,054.68","299,446,168.99","103,948,330.22","168,540,574.57","241,938,287.57","316,722,510.81"
取得借款收到的现金,"50,000,000.00","25,000,000.00","30,000,000.00","35,000,000.00","35,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"268,000,000.00","268,000,000.00","32,478,269.20","46,581,721.34","98,854,109.84","138,520,869.83",,,"24,473,938.91","63,317,938.91"
