科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"2,427,823,488.97","2,846,717,236.83","3,546,031,796.87","868,717,769.00","1,880,253,456.51","2,877,145,272.64","3,954,674,592.94","989,281,730.95","2,061,049,963.21","3,340,045,805.18","4,753,601,208.94","1,326,423,617.94","2,854,686,036.40","4,379,818,442.54","6,137,173,180.86","1,671,367,626.48","3,247,952,789.41","5,101,344,342.02"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"26,293,811.07","31,419,675.63","60,263,822.01","12,139,191.19","25,194,855.00","40,202,404.74","59,941,866.79","9,282,303.17","22,249,000.30","39,183,522.34","61,274,120.79","9,838,165.82","24,980,502.36","37,200,696.02","56,487,553.17","15,372,747.85","34,079,707.82","58,784,288.03"
投资活动现金流出小计,"1,381,518,279.80","481,506,903.85","108,529,600.39","19,830,572.06","32,393,739.20","144,975,905.22","296,911,515.04","97,234,713.46","213,007,721.43","291,921,139.89","667,128,310.24","208,851,907.35","480,908,871.53","967,749,438.43","1,123,190,846.46","46,757,509.24","270,983,613.23","382,381,445.91"
经营活动现金流入小计,"2,454,117,300.04","2,878,136,912.46","3,606,295,618.88","880,856,960.19","1,905,448,311.51","2,917,347,677.38","4,014,616,459.73","998,564,034.12","2,083,298,963.51","3,379,229,327.52","4,814,875,329.73","1,336,261,783.76","2,879,666,538.76","4,417,019,138.56","6,193,660,734.03","1,686,740,374.33","3,282,032,497.23","5,160,128,630.05"
投资活动产生的现金流量净额,"-217,112,559.45","124,827,786.27","-101,105,269.11","-18,417,996.08","-29,733,672.50","-140,291,332.89","-189,224,437.85","26,243,397.08","44,697,648.27","21,356,069.18","-219,151,629.00","-45,440,663.37","-71,321,899.57","-91,400,098.47","138,608,469.94","-25,016,133.35","-27,725,867.54","-136,832,762.16"
购买商品、接受劳务支付的现金,"2,091,870,385.59","2,780,553,498.11","3,385,847,819.20","802,421,037.80","1,786,287,848.81","2,733,875,975.57","3,699,328,847.53","915,620,745.99","1,949,968,455.12","3,069,968,353.46","4,246,592,162.73","1,095,784,793.18","2,593,848,118.64","3,941,611,050.80","5,538,770,369.86","1,447,678,511.02","2,966,154,629.43","4,741,303,508.47"
吸收投资收到的现金,,"1,887,690.02",,,"506,386,475.50","522,386,475.50","522,386,475.50",,"6,000,000.00","17,500,000.00","28,037,219.16",,"50,864,800.00","50,864,800.00","48,520,800.00",,,"9,800,000.00"
支付给职工以及为职工支付的现金,"53,541,606.49","58,142,073.69","87,093,876.85","31,471,433.10","59,224,349.09","89,232,984.06","118,131,020.94","31,229,939.73","63,064,395.87","97,407,139.71","135,322,342.32","49,823,989.66","90,099,200.28","136,024,679.25","184,446,427.95","57,386,737.46","111,055,665.07","164,685,595.28"
取得借款收到的现金,"55,000,000.00","59,700,000.00","165,000,000.00","29,650,000.00","94,650,000.00","94,650,000.00","124,650,000.00","35,000,000.00","35,000,000.00","35,000,000.00","50,000,000.00","15,000,000.00","25,000,000.00","25,000,000.00","47,000,000.00","6,000,000.00","31,000,000.00","59,000,000.00"
