科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"505,986,071.41","318,803,273.47","507,057,795.63","161,626,341.79","313,788,379.89","453,231,734.49","551,049,534.82","93,378,820.99","204,654,402.61","329,364,950.73","449,645,521.85","145,136,391.78","283,134,741.83","434,178,766.12","564,538,367.51","101,829,406.69","231,524,883.97"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"500,000.00",,,,,,,
收到的税费返还,"641,598.01","2,064,999.98","3,310,420.45","667,917.43","1,338,751.53","1,785,002.05","2,167,085.81","489,999.99","974,166.66","1,134,583.33","2,804,583.33","580,000.00","1,120,299.73","1,512,695.56","3,105,039.77","1,099,960.23","1,255,347.25"
支付其他与投资活动有关的现金,,,,,,"355,000,000.00",,"64,000,000.00","27,000,000.00","56,000,000.00",,"10,000,000.00",,"51,000,000.00",,,
收到其他与经营活动有关的现金,"7,227,479.34","8,052,149.04","7,958,022.27","1,271,457.95","3,074,762.84","9,745,426.45","15,451,401.75","11,547,765.00","18,850,799.99","21,887,798.62","14,830,735.74","508,485.52","1,005,274.06","2,105,119.94","16,636,841.12","1,656,809.24","1,861,353.14"
投资活动现金流出小计,"9,525,656.82","8,079,054.99","13,021,839.20","1,438,609.36","2,304,900.34","361,418,405.37","365,505,791.85","81,718,814.81","52,505,712.18","90,377,964.95","170,228,789.15","18,018,682.98","34,331,780.82","105,444,945.47","151,222,641.17","20,822,153.35","32,451,823.92"
经营活动现金流入小计,"513,855,148.76","328,920,422.49","518,326,238.35","163,565,717.17","318,201,894.26","464,762,162.99","568,668,022.38","105,416,585.98","224,479,369.26","352,387,332.68","467,280,840.92","146,224,877.30","285,260,315.62","437,796,581.62","584,280,248.40","104,586,176.16","234,641,584.36"
投资活动产生的现金流量净额,"-9,053,061.03","-6,875,206.69","737,771.20","1,619,316.64","753,025.66","-358,360,479.37","-335,719,687.54","-81,718,814.81","67,494,287.82","-90,377,964.95","-156,263,600.07","-14,264,899.92","-8,962,629.86","-76,727,059.85","-113,454,940.50","10,236,243.65","307,337,680.07"
购买商品、接受劳务支付的现金,"166,161,568.60","200,775,296.80","222,805,303.50","63,084,836.07","142,441,475.66","209,180,465.77","258,202,593.37","40,737,615.33","111,878,441.26","172,977,683.54","232,257,672.53","70,166,087.31","160,982,794.56","272,100,532.86","344,470,653.42","87,413,248.24","173,735,371.79"
吸收投资收到的现金,,,,,"416,000,000.00","416,000,000.00","404,696,651.67","2,500,000.00","5,240,000.00","5,240,000.00","5,240,000.00","1,550,000.00","2,110,000.00","2,710,000.00","3,360,000.00","100,000.00","710,000.00"
支付给职工以及为职工支付的现金,"25,670,027.85","31,699,786.66","42,039,508.64","10,943,904.57","18,374,975.76","35,829,356.82","44,798,877.79","13,405,403.00","25,609,866.69","37,032,970.96","49,386,078.22","18,572,481.15","28,925,146.99","40,355,197.00","57,330,197.67","19,302,697.45","35,251,050.18"
取得借款收到的现金,"51,845,421.99","10,000,000.00",,,,,,,,,,,,,,,
支付的各项税费,"67,140,406.84","63,862,729.07","72,192,616.92","17,423,683.67","33,215,301.86","46,114,348.18","66,469,634.73","10,335,948.85","23,515,121.85","38,998,660.88","53,002,935.15","9,523,982.42","20,868,718.31","31,174,705.33","40,540,639.64","19,240,335.92","22,434,986.99"
收到其他与筹资活动有关的现金,,"3,157,166.93",,,,,"62,502,824.27","3,309,860.82",,,"415,785.38","3,335,079.76","3,335,079.76","13,458,595.11","13,315,717.79","2,278,719.21","2,060,231.00"
支付其他与经营活动有关的现金,"34,733,000.78","35,237,398.76","39,831,578.94","12,715,941.59","19,546,371.04","37,036,861.83","36,480,215.22","11,414,392.42","13,754,655.45","24,316,606.57","43,278,968.80","12,129,546.93","17,363,932.04","22,556,330.02","50,761,121.65","2,576,412.02","17,510,747.36"
筹资活动现金流入小计,"51,845,421.99","13,157,166.93",,,"416,000,000.00","416,000,000.00","467,199,475.94","5,809,860.82","5,240,000.00","5,240,000.00","5,655,785.38","4,885,079.76","5,445,079.76","16,168,595.11","16,675,717.79","2,378,719.21","2,770,231.00"
经营活动现金流出小计,"293,705,004.07","331,575,211.29","376,869,008.00","104,168,365.90","213,578,124.32","328,161,032.60","405,951,321.11","75,893,359.60","174,758,085.25","273,325,921.95","377,925,654.70","110,392,097.81","228,140,591.90","366,186,765.21","493,102,612.38","128,532,693.63","248,932,156.32"
偿还债务支付的现金,"109,845,421.99","10,000,000.00",,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"220,150,144.69","-2,654,788.80","141,457,230.35","59,397,351.27","104,623,769.94","136,601,130.39","162,716,701.27","29,523,226.38","49,721,284.01","79,061,410.73","89,355,186.22","35,832,779.49","57,119,723.72","71,609,816.41","91,177,636.02","-23,946,517.47","-14,290,571.96"
分配股利、利润或偿还利息支付的现金,"3,543,540.36","59,111.12","41,700,000.00","21,652,048.34","33,000,000.00","33,000,000.00","33,000,000.00",,"21,200,000.00","21,200,000.00","21,200,000.00",,"19,399,026.41","19,399,026.41","19,399,026.41","126,487.72","153,264.43"
收回投资收到的现金,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"48,657,385.61",,"16,877,299.98","10,917,130.53","6,999,145.65","-22,967,774.53",,"4,316,369.39","19,301,983.43","17,977,025.63","774,719.15","42,410,166.82","37,872,218.32",,,"1,066,000.00","1,178,747.43"
取得投资收益收到的现金,,,,,,,,,,,"13,677,840.87","1,973,223.06","4,454,150.96","8,681,599.90","17,934,550.67","1,058,397.00","9,789,503.99"
