科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月
一、营业收入,"86,931,974.44","122,819,259.73","159,666,732.23","101,061,875.59","141,293,755.87"
二、营业利润,"26,125,828.20","27,418,163.06","32,618,835.42","26,523,525.18","37,301,278.91"
减:营业成本,"39,594,644.49","63,427,814.25","79,610,704.08","49,148,447.02","67,337,171.94"
加:补贴收入,,,,,
营业税金及附加,"1,119,210.42","2,642,961.69","4,143,701.81","2,653,520.38","3,413,732.55"
营业外收入,"54,300.00","8,410,100.00","2,726,050.00","30,000.00","30,000.00"
销售费用,"7,458,060.29","14,595,565.65","18,014,801.69","10,241,495.38","14,588,430.65"
减:营业外支出,"48,952.57","69,483.65",,,
管理费用,"7,108,349.06","7,449,876.43","17,167,420.33","7,700,144.76","11,890,779.85"
其中:非流动资产处置净损失,,,,,
堪探费用,,,,,
加:影响利润总额的其他科目,,,,,
财务费用,"5,317,817.16","7,335,000.76","7,099,498.18","4,771,587.95","6,709,207.05"
三、利润总额,"26,131,175.63","35,758,779.41","35,344,885.42","26,553,525.18","37,331,278.91"
资产减值损失,"208,064.82","-50,122.11","1,011,770.72","23,154.92","53,154.92"
减:所得税,"8,625,547.26","5,516,981.07","5,698,613.76","3,749,758.15","5,366,421.21"
加:公允价值变动净收益,,,,,
加:影响净利润的其他科目,,,,,
投资收益,,,,,
四、净利润,"17,505,628.37","30,241,798.34","29,646,271.66","22,803,767.03","31,964,857.70"
其中:对联营企业和合营企业的投资权益,,,,,
归属于母公司所有者的净利润,"17,505,628.37","30,241,798.34","29,646,271.66","22,803,767.03","31,964,857.70"
影响营业利润的其他科目,,,,,
少数股东损益,,,,,
