科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
经营活动产生的现金流量净额,"2,425,890.21","1,530,263.89","8,625,643.29","14,547,880.90","14,744,049.03","38,423,571.51","-14,272,785.56","-5,375,023.56","-12,140,007.47","18,993,628.68","-12,018,886.27","-19,161,740.57","-12,236,537.74","16,672,463.75","7,818,765.30","11,486,756.85","25,578,092.89","55,433,806.47","7,778,301.39","23,780,542.43","39,894,771.87","82,220,785.74","-7,238,868.83","12,909,773.08","38,250,122.29","44,064,104.82","32,104,375.72","67,753,872.76","93,235,244.90","146,550,634.30","-22,574,320.83","19,973,573.36","39,337,541.24","10,731,776.01","-28,537,585.33"
分配股利、利润或偿还利息支付的现金,"543,545.40","4,545,184.69","8,506,550.50","4,774,455.00","7,030,166.00","9,313,573.17","1,220,622.60","24,937,360.89","25,277,756.14","25,261,017.85","370,727.50","21,768,412.19","24,600,135.83","25,501,560.83",,"8,666,198.29","8,626,749.18","8,626,749.18",,"7,600,003.49","9,708,415.81","10,411,666.67","2,897,889.43","4,264,853.35","16,443,130.98","27,519,854.33","2,574,908.83","15,678,914.84","17,893,988.74","19,410,096.05","5,360,534.17","32,545,121.58","35,786,424.27","35,207,134.96","800,341.14"
收回投资收到的现金,,,,,,,,"891,666.44","891,666.44",,,,,,,,"10,005,917.81","30,068,054.79",,,,,,,,,,,,,"5,000,000.00","30,000,000.00","30,000,000.00","31,000,000.00",
支付其他与筹资活动有关的现金,,,,,,,"6,451,503.72","6,451,503.72","6,451,503.72","34,601,503.72",,,,,,,,,,"3,480,000.00","8,850,000.00","10,266,000.00",,"2,080,000.00","5,346,000.00",,,,,,,"18,767,097.35","14,650,369.25","9,923,333.93",
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"20,443,545.40","32,945,184.69","58,506,550.50","98,774,455.00","101,030,166.00","103,313,573.17","184,672,126.32","208,388,864.61","325,729,259.86","353,862,521.57","117,370,727.50","138,768,412.19","141,600,135.83","227,501,560.83",,"8,666,198.29","8,626,749.18","8,626,749.18",,"11,080,003.49","18,558,415.81","37,924,504.37","2,897,889.43","7,959,910.35","24,923,878.28","33,461,724.63","14,536,278.83","40,460,727.17","102,586,486.74","145,725,388.38","5,360,534.17","278,226,270.69","348,344,073.52","342,298,944.23","874,780.89"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"470,000.00","2,611,500.00",,,,,,,,"28,000.00","28,000.00","164,794.00","956,262.09",,"13,000.00","13,000.00","69,610.00","50,699.50","60,815.28","61,743.71","414,924.10",,"757,045.89","830,747.52","949,805.67",,"6,215.92","749,706.32","741,948.19",,"29,680.98","707,850.06","7,033,850.85","982,604.70"
筹资活动产生的现金流量净额,"59,061,454.60","137,083,315.31","30,493,449.50","3,225,545.00","5,969,834.00","3,686,426.83","307,327,873.68","283,611,135.39","283,270,740.14","283,137,478.43","-370,727.50","-21,768,412.19","60,399,864.17","-25,501,560.83",,"-8,666,198.29","-8,626,749.18","-8,626,749.18",,"3,919,996.51","169,441,584.19","150,075,495.63","-2,897,889.43","-5,730,075.35","38,669,407.12","94,750,150.51","-14,536,278.83","-28,186,597.46","-10,920,924.34","-30,820,374.56","-5,360,534.17","-81,266,204.88","-140,003,499.97","-136,208,047.16","29,125,219.11"
处置子公司及其他营业单位收到的现金净额,,"-310,420.78","6,053.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-97,092.78","-671,460.87","-102,894.81","-96,090.34","-111,129.63","-280,322.42","-33,690.81","-250,521.51","-236,757.52","-442,964.03","139,795.16","135,427.20","-598,297.69","-942,080.25","-68,744.78","-982,467.95","-1,158,070.82","-2,268,526.31","65,450.97","241,451.53","242,064.26","-2,376,997.70","-266,004.32","-221,678.10","1,107,558.70","833,175.86","1,763,877.31","1,667,599.24","3,979,408.35","3,249,698.40","2,166,439.28","303,118.24","-2,443,355.86","-468,049.53","-556,205.86"
收到其他与投资活动有关的现金,,,,,,,,,,,,,"3,942,150.79",,,,,,,,,,,"1,774,628.50","1,636,489.70","2,665,602.50",,,,,,,"20,000,000.00","20,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"159,579.22","2,617,553.22",,,,,"891,666.44","891,666.44",,"28,000.00","28,000.00","4,106,944.79","956,262.09",,"13,000.00","10,018,917.81","30,137,664.79","50,699.50","60,815.28","61,743.71","414,924.10",,"2,531,674.39","2,467,237.22","3,615,408.17",,"6,215.92","749,706.32","741,948.19","5,000,000.00","30,029,680.98","50,707,850.06","58,033,850.85","982,604.70"
五、现金及现金等价物净增加额,"16,960,189.66","7,216,056.55","-9,775,943.24","6,872,891.87","4,864,197.80","19,294,223.11","292,164,750.33","271,438,835.78","228,972,392.38","197,740,440.34","-42,735,509.45","-87,536,987.14","-2,894,598.04","-140,199,254.07","-5,865,094.13","-36,449,127.25","-25,086,575.17","-35,696,452.12","775,149.86","5,088,956.75","51,172,155.48","77,452,819.65","-28,833,683.25","-96,846,892.26","-72,573,483.09","-52,377,422.62","8,347,567.11","22,225,635.01","61,168,671.54","87,690,410.34","-26,452,233.74","-82,579,674.08","-106,021,384.78","-121,771,747.27","-6,682,293.41"
购建固定资产、无形资产和其他长期资产支付的现金,"41,775,254.26","130,885,641.00","51,409,694.44","10,804,443.69","14,806,840.32","22,535,452.81","856,646.98","7,438,420.98","42,813,249.21","61,484,607.57","30,513,690.84","46,770,261.58","54,566,571.57","131,384,338.83","13,615,114.65","38,300,217.86","40,898,765.87","56,133,814.65","1,779,302.00","11,573,849.00","16,185,599.88","34,552,260.17","18,430,920.67","44,236,586.28","59,467,808.42","74,740,264.79","10,984,407.09","19,015,455.45","25,874,763.69","32,031,495.99","5,683,818.02","34,096,588.13","36,096,666.60","36,338,023.79","7,696,326.03"
期初现金及现金等价物余额,"2,636,391.06","19,596,580.72","26,812,637.27","17,036,694.03","17,036,694.03","17,036,694.03","36,330,917.14","36,330,917.14","36,330,917.14","36,330,917.14","234,071,357.48","276,784,452.65","234,071,357.48","234,071,357.48","93,872,103.41","93,872,103.41","93,872,103.41","93,872,103.41","58,175,651.29","58,175,651.29","58,175,651.29","58,175,651.29","135,628,470.94","135,628,470.94","135,628,470.94","135,628,470.94","83,251,048.32","83,251,048.32","83,251,048.32","83,251,048.32","170,941,458.66","170,941,458.66","170,941,458.66","170,941,458.66","55,401,235.86"
投资支付的现金,,,,,,,,,,,,,,,,,"10,000,000.00","54,238,833.24","5,340,000.00","11,340,000.00","142,282,408.67","2,963,455.00",,"62,100,000.00","93,600,000.00","62,100,000.00",,,,,,,,,
期末现金及现金等价物余额,"19,596,580.72","26,812,637.27","17,036,694.03","23,909,585.90","21,900,891.83","36,330,917.14","328,495,667.47","307,769,752.92","265,303,309.52","234,071,357.48","191,335,848.03","189,247,465.51","231,176,759.44","93,872,103.41","88,007,009.28","57,422,976.16","68,785,528.24","58,175,651.29","58,950,801.15","63,264,608.04","109,347,806.77","135,628,470.94","106,794,787.69","38,781,578.68","63,054,987.85","83,251,048.32","91,598,615.43","105,476,683.33","144,419,719.86","170,941,458.66","144,489,224.92","88,361,784.58","64,920,073.88","49,169,711.39","48,718,942.45"
