科目,2008年1-6月,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"14,641,429.52","75,838,671.30","15,215,931.80","109,127,717.41","23,172,759.88","157,345,666.30","62,330,936.90","205,524,439.60","66,141,810.83","136,076,899.03","259,799,968.18","88,497,376.20","176,581,367.81","337,790,943.25","41,215,575.94","100,579,765.86","236,087,898.18","428,391,779.51","15,426,636.36","131,742,135.66","260,271,582.87","547,647,049.45","31,515,012.24","125,773,517.05","313,862,925.78","934,647,477.36","102,309,850.36","293,690,056.96","783,420,772.78","1,766,370,972.14","118,524,949.89"
二、营业利润,"-6,281,944.13","4,825,604.83","-7,150,544.88","24,463,253.10","-6,175,193.87","36,086,265.23","3,062,532.01","43,601,132.31","-5,875,326.61","12,873,035.61","48,710,455.44","3,100,169.30","15,673,081.16","58,510,410.31","-16,987,078.52","-16,578,935.74","13,280,488.86","63,757,570.49","-14,622,914.05","-12,513,830.29","3,714,534.61","87,798,096.39","-21,268,337.44","-19,063,805.25","179,052.25","112,610,241.31","-25,168,457.43","-12,954,863.47","48,054,600.88","191,822,337.75","-17,814,259.35"
减:营业成本,"7,859,873.48","40,420,251.70","7,630,948.64","48,312,089.24","8,446,198.50","75,351,443.29","35,463,805.15","100,577,409.37","34,286,818.34","66,373,722.29","125,422,606.38","43,715,980.60","94,292,963.88","179,886,693.45","33,785,997.88","67,665,602.95","142,956,555.43","240,327,436.23","9,489,754.25","92,186,116.47","167,949,282.30","323,319,198.31","18,192,538.77","70,139,915.29","185,621,479.14","608,609,824.06","80,453,087.55","212,510,084.27","566,499,110.83","1,256,665,556.84","70,449,229.41"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"107,978.23","1,119,617.14","240,734.50","2,316,567.55","591,226.59","3,272,022.91","1,054,690.45","4,533,231.23","1,629,368.46","3,533,981.17","6,112,303.88","856,644.93","2,179,348.93","4,817,827.35","275,452.70","552,383.15","2,366,412.77","5,756,950.55","243,986.41","613,969.55","2,505,070.11","6,422,875.19","320,084.52","277,361.56","1,052,331.24","9,561,196.96","534,215.96","1,978,013.05","4,110,521.58","11,670,322.97","999,719.68"
营业外收入,"129,901.13","1,590,144.45","1,001,647.31","3,503,048.90","1,549,655.99","4,703,137.69","912,502.92","4,468,570.54","622,782.73","2,978,389.31","4,606,519.12","1,429,536.81","1,684,684.23","2,785,210.96","437,568.45","494,068.95","658,957.89","2,555,151.74","337,620.16","1,588,469.61","2,018,871.94","6,357,294.96","855,878.98","1,476,918.25","4,200,383.81","10,796,871.13","982,544.31","914,073.91","1,029,502.46","336,893.05","124,699.09"
销售费用,"5,949,746.64","4,890,765.52","1,049,646.99","2,341,474.01","2,704,236.37","5,240,763.58","3,334,306.89","8,979,478.65","6,086,062.89","11,174,646.65","16,106,930.31","10,967,812.44","17,654,089.19","24,498,901.76","7,799,905.44","14,117,809.02","19,625,313.83","28,853,486.81","7,249,481.75","15,507,359.75","23,982,209.51","33,537,008.20","8,310,182.82","15,991,953.44","25,861,808.83","36,922,683.47","10,315,795.22","20,823,254.69","33,386,898.05","47,678,301.70","12,893,527.17"
减:营业外支出,"50,000.00","52,164.29","47,797.81","47,797.81","50,000.00","138,360.07","80,720.00","119,744.25","189,327.14","189,327.14","304,084.39","72,167.40","441,239.82","441,239.82","1,414.83","133,157.75","143,148.44","166,044.15","56,496.45","165,362.99","184,646.60","308,922.90","163,747.99","595,266.04","650,255.89","1,338,402.21","133,352.81","239,108.28","420,114.12","440,528.02","8,265.61"
管理费用,"6,787,537.86","23,860,437.57","13,175,627.97","30,847,939.57","17,226,110.63","33,972,219.01","18,903,982.42","41,651,178.20","24,652,680.55","35,559,082.25","48,718,838.45","25,453,241.72","37,159,898.49","50,480,865.10","13,500,342.09","27,479,922.80","42,096,615.64","60,595,234.22","15,601,704.21","31,804,811.41","49,175,326.53","72,569,087.92","23,185,929.81","46,994,462.36","70,642,392.61","119,052,369.59","30,498,991.60","61,221,459.45","97,493,290.83","165,225,392.75","42,231,214.47"
其中:非流动资产处置净损失,,,,,,"85,139.92",,"67,723.58","19,327.14","19,327.14","67,723.58","72,167.40","435,738.84","435,738.84","1,414.83","115,157.75","125,148.44","147,655.33","56,496.45","165,362.99","179,099.28","259,444.24","90,536.55","128,075.92","135,470.74","136,564.42","55,972.72","156,718.29","272,809.81",,
